id,desc,lat,lng,modes,extra,equiv
BRGP:ADATUNCO,Adams Tunnel  CO,40.3278,-105.5775,QC=QJ=0;CH=CJ=1,,,,37.4529;Rc520d0bbbbe2c641,Wind River O1 L6 Drainage:14km2 AvgFlow:11cfs AvgPrecip:774mm AvgTemp:2C
BRGP:ADAWPLCO,Adams Tunnel  West Portal  CO *GLARESCO*,40.2417,-105.8022,QC=QJ=0;CH=CJ=1,,,,768.9397;R7d3f7df394f3d941,East Inlet O2 L6 Drainage:71km2 AvgFlow:45cfs AvgPrecip:633mm AvgTemp:2C
BRGP:ADNE,Akers Draw into Tri-State Canal NE,41.975,-103.8917,CH=CJ=1,,
BRGP:AGR,Angostura Reservoir  Cheyenne River near Hot Springs  SD,43.3433,-103.4383,Q=QD=0;QC=QJ=0;GH=GJ=1,,,,793.954;R9eefc3766253e641, O2 L4 Drainage:6km2 AvgFlow:0cfs AvgPrecip:439mm AvgTemp:9C
BRGP:AINE,Lake Alice Reservoir Inflow NE,41.998,-103.6328,CH=CJ=1,,,,922.7185;R0456be7c8e34d041, O1 L6 Drainage:100km2 AvgFlow:4cfs AvgPrecip:379mm AvgTemp:8C
BRGP:ALFVALMT,Alfalfa Valley Canal Diversion MT,48.6103,-109.2442,QC=QJ=0;CH=CJ=1;WF=WF=2;WC=WC=3,,,,143.1587;R21b07e924cdbe441,Lodge Creek O3 L4 Drainage:2770km2 AvgFlow:56cfs AvgPrecip:334mm AvgTemp:6C
BRGP:ALTUS,Altus Dam North Fork Red River OK,34.8875,-99.2964,Q=QD=0,,,,91.3954;Rc976f6729223e041,North Fork Red River O5 L2 Drainage:6698km2 AvgFlow:69cfs AvgPrecip:736mm AvgTemp:16C
BRGP:ANAD,Washita River near Anadarko  OK,35.085,-98.243,GH=GJ=1,,,,38.1432;R8fc255ecc0f0b241,Washita River O6 L2 Drainage:9455km2 AvgFlow:564cfs AvgPrecip:823mm AvgTemp:16C
BRGP:ARGY,Aragon Ditch WY,43.1917,-108.7839,QC=QJ=0;CH=CJ=1,,,,57.7843;Ra8c673e5d9d9df41,Wind River O6 L4 Drainage:5643km2 AvgFlow:1207cfs AvgPrecip:223mm AvgTemp:7C
BRGP:ARKAVOCO,Arkansas River near Avondale  CO,38.248,-104.3986,Q=QD=0;GH=GJ=1,,,,502.321;R21b072bf26408041,Arkansas River O6 L2 Drainage:16326km2 AvgFlow:927cfs AvgPrecip:299mm AvgTemp:11C
BRGP:ARKCANCO,Arkansas River at Canyon City  CO,38.425,-105.2617,Q=QD=0;GH=GJ=1,,,,884.3621;Rc74beff296ccd241,Arkansas River O5 L2 Drainage:6536km2 AvgFlow:766cfs AvgPrecip:378mm AvgTemp:10C
BRGP:ARKGRNCO,Arkansas River at Grainite  CO,39.0428,-106.2653,Q=QD=0;GH=GJ=1,,,,21.4593;R31089c7bd740c541,Arkansas River O4 L2 Drainage:1112km2 AvgFlow:450cfs AvgPrecip:331mm AvgTemp:2C
BRGP:ARKNATCO,Arkansas River near Nathrop CO,38.6522,-106.0506,Q=QD=0;GH=GJ=1,,,,314.0045;R73686577b3fbea41,Arkansas River O4 L2 Drainage:2748km2 AvgFlow:590cfs AvgPrecip:262mm AvgTemp:6C
BRGP:ARKNEPCO,Arkansas River near Nepesta  CO,38.1842,-104.1728,Q=QD=0;GH=GJ=1,,,,361.7425;Rf628fc803e22ed41,Arkansas River O7 L2 Drainage:23702km2 AvgFlow:794cfs AvgPrecip:269mm AvgTemp:12C
BRGP:ARKPORCO,Arkansas River above Pueblo Reservoir  CO,38.3883,-105.0156,Q=QD=0;GH=GJ=1;WC=WC=3,,,,569.7813;R560e2d660cc2b941,Arkansas River O6 L2 Drainage:10278km2 AvgFlow:812cfs AvgPrecip:333mm AvgTemp:11C
BRGP:ARKPUECO,Arkansas River below Pueblo Reservoir  CO,38.2714,-104.7183,Q=QD=0;GH=GJ=1;WF=WF=2;WC=WC=3,,,,700.6803;Rbc7433f0c1bcd841,Arkansas River O6 L2 Drainage:11948km2 AvgFlow:726cfs AvgPrecip:331mm AvgTemp:11C
BRGP:ARKSALCO,Arkansas River above Salida  CO,38.5458,-106.01,Q=QD=0;GH=GJ=1,,,,854.4131;R6abc68a0ae2ce041,Arkansas River O4 L2 Drainage:3063km2 AvgFlow:588cfs AvgPrecip:230mm AvgTemp:7C
BRGP:ARKWELCO,Arkansas River near Wellsville  CO,38.5028,-105.9397,Q=QD=0;GH=GJ=1,,,,916.2458;R14aec7a0d9dab941,Arkansas River O5 L2 Drainage:3745km2 AvgFlow:745cfs AvgPrecip:246mm AvgTemp:7C
BRGP:ARMT,Atascosa River near McCoy  TX,28.8458,-98.3361,Q=QD=0;GH=GJ=1,,,,430.0348;R295c3fa99f30c741,Atascosa River O5 L3 Drainage:1368km2 AvgFlow:86cfs AvgPrecip:736mm AvgTemp:21C
BRGP:ARNE,Lake Alice Reservoir Elevation  NE,41.9867,-103.6322,QC=QJ=0,,,,412.7578;R0456be7c8e34d041, O1 L6 Drainage:100km2 AvgFlow:4cfs AvgPrecip:379mm AvgTemp:8C
BRGP:ARWT,Atascosa River at Whitsett  TX,28.6219,-98.2811,Q=QD=0;GH=GJ=1,,,,627.4831;Ra01a17155377e041,Atascosa River O5 L3 Drainage:2954km2 AvgFlow:150cfs AvgPrecip:683mm AvgTemp:22C
BRGP:BABM,St. Mary River near Babb  MT,48.8333,-113.4189,Q=QD=0;GH=GJ=1,,,,820.7493;R0ad7230c2772e741,Swiftcurrent Creek O4 L5 Drainage:261km2 AvgFlow:302cfs AvgPrecip:667mm AvgTemp:4C
BRGP:BACK,Battle Creek near Chinook  MT,48.5844,-109.0986,Q=QD=0;GH=GJ=1,,,,528.7149;R5a64436291f4ec41,Battle Creek O4 L4 Drainage:3831km2 AvgFlow:84cfs AvgPrecip:321mm AvgTemp:6C
BRGP:BANE,Bartley Diversion NE,40.2236,-100.3822,QC=QJ=0;CH=CJ=1,,,,987.7919;Ree7c578526e5e441, O2 L5 Drainage:29km2 AvgFlow:1cfs AvgPrecip:553mm AvgTemp:11C
BRGP:BAWNE,Bartley Canal Wasteway NE,40.265,-100.0458,QC=QJ=0;CH=CJ=1,,,,752.5348;R0456660d7888e641, O2 L5 Drainage:20km2 AvgFlow:1cfs AvgPrecip:572mm AvgTemp:11C
BRGP:BBNE,Box Butte Dam  NE,42.4583,-103.0667,GH=GJ=1,,,,761.0102;R89415cfd0af4e941,Niobrara River O5 L3 Drainage:3729km2 AvgFlow:22cfs AvgPrecip:431mm AvgTemp:8C
BRGP:BBR,Buffalo Bill Reservoir  Shoshone River near Cody  WY,44.5014,-109.1833,Q=QD=0,,,,208.7543;Rf628f451866dee41, O6 L5 Drainage:3900km2 AvgFlow:1200cfs AvgPrecip:325mm AvgTemp:6C
BRGP:BBTM,Boulder River at Big Timber  MT,45.8342,-109.9381,Q=QD=0;GH=GJ=1,,,,24.8068;R3f35de39b97b9041,Boulder River O5 L4 Drainage:1365km2 AvgFlow:564cfs AvgPrecip:412mm AvgTemp:8C
BRGP:BBWY,Bighorn River at Basin  WY,44.3833,-108.0356,Q=QD=0;GH=GJ=1,,,,59.7645;R3d0affdbfbbbe241,Bighorn River O7 L4 Drainage:34250km2 AvgFlow:2093cfs AvgPrecip:182mm AvgTemp:8C
BRGP:BCCM,Big Coulee below Beale Canal  MT,47.917,-112.6186,Q=QD=0;GH=GJ=1,,,,422.9193;Rfa7ed2718b21d941, O1 L7 Drainage:11km2 AvgFlow:3cfs AvgPrecip:601mm AvgTemp:4C
BRGP:BCHM,Beaver Creek Near Hinsdale  MT,48.4194,-107.1706,Q=QD=0;GH=GJ=1,,,,886.6302;R9318982778fbec41,Beaver Creek O5 L4 Drainage:4394km2 AvgFlow:75cfs AvgPrecip:332mm AvgTemp:6C
BRGP:BCIB,Battle Creek at International Boundary,49.002,-109.4217,Q=QD=0;GH=GJ=1,,,,788.6949;Rf0a7665e08ffc541,Battle Creek O1 L4 Drainage:7km2 AvgFlow:0cfs AvgPrecip:315mm AvgTemp:5C
