id,desc,lat,lng,modes,extra,equiv
BRPN:ACAO,Ashland Creek Mouth near Ashland,42.2147,-122.7167,Q=QD=0;GH=GJ=1;WF=WF=2,,,,44.3855;R48e1fef6ba0eeb41,Ashland Creek O3 L3 Drainage:65km2 AvgFlow:32cfs AvgPrecip:604mm AvgTemp:10C
BRPN:AFCI,ST. ANTHONY UNION CANAL FEEDER,43.9603,-111.6981,QC=QJ=0;CH=CJ=1,,,,991.0336;Rf2d2a1a5a823e541, 
BRPN:AGA,Agate Dam and Reservoir near Medford OR,42.415,-122.7722,Q=QD=0;QC=QJ=0;GH=GJ=1;CH=CJ=1;WF=WF=2,,,,926.5464;Rb072b019295eea41,Dry Creek O2 L4 Drainage:42km2 AvgFlow:11cfs AvgPrecip:547mm AvgTemp:12C
BRPN:ALF,ALBENI FALLS DAM ON PEND OREILLE R BL LAKE,48.18,-117.03,Q=QD=0,,,,185.071;Rd7a370629a31dc41,Pend Oreille River O8 L1 Drainage:61812km2 AvgFlow:25521cfs AvgPrecip:722mm AvgTemp:8C
BRPN:ALNO,Allen Canal at Echo OR,45.7336,-119.2042,QC=QJ=0;CH=CJ=1,,,,749.1208;R37895dc19006e341,Umatilla River O6 L2 Drainage:3640km2 AvgFlow:549cfs AvgPrecip:265mm AvgTemp:12C
BRPN:ALPY,Snake River above Reservoir near Alpine WY,43.1961,-110.8894,Q=QD=0;GH=GJ=1;WF=WF=2,,,,542.4287;Rc976f61e4ef8e941,Snake River O6 L2 Drainage:8866km2 AvgFlow:4460cfs AvgPrecip:623mm AvgTemp:4C
BRPN:ALTO,A-Line Canal (Terminus) nr Hermiston OR,45.8136,-119.3578,QC=QJ=0;CH=CJ=1,,,,926.6889;R8195d388e513c041,Umatilla River O6 L2 Drainage:5466km2 AvgFlow:600cfs AvgPrecip:234mm AvgTemp:12C
BRPN:AMFI,Snake River at Neeley ID,42.7683,-112.8783,Q=QD=0;GH=GJ=1;WF=WF=2,,,,732.3393;Rd7a3c02d708fc441,Snake River O7 L2 Drainage:36807km2 AvgFlow:8503cfs AvgPrecip:307mm AvgTemp:8C
BRPN:AMRW,American River near Nile WA,46.98,-121.17,Q=QD=0,,,,234.8541;R3f358e5bed3bcb41,American River O3 L5 Drainage:206km2 AvgFlow:238cfs AvgPrecip:1189mm AvgTemp:5C
BRPN:ANCI,ANDERSON CANAL NR RIRIE ID,43.6222,-111.6694,QC=QJ=0;CH=CJ=1,,,,958.4754;R5ebae942a8aae641, 
BRPN:AND,Anderson Ranch Dam and Reservoir,43.3583,-115.4444,GH=GJ=1;WF=WF=2,,,,640.3599;Re9266136ba88d641,Elk Creek O2 L5 Drainage:10km2 AvgFlow:2cfs AvgPrecip:542mm AvgTemp:7C
BRPN:ANDI,South Fork Boise River at Anderson Ranch Dam,43.3417,-115.4778,Q=QD=0;GH=GJ=1,,,,496.7141;Rd34d6241f745c341,South Fork Boise River O6 L4 Drainage:2568km2 AvgFlow:1018cfs AvgPrecip:525mm AvgTemp:8C
BRPN:ANTI,Henrys Fork at St. Anthony ID,43.9667,-111.6722,Q=QD=0;GH=GJ=1,,,,993.005;Rf2d225ccee4cdf41,Henrys Fork O6 L3 Drainage:4616km2 AvgFlow:2255cfs AvgPrecip:353mm AvgTemp:6C
BRPN:ANTO,Antelope Creek and Diversion at Dam,42.4111,-122.7433,Q=QD=0;QC=QJ=0;GH=GJ=1;CH=CJ=1;WF=WF=2,,,,275.3556;Rd9cef7f7c107ef41,Antelope Creek O3 L3 Drainage:104km2 AvgFlow:45cfs AvgPrecip:574mm AvgTemp:12C
BRPN:APPO,Applegate River near Copper (US Army Corps of Engineers),42.07,-123.12,Q=QD=0,,,,985.4984;R21b052fee690b541,Applegate River O4 L2 Drainage:580km2 AvgFlow:443cfs AvgPrecip:675mm AvgTemp:11C
BRPN:ARNO,Arnold Canal,43.9944,-121.3778,QC=QJ=0;CH=CJ=1;WF=WF=2,,,,683.9321;Ra01a6f3fea96e741,Deschutes River O5 L2 Drainage:3712km2 AvgFlow:1282cfs AvgPrecip:379mm AvgTemp:7C
BRPN:ASCI,ABERDEEN-SPRINGFIELD CANAL,43.2806,-112.2569,QC=QJ=0;CH=CJ=1,,,,998.4722;R3108cc9e4d75ee41, 
BRPN:ASLO,Ashland Lateral near Ashland OR,42.1621,-122.5111,QC=QJ=0;CH=CJ=1;WF=WF=2,,,,711.5005;R04566ebe4b5eb441,Right Fork Sampson Creek O1 L4 Drainage:4km2 AvgFlow:2cfs AvgPrecip:788mm AvgTemp:8C
BRPN:AUCI,ST. ANTHONY UNION CANAL,43.975,-111.65,QC=QJ=0;CH=CJ=1,,,,622.7045;Rf2d225ccee4cdf41,Henrys Fork O6 L3 Drainage:4616km2 AvgFlow:2255cfs AvgPrecip:353mm AvgTemp:6C
BRPN:AUGW,Ahtanum Creek at Union Gap,46.5353,-120.4717,Q=QD=0;GH=GJ=1,,,,680.6925;Rb6f3813c3b33e741,Ahtanum Creek O4 L4 Drainage:430km2 AvgFlow:81cfs AvgPrecip:222mm AvgTemp:11C
BRPN:BASO,Bear Creek below Ashland Cr. at Ashland OR,42.2161,-122.7211,Q=QD=0;GH=GJ=1;WF=WF=2,,,,715.8705;R045616846128da41,Bear Creek O4 L2 Drainage:388km2 AvgFlow:98cfs AvgPrecip:585mm AvgTemp:11C
BRPN:BBBO,Big Butte Creek below Butte Falls OR,42.5497,-122.5678,GH=GJ=1;WF=WF=2;Q=QD=0,,,,973.0723;R1904068ddfe8c441,Hukill Creek O1 L3 Drainage:6km2 AvgFlow:3cfs AvgPrecip:903mm AvgTemp:10C
BRPN:BCAO,Bear Creek above Ashland OR,42.195,-122.6686,Q=QD=0;GH=GJ=1;WF=WF=2,,,,12.9857;R7d3fa5093eafc741,Bear Creek O4 L2 Drainage:355km2 AvgFlow:104cfs AvgPrecip:558mm AvgTemp:11C
BRPN:BCCO,Bear Creek Canal at Medford OR,42.3331,-122.8706,QC=QJ=0;CH=CJ=1,,,,954.7695;R4a0c42f3f8efe941,Bear Creek O4 L2 Drainage:748km2 AvgFlow:120cfs AvgPrecip:489mm AvgTemp:12C
BRPN:BCGO,Little Butte Ck Grinding Mill Race,42.4769,-122.7931,CH=CJ=1;QC=QJ=0,,,,898.9376;R643b97e32aabea41,Little Butte Creek O4 L2 Drainage:741km2 AvgFlow:196cfs AvgPrecip:678mm AvgTemp:12C
BRPN:BCMO,Bear Creek at Mouth below Central Point OR,42.4264,-122.9569,Q=QD=0;GH=GJ=1;WF=WF=2;WC=WC=3,,,,0.7572;Rf0a786e3d830d041,Bear Creek O4 L2 Drainage:936km2 AvgFlow:155cfs AvgPrecip:513mm AvgTemp:12C
BRPN:BCSO,Beaver Creek and Beaver Siphon at Howard Prairie Can,42.1506,-122.3958,Q=QD=0;GH=GJ=1,,,,146.8975;Rb29d4fc8fc1fed41,Beaver Creek O2 L4 Drainage:15km2 AvgFlow:8cfs AvgPrecip:824mm AvgTemp:8C
BRPN:BCTO,Bear Creek below Phoenix Diversion near Talent,42.2536,-122.7889,Q=QD=0;GH=GJ=1;WF=WF=2,,,,850.3402;Rc520701cb222a641,Bear Creek O4 L2 Drainage:572km2 AvgFlow:131cfs AvgPrecip:493mm AvgTemp:12C
BRPN:BDDI,Boise River below Diversion Dam near Boise,43.5397,-116.0936,GH=GJ=1,,,,865.6896;R666626575653a541,Boise River O6 L3 Drainage:6982km2 AvgFlow:1836cfs AvgPrecip:356mm AvgTemp:10C
