id,desc,lat,lng,modes,extra,equiv
CDEC:130,SAN JOAQUIN R-MONITORING WELL #130,36.99820,-120.51490,25=H,,,,943.0642;R60e524413ed2e141,San Joaquin River O5 L1 Drainage:13530km2 AvgFlow:663cfs AvgPrecip:257mm AvgTemp:17C
CDEC:142,SAN JOAQUIN R-MONITORING WELL #142,37.18610,-120.68290,25=H,,,,725.0476;R5ebacd10fed0e341,Sand Slough O5 L3 Drainage:3510km2 AvgFlow:175cfs AvgPrecip:300mm AvgTemp:17C
CDEC:49B,SJRRP MW-09-49B,36.77120,-120.27020,25=H,,,,63.4813;R8195dbec5d25d641,San Joaquin River O5 L1 Drainage:4744km2 AvgFlow:680cfs AvgPrecip:257mm AvgTemp:17C
CDEC:ACC,ALAMEDA CK BL CALAVERAS CK NR SUNOL CA,37.50400,-121.82400,1=E,,USGS:11173510,,651.3329;R14ae5712b53be741,Alameda Creek O4 L1 Drainage:365km2 AvgFlow:87cfs AvgPrecip:563mm AvgTemp:15C
CDEC:ACD,ALAMEDA CK ABOVE DIV DAM NR SUNOL CA,37.49744,-121.77357,1=E,,USGS:11172945,,890.2389;R5eba49abf234b541,Alameda Creek O3 L1 Drainage:84km2 AvgFlow:18cfs AvgPrecip:644mm AvgTemp:15C
CDEC:ACK,ARCADE CK NR DEL PASO HTS,38.63400,-121.38200,20=E;1=E,,,,685.4798;R9eef7bc962a6e841,Arcade Creek O3 L4 Drainage:99km2 AvgFlow:23cfs AvgPrecip:557mm AvgTemp:17C
CDEC:ACZ,ALHAMBRA CREEK AT D STREET,38.00340,-122.12967,1=E,,,,601.36;Rd7a30057c9e9ca41, O1 L2 Drainage:14km2 AvgFlow:4cfs AvgPrecip:573mm AvgTemp:15C
CDEC:AFD,AMERICAN R BELOW FOLSOM DAM,38.68830,-121.16670,25=E;25=H,,,,167.48;R96434ffad230ea41, O6 L2 Drainage:4833km2 AvgFlow:4830cfs AvgPrecip:639mm AvgTemp:17C
CDEC:AFO,AMERICAN RIVER AT FAIR OAKS,38.63546,-121.22773,20=E;1=E,,,,912.9713;Rcba1d90c8662ef41, O1 L3 Drainage:3km2 AvgFlow:1cfs AvgPrecip:600mm AvgTemp:17C
CDEC:AHD,ARROYO HONDO NR SAN JOSE CA,37.46161,-121.76939,1=E,,USGS:11173200,,237.2241;R448b701dacc3e541,Arroyo Hondo O4 L3 Drainage:203km2 AvgFlow:59cfs AvgPrecip:659mm AvgTemp:15C
CDEC:AHZ,AMERICAN R AT HAZEL AVE BRIDGE,38.63600,-121.22400,25=E,,,,424.0627;R8d97220ffd4be541, O6 L2 Drainage:4921km2 AvgFlow:4844cfs AvgPrecip:615mm AvgTemp:17C
CDEC:ALN,ALAMEDA CK NR NILES,37.58716,-121.96079,20=E;1=E;25=E,,,,25.3119;Rd578416ce59adb41,Alameda Creek O5 L1 Drainage:1643km2 AvgFlow:147cfs AvgPrecip:574mm AvgTemp:15C
CDEC:AMC,ARCADE CREEK AT WINDING WAY,38.64500,-121.34700,1=E,,,,755.8298;R85ebb1a3206dd541,Arcade Creek O3 L4 Drainage:69km2 AvgFlow:15cfs AvgPrecip:575mm AvgTemp:17C
CDEC:AMK,AMERICAN SF NR KYBURZ,38.76400,-120.32500,20=H;1=H,,,,924.9786;Rc97672b50132e841,South Fork American River O3 L3 Drainage:201km2 AvgFlow:192cfs AvgPrecip:1415mm AvgTemp:11C
CDEC:AMR,MRECED R AT AMSTERDAM RD,37.46806,-120.53889,1=E,,,,717.6454;R4a0c3a0b2848eb41,Merced River O5 L2 Drainage:2840km2 AvgFlow:1396cfs AvgPrecip:322mm AvgTemp:17C
CDEC:AMW,KINGS RIVER BELOW ARMY WEIR,36.38600,-119.78700,20=H;1=H,,,,373.3726;Rac1c5e708e5fe541,Kings River O6 L4 Drainage:4902km2 AvgFlow:2465cfs AvgPrecip:208mm AvgTemp:17C
CDEC:ANC,ANTIOCH (USBR),38.00400,-121.80400,25=H,,,,,
CDEC:AND,SACRAMENTO RIVER AT ANDERSON,40.47133,-122.29536,25=E,,,,612.4158;R310818288c20e941,Sacramento River O6 L1 Drainage:16315km2 AvgFlow:10647cfs AvgPrecip:853mm AvgTemp:17C
