DATE,FLOW,STAGE,TEMP,VDATE
2012-01-01,4.91,,,43134.9269
2012-01-02,4.74,,,43133.9269
2012-01-03,4.78,,,43132.9269
2012-01-04,9.24,,,43131.9269
2012-01-05,11.4,,,43130.9269
2012-01-06,9.51,,,43129.9269
2012-01-07,8.54,,,43128.9269
2012-01-08,7.83,,,43127.9269
2012-01-09,8.13,,,43126.9269
2012-01-10,7.86,,,43125.9269
2012-01-11,7.2,,,43124.9269
2012-01-12,6.73,,,43123.9269
2012-01-13,6.35,,,43122.9269
2012-01-14,6.06,,,43121.9269
2012-01-15,5.62,,,43120.9269
2012-01-16,5.27,,,43119.9269
2012-01-17,4.99,,,43118.9269
2012-01-18,4.88,,,43117.9269
2012-01-19,4.83,,,43116.9269
2012-01-20,4.81,,,43115.9269
2012-01-21,4.74,,,43114.9269
2012-01-22,4.61,,,43113.9269
2012-01-23,4.58,,,43112.9269
2012-01-24,4.57,,,43111.9269
2012-01-25,4.61,,,43110.9269
2012-01-26,4.44,,,43109.9269
2012-01-27,4.26,,,43108.9269
2012-01-28,4.12,,,43107.9269
2012-01-29,4.26,,,43106.9269
2012-01-30,4.21,,,43105.9269
2012-01-31,4.14,,,43104.9269
2012-02-01,4.11,,,43103.9269
2012-02-02,3.98,,,43102.9269
2012-02-03,3.87,,,43101.9269
2012-02-04,3.77,,,43100.9269
2012-02-05,3.67,,,43099.9269
2012-02-06,3.58,,,43098.9269
2012-02-07,3.5,,,43097.9269
2012-02-08,3.44,,,43096.9269
2012-02-09,3.41,,,43095.9269
2012-02-10,3.44,,,43094.9269
2012-02-11,3.51,,,43093.9269
2012-02-12,3.57,,,43092.9269
2012-02-13,3.57,,,43091.9269
2012-02-14,3.51,,,43090.9269
2012-02-15,3.45,,,43089.9269
2012-02-16,3.47,,,43088.9269
2012-02-17,3.46,,,43087.9269
2012-02-18,3.59,,,43086.9269
2012-02-19,3.53,,,43085.9269
2012-02-20,3.47,,,43084.9269
2012-02-21,3.44,,,43083.9269
2012-02-22,3.47,,,43082.9269
2012-02-23,3.38,,,43081.9269
2012-02-24,3.42,,,43080.9269
2012-02-25,3.51,,,43079.9269
2012-02-26,3.42,,,43078.9269
2012-02-27,3.31,,,43077.9269
2012-02-28,3.26,,,43076.9269
2012-03-01,3.2,,,43074.9269
2012-03-02,3.12,,,43073.9269
2012-03-03,3.11,,,43072.9269
2012-03-04,3.22,,,43071.9269
2012-03-05,3.5,,,43070.9269
2012-03-06,3.36,,,43069.9269
2012-03-07,3.23,,,43068.9269
2012-03-08,3.17,,,43067.9269
2012-03-09,3.22,,,43066.9269
2012-03-10,3.32,,,43065.9269
2012-03-11,3.37,,,43064.9269
2012-03-12,3.48,,,43063.9269
2012-03-13,3.57,,,43062.9269
2012-03-14,3.48,,,43061.9269
2012-03-15,3.7,,,43060.9269
2012-03-16,3.86,,,43059.9269
2012-03-17,3.71,,,43058.9269
2012-03-18,3.56,,,43057.9269
2012-03-19,3.41,,,43056.9269
2012-03-20,3.36,,,43055.9269
2012-03-21,3.27,,,43054.9269
2012-03-22,3.14,,,43053.9269
2012-03-23,3.06,,,43052.9269
2012-03-24,2.98,,,43051.9269
2012-03-25,2.92,,,43050.9269
2012-03-26,2.86,,,43049.9269
2012-03-27,2.84,,,43048.9269
2012-03-28,3.34,,,43047.9269
2012-03-29,3.95,,,43046.9269
2012-03-30,3.95,,,43045.9269
2012-03-31,3.79,,,43044.9269
2012-04-01,3.75,,,43043.9269
2012-04-02,3.6,,,43042.9269
2012-04-03,4.31,,,43041.9269
2012-04-04,4.54,,,43040.9269
2012-04-05,4.29,,,43039.9269
2012-04-06,4.07,,,43038.9269
2012-04-07,3.91,,,43037.9269
2012-04-08,3.79,,,43036.9269
2012-04-09,3.8,,,43035.9269
2012-04-10,4.02,,,43034.9269
2012-04-11,4.46,,,43033.9269
2012-04-12,5.07,,,43032.9269
2012-04-13,5.53,,,43031.9269
2012-04-14,5.92,,,43030.9269
2012-04-15,6.24,,,43029.9269
2012-04-16,6.43,,,43028.9269
2012-04-17,6.58,,,43027.9269
2012-04-18,6.5,,,43026.9269
2012-04-19,6.49,,,43025.9269
2012-04-20,7.09,,,43024.9269
2012-04-21,7.06,,,43023.9269
2012-04-22,7.17,,,43022.9269
2012-04-23,10.1,,,43021.9269
2012-04-24,13.7,,,43020.9269
2012-04-25,20.2,,,43019.9269
2012-04-26,32,,,43018.9269
2012-04-27,31.2,,,43017.9269
2012-04-28,25.3,,,43016.9269
2012-04-29,21.6,,,43015.9269
2012-04-30,19.9,,,43014.9269
2012-05-01,18.6,,,43013.9269
2012-05-02,16.7,,,43012.9269
2012-05-03,15,,,43011.9269
2012-05-04,13.9,,,43010.9269
2012-05-05,13.1,,,43009.9269
2012-05-06,12.3,,,43008.9269
2012-05-07,12.1,,,43007.9269
2012-05-08,13.1,,,43006.9269
2012-05-09,14.3,,,43005.9269
2012-05-10,13.9,,,43004.9269
2012-05-11,13.3,,,43003.9269
2012-05-12,13.1,,,43002.9269
2012-05-13,14.1,,,43001.9269
2012-05-14,17.2,,,43000.9269
2012-05-15,22.4,,,42999.9269
2012-05-16,27,,,42998.9269
2012-05-17,28.2,,,42997.9269
2012-05-18,26.4,,,42996.9269
2012-05-19,24.1,,,42995.9269
2012-05-20,22.8,,,42994.9269
2012-05-21,23.9,,,42993.9269
2012-05-22,29.6,,,42992.9269
2012-05-23,28.3,,,42991.9269
2012-05-24,25.8,,,42990.9269
2012-05-25,24.2,,,42989.9269
2012-05-26,24.8,,,42988.9269
2012-05-27,27.5,,,42987.9269
2012-05-28,29.6,,,42986.9269
2012-05-29,29.2,,,42985.9269
2012-05-30,27.5,,,42984.9269
2012-05-31,27.6,,,42983.9269
2012-06-01,34.9,,,42982.9269
2012-06-02,41.1,,,42981.9269
2012-06-03,38.1,,,42980.9269
2012-06-04,32.7,,,42979.9269
2012-06-05,29.4,,,42978.9269
2012-06-06,28.7,,,42977.9269
2012-06-07,27.9,,,42976.9269
2012-06-08,26.8,,,42975.9269
2012-06-09,25.5,,,42974.9269
2012-06-10,25.7,,,42973.9269
2012-06-11,27.3,,,42972.9269
2012-06-12,32.1,,,42971.9269
2012-06-13,39.1,,,42970.9269
2012-06-14,41.6,,,42969.9269
2012-06-15,38.9,,,42968.9269
2012-06-16,39.8,,,42967.9269
2012-06-17,54.6,,,42966.9269
2012-06-18,58,,,42965.9269
2012-06-19,51.5,,,42964.9269
2012-06-20,45.6,,,42963.9269
2012-06-21,45.6,,,42962.9269
2012-06-22,51.4,,,42961.9269
2012-06-23,60.6,,,42960.9269
2012-06-24,63.8,,,42959.9269
2012-06-25,57.2,,,42958.9269
2012-06-26,51.2,,,42957.9269
2012-06-27,47.1,,,42956.9269
2012-06-28,46.3,,,42955.9269
2012-06-29,49.2,,,42954.9269
2012-06-30,58.8,,,42953.9269
2012-07-01,65.6,,,42952.9269
2012-07-02,59.6,,,42951.9269
2012-07-03,53.9,,,42950.9269
2012-07-04,48.7,,,42949.9269
2012-07-05,46.7,,,42948.9269
2012-07-06,44.6,,,42947.9269
2012-07-07,46.4,,,42946.9269
2012-07-08,50.9,,,42945.9269
2012-07-09,60.4,,,42944.9269
2012-07-10,70,,,42943.9269
2012-07-11,68.6,,,42942.9269
2012-07-12,65.7,,,42941.9269
2012-07-13,65.7,,,42940.9269
2012-07-14,70.4,,,42939.9269
