DATE,FLOW,STAGE,TEMP,VDATE
2012-01-01,0.176,0.421,,43134.4946
2012-01-02,0.172,0.417,,43133.4946
2012-01-03,0.881,0.564,,43132.4946
2012-01-04,3.82,0.797,,43131.4946
2012-01-05,0.952,0.6,,43130.4946
2012-01-06,0.407,0.505,,43129.4946
2012-01-07,0.244,0.453,,43128.4946
2012-01-08,0.267,0.464,,43127.4946
2012-01-09,0.272,0.464,,43126.4946
2012-01-10,0.194,0.43,,43125.4946
2012-01-11,0.153,0.408,,43124.4946
2012-01-12,0.126,0.393,,43123.4946
2012-01-13,0.11,0.383,,43122.4946
2012-01-14,0.098,0.375,,43121.4946
2012-01-15,0.087,0.368,,43120.4946
2012-01-16,0.079,0.363,,43119.4946
2012-01-17,0.072,0.358,,43118.4946
2012-01-18,0.067,0.355,,43117.4946
2012-01-19,0.064,0.352,,43116.4946
2012-01-20,0.147,0.391,,43115.4946
2012-01-21,0.529,0.531,,43114.4946
2012-01-22,0.247,0.452,,43113.4946
2012-01-23,0.236,0.45,,43112.4946
2012-01-24,1.34,0.562,,43111.4946
2012-01-25,0.924,0.568,,43110.4946
2012-01-26,0.455,0.488,,43109.4946
2012-01-27,0.252,0.434,,43108.4946
2012-01-28,0.189,0.41,,43107.4946
2012-01-29,1.31,0.623,,43106.4946
2012-01-30,0.626,0.522,,43105.4946
2012-01-31,0.844,0.56,,43104.4946
2012-02-01,0.694,0.533,,43103.4946
2012-02-02,0.326,0.458,,43102.4946
2012-02-03,0.234,0.427,,43101.4946
2012-02-04,0.183,0.407,,43100.4946
2012-02-05,0.15,0.393,,43099.4946
2012-02-06,0.132,0.385,,43098.4946
2012-02-07,0.118,0.378,,43097.4946
2012-02-08,0.147,0.391,,43096.4946
2012-02-09,0.4,0.465,,43095.4946
2012-02-10,0.346,0.464,,43094.4946
2012-02-11,0.242,0.43,,43093.4946
2012-02-12,0.187,0.409,,43092.4946
2012-02-13,0.162,0.398,,43091.4946
2012-02-14,0.137,0.387,,43090.4946
2012-02-15,0.117,0.378,,43089.4946
2012-02-16,0.116,0.377,,43088.4946
2012-02-17,0.151,0.392,,43087.4946
2012-02-18,0.543,0.505,,43086.4946
2012-02-19,0.257,0.435,,43085.4946
2012-02-20,0.174,0.403,,43084.4946
2012-02-21,0.265,0.436,,43083.4946
2012-02-22,0.377,0.469,,43082.4946
2012-02-23,0.204,0.415,,43081.4946
2012-02-24,0.437,0.473,,43080.4946
2012-02-25,0.37,0.466,,43079.4946
2012-02-26,0.204,0.415,,43078.4946
2012-02-27,0.154,0.395,,43077.4946
2012-02-28,0.114,0.376,,43076.4946
2012-03-01,0.098,0.368,,43074.4946
2012-03-02,0.105,0.371,,43073.4946
2012-03-03,0.159,0.396,,43072.4946
2012-03-04,0.302,0.444,,43071.4946
2012-03-05,0.793,0.547,,43070.4946
2012-03-06,0.254,0.434,,43069.4946
