DATE,FLOW,STAGE,TEMP,VDATE
2011-01-01,21,,,43499.4897
2011-01-02,20,,,43498.4897
2011-01-03,19.2,,,43497.4897
2011-01-04,18.3,,,43496.4897
2011-01-05,18.3,,,43495.4897
2011-01-06,22.8,,,43494.4897
2011-01-07,31.5,,,43493.4897
2011-01-08,27.8,,,43492.4897
2011-01-09,24,,,43491.4897
2011-01-10,21.6,,,43490.4897
2011-01-11,20.4,,,43489.4897
2011-01-12,20.6,,,43488.4897
2011-01-13,22.2,,,43487.4897
2011-01-14,44,,,43486.4897
2011-01-15,48.2,,,43485.4897
2011-01-16,119,,,43484.4897
2011-01-17,143,,,43483.4897
2011-01-18,96,,,43482.4897
2011-01-19,76.9,,,43481.4897
2011-01-20,65.6,,,43480.4897
2011-01-21,61.1,,,43479.4897
2011-01-22,55.4,,,43478.4897
2011-01-23,49.5,,,43477.4897
2011-01-24,50.5,,,43476.4897
2011-01-25,50.9,,,43475.4897
2011-01-26,46,,,43474.4897
2011-01-27,42.6,,,43473.4897
2011-01-28,40.5,,,43472.4897
2011-01-29,41.2,,,43471.4897
2011-01-30,38,,,43470.4897
2011-01-31,34.8,,,43469.4897
2011-02-01,32.7,,,43468.4897
2011-02-02,31.1,,,43467.4897
2011-02-03,33.3,,,43466.4897
2011-02-04,57.1,,,43465.4897
2011-02-05,50.9,,,43464.4897
2011-02-06,44.2,,,43463.4897
2011-02-07,43,,,43462.4897
2011-02-08,39,,,43461.4897
2011-02-09,36.2,,,43460.4897
2011-02-10,34,,,43459.4897
2011-02-11,32.7,,,43458.4897
2011-02-12,33.4,,,43457.4897
2011-02-13,33.5,,,43456.4897
2011-02-14,32.9,,,43455.4897
2011-02-15,33.3,,,43454.4897
2011-02-16,31.3,,,43453.4897
2011-02-17,29.5,,,43452.4897
2011-02-18,27.8,,,43451.4897
2011-02-19,26.1,,,43450.4897
2011-02-20,24.5,,,43449.4897
2011-02-21,23.5,,,43448.4897
2011-02-22,22.6,,,43447.4897
2011-02-23,21.6,,,43446.4897
2011-02-24,20.1,,,43445.4897
2011-02-25,18.6,,,43444.4897
2011-02-26,18.1,,,43443.4897
2011-02-27,17.7,,,43442.4897
2011-02-28,17.2,,,43441.4897
2011-03-01,16.4,,,43440.4897
2011-03-02,15.9,,,43439.4897
2011-03-03,15.3,,,43438.4897
2011-03-04,14.6,,,43437.4897
2011-03-05,14.5,,,43436.4897
2011-03-06,13.7,,,43435.4897
2011-03-07,13,,,43434.4897
2011-03-08,12.5,,,43433.4897
2011-03-09,12.9,,,43432.4897
2011-03-10,15.2,,,43431.4897
2011-03-11,15.9,,,43430.4897
2011-03-12,15.9,,,43429.4897
2011-03-13,16.8,,,43428.4897
2011-03-14,19.7,,,43427.4897
2011-03-15,20.3,,,43426.4897
2011-03-16,22,,,43425.4897
2011-03-17,21.1,,,43424.4897
2011-03-18,20.1,,,43423.4897
2011-03-19,19.4,,,43422.4897
2011-03-20,18.3,,,43421.4897
2011-03-21,17.6,,,43420.4897
2011-03-22,17.1,,,43419.4897
2011-03-23,16.2,,,43418.4897
2011-03-24,15.7,,,43417.4897
2011-03-25,15.3,,,43416.4897
2011-03-26,14.8,,,43415.4897
2011-03-27,14.4,,,43414.4897
2011-03-28,14.2,,,43413.4897
2011-03-29,14.4,,,43412.4897
2011-03-30,24.2,,,43411.4897
2011-03-31,48.1,,,43410.4897
2011-04-01,36.8,,,43409.4897
2011-04-02,31.8,,,43408.4897
2011-04-03,29,,,43407.4897
2011-04-04,28.4,,,43406.4897
2011-04-05,27.7,,,43405.4897
2011-04-06,26.7,,,43404.4897
2011-04-07,25,,,43403.4897
2011-04-08,23.5,,,43402.4897
2011-04-09,22.3,,,43401.4897
2011-04-10,21.5,,,43400.4897
2011-04-11,22.5,,,43399.4897
2011-04-12,21.3,,,43398.4897
2011-04-13,20.6,,,43397.4897
2011-04-14,20.2,,,43396.4897
2011-04-15,19.4,,,43395.4897
2011-04-16,18.9,,,43394.4897
2011-04-17,18.2,,,43393.4897
2011-04-18,17.5,,,43392.4897
2011-04-19,16.7,,,43391.4897
2011-04-20,15.9,,,43390.4897
2011-04-21,15.3,,,43389.4897
2011-04-22,14.6,,,43388.4897
2011-04-23,14.4,,,43387.4897
2011-04-24,14.6,,,43386.4897
2011-04-25,15.6,,,43385.4897
2011-04-26,16.3,,,43384.4897
2011-04-27,16.2,,,43383.4897
2011-04-28,16.4,,,43382.4897
2011-04-29,15.7,,,43381.4897
2011-04-30,15.2,,,43380.4897
2011-05-01,15.1,,,43379.4897
2011-05-02,16.5,,,43378.4897
2011-05-03,17.4,,,43377.4897
2011-05-04,17.3,,,43376.4897
2011-05-05,19.4,,,43375.4897
2011-05-06,21.2,,,43374.4897
2011-05-07,23,,,43373.4897
2011-05-08,23.2,,,43372.4897
2011-05-09,22.9,,,43371.4897
2011-05-10,24.7,,,43370.4897
2011-05-11,35,,,43369.4897
