DATE,FLOW,STAGE,TEMP,VDATE
2005-09-30,3,,,45418.4409
2005-10-01,3,,,45417.4409
2005-10-02,9,,,45416.4409
2005-10-03,14,,,45415.4409
2005-10-04,12,,,45414.4409
2005-10-05,7,,,45413.4409
2005-10-06,6,,,45412.4409
2005-10-07,5,,,45411.4409
2005-10-08,3,,,45410.4409
2005-10-09,3,,,45409.4409
2005-10-10,3,,,45408.4409
2005-10-11,2,,,45407.4409
2005-10-12,2,,,45406.4409
2005-10-13,2,,,45405.4409
2005-10-14,1,,,45404.4409
2005-10-15,1,,,45403.4409
2005-10-16,1,,,45402.4409
2005-10-17,2,,,45401.4409
2005-10-18,3,,,45400.4409
2005-10-19,4,,,45399.4409
2005-10-20,3,,,45398.4409
2005-10-21,3,,,45397.4409
2005-10-22,3,,,45396.4409
2005-10-23,3,,,45395.4409
2005-10-24,3,,,45394.4409
2005-10-25,5,,,45393.4409
2005-10-26,7,,,45392.4409
2005-10-27,16,,,45391.4409
2005-10-28,6,,,45390.4409
2005-10-29,4,,,45389.4409
2005-10-30,4,,,45388.4409
2005-10-31,4,,,45387.4409
2005-11-01,2,,,45386.4409
2005-11-02,1,,,45385.4409
2005-11-03,1,,,45384.4409
2005-11-04,0,,,45383.4409
2005-11-05,0,,,45382.4409
2005-11-06,0,,,45381.4409
2005-11-07,0,,,45380.4409
2005-11-08,2,,,45379.4409
2005-11-09,1,,,45378.4409
2005-11-10,1,,,45377.4409
2005-11-11,1,,,45376.4409
2005-11-12,1,,,45375.4409
2005-11-13,1,,,45374.4409
2005-11-14,1,,,45373.4409
2005-11-15,1,,,45372.4409
2005-11-16,6,,,45371.4409
2005-11-17,1,,,45370.4409
2005-11-18,1,,,45369.4409
2005-11-19,1,,,45368.4409
2005-11-20,0,,,45367.4409
2005-11-21,1,,,45366.4409
2005-11-22,1,,,45365.4409
2005-11-23,1,,,45364.4409
2005-11-24,1,,,45363.4409
2005-11-25,0,,,45362.4409
2005-11-26,0,,,45361.4409
2005-11-27,0,,,45360.4409
2005-11-28,0,,,45359.4409
2005-11-29,0,,,45358.4409
2005-11-30,0,,,45357.4409
2005-12-01,0,,,45356.4409
2005-12-02,1,,,45355.4409
2005-12-03,1,,,45354.4409
2005-12-04,0,,,45353.4409
2005-12-05,0,,,45352.4409
2005-12-06,0,,,45351.4409
2005-12-07,0,,,45350.4409
2005-12-08,0,,,45349.4409
2005-12-09,0,,,45348.4409
2005-12-10,0,,,45347.4409
2005-12-11,0,,,45346.4409
2005-12-12,0,,,45345.4409
2005-12-13,0,,,45344.4409
2005-12-14,0,,,45343.4409
2005-12-15,0,,,45342.4409
2005-12-16,0,,,45341.4409
2005-12-17,0,,,45340.4409
2005-12-18,0,,,45339.4409
2005-12-19,0,,,45338.4409
2005-12-20,0,,,45337.4409
2005-12-21,0,,,45336.4409
2005-12-22,0,,,45335.4409
2005-12-23,0,,,45334.4409
2005-12-24,0,,,45333.4409
2005-12-25,0,,,45332.4409
2005-12-26,127,,,45331.4409
2005-12-27,69,,,45330.4409
2005-12-28,44,,,45329.4409
2005-12-29,50,,,45328.4409
2005-12-30,45,,,45327.4409
2005-12-31,165,,,45326.4409
2006-01-01,125,,,45325.4409
2006-01-02,2057,,,45324.4409
2006-01-03,1099,,,45323.4409
2006-01-04,235,,,45322.4409
2006-01-05,117,,,45321.4409
2006-01-06,102,,,45320.4409
2006-01-07,113,,,45319.4409
2006-01-08,115,,,45318.4409
2006-01-09,88,,,45317.4409
2006-01-10,24,,,45316.4409
2006-01-11,1,,,45315.4409
2006-01-12,1,,,45314.4409
2006-01-13,1,,,45313.4409
2006-01-14,1,,,45312.4409
2006-01-15,21,,,45311.4409
2006-01-16,2,,,45310.4409
2006-01-17,1,,,45309.4409
2006-01-18,2,,,45308.4409
2006-01-19,41,,,45307.4409
2006-01-20,5,,,45306.4409
2006-01-21,2,,,45305.4409
2006-01-22,1,,,45304.4409
2006-01-23,1,,,45303.4409
2006-01-24,1,,,45302.4409
2006-01-25,0,,,45301.4409
2006-01-26,0,,,45300.4409
2006-01-27,0,,,45299.4409
2006-01-28,0,,,45298.4409
2006-01-29,0,,,45297.4409
2006-01-30,0,,,45296.4409
2006-01-31,0,,,45295.4409
2006-02-01,0,,,45294.4409
2006-02-02,0,,,45293.4409
2006-02-03,0,,,45292.4409
2006-02-04,0,,,45291.4409
2006-02-05,0,,,45290.4409
2006-02-06,0,,,45289.4409
2006-02-07,0,,,45288.4409
2006-02-08,1,,,45287.4409
2006-02-09,1,,,45286.4409
2006-02-10,1,,,45285.4409
2006-02-11,1,,,45284.4409
2006-02-12,1,,,45283.4409
