DATE,FLOW,STAGE,TEMP,VDATE
2005-09-30,2.6,,,45418.4409
2005-10-01,3.1,,,45417.4409
2005-10-02,3.9,,,45416.4409
2005-10-03,3.7,,,45415.4409
2005-10-04,3.5,,,45414.4409
2005-10-05,3.5,,,45413.4409
2005-10-06,3.5,,,45412.4409
2005-10-07,3.7,,,45411.4409
2005-10-08,4.2,,,45410.4409
2005-10-09,5,,,45409.4409
2005-10-10,6.1,,,45408.4409
2005-10-11,7.3,,,45407.4409
2005-10-12,8.2,,,45406.4409
2005-10-13,8.7,,,45405.4409
2005-10-14,9.3,,,45404.4409
2005-10-15,5.1,,,45403.4409
2005-10-16,3.9,,,45402.4409
2005-10-17,3.9,,,45401.4409
2005-10-18,3.9,,,45400.4409
2005-10-19,4,,,45399.4409
2005-10-20,4.2,,,45398.4409
2005-10-21,4.3,,,45397.4409
2005-10-22,4.6,,,45396.4409
2005-10-23,4.8,,,45395.4409
2005-10-24,4.9,,,45394.4409
2005-10-25,4.9,,,45393.4409
2005-10-26,5,,,45392.4409
2005-10-27,5.8,,,45391.4409
2005-10-28,6.7,,,45390.4409
2005-10-29,7.4,,,45389.4409
2005-10-30,5.1,,,45388.4409
2005-10-31,4.2,,,45387.4409
2005-11-01,4.2,,,45386.4409
2005-11-02,4.2,,,45385.4409
2005-11-03,4.2,,,45384.4409
2005-11-04,4.2,,,45383.4409
2005-11-05,4.2,,,45382.4409
2005-11-06,4.2,,,45381.4409
2005-11-07,7,,,45380.4409
2005-11-08,8.3,,,45379.4409
2005-11-09,8.6,,,45378.4409
2005-11-10,8.7,,,45377.4409
2005-11-11,8.8,,,45376.4409
2005-11-12,8.9,,,45375.4409
2005-11-13,8.9,,,45374.4409
2005-11-14,8.9,,,45373.4409
2005-11-15,9.1,,,45372.4409
2005-11-16,9.2,,,45371.4409
2005-11-17,9.4,,,45370.4409
2005-11-18,9.5,,,45369.4409
2005-11-19,10,,,45368.4409
2005-11-20,10,,,45367.4409
2005-11-21,11,,,45366.4409
2005-11-22,11,,,45365.4409
2005-11-23,11,,,45364.4409
2005-11-24,9.7,,,45363.4409
2005-11-25,8.7,,,45362.4409
2005-11-26,8.7,,,45361.4409
2005-11-27,8.7,,,45360.4409
2005-11-28,8.7,,,45359.4409
2005-11-29,8.7,,,45358.4409
2005-11-30,12,,,45357.4409
2005-12-01,14,,,45356.4409
2005-12-02,17,,,45355.4409
2005-12-03,16,,,45354.4409
2005-12-04,11,,,45353.4409
2005-12-05,9.2,,,45352.4409
2005-12-06,8.2,,,45351.4409
2005-12-07,7.5,,,45350.4409
2005-12-08,7.3,,,45349.4409
2005-12-09,8.4,,,45348.4409
2005-12-10,12,,,45347.4409
2005-12-11,13,,,45346.4409
2005-12-12,13,,,45345.4409
2005-12-13,13,,,45344.4409
2005-12-14,13,,,45343.4409
2005-12-15,13,,,45342.4409
2005-12-16,13,,,45341.4409
2005-12-17,13,,,45340.4409
2005-12-18,16,,,45339.4409
2005-12-19,26,,,45338.4409
2005-12-20,30,,,45337.4409
2005-12-21,32,,,45336.4409
2005-12-22,32,,,45335.4409
2005-12-23,32,,,45334.4409
2005-12-24,32,,,45333.4409
2005-12-25,32,,,45332.4409
2005-12-26,32,,,45331.4409
2005-12-27,32,,,45330.4409
2005-12-28,32,,,45329.4409
2005-12-29,31,,,45328.4409
2005-12-30,31,,,45327.4409
2005-12-31,31,,,45326.4409
2006-01-01,31,,,45325.4409
2006-01-02,31,,,45324.4409
2006-01-03,296,,,45323.4409
2006-01-04,393,,,45322.4409
2006-01-05,109,,,45321.4409
2006-01-06,83,,,45320.4409
2006-01-07,72,,,45319.4409
2006-01-08,64,,,45318.4409
2006-01-09,42,,,45317.4409
2006-01-10,20,,,45316.4409
2006-01-11,17,,,45315.4409
2006-01-12,16,,,45314.4409
2006-01-13,15,,,45313.4409
2006-01-14,15,,,45312.4409
2006-01-15,117,,,45311.4409
2006-01-16,59,,,45310.4409
2006-01-17,38,,,45309.4409
2006-01-18,62,,,45308.4409
2006-01-19,127,,,45307.4409
2006-01-20,67,,,45306.4409
2006-01-21,45,,,45305.4409
2006-01-22,36,,,45304.4409
2006-01-23,30,,,45303.4409
2006-01-24,25,,,45302.4409
2006-01-25,22,,,45301.4409
2006-01-26,19,,,45300.4409
2006-01-27,17,,,45299.4409
2006-01-28,16,,,45298.4409
2006-01-29,15,,,45297.4409
2006-01-30,15,,,45296.4409
2006-01-31,15,,,45295.4409
2006-02-01,18,,,45294.4409
2006-02-02,16,,,45293.4409
2006-02-03,15,,,45292.4409
2006-02-04,14,,,45291.4409
2006-02-05,14,,,45290.4409
2006-02-06,13,,,45289.4409
2006-02-07,13,,,45288.4409
2006-02-08,12,,,45287.4409
2006-02-09,12,,,45286.4409
2006-02-10,12,,,45285.4409
2006-02-11,12,,,45284.4409
2006-02-12,11,,,45283.4409
2006-02-13,11,,,45282.4409
2006-02-14,11,,,45281.4409
2006-02-15,11,,,45280.4409
2006-02-16,11,,,45279.4409
2006-02-17,11,,,45278.4409
2006-02-18,11,,,45277.4409
2006-02-19,12,,,45276.4409
2006-02-20,14,,,45275.4409
2006-02-21,14,,,45274.4409
2006-02-22,13,,,45273.4409
2006-02-23,12,,,45272.4409
2006-02-24,12,,,45271.4409
2006-02-25,11,,,45270.4409
2006-02-26,11,,,45269.4409
2006-02-27,13,,,45268.4409
2006-02-28,83,,,45267.4409
2006-03-01,71,,,45266.4409
2006-03-02,38,,,45265.4409
2006-03-03,99,,,45264.4409
2006-03-04,174,,,45263.4409
2006-03-05,73,,,45262.4409
2006-03-06,154,,,45261.4409
2006-03-07,158,,,45260.4409
2006-03-08,82,,,45259.4409
2006-03-09,57,,,45258.4409
2006-03-10,52,,,45257.4409
2006-03-11,67,,,45256.4409
2006-03-12,94,,,45255.4409
2006-03-13,89,,,45254.4409
2006-03-14,123,,,45253.4409
2006-03-15,202,,,45252.4409
2006-03-16,87,,,45251.4409
2006-03-17,128,,,45250.4409
2006-03-18,282,,,45249.4409
2006-03-19,121,,,45248.4409
2006-03-20,129,,,45247.4409
2006-03-21,317,,,45246.4409
2006-03-22,139,,,45245.4409
2006-03-23,88,,,45244.4409
2006-03-24,66,,,45243.4409
2006-03-25,181,,,45242.4409
2006-03-26,247,,,45241.4409
2006-03-27,109,,,45240.4409
2006-03-28,253,,,45239.4409
