DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,0,,,44687.8974
2007-10-01,0,,,44686.8974
2007-10-02,0,,,44685.8974
2007-10-03,0,,,44684.8974
2007-10-04,0,,,44683.8974
2007-10-05,0,,,44682.8974
2007-10-06,0,,,44681.8974
2007-10-07,0,,,44680.8974
2007-10-08,0,,,44679.8974
2007-10-09,0,,,44678.8974
2007-10-10,0,,,44677.8974
2007-10-11,0,,,44676.8974
2007-10-12,0,,,44675.8974
2007-10-13,0,,,44674.8974
2007-10-14,0,,,44673.8974
2007-10-15,0,,,44672.8974
2007-10-16,0,,,44671.8974
2007-10-17,0,,,44670.8974
2007-10-18,0,,,44669.8974
2007-10-19,0,,,44668.8974
2007-10-20,0,,,44667.8974
2007-10-21,0,,,44666.8974
2007-10-22,0,,,44665.8974
2007-10-23,0,,,44664.8974
2007-10-24,0,,,44663.8974
2007-10-25,0,,,44662.8974
2007-10-26,0,,,44661.8974
2007-10-27,0,,,44660.8974
2007-10-28,0,,,44659.8974
2007-10-29,0,,,44658.8974
2007-10-30,0,,,44657.8974
2007-10-31,0,,,44656.8974
2007-11-01,0,,,44655.8974
2007-11-02,0,,,44654.8974
2007-11-03,0,,,44653.8974
2007-11-04,0,,,44652.8974
2007-11-05,0,,,44651.8974
2007-11-06,0,,,44650.8974
2007-11-07,0,,,44649.8974
2007-11-08,0,,,44648.8974
2007-11-09,0,,,44647.8974
2007-11-10,0,,,44646.8974
2007-11-11,0,,,44645.8974
2007-11-12,0,,,44644.8974
2007-11-13,0,,,44643.8974
2007-11-14,0,,,44642.8974
2007-11-15,0,,,44641.8974
2007-11-16,0,,,44640.8974
2007-11-17,0,,,44639.8974
2007-11-18,0,,,44638.8974
2007-11-19,0,,,44637.8974
2007-11-20,0,,,44636.8974
2007-11-21,0,,,44635.8974
2007-11-22,0,,,44634.8974
2007-11-23,0,,,44633.8974
2007-11-24,0,,,44632.8974
2007-11-25,0,,,44631.8974
2007-11-26,0,,,44630.8974
2007-11-27,0,,,44629.8974
2007-11-28,0,,,44628.8974
2007-11-29,0,,,44627.8974
2007-11-30,0,,,44626.8974
2007-12-01,0,,,44625.8974
2007-12-02,0,,,44624.8974
2007-12-03,0,,,44623.8974
2007-12-04,0,,,44622.8974
2007-12-05,0,,,44621.8974
2007-12-06,0,,,44620.8974
2007-12-07,0,,,44619.8974
2007-12-08,0,,,44618.8974
2007-12-09,0,,,44617.8974
2007-12-10,0,,,44616.8974
2007-12-11,0,,,44615.8974
2007-12-12,0,,,44614.8974
2007-12-13,0,,,44613.8974
2007-12-14,0,,,44612.8974
2007-12-15,0,,,44611.8974
2007-12-16,0,,,44610.8974
2007-12-17,0,,,44609.8974
2007-12-18,0,,,44608.8974
2007-12-19,0,,,44607.8974
2007-12-20,0,,,44606.8974
2007-12-21,0,,,44605.8974
2007-12-22,0,,,44604.8974
2007-12-23,0,,,44603.8974
2007-12-24,0,,,44602.8974
2007-12-25,0,,,44601.8974
2007-12-26,0,,,44600.8974
2007-12-27,0,,,44599.8974
2007-12-28,0,,,44598.8974
2007-12-29,0,,,44597.8974
2007-12-30,0,,,44596.8974
2007-12-31,0,,,44595.8974
2008-01-01,0,,,44594.8974
2008-01-02,0,,,44593.8974
2008-01-03,0,,,44592.8974
2008-01-04,0,,,44591.8974
2008-01-05,0,,,44590.8974
2008-01-06,0,,,44589.8974
2008-01-07,0,,,44588.8974
2008-01-08,0,,,44587.8974
2008-01-09,0,,,44586.8974
2008-01-10,0,,,44585.8974
2008-01-11,0,,,44584.8974
2008-01-12,0,,,44583.8974
2008-01-13,0,,,44582.8974
2008-01-14,0,,,44581.8974
2008-01-15,0,,,44580.8974
2008-01-16,0,,,44579.8974
2008-01-17,0,,,44578.8974
2008-01-18,0,,,44577.8974
2008-01-19,0,,,44576.8974
2008-01-20,0,,,44575.8974
2008-01-21,0,,,44574.8974
2008-01-22,0,,,44573.8974
2008-01-23,0,,,44572.8974
2008-01-24,0,,,44571.8974
2008-01-25,0,,,44570.8974
2008-01-26,0,,,44569.8974
2008-01-27,0,,,44568.8974
2008-01-28,0,,,44567.8974
2008-01-29,0,,,44566.8974
2008-01-30,0,,,44565.8974
2008-01-31,0,,,44564.8974
2008-02-01,0,,,44563.8974
2008-02-02,0,,,44562.8974
2008-02-03,63,,,44561.8974
2008-02-04,66,,,44560.8974
2008-02-05,7,,,44559.8974
2008-02-06,17,,,44558.8974
2008-02-07,3,,,44557.8974
2008-02-08,,,,42020.4487
2008-02-09,,,,42020.4487
2008-02-10,9,,,44554.8974
2008-02-11,8,,,44553.8974
2008-02-12,3,,,44552.8974
2008-02-13,1,,,44551.8974
2008-02-14,,,,42020.4487
2008-02-15,,,,42020.4487
2008-02-16,,,,42020.4487
2008-02-17,,,,42020.4487
2008-02-18,,,,42020.4487
2008-02-19,,,,42020.4487
2008-02-20,6,,,44544.8974
2008-02-21,2,,,44543.8974
2008-02-22,9,,,44542.8974
2008-02-23,51,,,44541.8974
2008-02-24,85,,,44540.8974
2008-02-25,67,,,44539.8974
2008-02-26,40,,,44538.8974
2008-02-27,16,,,44537.8974
2008-02-28,,,,42020.4487
2008-03-01,3,,,44534.8974
2008-03-02,,,,42020.4487
2008-03-03,1,,,44532.8974
2008-03-04,1,,,44531.8974
2008-03-05,1,,,44530.8974
2008-03-06,0,,,44529.8974
2008-03-07,,,,42020.4487
2008-03-08,,,,42020.4487
2008-03-09,,,,42020.4487
2008-03-10,,,,42020.4487
2008-03-11,,,,42020.4487
2008-03-12,,,,42020.4487
2008-03-13,,,,42020.4487
2008-03-14,,,,42020.4487
2008-03-15,2,,,44520.8974
2008-03-16,,,,42020.4487
2008-03-17,,,,42020.4487
