DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,241,,,44688.1022
2007-10-01,234,,,44687.1022
2007-10-02,250,,,44686.1022
2007-10-03,235,,,44685.1022
2007-10-04,112,,,44684.1022
2007-10-05,33,,,44683.1022
2007-10-06,32,,,44682.1022
2007-10-07,32,,,44681.1022
2007-10-08,127,,,44680.1022
2007-10-09,168,,,44679.1022
2007-10-10,94,,,44678.1022
2007-10-11,28.4,,,44677.1022
2007-10-12,18,,,44676.1022
2007-10-13,16,,,44675.1022
2007-10-14,15,,,44674.1022
2007-10-15,15,,,44673.1022
2007-10-16,16,,,44672.1022
2007-10-17,15,,,44671.1022
2007-10-18,13,,,44670.1022
2007-10-19,14,,,44669.1022
2007-10-20,13,,,44668.1022
2007-10-21,13,,,44667.1022
2007-10-22,13,,,44666.1022
2007-10-23,19,,,44665.1022
2007-10-24,126,,,44664.1022
2007-10-25,205,,,44663.1022
2007-10-26,135,,,44662.1022
2007-10-27,33,,,44661.1022
2007-10-28,32,,,44660.1022
2007-10-29,195,,,44659.1022
2007-10-30,297,,,44658.1022
2007-10-31,267,,,44657.1022
2007-11-01,212,,,44656.1022
2007-11-02,104,,,44655.1022
2007-11-03,18,,,44654.1022
2007-11-04,15,,,44653.1022
2007-11-05,17,,,44652.1022
2007-11-06,19,,,44651.1022
2007-11-07,20,,,44650.1022
2007-11-08,20,,,44649.1022
2007-11-09,19,,,44648.1022
2007-11-10,18,,,44647.1022
2007-11-11,16,,,44646.1022
2007-11-12,13,,,44645.1022
2007-11-13,11,,,44644.1022
2007-11-14,17,,,44643.1022
2007-11-15,17,,,44642.1022
2007-11-16,15,,,44641.1022
2007-11-17,16,,,44640.1022
2007-11-18,15,,,44639.1022
2007-11-19,13,,,44638.1022
2007-11-20,12,,,44637.1022
2007-11-21,12,,,44636.1022
2007-11-22,12,,,44635.1022
2007-11-23,12,,,44634.1022
2007-11-24,13,,,44633.1022
2007-11-25,13,,,44632.1022
2007-11-26,17,,,44631.1022
2007-11-27,20,,,44630.1022
2007-11-28,20,,,44629.1022
2007-11-29,20,,,44628.1022
2007-11-30,20,,,44627.1022
2007-12-01,20,,,44626.1022
2007-12-02,20,,,44625.1022
2007-12-03,21,,,44624.1022
2007-12-04,18,,,44623.1022
2007-12-05,18,,,44622.1022
2007-12-06,17,,,44621.1022
2007-12-07,13,,,44620.1022
2007-12-08,14,,,44619.1022
2007-12-09,15,,,44618.1022
2007-12-10,16,,,44617.1022
2007-12-11,14,,,44616.1022
2007-12-12,13,,,44615.1022
2007-12-13,26,,,44614.1022
2007-12-14,34,,,44613.1022
2007-12-15,38,,,44612.1022
2007-12-16,38,,,44611.1022
2007-12-17,38,,,44610.1022
2007-12-18,39,,,44609.1022
2007-12-19,38,,,44608.1022
2007-12-20,38,,,44607.1022
2007-12-21,38,,,44606.1022
2007-12-22,38,,,44605.1022
2007-12-23,38,,,44604.1022
2007-12-24,38,,,44603.1022
2007-12-25,38,,,44602.1022
2007-12-26,38,,,44601.1022
2007-12-27,38,,,44600.1022
2007-12-28,38,,,44599.1022
2007-12-29,38,,,44598.1022
2007-12-30,38,,,44597.1022
2007-12-31,38,,,44596.1022
2008-01-01,38,,,44595.1022
2008-01-02,38,,,44594.1022
