DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,68,,,44688.1012
2007-10-01,65,,,44687.1012
2007-10-02,65,,,44686.1012
2007-10-03,75,,,44685.1012
2007-10-04,80,,,44684.1012
2007-10-05,80,,,44683.1012
2007-10-06,80,,,44682.1012
2007-10-07,90,,,44681.1012
2007-10-08,90,,,44680.1012
2007-10-09,90,,,44679.1012
2007-10-10,90,,,44678.1012
2007-10-11,105,,,44677.1012
2007-10-12,105,,,44676.1012
2007-10-13,105,,,44675.1012
2007-10-14,105,,,44674.1012
2007-10-15,105,,,44673.1012
2007-10-16,105,,,44672.1012
2007-10-17,105,,,44671.1012
2007-10-18,75,,,44670.1012
2007-10-19,75,,,44669.1012
2007-10-20,50,,,44668.1012
2007-10-21,30,,,44667.1012
2007-10-22,30,,,44666.1012
2007-10-23,30,,,44665.1012
2007-10-24,30,,,44664.1012
2007-10-25,30,,,44663.1012
2007-10-26,30,,,44662.1012
2007-10-27,35,,,44661.1012
2007-10-28,35,,,44660.1012
2007-10-29,35,,,44659.1012
2007-10-30,35,,,44658.1012
2007-10-31,35,,,44657.1012
2007-11-01,35,,,44656.1012
2007-11-02,35,,,44655.1012
2007-11-03,55,,,44654.1012
2007-11-04,55,,,44653.1012
2007-11-05,55,,,44652.1012
2007-11-06,85,,,44651.1012
2007-11-07,90,,,44650.1012
2007-11-08,95,,,44649.1012
2007-11-09,100,,,44648.1012
2007-11-10,100,,,44647.1012
2007-11-11,73,,,44646.1012
2007-11-12,89,,,44645.1012
2007-11-13,90,,,44644.1012
2007-11-14,90,,,44643.1012
2007-11-15,100,,,44642.1012
2007-11-16,100,,,44641.1012
2007-11-17,105,,,44640.1012
2007-11-18,110,,,44639.1012
2007-11-19,110,,,44638.1012
2007-11-20,67,,,44637.1012
2007-11-21,70,,,44636.1012
2007-11-22,70,,,44635.1012
2007-11-23,60,,,44634.1012
2007-11-24,60,,,44633.1012
2007-11-25,50,,,44632.1012
2007-11-26,55,,,44631.1012
2007-11-27,55,,,44630.1012
2007-11-28,60,,,44629.1012
2007-11-29,55,,,44628.1012
2007-11-30,60,,,44627.1012
2007-12-01,60,,,44626.1012
2007-12-02,65,,,44625.1012
2007-12-03,65,,,44624.1012
2007-12-04,65,,,44623.1012
2007-12-05,55,,,44622.1012
2007-12-06,55,,,44621.1012
2007-12-07,55,,,44620.1012
2007-12-08,55,,,44619.1012
2007-12-09,55,,,44618.1012
2007-12-10,55,,,44617.1012
2007-12-11,55,,,44616.1012
2007-12-12,60,,,44615.1012
2007-12-13,50,,,44614.1012
2007-12-14,70,,,44613.1012
2007-12-15,70,,,44612.1012
2007-12-16,70,,,44611.1012
2007-12-17,70,,,44610.1012
2007-12-18,70,,,44609.1012
2007-12-19,65,,,44608.1012
2007-12-20,50,,,44607.1012
2007-12-21,65,,,44606.1012
2007-12-22,65,,,44605.1012
2007-12-23,65,,,44604.1012
2007-12-24,65,,,44603.1012
2007-12-25,65,,,44602.1012
2007-12-26,65,,,44601.1012
2007-12-27,80,,,44600.1012
2007-12-28,80,,,44599.1012
2007-12-29,80,,,44598.1012
2007-12-30,80,,,44597.1012
2007-12-31,80,,,44596.1012
2008-01-01,80,,,44595.1012
2008-01-02,80,,,44594.1012
2008-01-03,50,,,44593.1012
2008-01-04,50,,,44592.1012
2008-01-05,70,,,44591.1012
2008-01-06,70,,,44590.1012
2008-01-07,70,,,44589.1012
2008-01-08,70,,,44588.1012
2008-01-09,100,,,44587.1012
2008-01-10,100,,,44586.1012
2008-01-11,110,,,44585.1012
2008-01-12,110,,,44584.1012
2008-01-13,110,,,44583.1012
2008-01-14,120,,,44582.1012
2008-01-15,40,,,44581.1012
2008-01-16,40,,,44580.1012
2008-01-17,40,,,44579.1012
2008-01-18,40,,,44578.1012
2008-01-19,40,,,44577.1012
2008-01-20,40,,,44576.1012
2008-01-21,40,,,44575.1012
2008-01-22,40,,,44574.1012
2008-01-23,40,,,44573.1012
2008-01-24,25,,,44572.1012
2008-01-25,40,,,44571.1012
2008-01-26,40,,,44570.1012
2008-01-27,40,,,44569.1012
2008-01-28,40,,,44568.1012
2008-01-29,40,,,44567.1012
2008-01-30,40,,,44566.1012
2008-01-31,40,,,44565.1012
2008-02-01,35,,,44564.1012
2008-02-02,35,,,44563.1012
2008-02-03,35,,,44562.1012
2008-02-04,35,,,44561.1012
2008-02-05,35,,,44560.1012
2008-02-06,35,,,44559.1012
2008-02-07,35,,,44558.1012
2008-02-08,35,,,44557.1012
2008-02-09,40,,,44556.1012
2008-02-10,40,,,44555.1012
2008-02-11,40,,,44554.1012
2008-02-12,40,,,44553.1012
2008-02-13,40,,,44552.1012
2008-02-14,50,,,44551.1012
2008-02-15,50,,,44550.1012
2008-02-16,50,,,44549.1012
2008-02-17,50,,,44548.1012
2008-02-18,50,,,44547.1012
2008-02-19,50,,,44546.1012
2008-02-20,40,,,44545.1012
2008-02-21,40,,,44544.1012
2008-02-22,40,,,44543.1012
2008-02-23,40,,,44542.1012
2008-02-24,40,,,44541.1012
2008-02-25,40,,,44540.1012
2008-02-26,40,,,44539.1012
2008-02-27,40,,,44538.1012
2008-02-28,50,,,44537.1012
2008-03-01,50,,,44535.1012
2008-03-02,70,,,44534.1012
2008-03-03,80,,,44533.1012
2008-03-04,75,,,44532.1012
2008-03-05,65,,,44531.1012
2008-03-06,65,,,44530.1012
2008-03-07,65,,,44529.1012
2008-03-08,65,,,44528.1012
2008-03-09,55,,,44527.1012
2008-03-10,45,,,44526.1012
2008-03-11,25,,,44525.1012
2008-03-12,15,,,44524.1012
2008-03-13,1,,,44523.1012
2008-03-14,0,,,44522.1012
2008-03-15,0,,,44521.1012
2008-03-16,0,,,44520.1012
2008-03-17,10,,,44519.1012
2008-03-18,10,,,44518.1012
2008-03-19,10,,,44517.1012
2008-03-20,10,,,44516.1012
2008-03-21,10,,,44515.1012
2008-03-22,10,,,44514.1012
2008-03-23,10,,,44513.1012
2008-03-24,50,,,44512.1012
2008-03-25,50,,,44511.1012
2008-03-26,50,,,44510.1012
2008-03-27,50,,,44509.1012
2008-03-28,50,,,44508.1012
2008-03-29,50,,,44507.1012
2008-03-30,50,,,44506.1012
2008-03-31,100,,,44505.1012
2008-04-01,100,,,44504.1012
2008-04-02,55,,,44503.1012
2008-04-03,30,,,44502.1012
2008-04-04,0,,,44501.1012
2008-04-05,0,,,44500.1012
2008-04-06,0,,,44499.1012
2008-04-07,0,,,44498.1012
2008-04-08,0,,,44497.1012
2008-04-09,20,,,44496.1012
2008-04-10,20,,,44495.1012
2008-04-11,0,,,44494.1012
2008-04-12,100,,,44493.1012
2008-04-13,200,,,44492.1012
2008-04-14,100,,,44491.1012
2008-04-15,100,,,44490.1012
2008-04-16,100,,,44489.1012
2008-04-17,100,,,44488.1012
2008-04-18,100,,,44487.1012
2008-04-19,100,,,44486.1012
2008-04-20,100,,,44485.1012
2008-04-21,150,,,44484.1012
2008-04-22,150,,,44483.1012
2008-04-23,150,,,44482.1012
2008-04-24,150,,,44481.1012
2008-04-25,150,,,44480.1012
2008-04-26,150,,,44479.1012
2008-04-27,150,,,44478.1012
2008-04-28,150,,,44477.1012
2008-04-29,150,,,44476.1012
2008-04-30,150,,,44475.1012
2008-05-01,150,,,44474.1012
2008-05-02,150,,,44473.1012
2008-05-03,150,,,44472.1012
2008-05-04,150,,,44471.1012
2008-05-05,150,,,44470.1012
2008-05-06,150,,,44469.1012
2008-05-07,150,,,44468.1012
2008-05-08,200,,,44467.1012
2008-05-09,200,,,44466.1012
2008-05-10,200,,,44465.1012
2008-05-11,200,,,44464.1012
2008-05-12,200,,,44463.1012
2008-05-13,200,,,44462.1012
2008-05-14,200,,,44461.1012
2008-05-15,200,,,44460.1012
2008-05-16,200,,,44459.1012
2008-05-17,200,,,44458.1012
2008-05-18,200,,,44457.1012
2008-05-19,200,,,44456.1012
2008-05-20,200,,,44455.1012
2008-05-21,100,,,44454.1012
2008-05-22,120,,,44453.1012
2008-05-23,120,,,44452.1012
2008-05-24,120,,,44451.1012
2008-05-25,120,,,44450.1012
2008-05-26,120,,,44449.1012
2008-05-27,120,,,44448.1012
2008-05-28,195,,,44447.1012
2008-05-29,195,,,44446.1012
2008-05-30,205,,,44445.1012
2008-05-31,195,,,44444.1012
2008-06-01,150,,,44443.1012
2008-06-02,145,,,44442.1012
2008-06-03,180,,,44441.1012
2008-06-04,210,,,44440.1012
2008-06-05,210,,,44439.1012
2008-06-06,210,,,44438.1012
2008-06-07,210,,,44437.1012
2008-06-08,210,,,44436.1012
2008-06-09,210,,,44435.1012
2008-06-10,190,,,44434.1012
2008-06-11,190,,,44433.1012
2008-06-12,220,,,44432.1012
2008-06-13,250,,,44431.1012
2008-06-14,250,,,44430.1012
2008-06-15,250,,,44429.1012
2008-06-16,260,,,44428.1012
2008-06-17,280,,,44427.1012
2008-06-18,280,,,44426.1012
2008-06-19,200,,,44425.1012
2008-06-20,166,,,44424.1012
2008-06-21,160,,,44423.1012
2008-06-22,160,,,44422.1012
2008-06-23,143,,,44421.1012
2008-06-24,135,,,44420.1012
2008-06-25,145,,,44419.1012
2008-06-26,135,,,44418.1012
2008-06-27,120,,,44417.1012
2008-06-28,120,,,44416.1012
2008-06-29,120,,,44415.1012
2008-06-30,120,,,44414.1012
2008-07-01,120,,,44413.1012
2008-07-02,120,,,44412.1012
2008-07-03,120,,,44411.1012
2008-07-04,120,,,44410.1012
2008-07-05,120,,,44409.1012
2008-07-06,120,,,44408.1012
2008-07-07,120,,,44407.1012
2008-07-08,120,,,44406.1012
2008-07-09,120,,,44405.1012
2008-07-10,120,,,44404.1012
2008-07-11,120,,,44403.1012
2008-07-12,120,,,44402.1012
2008-07-13,120,,,44401.1012
2008-07-14,120,,,44400.1012
2008-07-15,120,,,44399.1012
2008-07-16,120,,,44398.1012
2008-07-17,120,,,44397.1012
2008-07-18,120,,,44396.1012
2008-07-19,120,,,44395.1012
2008-07-20,120,,,44394.1012
2008-07-21,120,,,44393.1012
2008-07-22,120,,,44392.1012
2008-07-23,120,,,44391.1012
2008-07-24,120,,,44390.1012
2008-07-25,120,,,44389.1012
2008-07-26,120,,,44388.1012
2008-07-27,120,,,44387.1012
2008-07-28,120,,,44386.1012
2008-07-29,120,,,44385.1012
2008-07-30,120,,,44384.1012
2008-07-31,120,,,44383.1012
2008-08-01,120,,,44382.1012
2008-08-02,120,,,44381.1012
2008-08-03,120,,,44380.1012
2008-08-04,120,,,44379.1012
2008-08-05,120,,,44378.1012
2008-08-06,120,,,44377.1012
2008-08-07,105,,,44376.1012
2008-08-08,105,,,44375.1012
2008-08-09,105,,,44374.1013
2008-08-10,105,,,44373.1012
2008-08-11,105,,,44372.1012
2008-08-12,105,,,44371.1012
2008-08-13,105,,,44370.1012
2008-08-14,105,,,44369.1012
2008-08-15,105,,,44368.1012
2008-08-16,105,,,44367.1012
2008-08-17,105,,,44366.1012
2008-08-18,105,,,44365.1012
2008-08-19,105,,,44364.1012
2008-08-20,105,,,44363.1012
2008-08-21,105,,,44362.1012
2008-08-22,105,,,44361.1012
2008-08-23,100,,,44360.1012
2008-08-24,100,,,44359.1012
2008-08-25,100,,,44358.1012
2008-08-26,100,,,44357.1012
2008-08-27,110,,,44356.1012
2008-08-28,110,,,44355.1012
2008-08-29,120,,,44354.1012
2008-08-30,120,,,44353.1012
2008-08-31,146,,,44352.1012
2008-09-01,180,,,44351.1012
2008-09-02,196,,,44350.1012
2008-09-03,196,,,44349.1012
2008-09-04,185,,,44348.1012
2008-09-05,185,,,44347.1012
2008-09-06,200,,,44346.1012
2008-09-07,210,,,44345.1012
2008-09-08,210,,,44344.1012
2008-09-09,210,,,44343.1012
2008-09-10,210,,,44342.1012
2008-09-11,210,,,44341.1012
2008-09-12,150,,,44340.1012
2008-09-13,110,,,44339.1012
2008-09-14,90,,,44338.1012
2008-09-15,90,,,44337.1012
2008-09-16,105,,,44336.1012
2008-09-17,105,,,44335.1012
2008-09-18,105,,,44334.1012
2008-09-19,105,,,44333.1012
2008-09-20,145,,,44332.1012
2008-09-21,145,,,44331.1012
2008-09-22,155,,,44330.1012
2008-09-23,155,,,44329.1012
2008-09-24,170,,,44328.1012
2008-09-25,180,,,44327.1012
2008-09-26,185,,,44326.1012
2008-09-27,195,,,44325.1012
2008-09-28,204,,,44324.1012
2008-09-29,210,,,44323.1012
2008-09-30,160,,,44322.1012
2008-10-01,115,,,44321.1012
2008-10-02,125,,,44320.1012
2008-10-03,160,,,44319.1012
2008-10-04,160,,,44318.1012
2008-10-05,160,,,44317.1012
2008-10-06,160,,,44316.1012
2008-10-07,160,,,44315.1012
2008-10-08,175,,,44314.1012
2008-10-09,160,,,44313.1012
2008-10-10,205,,,44312.1012
2008-10-11,205,,,44311.1012
2008-10-12,220,,,44310.1012
2008-10-13,220,,,44309.1012
2008-10-14,230,,,44308.1012
2008-10-15,245,,,44307.1012
2008-10-16,280,,,44306.1012
2008-10-17,290,,,44305.1012
2008-10-18,290,,,44304.1012
2008-10-19,290,,,44303.1012
2008-10-20,340,,,44302.1012
2008-10-21,365,,,44301.1012
2008-10-22,385,,,44300.1012
2008-10-23,400,,,44299.1012
2008-10-24,385,,,44298.1012
2008-10-25,395,,,44297.1012
2008-10-26,397,,,44296.1012
2008-10-27,397,,,44295.1012
2008-10-28,400,,,44294.1012
2008-10-29,400,,,44293.1012
2008-10-30,400,,,44292.1012
2008-10-31,360,,,44291.1012
2008-11-01,310,,,44290.1012
2008-11-02,170,,,44289.1012
2008-11-03,200,,,44288.1012
2008-11-04,200,,,44287.1012
2008-11-05,205,,,44286.1012
2008-11-06,230,,,44285.1012
2008-11-07,230,,,44284.1012
2008-11-08,230,,,44283.1012
2008-11-09,220,,,44282.1012
2008-11-10,220,,,44281.1012
2008-11-11,230,,,44280.1012
2008-11-12,240,,,44279.1012
2008-11-13,260,,,44278.1012
2008-11-14,270,,,44277.1012
2008-11-15,270,,,44276.1012
2008-11-16,270,,,44275.1012
2008-11-17,285,,,44274.1012
2008-11-18,285,,,44273.1012
2008-11-19,285,,,44272.1012
2008-11-20,285,,,44271.1012
2008-11-21,230,,,44270.1012
2008-11-22,160,,,44269.1012
2008-11-23,172,,,44268.1012
2008-11-24,175,,,44267.1012
2008-11-25,175,,,44266.1012
2008-11-26,175,,,44265.1012
2008-11-27,160,,,44264.1012
2008-11-28,170,,,44263.1012
2008-11-29,170,,,44262.1012
2008-11-30,170,,,44261.1012
2008-12-01,185,,,44260.1012
2008-12-02,185,,,44259.1012
2008-12-03,190,,,44258.1012
2008-12-04,230,,,44257.1012
2008-12-05,230,,,44256.1012
2008-12-06,230,,,44255.1012
2008-12-07,230,,,44254.1012
2008-12-08,230,,,44253.1012
2008-12-09,230,,,44252.1012
2008-12-10,230,,,44251.1012
2008-12-11,230,,,44250.1012
2008-12-12,230,,,44249.1012
2008-12-13,230,,,44248.1012
2008-12-14,230,,,44247.1012
2008-12-15,230,,,44246.1012
2008-12-16,280,,,44245.1012
2008-12-17,340,,,44244.1012
2008-12-18,340,,,44243.1012
2008-12-19,263.3,,,44242.1012
2008-12-20,225,,,44241.1012
2008-12-21,185,,,44240.1012
2008-12-22,180,,,44239.1012
2008-12-23,150,,,44238.1012
2008-12-24,150,,,44237.1012
2008-12-25,150,,,44236.1012
2008-12-26,150,,,44235.1012
2008-12-27,150,,,44234.1012
2008-12-28,150,,,44233.1012
2008-12-29,150,,,44232.1012
2008-12-30,150,,,44231.1012
2008-12-31,120,,,44230.1012
2009-01-01,120,,,44229.1012
2009-01-02,120,,,44228.1012
2009-01-03,120,,,44227.1012
2009-01-04,120,,,44226.1012
2009-01-05,120,,,44225.1012
2009-01-06,120,,,44224.1012
2009-01-07,120,,,44223.1012
2009-01-08,120,,,44222.1012
2009-01-09,120,,,44221.1012
2009-01-10,120,,,44220.1012
2009-01-11,120,,,44219.1012
2009-01-12,120,,,44218.1012
2009-01-13,120,,,44217.1012
2009-01-14,120,,,44216.1012
2009-01-15,120,,,44215.1012
2009-01-16,120,,,44214.1012
2009-01-17,110,,,44213.1012
2009-01-18,110,,,44212.1012
2009-01-19,110,,,44211.1012
2009-01-20,110,,,44210.1012
2009-01-21,110,,,44209.1012
2009-01-22,110,,,44208.1012
2009-01-23,110,,,44207.1012
2009-01-24,110,,,44206.1012
2009-01-25,150,,,44205.1012
2009-01-26,170,,,44204.1012
2009-01-27,140,,,44203.1012
2009-01-28,140,,,44202.1012
2009-01-29,140,,,44201.1012
2009-01-30,140,,,44200.1012
2009-01-31,140,,,44199.1012
2009-02-01,140,,,44198.1012
2009-02-02,140,,,44197.1012
2009-02-03,140,,,44196.1012
2009-02-04,140,,,44195.1012
2009-02-05,140,,,44194.1012
2009-02-06,140,,,44193.1012
2009-02-07,140,,,44192.1012
2009-02-08,125,,,44191.1012
2009-02-09,125,,,44190.1012
