DATE,FLOW,STAGE,TEMP,VDATE
2005-09-30,0.2,,,45418.4401
2005-10-01,0.3,,,45417.4401
2005-10-02,0.4,,,45416.4401
2005-10-03,0.5,,,45415.4401
2005-10-04,0.5,,,45414.4401
2005-10-05,0.5,,,45413.4401
2005-10-06,0.5,,,45412.4401
2005-10-07,0.5,,,45411.4401
2005-10-08,0.4,,,45410.4401
2005-10-09,0.4,,,45409.4401
2005-10-10,0.4,,,45408.4401
2005-10-11,0.3,,,45407.4401
2005-10-12,128,,,45406.4401
2005-10-13,204,,,45405.4401
2005-10-14,205,,,45404.4401
2005-10-15,198,,,45403.4401
2005-10-16,197,,,45402.4401
2005-10-17,200,,,45401.4401
2005-10-18,203,,,45400.4401
2005-10-19,201,,,45399.4401
2005-10-20,194,,,45398.4401
2005-10-21,182,,,45397.4401
2005-10-22,184,,,45396.4401
2005-10-23,186,,,45395.4401
2005-10-24,181,,,45394.4401
2005-10-25,176,,,45393.4401
2005-10-26,178,,,45392.4401
2005-10-27,161,,,45391.4401
2005-10-28,115,,,45390.4401
2005-10-29,65,,,45389.4401
2005-10-30,0.5,,,45388.4401
2005-10-31,0.3,,,45387.4401
2005-11-01,0.4,,,45386.4401
2005-11-02,0.4,,,45385.4401
2005-11-03,0.4,,,45384.4401
2005-11-04,0.3,,,45383.4401
2005-11-05,0.4,,,45382.4401
2005-11-06,0.4,,,45381.4401
2005-11-07,0.3,,,45380.4401
2005-11-08,0.1,,,45379.4401
2005-11-09,0.1,,,45378.4401
2005-11-10,0.1,,,45377.4401
2005-11-11,0.1,,,45376.4401
2005-11-12,0.1,,,45375.4401
2005-11-13,0.1,,,45374.4401
2005-11-14,0.1,,,45373.4401
2005-11-15,0.1,,,45372.4401
2005-11-16,0.1,,,45371.4401
2005-11-17,0.1,,,45370.4401
2005-11-18,0.1,,,45369.4401
2005-11-19,0.1,,,45368.4401
2005-11-20,0.1,,,45367.4401
2005-11-21,0.1,,,45366.4401
2005-11-22,0.3,,,45365.4401
2005-11-23,0.1,,,45364.4401
2005-11-24,0.1,,,45363.4401
2005-11-25,0.1,,,45362.4401
2005-11-26,0.1,,,45361.4401
2005-11-27,0.1,,,45360.4401
2005-11-28,0.1,,,45359.4401
2005-11-29,0.3,,,45358.4401
