DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,568.2,,,44688.1014
2007-10-01,576.3,,,44687.1014
2007-10-02,680.1,,,44686.1014
2007-10-03,645.8,,,44685.1014
2007-10-04,691.2,,,44684.1014
2007-10-05,770.9,,,44683.1014
2007-10-06,773.9,,,44682.1014
2007-10-07,725.5,,,44681.1014
2007-10-08,741.6,,,44680.1014
2007-10-09,677.6,,,44679.1014
2007-10-10,671.5,,,44678.1014
2007-10-11,762.8,,,44677.1014
2007-10-12,693.2,,,44676.1014
2007-10-13,757.8,,,44675.1014
2007-10-14,902.9,,,44674.1014
2007-10-15,714.9,,,44673.1014
2007-10-16,728.5,,,44672.1014
2007-10-17,966.5,,,44671.1014
2007-10-18,1013.9,,,44670.1014
2007-10-19,993.2,,,44669.1014
2007-10-20,776.4,,,44668.1014
2007-10-21,891.9,,,44667.1014
2007-10-22,833.9,,,44666.1014
2007-10-23,733.6,,,44665.1014
2007-10-24,628.2,,,44664.1014
2007-10-25,673.1,,,44663.1014
2007-10-26,893.9,,,44662.1014
2007-10-27,671,,,44661.1014
2007-10-28,850.5,,,44660.1014
2007-10-29,694.2,,,44659.1014
2007-10-30,757.8,,,44658.1014
2007-10-31,764.8,,,44657.1014
2007-11-01,919.6,,,44656.1014
2007-11-02,1073.4,,,44655.1014
2007-11-03,782,,,44654.1014
2007-11-04,820.8,,,44653.1014
2007-11-05,938.7,,,44652.1014
2007-11-06,919.6,,,44651.1014
2007-11-07,916.1,,,44650.1014
2007-11-08,962.9,,,44649.1014
2007-11-09,940.8,,,44648.1014
2007-11-10,791,,,44647.1014
2007-11-11,815.7,,,44646.1014
2007-11-12,872.7,,,44645.1014
2007-11-13,829.3,,,44644.1014
2007-11-14,830.4,,,44643.1014
2007-11-15,773.9,,,44642.1014
2007-11-16,818.3,,,44641.1014
2007-11-17,737.1,,,44640.1014
2007-11-18,949.3,,,44639.1014
2007-11-19,886.8,,,44638.1014
2007-11-20,839.9,,,44637.1014
2007-11-21,864.6,,,44636.1014
2007-11-22,914.5,,,44635.1014
2007-11-23,857.1,,,44634.1014
2007-11-24,928.7,,,44633.1014
2007-11-25,789.5,,,44632.1014
2007-11-26,967,,,44631.1014
2007-11-27,907,,,44630.1014
2007-11-28,898.9,,,44629.1014
2007-11-29,991.7,,,44628.1014
2007-11-30,1208,,,44627.1014
2007-12-01,844.5,,,44626.1014
2007-12-02,675.1,,,44625.1014
2007-12-03,658.4,,,44624.1014
2007-12-04,612.6,,,44623.1014
2007-12-05,831.9,,,44622.1014
2007-12-06,900.9,,,44621.1014
2007-12-07,987.6,,,44620.1014
2007-12-08,777.4,,,44619.1014
2007-12-09,979.1,,,44618.1014
2007-12-10,994.7,,,44617.1014
2007-12-11,859.6,,,44616.1014
2007-12-12,754.2,,,44615.1014
2007-12-13,718.4,,,44614.1014
2007-12-14,602.5,,,44613.1014
2007-12-15,523.8,,,44612.1014
2007-12-16,657.9,,,44611.1014
2007-12-17,565.5,,,44610.1014
2007-12-18,648.3,,,44609.1014
2007-12-19,563.1,,,44608.1014
2007-12-20,630.7,,,44607.1014
2007-12-21,580.8,,,44606.1014
2007-12-22,558.6,,,44605.1014
2007-12-23,625.7,,,44604.1014
2007-12-24,676.6,,,44603.1014
2007-12-25,601.5,,,44602.1014
2007-12-26,685.2,,,44601.1014
