DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,0,,,44688.0994
2007-10-01,0,,,44687.0994
2007-10-02,0,,,44686.0994
2007-10-03,0,,,44685.0994
2007-10-04,0,,,44684.0994
2007-10-05,0,,,44683.0994
2007-10-06,0,,,44682.0994
2007-10-07,0,,,44681.0994
2007-10-08,0,,,44680.0994
2007-10-09,0,,,44679.0994
2007-10-10,0,,,44678.0994
2007-10-11,0,,,44677.0994
2007-10-12,0,,,44676.0994
2007-10-13,0,,,44675.0994
2007-10-14,0,,,44674.0994
2007-10-15,0,,,44673.0994
2007-10-16,0,,,44672.0994
2007-10-17,0,,,44671.0994
2007-10-18,0,,,44670.0994
2007-10-19,0,,,44669.0994
2007-10-20,0,,,44668.0994
2007-10-21,0,,,44667.0994
2007-10-22,0,,,44666.0994
2007-10-23,0,,,44665.0994
2007-10-24,0,,,44664.0994
2007-10-25,0,,,44663.0994
2007-10-26,0,,,44662.0994
2007-10-27,0,,,44661.0994
2007-10-28,0,,,44660.0994
2007-10-29,0,,,44659.0994
2007-10-30,0,,,44658.0994
2007-10-31,0,,,44657.0994
2007-11-01,0,,,44656.0994
2007-11-02,0,,,44655.0994
2007-11-03,0,,,44654.0994
2007-11-04,0,,,44653.0994
2007-11-05,0,,,44652.0994
2007-11-06,0,,,44651.0994
2007-11-07,0,,,44650.0994
2007-11-08,0,,,44649.0994
2007-11-09,0,,,44648.0994
2007-11-10,0,,,44647.0994
2007-11-11,0,,,44646.0994
2007-11-12,0,,,44645.0994
2007-11-13,0,,,44644.0994
2007-11-14,0,,,44643.0994
2007-11-15,0,,,44642.0994
2007-11-16,0,,,44641.0994
2007-11-17,0,,,44640.0994
2007-11-18,0,,,44639.0994
2007-11-19,0,,,44638.0994
2007-11-20,0,,,44637.0994
2007-11-21,0,,,44636.0994
2007-11-22,0,,,44635.0994
2007-11-23,0,,,44634.0994
2007-11-24,0,,,44633.0994
2007-11-25,0,,,44632.0994
2007-11-26,0,,,44631.0994
2007-11-27,0,,,44630.0994
2007-11-28,0,,,44629.0994
2007-11-29,0,,,44628.0994
2007-11-30,0,,,44627.0994
2007-12-01,0,,,44626.0994
2007-12-02,0,,,44625.0994
2007-12-03,0,,,44624.0994
2007-12-04,0,,,44623.0994
2007-12-05,0,,,44622.0994
2007-12-06,0,,,44621.0994
2007-12-07,0,,,44620.0994
2007-12-08,0,,,44619.0994
2007-12-09,0,,,44618.0994
2007-12-10,0,,,44617.0994
2007-12-11,0,,,44616.0994
2007-12-12,0,,,44615.0995
2007-12-13,0,,,44614.0995
2007-12-14,0,,,44613.0995
2007-12-15,0,,,44612.0995
2007-12-16,0,,,44611.0995
2007-12-17,0,,,44610.0995
2007-12-18,0,,,44609.0995
2007-12-19,0,,,44608.0995
2007-12-20,0,,,44607.0995
2007-12-21,0,,,44606.0995
2007-12-22,0,,,44605.0995
2007-12-23,0,,,44604.0995
2007-12-24,0,,,44603.0995
2007-12-25,0,,,44602.0995
2007-12-26,0,,,44601.0995
2007-12-27,0,,,44600.0995
2007-12-28,0,,,44599.0995
2007-12-29,0,,,44598.0995
2007-12-30,0,,,44597.0995
2007-12-31,0,,,44596.0995
2008-01-01,0,,,44595.0995
2008-01-02,0,,,44594.0995
2008-01-03,0,,,44593.0995
2008-01-04,18,,,44592.0995
2008-01-05,131,,,44591.0995
2008-01-06,238,,,44590.0995
2008-01-07,44,,,44589.0995
2008-01-08,22,,,44588.0995
2008-01-09,14,,,44587.0995
2008-01-10,9.7,,,44586.0995
2008-01-11,5.9,,,44585.0995
2008-01-12,3,,,44584.0995
2008-01-13,1.1,,,44583.0995
2008-01-14,0.5,,,44582.0995
2008-01-15,0.1,,,44581.0995
2008-01-16,0.1,,,44580.0995
2008-01-17,0.1,,,44579.0995
2008-01-18,0.1,,,44578.0995
2008-01-19,0.1,,,44577.0995
2008-01-20,0.1,,,44576.0995
2008-01-21,0.1,,,44575.0995
2008-01-22,0.1,,,44574.0995
2008-01-23,624,,,44573.0995
2008-01-24,912,,,44572.0995
2008-01-25,198,,,44571.0995
2008-01-26,71,,,44570.0995
2008-01-27,274,,,44569.0995
2008-01-28,586,,,44568.0995
2008-01-29,153,,,44567.0995
2008-01-30,86,,,44566.0995
2008-01-31,64,,,44565.0995
2008-02-01,51,,,44564.0995
2008-02-02,46,,,44563.0995
2008-02-03,463,,,44562.0995
2008-02-04,303,,,44561.0995
2008-02-05,103,,,44560.0995
2008-02-06,67,,,44559.0995
2008-02-07,54,,,44558.0995
2008-02-08,46,,,44557.0995
2008-02-09,41,,,44556.0995
2008-02-10,37,,,44555.0995
2008-02-11,33,,,44554.0995
2008-02-12,31,,,44553.0995
2008-02-13,29,,,44552.0995
2008-02-14,28,,,44551.0995
2008-02-15,26,,,44550.0995
2008-02-16,24,,,44549.0995
2008-02-17,23,,,44548.0995
2008-02-18,22,,,44547.0995
2008-02-19,21,,,44546.0995
2008-02-20,21,,,44545.0995
2008-02-21,15,,,44544.0995
2008-02-22,13,,,44543.0995
2008-02-23,17,,,44542.0995
2008-02-24,299,,,44541.0995
2008-02-25,287,,,44540.0995
2008-02-26,89,,,44539.0995
2008-02-27,56,,,44538.0995
2008-02-28,35,,,44537.0995
2008-03-01,30,,,44535.0995
2008-03-02,26,,,44534.0995
2008-03-03,22,,,44533.0995
2008-03-04,19,,,44532.0995
2008-03-05,18,,,44531.0995
2008-03-06,16,,,44530.0995
2008-03-07,15,,,44529.0995
2008-03-08,14,,,44528.0995
2008-03-09,13,,,44527.0995
2008-03-10,12,,,44526.0995
2008-03-11,12,,,44525.0995
2008-03-12,11,,,44524.0995
2008-03-13,11,,,44523.0995
2008-03-14,9.9,,,44522.0995
2008-03-15,9.5,,,44521.0995
2008-03-16,8.8,,,44520.0995
2008-03-17,8.1,,,44519.0995
2008-03-18,6.5,,,44518.0995
2008-03-19,5.7,,,44517.0995
2008-03-20,5.3,,,44516.0995
2008-03-21,5,,,44515.0995
2008-03-22,4.7,,,44514.0995
2008-03-23,4.3,,,44513.0995
2008-03-24,4,,,44512.0995
2008-03-25,3.5,,,44511.0995
2008-03-26,3.1,,,44510.0995
2008-03-27,2.8,,,44509.0995
2008-03-28,2.4,,,44508.0995
2008-03-29,2.1,,,44507.0995
2008-03-30,1.7,,,44506.0995
2008-03-31,1.3,,,44505.0995
2008-04-01,1.1,,,44504.0995
2008-04-02,0.9,,,44503.0995
2008-04-03,0.8,,,44502.0995
2008-04-04,0.7,,,44501.0995
2008-04-05,0.7,,,44500.0995
2008-04-06,0.5,,,44499.0995
2008-04-07,0.4,,,44498.0995
2008-04-08,0.2,,,44497.0995
2008-04-09,0.1,,,44496.0995
2008-04-10,0.1,,,44495.0995
2008-04-11,0.1,,,44494.0995
2008-04-12,0.1,,,44493.0995
2008-04-13,0.1,,,44492.0995
2008-04-14,0.1,,,44491.0995
2008-04-15,0.3,,,44490.0995
2008-04-16,0.4,,,44489.0995
2008-04-17,0.3,,,44488.0995
2008-04-18,0.2,,,44487.0995
2008-04-19,0.1,,,44486.0995
2008-04-20,0.1,,,44485.0995
2008-04-21,0.1,,,44484.0995
2008-04-22,0.1,,,44483.0995
2008-04-23,0.1,,,44482.0995
2008-04-24,0.1,,,44481.0995
2008-04-25,0.1,,,44480.0995
2008-04-26,0.1,,,44479.0995
2008-04-27,0.1,,,44478.0995
2008-04-28,0.1,,,44477.0995
2008-04-29,0.1,,,44476.0995
2008-04-30,0.1,,,44475.0995
2008-05-01,0.1,,,44474.0995
2008-05-02,0.1,,,44473.0995
2008-05-03,0.1,,,44472.0995
2008-05-04,0.1,,,44471.0995
2008-05-05,0.1,,,44470.0995
2008-05-06,0,,,44469.0995
2008-05-07,0,,,44468.0995
2008-05-08,0,,,44467.0995
2008-05-09,0,,,44466.0995
2008-05-10,0,,,44465.0995
2008-05-11,0,,,44464.0995
2008-05-12,0,,,44463.0995
2008-05-13,0,,,44462.0995
2008-05-14,0,,,44461.0995
2008-05-15,0,,,44460.0995
2008-05-16,0,,,44459.0995
2008-05-17,0,,,44458.0995
2008-05-18,0,,,44457.0995
2008-05-19,0,,,44456.0995
2008-05-20,0,,,44455.0995
2008-05-21,0,,,44454.0995
2008-05-22,0,,,44453.0995
2008-05-23,0,,,44452.0995
2008-05-24,0,,,44451.0995
2008-05-25,0,,,44450.0995
2008-05-26,0,,,44449.0995
2008-05-27,0,,,44448.0995
2008-05-28,0,,,44447.0995
2008-05-29,0,,,44446.0995
2008-05-30,0,,,44445.0995
2008-05-31,0,,,44444.0995
2008-06-01,0,,,44443.0995
2008-06-02,0,,,44442.0995
2008-06-03,0,,,44441.0995
2008-06-04,0,,,44440.0995
2008-06-05,0,,,44439.0995
2008-06-06,0,,,44438.0995
2008-06-07,0,,,44437.0995
2008-06-08,0,,,44436.0995
2008-06-09,0,,,44435.0995
2008-06-10,0,,,44434.0995
2008-06-11,0,,,44433.0995
2008-06-12,0,,,44432.0995
2008-06-13,0,,,44431.0995
2008-06-14,0,,,44430.0995
2008-06-15,0,,,44429.0995
2008-06-16,0,,,44428.0995
2008-06-17,0,,,44427.0995
2008-06-18,0,,,44426.0995
2008-06-19,0,,,44425.0995
2008-06-20,0,,,44424.0995
2008-06-21,0,,,44423.0995
2008-06-22,0,,,44422.0995
2008-06-23,0,,,44421.0995
2008-06-24,0,,,44420.0995
2008-06-25,0,,,44419.0995
