DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,317,,,44688.1009
2007-10-01,259,,,44687.1009
2007-10-02,224,,,44686.1009
2007-10-03,228,,,44685.1009
2007-10-04,230,,,44684.1009
2007-10-05,229,,,44683.1009
2007-10-06,222,,,44682.1009
2007-10-07,226,,,44681.1009
2007-10-08,229,,,44680.1009
2007-10-09,227,,,44679.1009
2007-10-10,226,,,44678.1009
2007-10-11,225,,,44677.1009
2007-10-12,227,,,44676.1009
2007-10-13,224,,,44675.1009
2007-10-14,226,,,44674.1009
2007-10-15,226,,,44673.1009
2007-10-16,230,,,44672.1009
2007-10-17,225,,,44671.1009
2007-10-18,225,,,44670.1009
2007-10-19,223,,,44669.1009
2007-10-20,226,,,44668.1009
2007-10-21,226,,,44667.1009
2007-10-22,230,,,44666.1009
2007-10-23,224,,,44665.1009
2007-10-24,223,,,44664.1009
2007-10-25,226,,,44663.1009
2007-10-26,224,,,44662.1009
2007-10-27,227,,,44661.1009
2007-10-28,228,,,44660.1009
2007-10-29,223,,,44659.1009
2007-10-30,228,,,44658.1009
2007-10-31,225,,,44657.1009
2007-11-01,227,,,44656.1009
2007-11-02,226,,,44655.1009
2007-11-03,225,,,44654.1009
2007-11-04,226,,,44653.1009
2007-11-05,223,,,44652.1009
2007-11-06,226,,,44651.1009
2007-11-07,228,,,44650.1009
2007-11-08,229,,,44649.1009
2007-11-09,229,,,44648.1009
2007-11-10,228,,,44647.1009
2007-11-11,226,,,44646.1009
2007-11-12,226,,,44645.1009
2007-11-13,227,,,44644.1009
2007-11-14,223,,,44643.1009
2007-11-15,225,,,44642.1009
2007-11-16,224,,,44641.1009
2007-11-17,221,,,44640.1009
2007-11-18,227,,,44639.1009
2007-11-19,225,,,44638.1009
2007-11-20,225,,,44637.1009
2007-11-21,226,,,44636.1009
2007-11-22,223,,,44635.1009
2007-11-23,227,,,44634.1009
2007-11-24,225,,,44633.1009
2007-11-25,228,,,44632.1009
2007-11-26,227,,,44631.1009
2007-11-27,224,,,44630.1009
2007-11-28,229,,,44629.1009
2007-11-29,225,,,44628.1009
2007-11-30,223,,,44627.1009
2007-12-01,226,,,44626.1009
2007-12-02,226,,,44625.1009
2007-12-03,226,,,44624.1009
2007-12-04,227,,,44623.1009
2007-12-05,226,,,44622.1009
2007-12-06,227,,,44621.1009
2007-12-07,224,,,44620.1009
2007-12-08,225,,,44619.1009
2007-12-09,230,,,44618.1009
2007-12-10,223,,,44617.1009
2007-12-11,226,,,44616.1009
2007-12-12,224,,,44615.1009
2007-12-13,227,,,44614.1009
2007-12-14,224,,,44613.1009
2007-12-15,224,,,44612.1009
2007-12-16,228,,,44611.1009
2007-12-17,224,,,44610.1009
2007-12-18,224,,,44609.1009
2007-12-19,226,,,44608.1009
2007-12-20,227,,,44607.1009
2007-12-21,225,,,44606.1009
2007-12-22,225,,,44605.1009
2007-12-23,224,,,44604.1009
2007-12-24,224,,,44603.1009
2007-12-25,226,,,44602.1009
2007-12-26,227,,,44601.1009
2007-12-27,231,,,44600.1009
2007-12-28,226,,,44599.1009
