DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,187,,,44688.1342
2007-10-01,170,,,44687.1342
2007-10-02,162,,,44686.1342
2007-10-03,154,,,44685.1342
2007-10-04,163,,,44684.1342
2007-10-05,158,,,44683.1342
2007-10-06,146,,,44682.1342
2007-10-07,146,,,44681.1342
2007-10-08,159,,,44680.1342
2007-10-09,167,,,44679.1342
2007-10-10,165,,,44678.1342
2007-10-11,160,,,44677.1342
2007-10-12,191,,,44676.1342
2007-10-13,204,,,44675.1342
2007-10-14,200,,,44674.1342
2007-10-15,204,,,44673.1342
2007-10-16,204,,,44672.1342
2007-10-17,206,,,44671.1342
2007-10-18,208,,,44670.1342
2007-10-19,214,,,44669.1342
2007-10-20,219,,,44668.1342
2007-10-21,214,,,44667.1342
2007-10-22,209,,,44666.1342
2007-10-23,207,,,44665.1342
2007-10-24,203,,,44664.1342
2007-10-25,206,,,44663.1342
2007-10-26,210,,,44662.1342
2007-10-27,213,,,44661.1342
2007-10-28,212,,,44660.1342
2007-10-29,207,,,44659.1342
2007-10-30,200,,,44658.1342
2007-10-31,197,,,44657.1342
2007-11-01,211,,,44656.1342
2007-11-02,219,,,44655.1342
2007-11-03,218,,,44654.1342
2007-11-04,189,,,44653.1342
2007-11-05,189,,,44652.1342
2007-11-06,189,,,44651.1342
2007-11-07,190,,,44650.1342
2007-11-08,194,,,44649.1342
2007-11-09,196,,,44648.1342
2007-11-10,199,,,44647.1342
2007-11-11,196,,,44646.1342
2007-11-12,200,,,44645.1342
2007-11-13,205,,,44644.1342
2007-11-14,220,,,44643.1342
2007-11-15,221,,,44642.1342
2007-11-16,209,,,44641.1342
2007-11-17,199,,,44640.1342
2007-11-18,202,,,44639.1342
2007-11-19,200,,,44638.1342
2007-11-20,198,,,44637.1342
2007-11-21,203,,,44636.1342
2007-11-22,196,,,44635.1342
2007-11-23,197,,,44634.1342
2007-11-24,194,,,44633.1342
2007-11-25,194,,,44632.1342
2007-11-26,192,,,44631.1342
2007-11-27,196,,,44630.1342
2007-11-28,193,,,44629.1342
2007-11-29,197,,,44628.1342
2007-11-30,198,,,44627.1342
2007-12-01,203,,,44626.1342
2007-12-02,199,,,44625.1342
2007-12-03,203,,,44624.1342
2007-12-04,423,,,44623.1342
2007-12-05,248,,,44622.1342
2007-12-06,187,,,44621.1342
2007-12-07,536,,,44620.1342
2007-12-08,264,,,44619.1342
2007-12-09,225,,,44618.1342
2007-12-10,203,,,44617.1342
2007-12-11,135,,,44616.1342
2007-12-12,130,,,44615.1342
2007-12-13,126,,,44614.1342
2007-12-14,123,,,44613.1342
2007-12-15,123,,,44612.1342
2007-12-16,126,,,44611.1342
2007-12-17,131,,,44610.1342
2007-12-18,603,,,44609.1342
2007-12-19,501,,,44608.1342
2007-12-20,1963,,,44607.1342
2007-12-21,488,,,44606.1342
2007-12-22,301,,,44605.1342
2007-12-23,254,,,44604.1342
2007-12-24,226,,,44603.1342
2007-12-25,171,,,44602.1342
2007-12-26,135,,,44601.1342
2007-12-27,127,,,44600.1342
2007-12-28,135,,,44599.1342
2007-12-29,225,,,44598.1342
2007-12-30,285,,,44597.1342
2007-12-31,218,,,44596.1342
2008-01-01,199,,,44595.1342
2008-01-02,185,,,44594.1342
2008-01-03,304,,,44593.1342
2008-01-04,8551,,,44592.1342
2008-01-05,3670,,,44591.1342
2008-01-06,2117,,,44590.1342
2008-01-07,1096,,,44589.1342
