DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,195,,,44688.1009
2007-10-01,193,,,44687.1009
2007-10-02,198,,,44686.1009
2007-10-03,198,,,44685.1009
2007-10-04,200,,,44684.1009
2007-10-05,205,,,44683.1009
2007-10-06,204,,,44682.1009
2007-10-07,214,,,44681.1009
2007-10-08,206,,,44680.1009
2007-10-09,153,,,44679.1009
2007-10-10,67,,,44678.1009
2007-10-11,44,,,44677.1009
2007-10-12,56,,,44676.1009
2007-10-13,64,,,44675.1009
2007-10-14,67,,,44674.1009
2007-10-15,133,,,44673.1009
2007-10-16,20,,,44672.1009
2007-10-17,5,,,44671.1009
2007-10-18,0,,,44670.1009
2007-10-19,0,,,44669.1009
2007-10-20,0,,,44668.1009
2007-10-21,0,,,44667.1009
2007-10-22,0,,,44666.1009
2007-10-23,0,,,44665.1009
2007-10-24,0,,,44664.1009
2007-10-25,0,,,44663.1009
2007-10-26,0,,,44662.1009
2007-10-27,0,,,44661.1009
2007-10-28,0,,,44660.1009
2007-10-29,0,,,44659.1009
2007-10-30,0,,,44658.1009
2007-10-31,8,,,44657.1009
2007-11-01,137,,,44656.1009
2007-11-02,137,,,44655.1009
2007-11-03,8,,,44654.1009
2007-11-04,0,,,44653.1009
2007-11-05,0,,,44652.1009
2007-11-06,0,,,44651.1009
2007-11-07,0,,,44650.1009
2007-11-08,0,,,44649.1009
2007-11-09,0,,,44648.1009
2007-11-10,0,,,44647.1009
2007-11-11,0,,,44646.1009
2007-11-12,0,,,44645.1009
2007-11-13,0,,,44644.1009
2007-11-14,0,,,44643.1009
2007-11-15,0,,,44642.1009
2007-11-16,0,,,44641.1009
2007-11-17,0,,,44640.1009
2007-11-18,0,,,44639.1009
2007-11-19,0,,,44638.1009
2007-11-20,0,,,44637.1009
2007-11-21,0,,,44636.1009
2007-11-22,0,,,44635.1009
2007-11-23,0,,,44634.1009
2007-11-24,0,,,44633.1009
2007-11-25,0,,,44632.1009
2007-11-26,0,,,44631.1009
2007-11-27,0,,,44630.1009
2007-11-28,0,,,44629.1009
2007-11-29,0,,,44628.1009
2007-11-30,0,,,44627.1009
2007-12-01,0,,,44626.1009
2007-12-02,0,,,44625.1009
2007-12-03,0,,,44624.1009
2007-12-04,0,,,44623.1009
2007-12-05,0,,,44622.1009
2007-12-06,0,,,44621.1009
2007-12-07,0,,,44620.1009
2007-12-08,0,,,44619.1009
2007-12-09,0,,,44618.1009
2007-12-10,0,,,44617.1009
2007-12-11,0,,,44616.1009
2007-12-12,19,,,44615.1009
2007-12-13,0,,,44614.1009
2007-12-14,0,,,44613.1009
2007-12-15,0,,,44612.1009
2007-12-16,0,,,44611.1009
2007-12-17,0,,,44610.1009
2007-12-18,0,,,44609.1009
2007-12-19,0,,,44608.1009
2007-12-20,0,,,44607.1009
2007-12-21,0,,,44606.1009
2007-12-22,0,,,44605.1009
2007-12-23,0,,,44604.1009
2007-12-24,0,,,44603.1009
2007-12-25,0,,,44602.1009
2007-12-26,0,,,44601.1009
2007-12-27,0,,,44600.1009
2007-12-28,0,,,44599.1009
2007-12-29,0,,,44598.1009
2007-12-30,0,,,44597.1009
2007-12-31,0,,,44596.1009
2008-01-01,0,,,44595.1009
2008-01-02,0,,,44594.1009
2008-01-03,0,,,44593.1009
2008-01-04,0,,,44592.1009
2008-01-05,0,,,44591.1009
2008-01-06,0,,,44590.1009
2008-01-07,0,,,44589.1009
2008-01-08,0,,,44588.1009
2008-01-09,0,,,44587.1009
2008-01-10,0,,,44586.1009
2008-01-11,0,,,44585.1009
2008-01-12,0,,,44584.1009
2008-01-13,0,,,44583.1009
2008-01-14,0,,,44582.1009
2008-01-15,0,,,44581.1009
2008-01-16,0,,,44580.1009
2008-01-17,0,,,44579.1009
2008-01-18,0,,,44578.1009
2008-01-19,0,,,44577.1009
2008-01-20,0,,,44576.1009
2008-01-21,0,,,44575.1009
2008-01-22,0,,,44574.1009
2008-01-23,0,,,44573.1009
2008-01-24,0,,,44572.1009
2008-01-25,0,,,44571.1009
2008-01-26,0,,,44570.1009
2008-01-27,0,,,44569.1009
2008-01-28,42,,,44568.1009
2008-01-29,96,,,44567.1009
2008-01-30,82,,,44566.1009
2008-01-31,72,,,44565.1009
2008-02-01,98,,,44564.1009
2008-02-02,114,,,44563.1009
2008-02-03,103,,,44562.1009
2008-02-04,113,,,44561.1009
2008-02-05,109,,,44560.1009
2008-02-06,94,,,44559.1009
2008-02-07,346,,,44558.1009
2008-02-08,476,,,44557.1009
2008-02-09,360,,,44556.1009
2008-02-10,496,,,44555.1009
2008-02-11,106,,,44554.1009
2008-02-12,100,,,44553.1009
2008-02-13,198,,,44552.1009
2008-02-14,198,,,44551.1009
2008-02-15,198,,,44550.1009
2008-02-16,97,,,44549.1009
2008-02-17,97,,,44548.1009
2008-02-18,90,,,44547.1009
2008-02-19,55,,,44546.1009
2008-02-20,55,,,44545.1009
2008-02-21,55,,,44544.1009
2008-02-22,55,,,44543.1009
2008-02-23,45,,,44542.1009
2008-02-24,89,,,44541.1009
2008-02-25,89,,,44540.1009
2008-02-26,58,,,44539.1009
2008-02-27,27,,,44538.1009
2008-02-28,0,,,44537.1009
2008-03-01,50,,,44535.1009
2008-03-02,25,,,44534.1009
2008-03-03,25,,,44533.1009
2008-03-04,25,,,44532.1009
2008-03-05,27,,,44531.1009
2008-03-06,36,,,44530.1009
2008-03-07,54,,,44529.1009
2008-03-08,52,,,44528.1009
2008-03-09,55,,,44527.1009
2008-03-10,60,,,44526.1009
2008-03-11,67,,,44525.1009
2008-03-12,134,,,44524.1009
2008-03-13,169,,,44523.1009
2008-03-14,141,,,44522.1009
2008-03-15,44,,,44521.1009
2008-03-16,13,,,44520.1009
2008-03-17,3,,,44519.1009
2008-03-18,0,,,44518.1009
2008-03-19,0,,,44517.1009
2008-03-20,0,,,44516.1009
2008-03-21,0,,,44515.1009
2008-03-22,0,,,44514.1009
2008-03-23,0,,,44513.1009
2008-03-24,0,,,44512.1009
2008-03-25,37,,,44511.1009
2008-03-26,23,,,44510.1009
2008-03-27,10,,,44509.1009
2008-03-28,19.7,,,44508.1009
2008-03-29,25,,,44507.1009
2008-03-30,16,,,44506.1009
2008-03-31,33,,,44505.1009
2008-04-01,90,,,44504.1009
2008-04-02,53,,,44503.1009
2008-04-03,6,,,44502.1009
2008-04-04,0,,,44501.1009
2008-04-05,0,,,44500.1009
2008-04-06,0,,,44499.1009
2008-04-07,0,,,44498.1009
2008-04-08,0,,,44497.1009
2008-04-09,6,,,44496.1009
2008-04-10,10,,,44495.1009
2008-04-11,14,,,44494.1009
2008-04-12,0,,,44493.1009
2008-04-13,0,,,44492.1009
2008-04-14,0,,,44491.1009
2008-04-15,7,,,44490.1009
2008-04-16,10,,,44489.1009
2008-04-17,2.6,,,44488.1009
2008-04-18,4,,,44487.1009
2008-04-19,0,,,44486.1009
2008-04-20,0,,,44485.1009
2008-04-21,0,,,44484.1009
2008-04-22,,,,42020.5504
2008-04-23,,,,42020.5504
2008-04-24,,,,42020.5504
2008-04-25,,,,42020.5504
2008-04-26,,,,42020.5504
2008-04-27,,,,42020.5504
2008-04-28,,,,42020.5504
2008-04-29,,,,42020.5504
2008-04-30,,,,42020.5504
2008-05-01,,,,42020.5504
2008-05-02,0,,,44473.1009
2008-05-03,0,,,44472.1009
2008-05-04,39,,,44471.1009
2008-05-05,68.6,,,44470.1009
2008-05-06,62,,,44469.1009
2008-05-07,50,,,44468.1009
2008-05-08,27,,,44467.1009
2008-05-09,0,,,44466.1009
2008-05-10,0,,,44465.1009
2008-05-11,0,,,44464.1009
2008-05-12,0,,,44463.1009
2008-05-13,0,,,44462.1009
2008-05-14,0,,,44461.1009
2008-05-15,0,,,44460.1009
2008-05-16,0,,,44459.1009
2008-05-17,0,,,44458.1009
2008-05-18,0,,,44457.1009
2008-05-19,0,,,44456.1009
2008-05-20,0,,,44455.1009
2008-05-21,0,,,44454.1009
2008-05-22,0.5,,,44453.1009
2008-05-23,0,,,44452.1009
2008-05-24,0,,,44451.1009
2008-05-25,0,,,44450.1009
2008-05-26,0,,,44449.1009
2008-05-27,0,,,44448.1009
2008-05-28,0,,,44447.1009
2008-05-29,0,,,44446.1009
2008-05-30,0,,,44445.1009
2008-05-31,0,,,44444.1009
2008-06-01,0,,,44443.1009
2008-06-02,0,,,44442.1009
2008-06-03,0,,,44441.1009
2008-06-04,69,,,44440.1009
2008-06-05,50,,,44439.1009
2008-06-06,0,,,44438.1009
2008-06-07,0,,,44437.1009
2008-06-08,0,,,44436.1009
2008-06-09,0,,,44435.1009
2008-06-10,0,,,44434.1009
2008-06-11,0,,,44433.1009
2008-06-12,0,,,44432.1009
2008-06-13,0,,,44431.1009
2008-06-14,0,,,44430.1009
2008-06-15,0,,,44429.1009
2008-06-16,0,,,44428.1009
2008-06-17,0,,,44427.1009
2008-06-18,9,,,44426.1009
2008-06-19,9,,,44425.1009
2008-06-20,,,,42020.5504
2008-06-21,,,,42020.5504
2008-06-22,,,,42020.5504
2008-06-23,,,,42020.5504
2008-06-24,,,,42020.5504
2008-06-25,,,,42020.5504
2008-06-26,,,,42020.5504
2008-06-27,0,,,44417.1009
2008-06-28,0,,,44416.1009
2008-06-29,,,,42020.5504
2008-06-30,81,,,44414.1009
2008-07-01,0,,,44413.1009
2008-07-02,6,,,44412.1009
2008-07-03,5,,,44411.1009
2008-07-04,0,,,44410.1009
2008-07-05,0,,,44409.1009
2008-07-06,0,,,44408.1009
2008-07-07,0,,,44407.1009
2008-07-08,0,,,44406.1009
2008-07-09,0,,,44405.1009
2008-07-10,0,,,44404.1009
2008-07-11,0,,,44403.1009
2008-07-12,0,,,44402.1009
2008-07-13,0,,,44401.1009
2008-07-14,0,,,44400.1009
2008-07-15,0,,,44399.1009
2008-07-16,1,,,44398.1009
2008-07-17,0,,,44397.1009
2008-07-18,0,,,44396.1009
2008-07-19,0,,,44395.1009
2008-07-20,0,,,44394.1009
2008-07-21,0,,,44393.1009
2008-07-22,0,,,44392.1009
2008-07-23,0,,,44391.1009
2008-07-24,0,,,44390.1009
2008-07-25,0,,,44389.1009
2008-07-26,0,,,44388.1009
2008-07-27,0,,,44387.1009
2008-07-28,0,,,44386.1009
2008-07-29,0,,,44385.1009
2008-07-30,0,,,44384.1009
2008-07-31,0,,,44383.1009
2008-08-01,0,,,44382.1009
2008-08-02,0,,,44381.1009
2008-08-03,0,,,44380.1009
2008-08-04,0,,,44379.1009
2008-08-05,0,,,44378.1009
2008-08-06,0,,,44377.1009
2008-08-07,0,,,44376.1009
