DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,920,,,44688.0997
2007-10-01,1377,,,44687.0997
2007-10-02,1643,,,44686.0997
2007-10-03,1708,,,44685.0997
2007-10-04,1263,,,44684.0997
2007-10-05,1268,,,44683.0997
2007-10-06,1279,,,44682.0997
2007-10-07,1284,,,44681.0997
2007-10-08,1569,,,44680.0997
2007-10-09,945,,,44679.0997
2007-10-10,922,,,44678.0997
2007-10-11,991,,,44677.0997
2007-10-12,770,,,44676.0997
2007-10-13,311,,,44675.0997
2007-10-14,327,,,44674.0997
2007-10-15,285,,,44673.0997
2007-10-16,385,,,44672.0997
2007-10-17,468,,,44671.0997
2007-10-18,457,,,44670.0997
2007-10-19,782,,,44669.0997
2007-10-20,374,,,44668.0997
2007-10-21,354,,,44667.0997
2007-10-22,689,,,44666.0997
2007-10-23,692,,,44665.0997
2007-10-24,666,,,44664.0997
2007-10-25,519,,,44663.0997
2007-10-26,526,,,44662.0997
2007-10-27,839,,,44661.0997
2007-10-28,900,,,44660.0997
2007-10-29,398,,,44659.0997
2007-10-30,447,,,44658.0997
2007-10-31,386,,,44657.0997
2007-11-01,397,,,44656.0997
2007-11-02,451,,,44655.0997
2007-11-03,411,,,44654.0997
2007-11-04,475,,,44653.0997
2007-11-05,450,,,44652.0997
2007-11-06,468,,,44651.0997
2007-11-07,509,,,44650.0997
2007-11-08,579,,,44649.0997
2007-11-09,488,,,44648.0997
2007-11-10,401,,,44647.0997
2007-11-11,403,,,44646.0997
2007-11-12,392,,,44645.0997
2007-11-13,467,,,44644.0997
2007-11-14,387,,,44643.0997
2007-11-15,417,,,44642.0997
2007-11-16,315,,,44641.0997
2007-11-17,190,,,44640.0997
2007-11-18,404,,,44639.0997
2007-11-19,401,,,44638.0997
2007-11-20,403,,,44637.0997
2007-11-21,404,,,44636.0997
2007-11-22,403,,,44635.0997
2007-11-23,404,,,44634.0997
2007-11-24,415,,,44633.0997
2007-11-25,407,,,44632.0997
2007-11-26,376,,,44631.0997
2007-11-27,417,,,44630.0997
2007-11-28,199,,,44629.0997
2007-11-29,195,,,44628.0997
2007-11-30,200,,,44627.0997
2007-12-01,249,,,44626.0997
2007-12-02,420,,,44625.0997
2007-12-03,219,,,44624.0997
2007-12-04,371,,,44623.0997
2007-12-05,384,,,44622.0997
2007-12-06,308,,,44621.0997
2007-12-07,203,,,44620.0997
2007-12-08,193,,,44619.0997
2007-12-09,206,,,44618.0997
2007-12-10,197,,,44617.0997
2007-12-11,198,,,44616.0997
2007-12-12,215,,,44615.0997
2007-12-13,234,,,44614.0997
2007-12-14,198,,,44613.0997
2007-12-15,196,,,44612.0997
2007-12-16,194,,,44611.0997
2007-12-17,195,,,44610.0997
2007-12-18,195,,,44609.0997
2007-12-19,195,,,44608.0997
2007-12-20,195,,,44607.0997
2007-12-21,194,,,44606.0997
2007-12-22,194,,,44605.0997
2007-12-23,194,,,44604.0997
2007-12-24,207,,,44603.0997
2007-12-25,196,,,44602.0997
2007-12-26,193,,,44601.0997
2007-12-27,205,,,44600.0997
2007-12-28,192,,,44599.0997
2007-12-29,193,,,44598.0997
2007-12-30,192,,,44597.0997
2007-12-31,192,,,44596.0997
2008-01-01,192,,,44595.0997
2008-01-02,185,,,44594.0997
2008-01-03,180,,,44593.0997
2008-01-04,173,,,44592.0997
2008-01-05,179,,,44591.0997
2008-01-06,179,,,44590.0997
2008-01-07,194,,,44589.0997
2008-01-08,180,,,44588.0997
2008-01-09,182,,,44587.0997
2008-01-10,175,,,44586.0997
2008-01-11,177,,,44585.0997
2008-01-12,177,,,44584.0997
2008-01-13,176,,,44583.0997
2008-01-14,175,,,44582.0997
2008-01-15,176,,,44581.0997
2008-01-16,176,,,44580.0997
2008-01-17,177,,,44579.0997
2008-01-18,177,,,44578.0997
2008-01-19,177,,,44577.0997
2008-01-20,175,,,44576.0997
2008-01-21,176,,,44575.0997
2008-01-22,202,,,44574.0997
2008-01-23,202,,,44573.0997
2008-01-24,198,,,44572.0997
2008-01-25,189,,,44571.0997
2008-01-26,191,,,44570.0997
2008-01-27,192,,,44569.0997
2008-01-28,215,,,44568.0997
2008-01-29,235,,,44567.0997
2008-01-30,204,,,44566.0997
2008-01-31,205,,,44565.0997
2008-02-01,191,,,44564.0997
2008-02-02,190,,,44563.0997
2008-02-03,191,,,44562.0997
2008-02-04,194,,,44561.0997
2008-02-05,194,,,44560.0997
2008-02-06,191,,,44559.0997
2008-02-07,192,,,44558.0997
2008-02-08,199,,,44557.0997
2008-02-09,200,,,44556.0997
2008-02-10,201,,,44555.0997
2008-02-11,199,,,44554.0997
2008-02-12,200,,,44553.0997
2008-02-13,198,,,44552.0997
2008-02-14,195,,,44551.0997
2008-02-15,205,,,44550.0997
2008-02-16,189,,,44549.0997
2008-02-17,188,,,44548.0997
2008-02-18,187,,,44547.0997
2008-02-19,377,,,44546.0997
2008-02-20,211,,,44545.0997
2008-02-21,681,,,44544.0997
2008-02-22,737,,,44543.0997
2008-02-23,400,,,44542.0997
2008-02-24,258,,,44541.0997
2008-02-25,656,,,44540.0997
2008-02-26,537,,,44539.0997
2008-02-27,370,,,44538.0997
2008-02-28,256,,,44537.0997
2008-03-01,205,,,44535.0997
2008-03-02,214,,,44534.0997
2008-03-03,579,,,44533.0997
2008-03-04,669,,,44532.0997
2008-03-05,720,,,44531.0997
2008-03-06,782,,,44530.0997
2008-03-07,850,,,44529.0997
2008-03-08,554,,,44528.0997
2008-03-09,712,,,44527.0997
2008-03-10,811,,,44526.0997
2008-03-11,674,,,44525.0997
2008-03-12,741,,,44524.0997
2008-03-13,1004,,,44523.0997
2008-03-14,993,,,44522.0997
2008-03-15,1509,,,44521.0997
2008-03-16,1821,,,44520.0997
2008-03-17,1895,,,44519.0997
2008-03-18,2090,,,44518.0997
2008-03-19,2443,,,44517.0997
2008-03-20,2679,,,44516.0997
2008-03-21,2733,,,44515.0997
2008-03-22,3226,,,44514.0997
2008-03-23,2324,,,44513.0997
2008-03-24,2494,,,44512.0997
2008-03-25,1925,,,44511.0997
2008-03-26,2673,,,44510.0997
2008-03-27,3065,,,44509.0997
2008-03-28,2498,,,44508.0997
2008-03-29,1329,,,44507.0997
2008-03-30,1714,,,44506.0997
2008-03-31,2425,,,44505.0997
2008-04-01,2242,,,44504.0997
2008-04-02,2491,,,44503.0997
2008-04-03,2338,,,44502.0997
2008-04-04,1314,,,44501.0997
2008-04-05,1260,,,44500.0997
2008-04-06,1482,,,44499.0997
2008-04-07,1645,,,44498.0997
2008-04-08,2014,,,44497.0997
2008-04-09,2013,,,44496.0997
2008-04-10,1805,,,44495.0997
2008-04-11,1487,,,44494.0997
2008-04-12,1412,,,44493.0997
2008-04-13,1657,,,44492.0997
2008-04-14,1327,,,44491.0997
2008-04-15,1459,,,44490.0997
2008-04-16,1881,,,44489.0997
2008-04-17,2058,,,44488.0997
2008-04-18,2188,,,44487.0997
2008-04-19,1318,,,44486.0997
2008-04-20,2340,,,44485.0997
2008-04-21,2371,,,44484.0997
2008-04-22,3056,,,44483.0997
2008-04-23,2176,,,44482.0997
2008-04-24,2258,,,44481.0997
2008-04-25,2446,,,44480.0997
2008-04-26,2257,,,44479.0997
2008-04-27,2287,,,44478.0997
2008-04-28,2449,,,44477.0997
2008-04-29,2117,,,44476.0997
2008-04-30,1941,,,44475.0997
2008-05-01,2636,,,44474.0997
2008-05-02,2641,,,44473.0997
2008-05-03,1877,,,44472.0997
2008-05-04,2224,,,44471.0997
2008-05-05,3084,,,44470.0997
2008-05-06,3009,,,44469.0997
2008-05-07,3048,,,44468.0997
2008-05-08,3192,,,44467.0997
2008-05-09,3053,,,44466.0997
2008-05-10,2834,,,44465.0997
2008-05-11,2533,,,44464.0997
2008-05-12,2114,,,44463.0997
2008-05-13,2724,,,44462.0997
2008-05-14,2527,,,44461.0997
2008-05-15,3195,,,44460.0997
2008-05-16,2759,,,44459.0997
2008-05-17,2565,,,44458.0997
2008-05-18,2623,,,44457.0997
2008-05-19,2919,,,44456.0997
2008-05-20,2228,,,44455.0997
2008-05-21,2129,,,44454.0997
2008-05-22,2485,,,44453.0997
2008-05-23,2813,,,44452.0997
2008-05-24,2015,,,44451.0997
2008-05-25,2069,,,44450.0997
2008-05-26,1956,,,44449.0997
2008-05-27,1808,,,44448.0997
2008-05-28,2126,,,44447.0997
2008-05-29,2220,,,44446.0997
2008-05-30,1734,,,44445.0997
2008-05-31,1155,,,44444.0997
2008-06-01,1394,,,44443.0997
2008-06-02,1309,,,44442.0997
2008-06-03,1403,,,44441.0997
2008-06-04,860,,,44440.0997
2008-06-05,1708,,,44439.0997
2008-06-06,1515,,,44438.0997
2008-06-07,1630,,,44437.0997
