DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,864.6,,,44688.1013
2007-10-01,864.6,,,44687.1013
2007-10-02,906,,,44686.1013
2007-10-03,869.7,,,44685.1013
2007-10-04,840.4,,,44684.1013
2007-10-05,878.2,,,44683.1013
2007-10-06,886.8,,,44682.1013
2007-10-07,886.8,,,44681.1013
2007-10-08,903.5,,,44680.1013
2007-10-09,942.8,,,44679.1013
2007-10-10,917.1,,,44678.1013
2007-10-11,944.3,,,44677.1013
2007-10-12,1023.4,,,44676.1013
2007-10-13,1098.1,,,44675.1013
2007-10-14,1112.2,,,44674.1013
2007-10-15,894.9,,,44673.1013
2007-10-16,1015.4,,,44672.1013
2007-10-17,1045.6,,,44671.1013
2007-10-18,981.1,,,44670.1013
2007-10-19,968,,,44669.1013
2007-10-20,968.5,,,44668.1013
2007-10-21,970,,,44667.1013
2007-10-22,971,,,44666.1013
2007-10-23,971,,,44665.1013
2007-10-24,1020.9,,,44664.1013
2007-10-25,1049.2,,,44663.1013
2007-10-26,1050.2,,,44662.1013
2007-10-27,1048.7,,,44661.1013
2007-10-28,1052.7,,,44660.1013
2007-10-29,1047.1,,,44659.1013
2007-10-30,1045.1,,,44658.1013
2007-10-31,1045.6,,,44657.1013
2007-11-01,1046.6,,,44656.1013
2007-11-02,1047.1,,,44655.1013
2007-11-03,1047.1,,,44654.1013
2007-11-04,526.8,,,44653.1013
2007-11-05,1073.9,,,44652.1013
2007-11-06,1094.5,,,44651.1013
2007-11-07,1089,,,44650.1013
2007-11-08,1077.9,,,44649.1013
2007-11-09,1077.4,,,44648.1013
2007-11-10,1077.4,,,44647.1013
2007-11-11,1063.3,,,44646.1013
2007-11-12,1062.3,,,44645.1013
2007-11-13,1078.9,,,44644.1013
2007-11-14,1081.9,,,44643.1013
2007-11-15,1090,,,44642.1013
2007-11-16,1088.5,,,44641.1013
2007-11-17,1086.5,,,44640.1013
2007-11-18,1086,,,44639.1013
2007-11-19,1086,,,44638.1013
2007-11-20,1084.4,,,44637.1013
2007-11-21,1058.2,,,44636.1013
2007-11-22,1028.5,,,44635.1013
2007-11-23,1029.5,,,44634.1013
2007-11-24,1036,,,44633.1013
2007-11-25,1039.1,,,44632.1013
2007-11-26,1028,,,44631.1013
2007-11-27,1014.4,,,44630.1013
2007-11-28,1005.3,,,44629.1013
2007-11-29,999.7,,,44628.1013
2007-11-30,975.5,,,44627.1013
2007-12-01,1004.3,,,44626.1013
2007-12-02,1004.3,,,44625.1013
2007-12-03,1002.8,,,44624.1013
2007-12-04,1001.3,,,44623.1013
2007-12-05,999.2,,,44622.1013
2007-12-06,997.2,,,44621.1013
2007-12-07,941.8,,,44620.1013
2007-12-08,901.4,,,44619.1013
2007-12-09,901.9,,,44618.1013
2007-12-10,902.4,,,44617.1013
2007-12-11,900.9,,,44616.1013
2007-12-12,900.4,,,44615.1013
2007-12-13,898.4,,,44614.1013
2007-12-14,898.9,,,44613.1013
2007-12-15,420,,,44612.1013
2007-12-16,810.7,,,44611.1013
2007-12-17,812.2,,,44610.1013
2007-12-18,722.5,,,44609.1013
2007-12-19,833.9,,,44608.1013
2007-12-20,1443.9,,,44607.1013
2007-12-21,1625.9,,,44606.1013
2007-12-22,1577.5,,,44605.1013
2007-12-23,801.6,,,44604.1013
2007-12-24,736.1,,,44603.1013
2007-12-25,736.6,,,44602.1013
2007-12-26,736.6,,,44601.1013
2007-12-27,737.6,,,44600.1013
2007-12-28,737.6,,,44599.1013
2007-12-29,738.1,,,44598.1013
2007-12-30,736.6,,,44597.1013
2007-12-31,735.6,,,44596.1013
2008-01-01,735.6,,,44595.1013
2008-01-02,738.6,,,44594.1013
2008-01-03,907.5,,,44593.1013
2008-01-04,1131.3,,,44592.1013
2008-01-05,2163.3,,,44591.1013
2008-01-06,2512.7,,,44590.1013
2008-01-07,2502.1,,,44589.1013
2008-01-08,2488,,,44588.1013
2008-01-09,1609.8,,,44587.1013
2008-01-10,1040.6,,,44586.1013
2008-01-11,1013.4,,,44585.1013
2008-01-12,1014.4,,,44584.1013
2008-01-13,1012.9,,,44583.1013
2008-01-14,1012.4,,,44582.1013
2008-01-15,1011.8,,,44581.1013
2008-01-16,1012.9,,,44580.1013
2008-01-17,1012.9,,,44579.1013
2008-01-18,934.7,,,44578.1013
2008-01-19,856.6,,,44577.1013
2008-01-20,860.6,,,44576.1013
2008-01-21,857.1,,,44575.1013
2008-01-22,850,,,44574.1013
2008-01-23,769.9,,,44573.1013
2008-01-24,836.9,,,44572.1013
2008-01-25,846,,,44571.1013
2008-01-26,848,,,44570.1013
2008-01-27,850.5,,,44569.1013
2008-01-28,730.5,,,44568.1013
2008-01-29,2161.8,,,44567.1013
2008-01-30,2243.5,,,44566.1013
2008-01-31,2016.1,,,44565.1013
2008-02-01,1231.7,,,44564.1013
2008-02-02,1207.5,,,44563.1013
2008-02-03,1658.2,,,44562.1013
2008-02-04,2005,,,44561.1013
2008-02-05,1996.5,,,44560.1013
2008-02-06,1840.7,,,44559.1013
2008-02-07,1214.5,,,44558.1013
2008-02-08,1198.4,,,44557.1013
2008-02-09,1200.4,,,44556.1013
2008-02-10,1202.4,,,44555.1013
2008-02-11,1203.4,,,44554.1013
2008-02-12,1203.4,,,44553.1013
2008-02-13,1203.4,,,44552.1013
2008-02-14,1022.4,,,44551.1013
2008-02-15,885.3,,,44550.1013
2008-02-16,884.3,,,44549.1013
2008-02-17,885.8,,,44548.1013
2008-02-18,886.3,,,44547.1013
2008-02-19,886.3,,,44546.1013
2008-02-20,885.8,,,44545.1013
2008-02-21,889.8,,,44544.1013
2008-02-22,929.2,,,44543.1013
2008-02-23,1336.5,,,44542.1013
2008-02-24,1744.4,,,44541.1013
2008-02-25,3485.8,,,44540.1013
2008-02-26,3440.9,,,44539.1013
2008-02-27,1809.9,,,44538.1013
2008-02-28,913.5,,,44537.1013
2008-03-01,913,,,44535.1013
2008-03-02,910,,,44534.1013
2008-03-03,911,,,44533.1013
2008-03-04,911.5,,,44532.1013
2008-03-05,910.5,,,44531.1013
