DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,1610,,,44688.101
2007-10-01,1470,,,44687.101
2007-10-02,1579,,,44686.101
2007-10-03,1421,,,44685.101
2007-10-04,1448,,,44684.101
2007-10-05,1444,,,44683.101
2007-10-06,1602,,,44682.101
2007-10-07,1654,,,44681.101
2007-10-08,1617,,,44680.101
2007-10-09,1400,,,44679.101
2007-10-10,1576,,,44678.101
2007-10-11,1444,,,44677.101
2007-10-12,1525,,,44676.101
2007-10-13,1287,,,44675.101
2007-10-14,1467,,,44674.101
2007-10-15,1592,,,44673.101
2007-10-16,1641,,,44672.101
2007-10-17,1499,,,44671.101
2007-10-18,1368,,,44670.101
2007-10-19,1416,,,44669.101
2007-10-20,1429,,,44668.101
2007-10-21,1459,,,44667.101
2007-10-22,1377,,,44666.101
2007-10-23,1562,,,44665.101
2007-10-24,1383,,,44664.101
2007-10-25,1479,,,44663.101
2007-10-26,1350,,,44662.101
2007-10-27,1842,,,44661.101
2007-10-28,1386,,,44660.101
2007-10-29,1629,,,44659.101
2007-10-30,1477,,,44658.101
2007-10-31,1228,,,44657.101
2007-11-01,1278,,,44656.101
2007-11-02,1556,,,44655.101
2007-11-03,1432,,,44654.101
2007-11-04,1355,,,44653.101
2007-11-05,1371,,,44652.101
2007-11-06,1437,,,44651.101
2007-11-07,1411,,,44650.101
2007-11-08,1525,,,44649.101
2007-11-09,1460,,,44648.101
2007-11-10,1233,,,44647.101
2007-11-11,1181,,,44646.101
2007-11-12,1497,,,44645.101
2007-11-13,1497,,,44644.101
2007-11-14,1114,,,44643.101
2007-11-15,1547,,,44642.101
2007-11-16,1318,,,44641.101
2007-11-17,1479,,,44640.101
2007-11-18,1340,,,44639.101
2007-11-19,1550,,,44638.101
2007-11-20,1493,,,44637.101
2007-11-21,1416,,,44636.101
2007-11-22,1227,,,44635.101
2007-11-23,1352,,,44634.101
2007-11-24,1436,,,44633.101
2007-11-25,1402,,,44632.101
2007-11-26,1396,,,44631.101
2007-11-27,1110,,,44630.101
2007-11-28,1142,,,44629.101
2007-11-29,1367,,,44628.101
2007-11-30,1531,,,44627.101
2007-12-01,1467,,,44626.101
