DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,16,,,44688.1
2007-10-01,22,,,44687.1
2007-10-02,16,,,44686.1
2007-10-03,1,,,44685.1
2007-10-04,9,,,44684.1
2007-10-05,6,,,44683.1
2007-10-06,1,,,44682.1
2007-10-07,0,,,44681.1
2007-10-08,1,,,44680.1
2007-10-09,0,,,44679.1
2007-10-10,0,,,44678.1
2007-10-11,0,,,44677.1
2007-10-12,0,,,44676.1
2007-10-13,0,,,44675.1
2007-10-14,0,,,44674.1
2007-10-15,0,,,44673.1
2007-10-16,0,,,44672.1
2007-10-17,0,,,44671.1
2007-10-18,0,,,44670.1
2007-10-19,0,,,44669.1
2007-10-20,0,,,44668.1
2007-10-21,0,,,44667.1
2007-10-22,0,,,44666.1
2007-10-23,0,,,44665.1
2007-10-24,0,,,44664.1
2007-10-25,0,,,44663.1
2007-10-26,0,,,44662.1
2007-10-27,0,,,44661.1
2007-10-28,0,,,44660.1
2007-10-29,0,,,44659.1
2007-10-30,0,,,44658.1
2007-10-31,0,,,44657.1
2007-11-01,0,,,44656.1
2007-11-02,0,,,44655.1
2007-11-03,0,,,44654.1
2007-11-04,0,,,44653.1
2007-11-05,0,,,44652.1
2007-11-06,0,,,44651.1
2007-11-07,0,,,44650.1
2007-11-08,0,,,44649.1
2007-11-09,0,,,44648.1
2007-11-10,0,,,44647.1
2007-11-11,0,,,44646.1
2007-11-12,0,,,44645.1
2007-11-13,0,,,44644.1
2007-11-14,0,,,44643.1
2007-11-15,0,,,44642.1
2007-11-16,0,,,44641.1
2007-11-17,0,,,44640.1
2007-11-18,0,,,44639.1
2007-11-19,0,,,44638.1
2007-11-20,0,,,44637.1
2007-11-21,0,,,44636.1
2007-11-22,0,,,44635.1
2007-11-23,0,,,44634.1
2007-11-24,0,,,44633.1
2007-11-25,0,,,44632.1
2007-11-26,0,,,44631.1
2007-11-27,0,,,44630.1
2007-11-28,0,,,44629.1
2007-11-29,0,,,44628.1
2007-11-30,0,,,44627.1
2007-12-01,0,,,44626.1
2007-12-02,0,,,44625.1
2007-12-03,0,,,44624.1
2007-12-04,0,,,44623.1
2007-12-05,0,,,44622.1
2007-12-06,0,,,44621.1
2007-12-07,0,,,44620.1
2007-12-08,0,,,44619.1
2007-12-09,0,,,44618.1
2007-12-10,0,,,44617.1
2007-12-11,0,,,44616.1
2007-12-12,0,,,44615.1
2007-12-13,0,,,44614.1
2007-12-14,0,,,44613.1
2007-12-15,0,,,44612.1
2007-12-16,0,,,44611.1
2007-12-17,0,,,44610.1
2007-12-18,0,,,44609.1
2007-12-19,0,,,44608.1
2007-12-20,0,,,44607.1
2007-12-21,0,,,44606.1
2007-12-22,0,,,44605.1
2007-12-23,0,,,44604.1
2007-12-24,0,,,44603.1
2007-12-25,0,,,44602.1
2007-12-26,0,,,44601.1
2007-12-27,0,,,44600.1
2007-12-28,0,,,44599.1
2007-12-29,0,,,44598.1
2007-12-30,0,,,44597.1
2007-12-31,0,,,44596.1
2008-01-01,0,,,44595.1
2008-01-02,0,,,44594.1
2008-01-03,0,,,44593.1
2008-01-04,0,,,44592.1
2008-01-05,0,,,44591.1
2008-01-06,0,,,44590.1
2008-01-07,44,,,44589.1
2008-01-08,196,,,44588.1
2008-01-09,242,,,44587.1
2008-01-10,18,,,44586.1
2008-01-11,0,,,44585.1
2008-01-12,0,,,44584.1
2008-01-13,0,,,44583.1
2008-01-14,0,,,44582.1
2008-01-15,0,,,44581.1
2008-01-16,0,,,44580.1
2008-01-17,0,,,44579.1
2008-01-18,0,,,44578.1
2008-01-19,0,,,44577.1
2008-01-20,0,,,44576.1
2008-01-21,0,,,44575.1
2008-01-22,0,,,44574.1
2008-01-23,115,,,44573.1
2008-01-24,430,,,44572.1
2008-01-25,339,,,44571.1
2008-01-26,201,,,44570.1
2008-01-27,206,,,44569.1
2008-01-28,426,,,44568.1
2008-01-29,573,,,44567.1
2008-01-30,382,,,44566.1
2008-01-31,106,,,44565.1
2008-02-02,87,,,44563.1
2008-02-03,255,,,44562.1
2008-02-04,344,,,44561.1
2008-02-05,445,,,44560.1
2008-02-06,98,,,44559.1
2008-02-07,36,,,44558.1
2008-02-08,18,,,44557.1
2008-02-09,3,,,44556.1
2008-02-10,7,,,44555.1
2008-02-11,8,,,44554.1
2008-02-12,0,,,44553.1
2008-02-13,0,,,44552.1
2008-02-14,0,,,44551.1
2008-02-15,0,,,44550.1
2008-02-16,0,,,44549.1
2008-02-17,0,,,44548.1
2008-02-18,0,,,44547.1
2008-02-19,0,,,44546.1
2008-02-20,0,,,44545.1
2008-02-21,0,,,44544.1
2008-02-22,0,,,44543.1
2008-02-23,0,,,44542.1
2008-02-24,0,,,44541.1
2008-02-25,33,,,44540.1
2008-02-26,35,,,44539.1
