DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,111,,,44688.1
2007-10-01,107,,,44687.1
2007-10-02,84,,,44686.1
2007-10-03,83,,,44685.1
2007-10-04,81,,,44684.1
2007-10-05,72,,,44683.1
2007-10-06,44,,,44682.1
2007-10-07,38,,,44681.1
2007-10-08,38,,,44680.1
2007-10-09,38,,,44679.1
2007-10-10,38,,,44678.1
2007-10-11,37,,,44677.1
2007-10-12,37,,,44676.1
2007-10-13,59,,,44675.1
2007-10-14,60,,,44674.1
2007-10-15,388,,,44673.1
2007-10-16,400,,,44672.1
2007-10-17,399,,,44671.1
2007-10-18,382,,,44670.1
2007-10-19,376,,,44669.1
2007-10-20,312,,,44668.1
2007-10-21,275,,,44667.1
2007-10-22,271,,,44666.1
2007-10-23,288,,,44665.1
2007-10-24,342,,,44664.1
2007-10-25,362,,,44663.1
2007-10-26,361,,,44662.1
2007-10-27,378,,,44661.1
2007-10-28,349,,,44660.1
2007-10-29,184,,,44659.1
2007-10-30,45,,,44658.1
2007-10-31,0,,,44657.1
2007-11-01,0,,,44656.1
2007-11-02,0,,,44655.1
2007-11-03,21,,,44654.1
2007-11-04,72,,,44653.1
2007-11-05,78,,,44652.1
2007-11-06,78,,,44651.1
2007-11-07,80,,,44650.1
2007-11-08,89,,,44649.1
2007-11-09,89,,,44648.1
2007-11-10,91,,,44647.1
2007-11-11,91,,,44646.1
2007-11-12,91,,,44645.1
2007-11-13,91,,,44644.1
2007-11-14,91,,,44643.1
2007-11-15,92,,,44642.1
2007-11-16,91,,,44641.1
2007-11-17,91,,,44640.1
2007-11-18,91,,,44639.1
2007-11-19,91,,,44638.1
2007-11-20,89,,,44637.1
2007-11-21,86,,,44636.1
2007-11-22,86,,,44635.1
2007-11-23,86,,,44634.1
2007-11-24,86,,,44633.1
2007-11-25,85,,,44632.1
2007-11-26,70,,,44631.1
2007-11-27,69,,,44630.1
2007-11-28,69,,,44629.1
2007-11-29,69,,,44628.1
2007-11-30,92,,,44627.1
2007-12-01,92,,,44626.1
2007-12-02,92,,,44625.1
2007-12-03,92,,,44624.1
2007-12-04,91,,,44623.1
2007-12-05,80,,,44622.1
2007-12-06,55,,,44621.1
2007-12-07,50,,,44620.1
2007-12-08,41,,,44619.1
2007-12-09,38,,,44618.1
2007-12-10,33,,,44617.1
2007-12-11,32,,,44616.1
2007-12-12,32,,,44615.1
2007-12-13,32,,,44614.1
2007-12-14,32,,,44613.1
2007-12-15,34,,,44612.1
2007-12-16,34,,,44611.1
2007-12-17,34,,,44610.1
2007-12-18,36,,,44609.1
2007-12-19,19,,,44608.1
2007-12-20,1.9,,,44607.1
2007-12-21,0,,,44606.1
2007-12-22,0,,,44605.1
2007-12-23,0,,,44604.1
2007-12-24,0,,,44603.1
2007-12-25,0,,,44602.1
2007-12-26,0,,,44601.1
2007-12-27,0,,,44600.1
2007-12-28,0,,,44599.1
2007-12-29,0,,,44598.1
2007-12-30,0,,,44597.1
2007-12-31,0,,,44596.1
2008-01-01,0,,,44595.1
2008-01-02,0,,,44594.1
2008-01-03,0,,,44593.1
2008-01-04,0,,,44592.1
2008-01-05,0,,,44591.1
2008-01-06,20,,,44590.1
2008-01-07,193,,,44589.1
2008-01-08,468,,,44588.1
2008-01-09,310,,,44587.1
2008-01-10,2.4,,,44586.1
2008-01-11,1.2,,,44585.1
2008-01-12,0.3,,,44584.1
2008-01-13,0,,,44583.1
2008-01-14,0.9,,,44582.1
2008-01-15,1.4,,,44581.1
2008-01-16,1.3,,,44580.1
2008-01-17,36,,,44579.1
