DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,239,,,44688.134
2007-10-01,220,,,44687.134
2007-10-02,220,,,44686.134
2007-10-03,220,,,44685.134
2007-10-04,220,,,44684.134
2007-10-05,236,,,44683.134
2007-10-06,245,,,44682.134
2007-10-07,245,,,44681.134
2007-10-08,255,,,44680.134
2007-10-09,233,,,44679.134
2007-10-10,192,,,44678.134
2007-10-11,159,,,44677.134
2007-10-12,138,,,44676.134
2007-10-13,121,,,44675.134
2007-10-14,106,,,44674.134
2007-10-15,48,,,44673.134
2007-10-16,10,,,44672.134
2007-10-17,11,,,44671.134
2007-10-18,10,,,44670.134
2007-10-19,10,,,44669.134
2007-10-20,10,,,44668.134
2007-10-21,10,,,44667.134
2007-10-22,10,,,44666.134
2007-10-23,10,,,44665.134
2007-10-24,10,,,44664.134
2007-10-25,10,,,44663.134
2007-10-26,10,,,44662.134
2007-10-27,10,,,44661.134
2007-10-28,8,,,44660.134
2007-10-29,7,,,44659.134
2007-10-30,9,,,44658.134
2007-10-31,10,,,44657.134
2007-11-01,10,,,44656.134
2007-11-02,10,,,44655.134
2007-11-03,10,,,44654.134
2007-11-04,10,,,44653.134
2007-11-05,11,,,44652.134
2007-11-06,11,,,44651.134
2007-11-07,11,,,44650.134
2007-11-08,11,,,44649.134
2007-11-09,11,,,44648.134
2007-11-10,11,,,44647.134
2007-11-11,11,,,44646.134
2007-11-12,11,,,44645.134
2007-11-13,11,,,44644.134
2007-11-14,11,,,44643.134
2007-11-15,10,,,44642.134
2007-11-16,10,,,44641.134
2007-11-17,10,,,44640.134
2007-11-18,10,,,44639.134
2007-11-19,10,,,44638.134
2007-11-20,10,,,44637.134
2007-11-21,10,,,44636.134
2007-11-22,10,,,44635.134
2007-11-23,10,,,44634.134
2007-11-24,10,,,44633.134
2007-11-25,10,,,44632.134
2007-11-26,11,,,44631.134
2007-11-27,12,,,44630.134
2007-11-28,11,,,44629.134
2007-11-29,11,,,44628.134
2007-11-30,11,,,44627.134
2007-12-01,12,,,44626.134
2007-12-02,12,,,44625.134
2007-12-03,11,,,44624.134
2007-12-04,12,,,44623.134
2007-12-05,12,,,44622.134
2007-12-06,11,,,44621.134
2007-12-07,11,,,44620.134
2007-12-08,11,,,44619.134
2007-12-09,11,,,44618.134
2007-12-10,11,,,44617.134
2007-12-11,11,,,44616.134
2007-12-12,11,,,44615.134
2007-12-13,11,,,44614.134
2007-12-14,11,,,44613.134
2007-12-15,11,,,44612.134
2007-12-16,11,,,44611.134
2007-12-17,11,,,44610.134
2007-12-18,12,,,44609.134
2007-12-19,12,,,44608.134
2007-12-20,11,,,44607.134
2007-12-21,11,,,44606.134
2007-12-22,12,,,44605.134
2007-12-23,11,,,44604.134
2007-12-24,11,,,44603.134
2007-12-25,11,,,44602.134
2007-12-26,11,,,44601.134
