DATE,FLOW,STAGE,TEMP,VDATE
2005-09-30,382,,,45418.398
2005-10-01,362,,,45417.398
2005-10-02,398,,,45416.398
2005-10-03,383,,,45415.398
2005-10-04,370,,,45414.398
2005-10-05,357,,,45413.398
2005-10-06,344,,,45412.398
2005-10-07,374,,,45411.398
2005-10-08,352,,,45410.398
2005-10-09,337,,,45409.398
2005-10-10,332,,,45408.398
2005-10-11,323,,,45407.398
2005-10-12,322,,,45406.398
2005-10-13,320,,,45405.398
2005-10-14,251,,,45404.398
2005-10-15,271,,,45403.398
2005-10-16,308,,,45402.398
2005-10-17,311,,,45401.398
2005-10-18,359,,,45400.398
2005-10-19,373,,,45399.398
2005-10-20,352,,,45398.398
2005-10-21,337,,,45397.398
2005-10-22,329,,,45396.398
2005-10-23,323,,,45395.398
2005-10-24,320,,,45394.398
2005-10-25,324,,,45393.398
2005-10-26,341,,,45392.398
2005-10-27,335,,,45391.398
2005-10-28,335,,,45390.398
2005-10-29,338,,,45389.398
2005-10-30,331,,,45388.398
2005-10-31,330,,,45387.398
2005-11-01,331,,,45386.398
2005-11-02,290,,,45385.398
2005-11-03,275,,,45384.398
2005-11-04,266,,,45383.398
2005-11-05,258,,,45382.398
2005-11-06,257,,,45381.398
2005-11-07,258,,,45380.398
2005-11-08,258,,,45379.398
2005-11-09,259,,,45378.398
2005-11-10,257,,,45377.398
2005-11-11,264,,,45376.398
2005-11-12,268,,,45375.398
2005-11-13,259,,,45374.398
2005-11-14,258,,,45373.398
2005-11-15,255,,,45372.398
2005-11-16,251,,,45371.398
2005-11-17,246,,,45370.398
2005-11-18,244,,,45369.398
2005-11-19,239,,,45368.398
2005-11-20,236,,,45367.398
2005-11-21,239,,,45366.398
2005-11-22,236,,,45365.398
2005-11-23,250,,,45364.398
2005-11-24,241,,,45363.398
2005-11-25,236,,,45362.398
2005-11-26,241,,,45361.398
2005-11-27,238,,,45360.398
2005-11-28,254,,,45359.398
2005-11-29,264,,,45358.398
2005-11-30,270,,,45357.398
2005-12-01,257,,,45356.398
2005-12-02,824,,,45355.398
2005-12-03,689,,,45354.398
2005-12-04,392,,,45353.398
2005-12-05,374,,,45352.398
2005-12-06,353,,,45351.398
2005-12-07,339,,,45350.398
2005-12-08,318,,,45349.398
2005-12-09,327,,,45348.398
2005-12-10,317,,,45347.398
2005-12-11,311,,,45346.398
2005-12-12,307,,,45345.398
2005-12-13,297,,,45344.398
2005-12-14,282,,,45343.398
2005-12-15,270,,,45342.398
2005-12-16,254,,,45341.398
2005-12-17,256,,,45340.398
2005-12-18,344,,,45339.398
2005-12-19,605,,,45338.398
2005-12-20,482,,,45337.398
2005-12-21,441,,,45336.398
2005-12-22,403,,,45335.398
2005-12-23,407,,,45334.398
2005-12-24,402,,,45333.398
2005-12-25,383,,,45332.398
2005-12-26,485,,,45331.398
2005-12-27,541,,,45330.398
2005-12-28,447,,,45329.398
2005-12-29,457,,,45328.398
2005-12-30,429,,,45327.398
2005-12-31,665,,,45326.398
2006-01-01,1233,,,45325.398
2006-01-02,1661,,,45324.398
2006-01-03,1596,,,45323.398
2006-01-04,998,,,45322.398
2006-01-05,898,,,45321.398
2006-01-06,836,,,45320.398
2006-01-07,783,,,45319.398
2006-01-08,725,,,45318.398
2006-01-09,677,,,45317.398
2006-01-10,639,,,45316.398
2006-01-11,615,,,45315.398
2006-01-12,619,,,45314.398
2006-01-13,583,,,45313.398
2006-01-14,587,,,45312.398
2006-01-15,610,,,45311.398
2006-01-16,562,,,45310.398
2006-01-17,545,,,45309.398
2006-01-18,579,,,45308.398
2006-01-19,590,,,45307.398
2006-01-20,524,,,45306.398
2006-01-21,502,,,45305.398
2006-01-22,511,,,45304.398
2006-01-23,499,,,45303.398
2006-01-24,484,,,45302.398
2006-01-25,464,,,45301.398
2006-01-26,461,,,45300.398
2006-01-27,453,,,45299.398
2006-01-28,441,,,45298.398
2006-01-29,445,,,45297.398
2006-01-30,447,,,45296.398
2006-01-31,460,,,45295.398
2006-02-01,465,,,45294.398
2006-02-02,477,,,45293.398
2006-02-03,518,,,45292.398
2006-02-04,525,,,45291.398
2006-02-05,525,,,45290.398
2006-02-06,508,,,45289.398
2006-02-07,493,,,45288.398
2006-02-08,483,,,45287.398
2006-02-09,484,,,45286.398
2006-02-10,502,,,45285.398
2006-02-11,516,,,45284.398
2006-02-12,522,,,45283.398
2006-02-13,534,,,45282.398
2006-02-14,550,,,45281.398
2006-02-15,563,,,45280.398
2006-02-16,531,,,45279.398
2006-02-17,530,,,45278.398
2006-02-18,534,,,45277.398
2006-02-19,519,,,45276.398
2006-02-20,466,,,45275.398
2006-02-21,479,,,45274.398
2006-02-22,487,,,45273.398
2006-02-23,494,,,45272.398
2006-02-24,478,,,45271.398
2006-02-25,467,,,45270.398
2006-02-26,467,,,45269.398
2006-02-27,508,,,45268.398
2006-02-28,1740,,,45267.398
2006-03-01,1266,,,45266.398
2006-03-02,971,,,45265.398
2006-03-03,885,,,45264.398
2006-03-04,767,,,45263.398
2006-03-05,796,,,45262.398
2006-03-06,816,,,45261.398
2006-03-07,940,,,45260.398
2006-03-08,829,,,45259.398
2006-03-09,801,,,45258.398
2006-03-10,773,,,45257.398
2006-03-11,753,,,45256.398
2006-03-12,704,,,45255.398
2006-03-13,689,,,45254.398
2006-03-14,715,,,45253.398
2006-03-15,716,,,45252.398
2006-03-16,704,,,45251.398
2006-03-17,714,,,45250.398
2006-03-18,696,,,45249.398
2006-03-19,672,,,45248.398
2006-03-20,645,,,45247.398
2006-03-21,698,,,45246.398
2006-03-22,670,,,45245.398
2006-03-23,682,,,45244.398
2006-03-24,714,,,45243.398
2006-03-25,769,,,45242.398
2006-03-26,913,,,45241.398
2006-03-27,857,,,45240.398
2006-03-28,1278,,,45239.398
2006-03-29,1508,,,45238.398
2006-03-30,1203,,,45237.398
2006-03-31,1171,,,45236.398
2006-04-01,1133,,,45235.398
2006-04-02,1069,,,45234.398
2006-04-03,1281,,,45233.398
2006-04-04,3422,,,45232.398
2006-04-05,3107,,,45231.398
2006-04-06,2325,,,45230.398
2006-04-07,2153,,,45229.398
2006-04-08,2036,,,45228.398
2006-04-09,1923,,,45227.398
2006-04-10,1823,,,45226.398
2006-04-11,1703,,,45225.398
2006-04-12,1580,,,45224.398
2006-04-13,1626,,,45223.398
2006-04-14,1772,,,45222.398
2006-04-15,2090,,,45221.398
2006-04-16,2008,,,45220.398
2006-04-17,1875,,,45219.398
2006-04-18,1736,,,45218.398
2006-04-19,1729,,,45217.398
2006-04-20,1826,,,45216.398
2006-04-21,1978,,,45215.398
2006-04-22,2028,,,45214.398
2006-04-23,1983,,,45213.398
2006-04-24,1866,,,45212.398
2006-04-25,1911,,,45211.398
2006-04-26,1986,,,45210.398
2006-04-27,1883,,,45209.398
2006-04-28,2004,,,45208.398
2006-04-29,2383,,,45207.398
2006-04-30,2819,,,45206.398
2006-05-01,3147,,,45205.398
2006-05-02,3455,,,45204.398
2006-05-03,3624,,,45203.398
2006-05-04,3565,,,45202.398
2006-05-05,3226,,,45201.398
2006-05-06,3288,,,45200.398
2006-05-07,3505,,,45199.398
2006-05-08,3823,,,45198.398
2006-05-09,4106,,,45197.398
2006-05-10,4292,,,45196.398
2006-05-11,4505,,,45195.398
2006-05-12,4555,,,45194.398
2006-05-13,4804,,,45193.398
2006-05-14,5243,,,45192.398
2006-05-15,5801,,,45191.398
2006-05-16,5366,,,45190.398
2006-05-17,5608,,,45189.398
2006-05-18,5513,,,45188.398
2006-05-19,5782,,,45187.398
2006-05-20,5776,,,45186.398
2006-05-21,5227,,,45185.398
2006-05-22,4861,,,45184.398
2006-05-23,4014,,,45183.398
2006-05-24,3714,,,45182.398
2006-05-25,3775,,,45181.398
2006-05-26,3973,,,45180.398
2006-05-27,4137,,,45179.398
2006-05-28,3580,,,45178.398
2006-05-29,3201,,,45177.398
2006-05-30,3003,,,45176.398
2006-05-31,3112,,,45175.398
2006-06-01,3499,,,45174.398
2006-06-02,3984,,,45173.398
2006-06-03,4297,,,45172.398
2006-06-04,4873,,,45171.398
2006-06-05,5231,,,45170.398
2006-06-06,5343,,,45169.398
2006-06-07,5008,,,45168.398
2006-06-08,4498,,,45167.398
2006-06-09,4304,,,45166.398
2006-06-10,4077,,,45165.398
2006-06-11,3976,,,45164.398
2006-06-12,3780,,,45163.398
2006-06-13,3364,,,45162.398
2006-06-14,2928,,,45161.398
2006-06-15,2725,,,45160.398
2006-06-16,2860,,,45159.398
2006-06-17,3083,,,45158.398
2006-06-18,3232,,,45157.398
2006-06-19,3346,,,45156.398
2006-06-20,3161,,,45155.398
2006-06-21,3036,,,45154.398
2006-06-22,3035,,,45153.398
2006-06-23,3027,,,45152.398
2006-06-24,2964,,,45151.398
2006-06-25,2743,,,45150.398
2006-06-26,2639,,,45149.398
2006-06-27,2643,,,45148.398
2006-06-28,2488,,,45147.398
2006-06-29,2547,,,45146.398
2006-06-30,2395,,,45145.398
2006-07-01,2376,,,45144.398
2006-07-02,2351,,,45143.398
2006-07-03,2128,,,45142.398
2006-07-04,2025,,,45141.398
2006-07-05,2124,,,45140.398
2006-07-06,1917,,,45139.398
2006-07-07,1756,,,45138.398
2006-07-08,1595,,,45137.398
2006-07-09,1681,,,45136.398
2006-07-10,1665,,,45135.398
2006-07-11,1572,,,45134.398
2006-07-12,1544,,,45133.398
2006-07-13,1429,,,45132.398
2006-07-14,1319,,,45131.398
2006-07-15,1278,,,45130.398
2006-07-16,1251,,,45129.398
2006-07-17,1247,,,45128.398
2006-07-18,1281,,,45127.398
2006-07-19,1290,,,45126.398
2006-07-20,1243,,,45125.398
2006-07-21,1506,,,45124.398
2006-07-22,1573,,,45123.398
2006-07-23,1382,,,45122.398
2006-07-24,1301,,,45121.398
2006-07-25,1337,,,45120.398
2006-07-26,1262,,,45119.398
2006-07-27,1193,,,45118.398
2006-07-28,1273,,,45117.398
2006-07-29,1193,,,45116.398
2006-07-30,1065,,,45115.398
2006-07-31,1001,,,45114.398
2006-08-01,926,,,45113.398
2006-08-02,862,,,45112.398
2006-08-03,803,,,45111.398
2006-08-04,767,,,45110.398
2006-08-05,732,,,45109.398
2006-08-06,691,,,45108.398
2006-08-07,661,,,45107.398
2006-08-08,629,,,45106.398
2006-08-09,602,,,45105.398
2006-08-10,577,,,45104.398
2006-08-11,561,,,45103.398
2006-08-12,550,,,45102.398
2006-08-13,529,,,45101.398
2006-08-14,514,,,45100.398
2006-08-15,503,,,45099.398
2006-08-16,495,,,45098.398
2006-08-17,487,,,45097.398
2006-08-18,476,,,45096.398
2006-08-19,457,,,45095.398
2006-08-20,449,,,45094.398
2006-08-21,436,,,45093.398
2006-08-22,427,,,45092.398
2006-08-23,418,,,45091.398
2006-08-24,413,,,45090.398
2006-08-25,411,,,45089.398
2006-08-26,407,,,45088.398
2006-08-27,398,,,45087.398
2006-08-28,384,,,45086.398
2006-08-29,377,,,45085.398
2006-08-30,377,,,45084.398
2006-08-31,369,,,45083.398
2006-09-01,374,,,45082.398
2006-09-02,366,,,45081.398
2006-09-03,370,,,45080.398
2006-09-04,361,,,45079.398
2006-09-05,349,,,45078.398
2006-09-06,361,,,45077.398
2006-09-07,363,,,45076.398
2006-09-08,357,,,45075.398
2006-09-09,354,,,45074.3981
2006-09-10,345,,,45073.398
2006-09-11,336,,,45072.398
2006-09-12,329,,,45071.398
2006-09-13,324,,,45070.398
2006-09-14,328,,,45069.398
2006-09-15,326,,,45068.398
2006-09-16,325,,,45067.398
2006-09-17,325,,,45066.398
2006-09-18,323,,,45065.398
2006-09-19,310,,,45064.398
2006-09-20,309,,,45063.398
2006-09-21,304,,,45062.398
2006-09-22,300,,,45061.398
2006-09-23,299,,,45060.398
2006-09-24,285,,,45059.398
2006-09-25,290,,,45058.398
2006-09-26,283,,,45057.398
2006-09-27,286,,,45056.398
2006-09-28,278,,,45055.398
2006-09-29,272,,,45054.398
2006-09-30,267,,,45053.398
2006-10-01,283,,,45052.398
2006-10-02,314,,,45051.398
2006-10-03,336,,,45050.398
2006-10-04,319,,,45049.398
2006-10-05,308,,,45048.398
2006-10-06,308,,,45047.398
2006-10-07,307,,,45046.398
2006-10-08,306,,,45045.398
2006-10-09,300,,,45044.398
2006-10-10,296,,,45043.398
2006-10-11,297,,,45042.398
2006-10-12,289,,,45041.398
2006-10-13,301,,,45040.398
2006-10-14,315,,,45039.398
2006-10-15,292,,,45038.398
2006-10-16,325,,,45037.398
2006-10-17,316,,,45036.398
2006-10-18,312,,,45035.398
2006-10-19,309,,,45034.398
2006-10-20,312,,,45033.398
2006-10-21,305,,,45032.398
2006-10-22,300,,,45031.398
2006-10-23,287,,,45030.398
2006-10-24,278,,,45029.398
2006-10-25,275,,,45028.398
2006-10-26,323,,,45027.398
2006-10-27,277,,,45026.398
2006-10-28,273,,,45025.398
2006-10-29,271,,,45024.398
2006-10-30,271,,,45023.398
2006-10-31,274,,,45022.398
2006-11-01,274,,,45021.398
2006-11-02,276,,,45020.398
2006-11-03,273,,,45019.398
2006-11-04,273,,,45018.398
2006-11-05,273,,,45017.398
2006-11-06,285,,,45016.398
2006-11-07,268,,,45015.398
2006-11-08,262,,,45014.398
2006-11-09,258,,,45013.398
2006-11-10,254,,,45012.398
2006-11-11,253,,,45011.398
2006-11-12,268,,,45010.398
