DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,146,,,44687.8978
2007-10-01,136,,,44686.8978
2007-10-02,211,,,44685.8978
2007-10-03,117,,,44684.8978
2007-10-04,142,,,44683.8978
2007-10-05,105,,,44682.8978
2007-10-06,173,,,44681.8978
2007-10-07,212,,,44680.8978
2007-10-08,187,,,44679.8978
2007-10-09,179,,,44678.8978
2007-10-10,119,,,44677.8978
2007-10-11,162,,,44676.8978
2007-10-12,133,,,44675.8978
2007-10-13,160,,,44674.8978
2007-10-14,181,,,44673.8978
2007-10-15,142,,,44672.8978
2007-10-16,145,,,44671.8978
2007-10-17,108,,,44670.8978
2007-10-18,171,,,44669.8978
2007-10-19,144,,,44668.8978
2007-10-20,134,,,44667.8978
2007-10-21,197,,,44666.8978
2007-10-22,178,,,44665.8978
2007-10-23,243,,,44664.8978
2007-10-24,183,,,44663.8978
2007-10-25,160,,,44662.8978
2007-10-26,167,,,44661.8978
2007-10-27,190,,,44660.8978
2007-10-28,167,,,44659.8978
2007-10-29,169,,,44658.8978
2007-10-30,212,,,44657.8978
2007-10-31,158,,,44656.8978
2007-11-01,171,,,44655.8978
2007-11-02,162,,,44654.8978
2007-11-03,187,,,44653.8978
2007-11-04,180,,,44652.8978
2007-11-05,170,,,44651.8978
2007-11-06,205,,,44650.8978
2007-11-07,181,,,44649.8978
2007-11-08,154,,,44648.8978
2007-11-09,171,,,44647.8978
2007-11-10,118,,,44646.8978
2007-11-11,150,,,44645.8978
2007-11-12,189,,,44644.8978
2007-11-13,167,,,44643.8978
2007-11-14,185,,,44642.8978
2007-11-15,179,,,44641.8978
2007-11-16,158,,,44640.8978
2007-11-17,194,,,44639.8978
2007-11-18,181,,,44638.8978
2007-11-19,128,,,44637.8978
2007-11-20,193,,,44636.8978
2007-11-21,165,,,44635.8978
2007-11-22,120,,,44634.8978
2007-11-23,145,,,44633.8978
2007-11-24,192,,,44632.8978
2007-11-25,133,,,44631.8978
2007-11-26,184,,,44630.8978
2007-11-27,124,,,44629.8978
2007-11-28,189,,,44628.8978
2007-11-29,129,,,44627.8978
2007-11-30,148,,,44626.8978
2007-12-01,125,,,44625.8978
2007-12-02,189,,,44624.8978
2007-12-03,146,,,44623.8978
2007-12-04,154,,,44622.8978
2007-12-05,137,,,44621.8978
2007-12-06,185,,,44620.8978
2007-12-07,351,,,44619.8978
2007-12-08,388,,,44618.8978
2007-12-09,191,,,44617.8978
2007-12-10,181,,,44616.8978
2007-12-11,187,,,44615.8978
2007-12-12,191,,,44614.8978
2007-12-13,181,,,44613.8978
2007-12-14,181,,,44612.8978
2007-12-15,199,,,44611.8978
2007-12-16,180,,,44610.8978
2007-12-17,156,,,44609.8978
2007-12-18,334,,,44608.8978
2007-12-19,302,,,44607.8978
2007-12-20,213,,,44606.8978
2007-12-21,311,,,44605.8978
2007-12-22,179,,,44604.8978
2007-12-23,226,,,44603.8978
2007-12-24,176,,,44602.8978
2007-12-25,260,,,44601.8978
2007-12-26,163,,,44600.8978
2007-12-27,204,,,44599.8978
2007-12-28,179,,,44598.8978
2007-12-29,193,,,44597.8978
2007-12-30,235,,,44596.8978
2007-12-31,221,,,44595.8978
2008-01-01,226,,,44594.8978
2008-01-02,202,,,44593.8978
2008-01-03,205,,,44592.8978
2008-01-04,343,,,44591.8978
2008-01-05,1711,,,44590.8978
2008-01-06,838,,,44589.8978
2008-01-07,486,,,44588.8978
2008-01-08,296,,,44587.8978
2008-01-09,411,,,44586.8978
2008-01-10,371,,,44585.8978
2008-01-11,333,,,44584.8978
2008-01-12,322,,,44583.8978
2008-01-13,350,,,44582.8978
2008-01-14,286,,,44581.8978
2008-01-15,289,,,44580.8978
2008-01-16,274,,,44579.8978
2008-01-17,334,,,44578.8978
2008-01-18,348,,,44577.8978
2008-01-19,275,,,44576.8978
2008-01-20,232,,,44575.8978
2008-01-21,295,,,44574.8978
2008-01-22,266,,,44573.8978
2008-01-23,247,,,44572.8978
2008-01-24,299,,,44571.8978
2008-01-25,306,,,44570.8978
2008-01-26,260,,,44569.8978
2008-01-27,225,,,44568.8978
2008-01-28,368,,,44567.8978
2008-01-29,224,,,44566.8978
2008-01-30,310,,,44565.8978
2008-01-31,271,,,44564.8978
2008-02-01,212,,,44563.8978
2008-02-02,378,,,44562.8978
2008-02-03,903,,,44561.8978
2008-02-04,443,,,44560.8978
2008-02-05,386,,,44559.8978
2008-02-06,419,,,44558.8978
2008-02-07,409,,,44557.8978
2008-02-08,425,,,44556.8978
2008-02-09,461,,,44555.8978
2008-02-10,467,,,44554.8978
2008-02-11,466,,,44553.8978
2008-02-12,475,,,44552.8978
2008-02-13,454,,,44551.8978
2008-02-14,521,,,44550.8978
2008-02-15,471,,,44549.8978
2008-02-16,462,,,44548.8978
2008-02-17,446,,,44547.8978
2008-02-18,442,,,44546.8978
2008-02-19,475,,,44545.8978
2008-02-20,580,,,44544.8978
2008-02-21,551,,,44543.8978
2008-02-22,887,,,44542.8978
2008-02-23,913,,,44541.8978
2008-02-24,1114,,,44540.8978
2008-02-25,1134,,,44539.8978
2008-02-26,916,,,44538.8978
2008-02-27,845,,,44537.8978
2008-02-28,902,,,44536.8978
2008-03-01,913,,,44534.8978
2008-03-02,948,,,44533.8978
2008-03-03,830,,,44532.8978
2008-03-04,784,,,44531.8978
2008-03-05,844,,,44530.8978
2008-03-06,753,,,44529.8978
2008-03-07,689,,,44528.8978
2008-03-08,771,,,44527.8978
2008-03-09,790,,,44526.8978
2008-03-10,753,,,44525.8978
2008-03-11,815,,,44524.8978
2008-03-12,917,,,44523.8978
2008-03-13,1000,,,44522.8978
2008-03-14,1029,,,44521.8978
2008-03-15,951,,,44520.8978
2008-03-16,901,,,44519.8978
2008-03-17,767,,,44518.8978
2008-03-18,736,,,44517.8978
2008-03-19,747,,,44516.8978
2008-03-20,773,,,44515.8978
2008-03-21,828,,,44514.8978
2008-03-22,884,,,44513.8978
2008-03-23,916,,,44512.8978
2008-03-24,967,,,44511.8978
2008-03-25,1064,,,44510.8978
2008-03-26,1048,,,44509.8978
2008-03-27,1348,,,44508.8978
2008-03-28,1118,,,44507.8978
2008-03-29,1295,,,44506.8978
2008-03-30,1327,,,44505.8978
2008-03-31,1144,,,44504.8978
2008-04-01,1109,,,44503.8978
2008-04-02,1019,,,44502.8978
2008-04-03,1052,,,44501.8978
2008-04-04,995,,,44500.8978
2008-04-05,1114,,,44499.8978
2008-04-06,1050,,,44498.8978
2008-04-07,1249,,,44497.8978
2008-04-08,1151,,,44496.8978
2008-04-09,1196,,,44495.8978
2008-04-10,1062,,,44494.8978
2008-04-11,1160,,,44493.8978
2008-04-12,1205,,,44492.8978
2008-04-13,1396,,,44491.8978
2008-04-14,1505,,,44490.8978
2008-04-15,1707,,,44489.8978
2008-04-16,1652,,,44488.8978
2008-04-17,1529,,,44487.8978
2008-04-18,1533,,,44486.8978
2008-04-19,1413,,,44485.8978
2008-04-20,1340,,,44484.8978
2008-04-21,1506,,,44483.8978
2008-04-22,1212,,,44482.8978
2008-04-23,1210,,,44481.8978
2008-04-24,1332,,,44480.8978
2008-04-25,1291,,,44479.8978
2008-04-26,1341,,,44478.8978
2008-04-27,1518,,,44477.8978
2008-04-28,1827,,,44476.8978
2008-04-29,1903,,,44475.8978
2008-04-30,2094,,,44474.8978
2008-05-01,1870,,,44473.8978
2008-05-02,1752,,,44472.8978
2008-05-03,1768,,,44471.8978
2008-05-04,1736,,,44470.8978
2008-05-05,1727,,,44469.8978
2008-05-06,1548,,,44468.8978
2008-05-07,1665,,,44467.8978
2008-05-08,1692,,,44466.8978
2008-05-09,1664,,,44465.8978
2008-05-10,1800,,,44464.8978
2008-05-11,1827,,,44463.8978
2008-05-12,1982,,,44462.8978
2008-05-13,1972,,,44461.8978
2008-05-14,1868,,,44460.8978
2008-05-15,2065,,,44459.8978
2008-05-16,2446,,,44458.8978
2008-05-17,2826,,,44457.8978
2008-05-18,3105,,,44456.8978
2008-05-19,3375,,,44455.8978
2008-05-20,3553,,,44454.8978
2008-05-21,3267,,,44453.8978
2008-05-22,2606,,,44452.8978
2008-05-23,2150,,,44451.8978
2008-05-24,1777,,,44450.8978
2008-05-25,1674,,,44449.8978
2008-05-26,1529,,,44448.8978
2008-05-27,1495,,,44447.8978
2008-05-28,1402,,,44446.8978
2008-05-29,1311,,,44445.8978
2008-05-30,1260,,,44444.8978
2008-05-31,1225,,,44443.8978
2008-06-01,1441,,,44442.8978
2008-06-02,1431,,,44441.8978
2008-06-03,1609,,,44440.8978
2008-06-04,1791,,,44439.8978
2008-06-05,1713,,,44438.8978
2008-06-06,1534,,,44437.8978
2008-06-07,1975,,,44436.8978
2008-06-08,1810,,,44435.8978
2008-06-09,1779,,,44434.8978
2008-06-10,1707,,,44433.8978
2008-06-11,2007,,,44432.8978
2008-06-12,1773,,,44431.8978
2008-06-13,1736,,,44430.8978
2008-06-14,1738,,,44429.8978
2008-06-15,1659,,,44428.8978
2008-06-16,1591,,,44427.8978
2008-06-17,1463,,,44426.8978
2008-06-18,1487,,,44425.8978
2008-06-19,1323,,,44424.8978
2008-06-20,1328,,,44423.8978
2008-06-21,1411,,,44422.8978
2008-06-22,1356,,,44421.8978
2008-06-23,1417,,,44420.8978
2008-06-24,1256,,,44419.8978
2008-06-25,1200,,,44418.8978
2008-06-26,1228,,,44417.8978
2008-06-27,1135,,,44416.8978
2008-06-28,1121,,,44415.8978
2008-06-29,980,,,44414.8978
2008-06-30,900,,,44413.8978
2008-07-01,769,,,44412.8978
2008-07-02,825,,,44411.8978
2008-07-03,814,,,44410.8978
2008-07-04,857,,,44409.8978
2008-07-05,810,,,44408.8978
2008-07-06,734,,,44407.8978
2008-07-07,679,,,44406.8978
2008-07-08,734,,,44405.8978
2008-07-09,715,,,44404.8978
2008-07-10,574,,,44403.8978
2008-07-11,661,,,44402.8978
2008-07-12,656,,,44401.8978
2008-07-13,711,,,44400.8978
2008-07-14,689,,,44399.8978
2008-07-15,789,,,44398.8978
2008-07-16,681,,,44397.8978
2008-07-17,739,,,44396.8978
2008-07-18,693,,,44395.8978
2008-07-19,695,,,44394.8978
2008-07-20,605,,,44393.8978
2008-07-21,528,,,44392.8978
2008-07-22,455,,,44391.8978
2008-07-23,474,,,44390.8978
2008-07-24,493,,,44389.8978
2008-07-25,392,,,44388.8978
2008-07-26,361,,,44387.8978
2008-07-27,386,,,44386.8978
2008-07-28,360,,,44385.8978
2008-07-29,345,,,44384.8978
2008-07-30,365,,,44383.8978
2008-07-31,358,,,44382.8978
2008-08-01,279,,,44381.8978
2008-08-02,342,,,44380.8978
2008-08-03,323,,,44379.8978
2008-08-04,203,,,44378.8978
2008-08-05,252,,,44377.8978
2008-08-06,270,,,44376.8978
2008-08-07,276,,,44375.8978
2008-08-08,240,,,44374.8978
2008-08-09,282,,,44373.8978
2008-08-10,272,,,44372.8978
2008-08-11,201,,,44371.8978
2008-08-12,295,,,44370.8978
