DATE,FLOW,STAGE,TEMP,VDATE
2005-09-30,1225,,,45418.398
2005-10-01,1154,,,45417.398
2005-10-02,1113,,,45416.398
2005-10-03,1143,,,45415.398
2005-10-04,1118,,,45414.398
2005-10-05,1086,,,45413.398
2005-10-06,1064,,,45412.398
2005-10-07,1043,,,45411.398
2005-10-08,1054,,,45410.398
2005-10-09,1022,,,45409.398
2005-10-10,982,,,45408.398
2005-10-11,1020,,,45407.398
2005-10-12,1083,,,45406.398
2005-10-13,1118,,,45405.398
2005-10-14,1090,,,45404.398
2005-10-15,946,,,45403.398
2005-10-16,883,,,45402.398
2005-10-17,871,,,45401.398
2005-10-18,885,,,45400.398
2005-10-19,937,,,45399.398
2005-10-20,1001,,,45398.398
2005-10-21,956,,,45397.398
2005-10-22,851,,,45396.398
2005-10-23,823,,,45395.398
2005-10-24,835,,,45394.398
2005-10-25,842,,,45393.398
2005-10-26,830,,,45392.398
2005-10-27,850,,,45391.398
2005-10-28,804,,,45390.398
2005-10-29,741,,,45389.398
2005-10-30,738,,,45388.398
2005-10-31,787,,,45387.398
2005-11-01,902,,,45386.398
2005-11-02,928,,,45385.398
2005-11-03,951,,,45384.398
2005-11-04,921,,,45383.398
2005-11-05,839,,,45382.398
2005-11-06,849,,,45381.398
2005-11-07,875,,,45380.398
2005-11-08,880,,,45379.398
2005-11-09,828,,,45378.398
2005-11-10,756,,,45377.398
2005-11-11,747,,,45376.398
2005-11-12,725,,,45375.398
2005-11-13,716,,,45374.398
2005-11-14,617,,,45373.398
2005-11-15,457,,,45372.398
2005-11-16,442,,,45371.398
2005-11-17,394,,,45370.398
2005-11-18,402,,,45369.398
2005-11-19,364,,,45368.398
2005-11-20,302,,,45367.398
2005-11-21,301,,,45366.398
2005-11-22,303,,,45365.398
2005-11-23,305,,,45364.398
2005-11-24,305,,,45363.398
2005-11-25,314,,,45362.398
2005-11-26,328,,,45361.398
2005-11-27,304,,,45360.398
2005-11-28,287,,,45359.398
2005-11-29,287,,,45358.398
2005-11-30,287,,,45357.398
2005-12-01,287,,,45356.398
2005-12-02,314,,,45355.398
2005-12-03,356,,,45354.398
2005-12-04,357,,,45353.398
2005-12-05,355,,,45352.398
2005-12-06,354,,,45351.398
2005-12-07,353,,,45350.398
2005-12-08,354,,,45349.398
2005-12-09,265,,,45348.398
2005-12-10,99,,,45347.398
2005-12-11,178,,,45346.398
2005-12-12,498,,,45345.398
2005-12-13,575,,,45344.398
2005-12-14,569,,,45343.398
2005-12-15,571,,,45342.398
2005-12-16,628,,,45341.398
2005-12-17,672,,,45340.398
2005-12-18,671,,,45339.398
2005-12-19,649,,,45338.398
2005-12-20,612,,,45337.398
2005-12-21,594,,,45336.398
2005-12-22,510,,,45335.398
2005-12-23,417,,,45334.398
2005-12-24,423,,,45333.398
2005-12-25,425,,,45332.398
2005-12-26,426,,,45331.398
2005-12-27,480,,,45330.398
2005-12-28,556,,,45329.398
2005-12-29,552,,,45328.398
2005-12-30,550,,,45327.398
2005-12-31,553,,,45326.398
2006-01-01,516,,,45325.398
2006-01-02,418,,,45324.398
2006-01-03,521,,,45323.398
2006-01-04,819,,,45322.398
2006-01-05,932,,,45321.398
2006-01-06,999,,,45320.398
2006-01-07,919,,,45319.398
2006-01-08,788,,,45318.398
2006-01-09,792,,,45317.398
2006-01-10,840,,,45316.398
2006-01-11,1011,,,45315.398
2006-01-12,1309,,,45314.398
2006-01-13,1241,,,45313.398
2006-01-14,1165,,,45312.398
2006-01-15,1243,,,45311.398
2006-01-16,1273,,,45310.398
2006-01-17,1267,,,45309.398
2006-01-18,1270,,,45308.398
2006-01-19,1271,,,45307.398
2006-01-20,1264,,,45306.398
2006-01-21,1062,,,45305.398
2006-01-22,551,,,45304.398
2006-01-23,560,,,45303.398
2006-01-24,570,,,45302.398
2006-01-25,550,,,45301.398
2006-01-26,541,,,45300.398
2006-01-27,515,,,45299.398
2006-01-28,499,,,45298.398
2006-01-29,485,,,45297.398
2006-01-30,464,,,45296.398
2006-01-31,465,,,45295.398
2006-02-01,466,,,45294.398
2006-02-02,465,,,45293.398
2006-02-03,466,,,45292.398
2006-02-04,522,,,45291.398
2006-02-05,551,,,45290.398
2006-02-06,560,,,45289.398
2006-02-07,580,,,45288.398
2006-02-08,568,,,45287.398
2006-02-09,548,,,45286.398
2006-02-10,547,,,45285.398
2006-02-11,546,,,45284.398
2006-02-12,560,,,45283.398
2006-02-13,597,,,45282.398
2006-02-14,635,,,45281.398
2006-02-15,668,,,45280.398
2006-02-16,681,,,45279.398
2006-02-17,640,,,45278.398
2006-02-18,583,,,45277.398
2006-02-19,528,,,45276.398
2006-02-20,498,,,45275.398
2006-02-21,510,,,45274.398
2006-02-22,553,,,45273.398
2006-02-23,582,,,45272.398
2006-02-24,571,,,45271.398
2006-02-25,551,,,45270.398
2006-02-26,540,,,45269.398
2006-02-27,501,,,45268.398
2006-02-28,521,,,45267.398
2006-03-01,302,,,45266.398
2006-03-02,323,,,45265.398
2006-03-03,338,,,45264.398
2006-03-04,302,,,45263.398
2006-03-05,309,,,45262.398
2006-03-06,311,,,45261.398
2006-03-07,300,,,45260.398
2006-03-08,316,,,45259.398
2006-03-09,330,,,45258.398
2006-03-10,261,,,45257.398
2006-03-11,250,,,45256.398
2006-03-12,251,,,45255.398
2006-03-13,252,,,45254.398
2006-03-14,322,,,45253.398
2006-03-15,371,,,45252.398
2006-03-16,314,,,45251.398
2006-03-17,300,,,45250.398
2006-03-18,282,,,45249.398
2006-03-19,334,,,45248.398
2006-03-20,439,,,45247.398
2006-03-21,385,,,45246.398
2006-03-22,389,,,45245.398
2006-03-23,431,,,45244.398
2006-03-24,429,,,45243.398
2006-03-25,417,,,45242.398
2006-03-26,399,,,45241.398
2006-03-27,397,,,45240.398
2006-03-28,400,,,45239.398
2006-03-29,382,,,45238.398
2006-03-30,379,,,45237.398
2006-03-31,420,,,45236.398
2006-04-01,409,,,45235.398
2006-04-02,390,,,45234.398
2006-04-03,376,,,45233.398
2006-04-04,337,,,45232.398
2006-04-05,299,,,45231.398
2006-04-06,293,,,45230.398
2006-04-07,300,,,45229.398
2006-04-08,270,,,45228.398
2006-04-09,262,,,45227.398
2006-04-10,293,,,45226.398
2006-04-11,325,,,45225.398
2006-04-12,336,,,45224.398
2006-04-13,368,,,45223.398
2006-04-14,502,,,45222.398
2006-04-15,584,,,45221.398
2006-04-16,580,,,45220.398
2006-04-17,516,,,45219.398
2006-04-18,586,,,45218.398
2006-04-19,684,,,45217.398
2006-04-20,811,,,45216.398
2006-04-21,986,,,45215.398
2006-04-22,1255,,,45214.398
2006-04-23,1276,,,45213.398
2006-04-24,1332,,,45212.398
2006-04-25,1394,,,45211.398
2006-04-26,1499,,,45210.398
2006-04-27,1501,,,45209.398
2006-04-28,1514,,,45208.398
2006-04-29,1648,,,45207.398
2006-04-30,2370,,,45206.398
2006-05-01,2607,,,45205.398
2006-05-02,2995,,,45204.398
2006-05-03,3080,,,45203.398
2006-05-04,3611,,,45202.398
2006-05-05,3993,,,45201.398
2006-05-06,3994,,,45200.398
2006-05-07,3997,,,45199.398
2006-05-08,4102,,,45198.398
2006-05-09,4504,,,45197.398
2006-05-10,4482,,,45196.398
2006-05-11,4490,,,45195.398
2006-05-12,4505,,,45194.398
2006-05-13,4513,,,45193.398
2006-05-14,4520,,,45192.398
2006-05-15,4511,,,45191.398
2006-05-16,4517,,,45190.398
2006-05-17,4238,,,45189.398
2006-05-18,4498,,,45188.398
2006-05-19,4507,,,45187.398
2006-05-20,4508,,,45186.398
2006-05-21,4496,,,45185.398
2006-05-22,4499,,,45184.398
2006-05-23,4509,,,45183.398
2006-05-24,4500,,,45182.398
2006-05-25,4492,,,45181.398
2006-05-26,4490,,,45180.398
2006-05-27,4475,,,45179.398
2006-05-28,4502,,,45178.398
2006-05-29,4508,,,45177.398
2006-05-30,4514,,,45176.398
2006-05-31,4499,,,45175.398
2006-06-01,4500,,,45174.398
2006-06-02,4503,,,45173.398
2006-06-03,4509,,,45172.398
2006-06-04,4503,,,45171.398
2006-06-05,4501,,,45170.398
2006-06-06,4496,,,45169.398
2006-06-07,4509,,,45168.398
2006-06-08,4506,,,45167.398
2006-06-09,4501,,,45166.398
2006-06-10,4504,,,45165.398
2006-06-11,4500,,,45164.398
2006-06-12,4496,,,45163.398
2006-06-13,4484,,,45162.398
2006-06-14,4479,,,45161.398
2006-06-15,4485,,,45160.398
2006-06-16,4488,,,45159.398
2006-06-17,4488,,,45158.398
2006-06-18,4493,,,45157.398
2006-06-19,4392,,,45156.398
2006-06-20,4133,,,45155.398
2006-06-21,4136,,,45154.398
2006-06-22,4139,,,45153.398
2006-06-23,4133,,,45152.398
2006-06-24,4138,,,45151.398
2006-06-25,3929,,,45150.398
2006-06-26,3203,,,45149.398
2006-06-27,3165,,,45148.398
2006-06-28,2903,,,45147.398
2006-06-29,2908,,,45146.398
2006-06-30,3041,,,45145.398
2006-07-01,3271,,,45144.398
2006-07-02,3309,,,45143.398
2006-07-03,3410,,,45142.398
2006-07-04,3412,,,45141.398
2006-07-05,3416,,,45140.398
2006-07-06,3355,,,45139.398
2006-07-07,2999,,,45138.398
2006-07-08,2905,,,45137.398
2006-07-09,2816,,,45136.398
2006-07-10,2353,,,45135.398
2006-07-11,2355,,,45134.398
2006-07-12,2279,,,45133.398
2006-07-13,2243,,,45132.398
2006-07-14,2202,,,45131.398
2006-07-15,2177,,,45130.398
2006-07-16,2187,,,45129.398
2006-07-17,2191,,,45128.398
2006-07-18,2205,,,45127.398
2006-07-19,2225,,,45126.398
2006-07-20,2177,,,45125.398
2006-07-21,1988,,,45124.398
2006-07-22,1995,,,45123.398
2006-07-23,2000,,,45122.398
2006-07-24,2132,,,45121.398
2006-07-25,2192,,,45120.398
2006-07-26,2268,,,45119.398
2006-07-27,2238,,,45118.398
2006-07-28,2108,,,45117.398
2006-07-29,1916,,,45116.398
2006-07-30,1957,,,45115.398
2006-07-31,1955,,,45114.398
2006-08-01,1774,,,45113.398
2006-08-02,1756,,,45112.398
2006-08-03,1717,,,45111.398
2006-08-04,1682,,,45110.398
2006-08-05,1564,,,45109.398
2006-08-06,1551,,,45108.398
2006-08-07,1648,,,45107.398
2006-08-08,1632,,,45106.398
2006-08-09,1560,,,45105.398
2006-08-10,1433,,,45104.398
2006-08-11,1315,,,45103.398
2006-08-12,1286,,,45102.398
2006-08-13,1380,,,45101.398
2006-08-14,1490,,,45100.398
2006-08-15,1477,,,45099.398
2006-08-16,1443,,,45098.398
2006-08-17,1400,,,45097.398
2006-08-18,1302,,,45096.398
2006-08-19,1211,,,45095.398
2006-08-20,1234,,,45094.398
2006-08-21,1356,,,45093.398
2006-08-22,1342,,,45092.398
2006-08-23,1251,,,45091.398
2006-08-24,1254,,,45090.398
2006-08-25,1299,,,45089.398
2006-08-26,1167,,,45088.398
2006-08-27,1047,,,45087.398
2006-08-28,1027,,,45086.398
2006-08-29,1011,,,45085.398
2006-08-30,1115,,,45084.398
2006-08-31,1005,,,45083.398
2006-09-01,767,,,45082.398
2006-09-02,680,,,45081.398
2006-09-03,718,,,45080.398
2006-09-04,724,,,45079.398
2006-09-05,847,,,45078.398
2006-09-06,947,,,45077.398
2006-09-07,972,,,45076.398
2006-09-08,929,,,45075.398
2006-09-09,834,,,45074.398
2006-09-10,850,,,45073.398
2006-09-11,976,,,45072.398
2006-09-12,1012,,,45071.398
2006-09-13,1011,,,45070.398
2006-09-14,1008,,,45069.398
2006-09-15,921,,,45068.398
2006-09-16,803,,,45067.398
2006-09-17,811,,,45066.398
2006-09-18,860,,,45065.398
2006-09-19,779,,,45064.398
2006-09-20,698,,,45063.398
2006-09-21,703,,,45062.398
2006-09-22,678,,,45061.398
2006-09-23,602,,,45060.398
2006-09-24,547,,,45059.398
2006-09-25,498,,,45058.398
2006-09-26,509,,,45057.398
2006-09-27,552,,,45056.398
2006-09-28,509,,,45055.398
2006-09-29,467,,,45054.398
2006-09-30,391,,,45053.3981
2006-10-01,445,,,45052.3981
2006-10-02,488,,,45051.3981
2006-10-03,399,,,45050.3981
2006-10-04,310,,,45049.3981
2006-10-05,321,,,45048.3981
2006-10-06,312,,,45047.3981
2006-10-07,300,,,45046.3981
2006-10-08,301,,,45045.3981
2006-10-09,301,,,45044.3981
2006-10-10,300,,,45043.3981
2006-10-11,301,,,45042.3981
2006-10-12,301,,,45041.3981
2006-10-13,300,,,45040.3981
2006-10-14,300,,,45039.3981
2006-10-15,300,,,45038.3981
2006-10-16,311,,,45037.3981
2006-10-17,329,,,45036.3981
2006-10-18,329,,,45035.3981
2006-10-19,318,,,45034.3981
2006-10-20,302,,,45033.3981
2006-10-21,301,,,45032.3981
2006-10-22,300,,,45031.3981
2006-10-23,318,,,45030.3981
2006-10-24,354,,,45029.3981
2006-10-25,355,,,45028.3981
2006-10-26,364,,,45027.3981
2006-10-27,371,,,45026.3981
2006-10-28,371,,,45025.3981
2006-10-29,374,,,45024.3981
2006-10-30,374,,,45023.3981
2006-10-31,374,,,45022.3981
2006-11-01,359,,,45021.3981
2006-11-02,335,,,45020.3981
2006-11-03,334,,,45019.3981
2006-11-04,334,,,45018.3981
2006-11-05,332,,,45017.3981
2006-11-06,331,,,45016.3981
2006-11-07,333,,,45015.3981
2006-11-08,334,,,45014.3981
2006-11-09,336,,,45013.3981
2006-11-10,334,,,45012.3981
2006-11-11,333,,,45011.3981
2006-11-12,334,,,45010.3981
2006-11-13,333,,,45009.3981
2006-11-14,333,,,45008.3981
2006-11-15,337,,,45007.3981
2006-11-16,339,,,45006.3981
2006-11-17,339,,,45005.3981
2006-11-18,340,,,45004.3981
2006-11-19,341,,,45003.3981
2006-11-20,339,,,45002.3981
2006-11-21,340,,,45001.3981
2006-11-22,338,,,45000.3981
2006-11-23,354,,,44999.3981
2006-11-24,361,,,44998.3981
2006-11-25,361,,,44997.3981
2006-11-26,360,,,44996.3981
2006-11-27,359,,,44995.3981
2006-11-28,359,,,44994.3981
2006-11-29,367,,,44993.3981
2006-11-30,330,,,44992.3981
2006-12-01,254,,,44991.3981
2006-12-02,254,,,44990.3981
2006-12-03,263,,,44989.3981
2006-12-04,276,,,44988.3981
2006-12-05,282,,,44987.3981
2006-12-06,274,,,44986.3981
2006-12-07,279,,,44985.3981
2006-12-08,278,,,44984.3981
2006-12-09,277,,,44983.3981
2006-12-10,289,,,44982.3981
2006-12-11,306,,,44981.3981
2006-12-12,304,,,44980.3981
2006-12-13,304,,,44979.3981
2006-12-14,317,,,44978.3981
2006-12-15,325,,,44977.3981
2006-12-16,325,,,44976.3981
2006-12-17,325,,,44975.3981
2006-12-18,325,,,44974.3981
2006-12-19,301,,,44973.3981
2006-12-20,277,,,44972.3981
2006-12-21,265,,,44971.3981
2006-12-22,266,,,44970.3981
2006-12-23,266,,,44969.3981
2006-12-24,267,,,44968.3981
2006-12-25,266,,,44967.3981
2006-12-26,297,,,44966.3981
2006-12-27,318,,,44965.3981
2006-12-28,340,,,44964.3981
2006-12-29,375,,,44963.3981
2006-12-30,375,,,44962.3981
2006-12-31,326,,,44961.3981
2007-01-01,257,,,44960.3981
2007-01-02,268,,,44959.3981
2007-01-03,286,,,44958.3981
2007-01-04,293,,,44957.3981
2007-01-05,302,,,44956.3981
2007-01-06,301,,,44955.3981
2007-01-07,313,,,44954.3981
2007-01-08,324,,,44953.3981
2007-01-09,306,,,44952.3981
2007-01-10,277,,,44951.3981
2007-01-11,252,,,44950.3981
2007-01-12,252,,,44949.3981
2007-01-13,260,,,44948.3981
2007-01-14,288,,,44947.3981
2007-01-15,338,,,44946.3981
2007-01-16,374,,,44945.3981
2007-01-17,379,,,44944.3981
2007-01-18,378,,,44943.3981
2007-01-19,377,,,44942.3981
2007-01-20,377,,,44941.3981
2007-01-21,377,,,44940.3981
2007-01-22,376,,,44939.3981
2007-01-23,376,,,44938.3981
2007-01-24,377,,,44937.3981
2007-01-25,366,,,44936.3981
2007-01-26,352,,,44935.3981
2007-01-27,353,,,44934.3981
2007-01-28,353,,,44933.3981
2007-01-29,532,,,44932.3981
2007-01-30,816,,,44931.3981
2007-01-31,696,,,44930.3981
2007-02-01,515,,,44929.3981
2007-02-02,531,,,44928.3981
2007-02-03,517,,,44927.3981
2007-02-04,521,,,44926.3981
2007-02-05,495,,,44925.3981
2007-02-06,397,,,44924.3981
2007-02-07,390,,,44923.3981
2007-02-08,380,,,44922.3981
2007-02-09,374,,,44921.3981
2007-02-10,364,,,44920.3981
2007-02-11,372,,,44919.3981
2007-02-12,385,,,44918.3981
2007-02-13,385,,,44917.3981
2007-02-14,385,,,44916.3981
2007-02-15,359,,,44915.3981
2007-02-16,338,,,44914.3981
2007-02-17,326,,,44913.3981
2007-02-18,326,,,44912.3981
2007-02-19,327,,,44911.3981
2007-02-20,327,,,44910.3981
2007-02-21,336,,,44909.3981
2007-02-22,350,,,44908.3981
2007-02-23,350,,,44907.3981
2007-02-24,351,,,44906.3981
2007-02-25,350,,,44905.3981
2007-02-26,350,,,44904.3981
2007-02-27,351,,,44903.3981
2007-02-28,351,,,44902.3981
2007-03-01,254,,,44901.3981
2007-03-02,254,,,44900.3981
2007-03-03,253,,,44899.3981
2007-03-04,292,,,44898.3981
2007-03-05,385,,,44897.3981
2007-03-06,447,,,44896.3981
2007-03-07,452,,,44895.3981
2007-03-08,535,,,44894.3981
2007-03-09,559,,,44893.3981
2007-03-10,531,,,44892.3981
2007-03-11,517,,,44891.3981
2007-03-12,515,,,44890.3981
2007-03-13,478,,,44889.3981
2007-03-14,419,,,44888.3981
2007-03-15,440,,,44887.3981
2007-03-16,369,,,44886.3981
2007-03-17,337,,,44885.3981
2007-03-18,386,,,44884.3981
2007-03-19,502,,,44883.3981
2007-03-20,469,,,44882.3981
2007-03-21,499,,,44881.3981
2007-03-22,552,,,44880.3981
2007-03-23,582,,,44879.3981
2007-03-24,572,,,44878.3981
2007-03-25,559,,,44877.3981
2007-03-26,455,,,44876.3981
2007-03-27,385,,,44875.3981
2007-03-28,381,,,44874.3981
2007-03-29,408,,,44873.3981
2007-03-30,428,,,44872.3981
2007-03-31,394,,,44871.3981
2007-04-01,434,,,44870.3981
2007-04-02,546,,,44869.3981
2007-04-03,547,,,44868.3981
2007-04-04,503,,,44867.3981
2007-04-05,506,,,44866.3981
2007-04-06,469,,,44865.3981
2007-04-07,412,,,44864.3981
2007-04-08,434,,,44863.3981
2007-04-09,498,,,44862.3981
2007-04-10,544,,,44861.3981
2007-04-11,566,,,44860.3981
2007-04-12,559,,,44859.3981
2007-04-13,452,,,44858.3981
2007-04-14,384,,,44857.3981
2007-04-15,384,,,44856.3981
2007-04-16,386,,,44855.3981
2007-04-17,386,,,44854.3981
2007-04-18,387,,,44853.3981
2007-04-19,387,,,44852.3981
2007-04-20,387,,,44851.3981
2007-04-21,387,,,44850.3981
2007-04-22,387,,,44849.3981
2007-04-23,387,,,44848.3981
2007-04-24,387,,,44847.3981
2007-04-25,418,,,44846.3981
2007-04-26,440,,,44845.3981
2007-04-27,489,,,44844.3981
2007-04-28,516,,,44843.3981
2007-04-29,514,,,44842.3981
2007-04-30,578,,,44841.3981
2007-05-01,663,,,44840.3981
2007-05-02,652,,,44839.3981
2007-05-03,637,,,44838.3981
2007-05-04,524,,,44837.3981
2007-05-05,382,,,44836.3981
2007-05-06,442,,,44835.3981
2007-05-07,550,,,44834.3981
2007-05-08,579,,,44833.3981
2007-05-09,574,,,44832.3981
2007-05-10,529,,,44831.3981
2007-05-11,420,,,44830.3981
2007-05-12,386,,,44829.3981
2007-05-13,413,,,44828.3981
2007-05-14,478,,,44827.3981
2007-05-15,509,,,44826.3981
2007-05-16,533,,,44825.3981
2007-05-17,552,,,44824.3981
2007-05-18,509,,,44823.3981
2007-05-19,402,,,44822.3981
2007-05-20,506,,,44821.3981
2007-05-21,578,,,44820.3981
2007-05-22,621,,,44819.3981
2007-05-23,651,,,44818.3981
2007-05-24,676,,,44817.3981
2007-05-25,696,,,44816.3981
2007-05-26,631,,,44815.3981
2007-05-27,757,,,44814.3981
2007-05-28,885,,,44813.3981
2007-05-29,953,,,44812.3981
2007-05-30,985,,,44811.3981
2007-05-31,993,,,44810.3981
2007-06-01,878,,,44809.3981
2007-06-02,691,,,44808.3981
2007-06-03,826,,,44807.3981
2007-06-04,896,,,44806.3981
2007-06-05,863,,,44805.3981
2007-06-06,889,,,44804.3981
2007-06-07,897,,,44803.3981
2007-06-08,822,,,44802.3981
2007-06-09,666,,,44801.3981
2007-06-10,618,,,44800.3981
2007-06-11,786,,,44799.3981
2007-06-12,926,,,44798.3981
2007-06-13,963,,,44797.3981
2007-06-14,1000,,,44796.3981
2007-06-15,843,,,44795.3981
2007-06-16,603,,,44794.3981
2007-06-17,592,,,44793.3981
2007-06-18,711,,,44792.3981
2007-06-19,839,,,44791.3981
2007-06-20,885,,,44790.3981
2007-06-21,935,,,44789.3981
2007-06-22,914,,,44788.3981
2007-06-23,658,,,44787.3981
2007-06-24,793,,,44786.3981
2007-06-25,893,,,44785.3981
2007-06-26,946,,,44784.3981
2007-06-27,997,,,44783.3981
2007-06-28,1003,,,44782.3981
2007-06-29,1019,,,44781.3981
2007-06-30,827,,,44780.3981
2007-07-01,953,,,44779.3981
2007-07-02,1030,,,44778.3981
2007-07-03,1010,,,44777.3981
2007-07-04,1058,,,44776.3981
2007-07-05,1028,,,44775.3981
2007-07-06,1034,,,44774.3981
2007-07-07,859,,,44773.3981
2007-07-08,1044,,,44772.3981
2007-07-09,1137,,,44771.3981
2007-07-10,1194,,,44770.3981
2007-07-11,1245,,,44769.3981
2007-07-12,1226,,,44768.3981
2007-07-13,937,,,44767.3981
2007-07-14,698,,,44766.3981
2007-07-15,942,,,44765.3981
2007-07-16,970,,,44764.3981
2007-07-17,1024,,,44763.3981
2007-07-18,990,,,44762.3981
2007-07-19,792,,,44761.3981
2007-07-20,737,,,44760.3981
2007-07-21,707,,,44759.3981
2007-07-22,967,,,44758.3981
2007-07-23,969,,,44757.3981
2007-07-24,951.8,,,44756.3981
2007-07-25,963,,,44755.3981
2007-07-26,975,,,44754.3981
2007-07-27,970,,,44753.3981
2007-07-28,783,,,44752.3981
2007-07-29,946,,,44751.3981
2007-07-30,962,,,44750.3981
2007-07-31,817,,,44749.3981
2007-08-01,757,,,44748.3981
2007-08-02,685,,,44747.3981
2007-08-03,658,,,44746.3981
