DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,248,,,44687.8695
2007-10-01,249,,,44686.8695
2007-10-02,221,,,44685.8695
2007-10-03,207,,,44684.8695
2007-10-04,214,,,44683.8695
2007-10-05,191,,,44682.8695
2007-10-06,215,,,44681.8695
2007-10-07,255,,,44680.8695
2007-10-08,254,,,44679.8695
2007-10-09,254,,,44678.8695
2007-10-10,254,,,44677.8695
2007-10-11,241,,,44676.8695
2007-10-12,210,,,44675.8695
2007-10-13,202,,,44674.8695
2007-10-14,201,,,44673.8695
2007-10-15,198,,,44672.8695
2007-10-16,211,,,44671.8695
2007-10-17,204,,,44670.8695
2007-10-18,162,,,44669.8695
2007-10-19,158,,,44668.8695
2007-10-20,163,,,44667.8695
2007-10-21,196,,,44666.8695
2007-10-22,219,,,44665.8695
2007-10-23,209,,,44664.8695
2007-10-24,175,,,44663.8695
2007-10-25,166,,,44662.8695
2007-10-26,174,,,44661.8695
2007-10-27,193,,,44660.8695
2007-10-28,210,,,44659.8695
2007-10-29,217,,,44658.8695
2007-10-30,261,,,44657.8695
2007-10-31,213,,,44656.8695
2007-11-01,141,,,44655.8695
2007-11-02,141,,,44654.8695
2007-11-03,141,,,44653.8695
2007-11-04,140,,,44652.8695
2007-11-05,144,,,44651.8695
2007-11-06,157,,,44650.8695
2007-11-07,174,,,44649.8695
2007-11-08,173,,,44648.8695
2007-11-09,156,,,44647.8695
2007-11-10,165,,,44646.8695
2007-11-11,160,,,44645.8695
2007-11-12,144,,,44644.8695
2007-11-13,147,,,44643.8695
2007-11-14,160,,,44642.8695
2007-11-15,172,,,44641.8695
2007-11-16,173,,,44640.8695
2007-11-17,162,,,44639.8695
2007-11-18,152,,,44638.8695
2007-11-19,151,,,44637.8695
2007-11-20,155,,,44636.8695
2007-11-21,162,,,44635.8695
2007-11-22,158,,,44634.8695
2007-11-23,148,,,44633.8695
2007-11-24,138,,,44632.8695
2007-11-25,132,,,44631.8695
2007-11-26,132,,,44630.8695
2007-11-27,140,,,44629.8695
2007-11-28,159,,,44628.8695
2007-11-29,193,,,44627.8695
2007-11-30,273,,,44626.8695
2007-12-01,330,,,44625.8695
2007-12-02,351,,,44624.8695
2007-12-03,354,,,44623.8695
2007-12-04,361,,,44622.8695
2007-12-05,353,,,44621.8695
2007-12-06,327,,,44620.8695
2007-12-07,301,,,44619.8695
2007-12-08,186,,,44618.8695
2007-12-09,95,,,44617.8695
2007-12-10,103,,,44616.8695
2007-12-11,104,,,44615.8695
2007-12-12,106,,,44614.8695
2007-12-13,108,,,44613.8695
2007-12-14,122,,,44612.8695
2007-12-15,141,,,44611.8695
2007-12-16,141,,,44610.8695
2007-12-17,204,,,44609.8695
2007-12-18,266,,,44608.8695
2007-12-19,226,,,44607.8695
2007-12-20,160,,,44606.8695
2007-12-21,145,,,44605.8695
2007-12-22,114,,,44604.8695
2007-12-23,102,,,44603.8695
2007-12-24,117,,,44602.8695
2007-12-25,128,,,44601.8695
2007-12-26,125,,,44600.8695
2007-12-27,151,,,44599.8695
2007-12-28,167,,,44598.8695
2007-12-29,179,,,44597.8695
2007-12-30,199,,,44596.8695
2007-12-31,199,,,44595.8695
2008-01-01,171,,,44594.8695
2008-01-02,146,,,44593.8695
2008-01-03,141,,,44592.8695
2008-01-04,117,,,44591.8695
2008-01-05,107,,,44590.8695
2008-01-06,104,,,44589.8695
2008-01-07,104,,,44588.8695
2008-01-08,123,,,44587.8695
2008-01-09,140,,,44586.8695
2008-01-10,151,,,44585.8695
2008-01-11,159,,,44584.8695
2008-01-12,195,,,44583.8695
2008-01-13,240,,,44582.8695
2008-01-14,261,,,44581.8695
2008-01-15,273,,,44580.8695
2008-01-16,279,,,44579.8695
2008-01-17,292,,,44578.8695
2008-01-18,300,,,44577.8695
2008-01-19,299,,,44576.8695
2008-01-20,333,,,44575.8695
2008-01-21,325,,,44574.8695
2008-01-22,300,,,44573.8695
2008-01-23,289,,,44572.8695
2008-01-24,274,,,44571.8695
2008-01-25,252,,,44570.8695
2008-01-26,197,,,44569.8695
2008-01-27,171,,,44568.8695
2008-01-28,202,,,44567.8695
2008-01-29,262,,,44566.8695
