DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,146,,,44687.8695
2007-10-01,144,,,44686.8695
2007-10-02,143,,,44685.8695
2007-10-03,142,,,44684.8695
2007-10-04,141,,,44683.8695
2007-10-05,142,,,44682.8695
2007-10-06,145,,,44681.8695
2007-10-07,150,,,44680.8695
2007-10-08,154,,,44679.8695
2007-10-09,153,,,44678.8695
2007-10-10,150,,,44677.8695
2007-10-11,150,,,44676.8695
2007-10-12,149,,,44675.8695
2007-10-13,149,,,44674.8695
2007-10-14,150,,,44673.8695
2007-10-15,151,,,44672.8695
2007-10-16,151,,,44671.8695
2007-10-17,152,,,44670.8695
2007-10-18,154,,,44669.8695
2007-10-19,153,,,44668.8695
2007-10-20,152,,,44667.8695
2007-10-21,151,,,44666.8695
2007-10-22,148,,,44665.8695
2007-10-23,148,,,44664.8695
2007-10-24,147,,,44663.8695
2007-10-25,145,,,44662.8695
2007-10-26,146,,,44661.8695
2007-10-27,146,,,44660.8695
2007-10-28,147,,,44659.8695
2007-10-29,150,,,44658.8695
2007-10-30,154,,,44657.8695
2007-10-31,154,,,44656.8695
2007-11-01,155,,,44655.8695
2007-11-02,155,,,44654.8695
2007-11-03,153,,,44653.8695
2007-11-04,151,,,44652.8695
2007-11-05,151,,,44651.8695
2007-11-06,152,,,44650.8695
2007-11-07,152,,,44649.8695
2007-11-08,151,,,44648.8695
2007-11-09,151,,,44647.8695
2007-11-10,152,,,44646.8695
2007-11-11,153,,,44645.8695
2007-11-12,161,,,44644.8695
2007-11-13,169,,,44643.8695
2007-11-14,163,,,44642.8695
2007-11-15,160,,,44641.8695
2007-11-16,159,,,44640.8695
2007-11-17,157,,,44639.8695
2007-11-18,157,,,44638.8695
2007-11-19,159,,,44637.8695
2007-11-20,161,,,44636.8695
2007-11-21,160,,,44635.8695
2007-11-22,160,,,44634.8695
2007-11-23,158,,,44633.8695
2007-11-24,156,,,44632.8695
2007-11-25,154,,,44631.8695
2007-11-26,158,,,44630.8695
2007-11-27,159,,,44629.8695
2007-11-28,157,,,44628.8695
2007-11-29,161,,,44627.8695
2007-11-30,160,,,44626.8695
2007-12-01,162,,,44625.8695
2007-12-02,154,,,44624.8695
2007-12-03,144,,,44623.8695
2007-12-04,157,,,44622.8695
2007-12-05,161,,,44621.8695
2007-12-06,165,,,44620.8695
2007-12-07,394,,,44619.8695
2007-12-08,325,,,44618.8695
2007-12-09,204,,,44617.8695
2007-12-10,184,,,44616.8695
2007-12-11,182,,,44615.8695
2007-12-12,180,,,44614.8695
2007-12-13,177,,,44613.8695
2007-12-14,177,,,44612.8695
2007-12-15,176,,,44611.8695
2007-12-16,177,,,44610.8695
2007-12-17,176,,,44609.8695
2007-12-18,186,,,44608.8695
2007-12-19,323,,,44607.8695
2007-12-20,246,,,44606.8695
2007-12-21,258,,,44605.8695
2007-12-22,193,,,44604.8695
2007-12-23,205,,,44603.8695
2007-12-24,211,,,44602.8695
2007-12-25,204,,,44601.8695
2007-12-26,196,,,44600.8695
2007-12-27,191,,,44599.8695
2007-12-28,188,,,44598.8695
2007-12-29,192,,,44597.8695
2007-12-30,192,,,44596.8695
2007-12-31,192,,,44595.8695
2008-01-01,189,,,44594.8695
2008-01-02,190,,,44593.8695
2008-01-03,189,,,44592.8695
2008-01-04,244,,,44591.8695
2008-01-05,1649,,,44590.8695
2008-01-06,687,,,44589.8695
2008-01-07,465,,,44588.8695
2008-01-08,390,,,44587.8695
2008-01-09,386,,,44586.8695
2008-01-10,365,,,44585.8695
2008-01-11,348,,,44584.8695
2008-01-12,323,,,44583.8695
2008-01-13,299,,,44582.8695
2008-01-14,273,,,44581.8695
2008-01-15,261,,,44580.8695
2008-01-16,253,,,44579.8695
2008-01-17,235,,,44578.8695
2008-01-18,224,,,44577.8695
2008-01-19,218,,,44576.8695
2008-01-20,210,,,44575.8695
2008-01-21,211,,,44574.8695
2008-01-22,197,,,44573.8695
2008-01-23,199,,,44572.8695
2008-01-24,219,,,44571.8695
2008-01-25,222,,,44570.8695
2008-01-26,208,,,44569.8695
2008-01-27,213,,,44568.8695
2008-01-28,304,,,44567.8695
2008-01-29,224,,,44566.8695
2008-01-30,268,,,44565.8695
2008-01-31,263,,,44564.8695
2008-02-01,271,,,44563.8695
2008-02-02,266,,,44562.8695
2008-02-03,396,,,44561.8695
2008-02-04,355,,,44560.8695
2008-02-05,336,,,44559.8695
2008-02-06,356,,,44558.8695
2008-02-07,368,,,44557.8695
2008-02-08,377,,,44556.8695
2008-02-09,389,,,44555.8695
2008-02-10,393,,,44554.8695
2008-02-11,397,,,44553.8695
2008-02-12,403,,,44552.8695
2008-02-13,432,,,44551.8695
2008-02-14,462,,,44550.8695
2008-02-15,412,,,44549.8695
2008-02-16,385,,,44548.8695
2008-02-17,384,,,44547.8695
2008-02-18,399,,,44546.8695
2008-02-19,415,,,44545.8695
2008-02-20,442,,,44544.8695
2008-02-21,433,,,44543.8695
2008-02-22,695,,,44542.8695
2008-02-23,648,,,44541.8695
2008-02-24,894,,,44540.8695
2008-02-25,826,,,44539.8695
2008-02-26,722,,,44538.8695
2008-02-27,691,,,44537.8695
2008-02-28,719,,,44536.8695
2008-03-01,757,,,44534.8695
2008-03-02,768,,,44533.8695
2008-03-03,708,,,44532.8695
2008-03-04,675,,,44531.8695
2008-03-05,677,,,44530.8695
2008-03-06,661,,,44529.8695
2008-03-07,638,,,44528.8695
2008-03-08,645,,,44527.8695
2008-03-09,673,,,44526.8695
2008-03-10,687,,,44525.8695
2008-03-11,714,,,44524.8695
2008-03-12,812,,,44523.8695
2008-03-13,889,,,44522.8695
2008-03-14,934,,,44521.8695
2008-03-15,847,,,44520.8695
2008-03-16,763,,,44519.8695
2008-03-17,685,,,44518.8695
2008-03-18,649,,,44517.8695
2008-03-19,658,,,44516.8695
2008-03-20,689,,,44515.8695
2008-03-21,708,,,44514.8695
2008-03-22,728,,,44513.8695
2008-03-23,768,,,44512.8695
2008-03-24,816,,,44511.8695
2008-03-25,873,,,44510.8695
2008-03-26,955,,,44509.8695
2008-03-27,1006,,,44508.8695
2008-03-28,976,,,44507.8695
2008-03-29,999,,,44506.8695
2008-03-30,1000,,,44505.8695
2008-03-31,912,,,44504.8695
2008-04-01,854,,,44503.8695
2008-04-02,847,,,44502.8695
2008-04-03,830,,,44501.8695
2008-04-04,865,,,44500.8695
2008-04-05,901,,,44499.8695
2008-04-06,928,,,44498.8695
2008-04-07,952,,,44497.8695
2008-04-08,930,,,44496.8695
2008-04-09,880,,,44495.8695
2008-04-10,833,,,44494.8695
2008-04-11,865,,,44493.8695
2008-04-12,956,,,44492.8695
2008-04-13,1080,,,44491.8695
2008-04-14,1234,,,44490.8695
2008-04-15,1338,,,44489.8695
2008-04-16,1242,,,44488.8695
2008-04-17,1193,,,44487.8695
2008-04-18,1242,,,44486.8695
2008-04-19,1235,,,44485.8695
2008-04-20,1190,,,44484.8695
2008-04-21,1105,,,44483.8695
2008-04-22,1096,,,44482.8695
2008-04-23,1148,,,44481.8695
2008-04-24,1130,,,44480.8695
2008-04-25,1111,,,44479.8695
2008-04-26,1181,,,44478.8695
2008-04-27,1376,,,44477.8695
2008-04-28,1679,,,44476.8695
2008-04-29,1907,,,44475.8695
2008-04-30,1957,,,44474.8695
2008-05-01,1703,,,44473.8695
2008-05-02,1603,,,44472.8695
2008-05-03,1653,,,44471.8695
2008-05-04,1653,,,44470.8695
2008-05-05,1609,,,44469.8695
2008-05-06,1480,,,44468.8695
2008-05-07,1537,,,44467.8695
2008-05-08,1621,,,44466.8695
2008-05-09,1649,,,44465.8695
2008-05-10,1693,,,44464.8695
2008-05-11,1808,,,44463.8695
2008-05-12,1987,,,44462.8695
2008-05-13,1892,,,44461.8695
2008-05-14,1767,,,44460.8695
2008-05-15,1992,,,44459.8695
2008-05-16,2490,,,44458.8695
2008-05-17,2900,,,44457.8695
2008-05-18,3224,,,44456.8695
2008-05-19,3535,,,44455.8695
2008-05-20,3697,,,44454.8695
2008-05-21,3400,,,44453.8695
2008-05-22,2587,,,44452.8695
2008-05-23,2113,,,44451.8695
2008-05-24,1829,,,44450.8695
2008-05-25,1596,,,44449.8695
2008-05-26,1489,,,44448.8695
2008-05-27,1430,,,44447.8695
2008-05-28,1314,,,44446.8695
2008-05-29,1227,,,44445.8695
2008-05-30,1182,,,44444.8695
2008-05-31,1203,,,44443.8695
2008-06-01,1318,,,44442.8695
2008-06-02,1475,,,44441.8695
2008-06-03,1632,,,44440.8695
2008-06-04,1810,,,44439.8695
2008-06-05,1651,,,44438.8695
2008-06-06,1559,,,44437.8695
2008-06-07,1812,,,44436.8695
2008-06-08,1796,,,44435.8695
2008-06-09,1743,,,44434.8695
2008-06-10,1858,,,44433.8695
2008-06-11,1903,,,44432.8695
2008-06-12,1701,,,44431.8695
2008-06-13,1650,,,44430.8695
2008-06-14,1681,,,44429.8695
2008-06-15,1665,,,44428.8695
2008-06-16,1598,,,44427.8695
2008-06-17,1574,,,44426.8695
2008-06-18,1534,,,44425.8695
2008-06-19,1433,,,44424.8695
2008-06-20,1353,,,44423.8695
