DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,0,,,44688.0995
2007-10-01,0,,,44687.0995
2007-10-02,0,,,44686.0995
2007-10-03,0,,,44685.0995
2007-10-04,0,,,44684.0995
2007-10-05,0,,,44683.0995
2007-10-06,0,,,44682.0995
2007-10-07,0,,,44681.0995
2007-10-08,0,,,44680.0995
2007-10-09,0,,,44679.0995
2007-10-10,0,,,44678.0995
2007-10-11,0,,,44677.0995
2007-10-12,0,,,44676.0995
2007-10-13,0,,,44675.0995
2007-10-14,0,,,44674.0995
2007-10-15,0,,,44673.0995
2007-10-16,0,,,44672.0995
2007-10-17,0,,,44671.0995
2007-10-18,0,,,44670.0995
2007-10-19,0,,,44669.0995
2007-10-20,0,,,44668.0995
2007-10-21,0,,,44667.0995
2007-10-22,0,,,44666.0995
2007-10-23,0,,,44665.0995
2007-10-24,0,,,44664.0995
2007-10-25,0,,,44663.0995
2007-10-26,0,,,44662.0995
2007-10-27,0,,,44661.0995
2007-10-28,0,,,44660.0995
2007-10-29,0,,,44659.0995
2007-10-30,0,,,44658.0995
2007-10-31,0,,,44657.0995
2007-11-01,0,,,44656.0995
2007-11-02,0,,,44655.0995
2007-11-03,0,,,44654.0995
2007-11-04,0,,,44653.0995
2007-11-05,0,,,44652.0995
2007-11-06,0,,,44651.0995
2007-11-07,0,,,44650.0995
2007-11-08,0,,,44649.0995
2007-11-09,0,,,44648.0995
2007-11-10,0,,,44647.0995
2007-11-11,0,,,44646.0995
2007-11-12,0,,,44645.0995
2007-11-13,0,,,44644.0995
2007-11-14,0,,,44643.0996
2007-11-15,0,,,44642.0996
2007-11-16,0,,,44641.0996
2007-11-17,0,,,44640.0996
2007-11-18,0,,,44639.0996
2007-11-19,0,,,44638.0996
2007-11-20,0,,,44637.0996
2007-11-21,0,,,44636.0996
2007-11-22,0,,,44635.0996
2007-11-23,0,,,44634.0996
2007-11-24,0,,,44633.0996
2007-11-25,0,,,44632.0996
2007-11-26,0,,,44631.0996
2007-11-27,0,,,44630.0996
2007-11-28,0,,,44629.0996
2007-11-29,0,,,44628.0996
2007-11-30,0,,,44627.0996
2007-12-01,0,,,44626.0996
2007-12-02,0,,,44625.0996
2007-12-03,0,,,44624.0996
2007-12-04,0,,,44623.0996
2007-12-05,0,,,44622.0996
2007-12-06,0,,,44621.0996
2007-12-07,0,,,44620.0996
2007-12-08,0,,,44619.0996
2007-12-09,0,,,44618.0996
2007-12-10,0,,,44617.0996
2007-12-11,0,,,44616.0996
2007-12-12,0,,,44615.0996
2007-12-13,0,,,44614.0996
2007-12-14,0,,,44613.0996
2007-12-15,0,,,44612.0996
2007-12-16,0,,,44611.0996
2007-12-17,0,,,44610.0996
2007-12-18,0,,,44609.0996
2007-12-19,0,,,44608.0996
2007-12-20,0,,,44607.0996
2007-12-21,0,,,44606.0996
2007-12-22,0,,,44605.0996
2007-12-23,0,,,44604.0996
2007-12-24,0,,,44603.0996
2007-12-25,0,,,44602.0996
2007-12-26,0,,,44601.0996
2007-12-27,0,,,44600.0996
2007-12-28,0,,,44599.0996
2007-12-29,0,,,44598.0996
2007-12-30,0,,,44597.0996
2007-12-31,0,,,44596.0996
2008-01-01,0,,,44595.0996
2008-01-02,0,,,44594.0996
2008-01-03,0,,,44593.0996
2008-01-04,0,,,44592.0996
2008-01-05,0,,,44591.0996
2008-01-06,0,,,44590.0996
2008-01-07,0,,,44589.0996
2008-01-08,0,,,44588.0996
2008-01-09,0,,,44587.0996
2008-01-10,0,,,44586.0996
2008-01-11,0,,,44585.0996
2008-01-12,0,,,44584.0996
2008-01-13,0,,,44583.0996
2008-01-14,0,,,44582.0996
2008-01-15,0,,,44581.0996
2008-01-16,0,,,44580.0996
2008-01-17,0,,,44579.0996
2008-01-18,0,,,44578.0996
2008-01-19,0,,,44577.0996
2008-01-20,0,,,44576.0996
2008-01-21,0,,,44575.0996
2008-01-22,0,,,44574.0996
2008-01-23,0,,,44573.0996
2008-01-24,0,,,44572.0996
2008-01-25,0,,,44571.0996
2008-01-26,0,,,44570.0996
2008-01-27,0,,,44569.0996
2008-01-28,0,,,44568.0996
2008-01-29,0,,,44567.0996
2008-01-30,0,,,44566.0996
2008-01-31,0,,,44565.0996
2008-02-01,0,,,44564.0996
2008-02-02,0,,,44563.0996
2008-02-03,0,,,44562.0996
2008-02-04,0,,,44561.0996
2008-02-05,0,,,44560.0996
2008-02-06,0,,,44559.0996
2008-02-07,0,,,44558.0996
2008-02-08,0,,,44557.0996
2008-02-09,0,,,44556.0996
2008-02-10,0,,,44555.0996
2008-02-11,50,,,44554.0996
2008-02-12,100,,,44553.0996
2008-02-13,198,,,44552.0996
2008-02-14,66,,,44551.0996
2008-02-15,0,,,44550.0996
2008-02-16,0,,,44549.0996
2008-02-17,0,,,44548.0996
2008-02-18,0,,,44547.0996
2008-02-19,0,,,44546.0996
2008-02-20,0,,,44545.0996
2008-02-21,55,,,44544.0996
2008-02-22,0,,,44543.0996
2008-02-23,0,,,44542.0996
2008-02-24,0,,,44541.0996
2008-02-25,0,,,44540.0996
2008-02-26,0,,,44539.0996
2008-02-27,46,,,44538.0996
2008-02-28,54,,,44537.0996
2008-03-01,0,,,44535.0996
2008-03-02,0,,,44534.0996
2008-03-03,0,,,44533.0996
2008-03-04,0,,,44532.0996
2008-03-05,0,,,44531.0996
2008-03-06,0,,,44530.0996
2008-03-07,0,,,44529.0996
2008-03-08,0,,,44528.0996
