DATE,FLOW,STAGE,TEMP,VDATE
2005-09-30,0,,,45418.4407
2005-10-01,0,,,45417.4407
2005-10-02,0,,,45416.4407
2005-10-03,0,,,45415.4407
2005-10-04,0,,,45414.4407
2005-10-05,0,,,45413.4407
2005-10-06,0,,,45412.4407
2005-10-07,0,,,45411.4407
2005-10-08,0,,,45410.4407
2005-10-09,0,,,45409.4407
2005-10-10,0,,,45408.4407
2005-10-11,0,,,45407.4407
2005-10-12,0,,,45406.4407
2005-10-13,0,,,45405.4407
2005-10-14,0,,,45404.4407
2005-10-15,0,,,45403.4407
2005-10-16,0,,,45402.4407
2005-10-17,0,,,45401.4407
2005-10-18,0,,,45400.4407
2005-10-19,0,,,45399.4407
2005-10-20,0,,,45398.4407
2005-10-21,0,,,45397.4407
2005-10-22,0,,,45396.4407
2005-10-23,0,,,45395.4407
2005-10-24,0,,,45394.4407
2005-10-25,0,,,45393.4407
2005-10-26,0,,,45392.4407
2005-10-27,0,,,45391.4407
2005-10-28,0,,,45390.4407
2005-10-29,0,,,45389.4407
2005-10-30,0,,,45388.4407
2005-10-31,0,,,45387.4407
2005-11-01,0,,,45386.4407
2005-11-02,0,,,45385.4407
2005-11-03,0,,,45384.4407
2005-11-04,0,,,45383.4407
2005-11-05,0,,,45382.4407
2005-11-06,0,,,45381.4407
2005-11-07,0,,,45380.4407
2005-11-08,0,,,45379.4407
2005-11-09,0,,,45378.4407
2005-11-10,0,,,45377.4407
2005-11-11,0,,,45376.4407
2005-11-12,0,,,45375.4407
2005-11-13,0,,,45374.4407
2005-11-14,0,,,45373.4407
2005-11-15,0,,,45372.4407
2005-11-16,0,,,45371.4407
2005-11-17,0,,,45370.4407
2005-11-18,0,,,45369.4407
2005-11-19,0,,,45368.4407
2005-11-20,0,,,45367.4407
2005-11-21,0,,,45366.4407
2005-11-22,0,,,45365.4407
2005-11-23,0,,,45364.4407
2005-11-24,0,,,45363.4407
2005-11-25,0,,,45362.4407
2005-11-26,0,,,45361.4407
2005-11-27,0,,,45360.4407
2005-11-28,0,,,45359.4407
2005-11-29,0,,,45358.4407
2005-11-30,0,,,45357.4407
2005-12-01,0,,,45356.4407
2005-12-02,0,,,45355.4407
2005-12-03,0,,,45354.4407
2005-12-04,0,,,45353.4407
2005-12-05,0,,,45352.4407
2005-12-06,0,,,45351.4407
2005-12-07,0,,,45350.4407
2005-12-08,0,,,45349.4407
2005-12-09,0,,,45348.4407
2005-12-10,0,,,45347.4407
2005-12-11,0,,,45346.4407
2005-12-12,0,,,45345.4407
2005-12-13,0.1,,,45344.4407
2005-12-14,0.1,,,45343.4407
2005-12-15,0.1,,,45342.4407
2005-12-16,0.3,,,45341.4407
2005-12-17,0.4,,,45340.4407
2005-12-18,0.7,,,45339.4407
2005-12-19,4.2,,,45338.4407
2005-12-20,4.5,,,45337.4407
2005-12-21,1.4,,,45336.4407
2005-12-22,1.2,,,45335.4407
2005-12-23,3.3,,,45334.4407
2005-12-24,5.3,,,45333.4407
2005-12-25,2,,,45332.4407
2005-12-26,6.5,,,45331.4407
2005-12-27,7.9,,,45330.4407
2005-12-28,1.2,,,45329.4407
2005-12-29,1.2,,,45328.4407
2005-12-30,1.1,,,45327.4407
2005-12-31,126,,,45326.4407
2006-01-01,442,,,45325.4407
2006-01-02,436,,,45324.4407
2006-01-03,715,,,45323.4407
2006-01-04,646,,,45322.4407
2006-01-05,494,,,45321.4407
2006-01-06,161,,,45320.4407
2006-01-07,1.4,,,45319.4407
2006-01-08,1,,,45318.4407
2006-01-09,0.8,,,45317.4407
2006-01-10,0.6,,,45316.4407
2006-01-11,0.5,,,45315.4407
2006-01-12,0.4,,,45314.4407
2006-01-13,0.3,,,45313.4407
