DATE,FLOW,STAGE,TEMP,VDATE
2005-09-30,2011,,,45418.4278
2005-10-01,1813,,,45417.4278
2005-10-02,1884,,,45416.4278
2005-10-03,2117,,,45415.4278
2005-10-04,2219,,,45414.4278
2005-10-05,2201,,,45413.4278
2005-10-06,2148,,,45412.4278
2005-10-07,1966,,,45411.4278
2005-10-08,1669,,,45410.4278
2005-10-09,1586,,,45409.4278
2005-10-10,1624,,,45408.4278
2005-10-11,1663,,,45407.4278
2005-10-12,1849,,,45406.4278
2005-10-13,1715,,,45405.4278
2005-10-14,1400,,,45404.4278
2005-10-15,1211,,,45403.4278
2005-10-16,1229,,,45402.4278
2005-10-17,1331,,,45401.4278
2005-10-18,1313,,,45400.4278
2005-10-19,1273,,,45399.4278
2005-10-20,1187,,,45398.4278
2005-10-21,985,,,45397.4278
2005-10-22,885,,,45396.4278
2005-10-23,886,,,45395.4278
2005-10-24,1002,,,45394.4278
2005-10-25,1113,,,45393.4278
2005-10-26,1133,,,45392.4278
2005-10-27,1131,,,45391.4278
2005-10-28,989,,,45390.4278
2005-10-29,889,,,45389.4278
2005-10-30,860,,,45388.4278
2005-10-31,807,,,45387.4278
2005-11-01,855,,,45386.4278
2005-11-02,885,,,45385.4278
2005-11-03,806,,,45384.4278
2005-11-04,678,,,45383.4278
2005-11-05,619,,,45382.4278
2005-11-06,621,,,45381.4278
2005-11-07,645,,,45380.4278
2005-11-08,651,,,45379.4278
2005-11-09,674,,,45378.4278
2005-11-10,678,,,45377.4278
2005-11-11,682,,,45376.4278
2005-11-12,534,,,45375.4278
2005-11-13,474,,,45374.4278
2005-11-14,491,,,45373.4278
2005-11-15,503,,,45372.4278
2005-11-16,576,,,45371.4278
2005-11-17,628,,,45370.4278
2005-11-18,536,,,45369.4278
2005-11-19,530,,,45368.4278
2005-11-20,573,,,45367.4278
2005-11-21,575,,,45366.4278
2005-11-22,516,,,45365.4278
2005-11-23,425,,,45364.4278
2005-11-24,391,,,45363.4278
2005-11-25,422,,,45362.4278
2005-11-26,444,,,45361.4278
2005-11-27,445,,,45360.4278
2005-11-28,475,,,45359.4278
2005-11-29,497,,,45358.4278
2005-11-30,498,,,45357.4278
2005-12-01,440,,,45356.4278
2005-12-02,400,,,45355.4278
2005-12-03,401,,,45354.4278
2005-12-04,403,,,45353.4278
2005-12-05,365,,,45352.4278
2005-12-06,384,,,45351.4278
2005-12-07,369,,,45350.4278
2005-12-08,370,,,45349.4278
2005-12-09,351,,,45348.4278
2005-12-10,339,,,45347.4278
2005-12-11,341,,,45346.4278
2005-12-12,412,,,45345.4278
2005-12-13,512,,,45344.4278
2005-12-14,236,,,45343.4278
2005-12-15,110,,,45342.4278
2005-12-16,112,,,45341.4278
2005-12-17,251,,,45340.4278
2005-12-18,212,,,45339.4278
2005-12-19,112,,,45338.4278
2005-12-20,234,,,45337.4278
2005-12-21,356,,,45336.4278
2005-12-22,357,,,45335.4278
2005-12-23,358,,,45334.4278
2005-12-24,359,,,45333.4278
2005-12-25,360,,,45332.4278
2005-12-26,363,,,45331.4278
2005-12-27,361,,,45330.4278
