DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,651,,,44687.8698
2007-10-01,291,,,44686.8698
2007-10-02,142,,,44685.8698
2007-10-03,137,,,44684.8698
2007-10-04,269,,,44683.8698
2007-10-05,173,,,44682.8698
2007-10-06,208,,,44681.8698
2007-10-07,118,,,44680.8698
2007-10-08,110,,,44679.8698
2007-10-09,140,,,44678.8698
2007-10-10,215,,,44677.8698
2007-10-11,146,,,44676.8698
2007-10-12,147,,,44675.8698
2007-10-13,178,,,44674.8698
2007-10-14,153,,,44673.8698
2007-10-15,87,,,44672.8698
2007-10-16,255,,,44671.8698
2007-10-17,140,,,44670.8698
2007-10-18,251,,,44669.8698
2007-10-19,138,,,44668.8698
2007-10-20,282,,,44667.8698
2007-10-21,208,,,44666.8698
2007-10-22,730,,,44665.8698
2007-10-23,225,,,44664.8698
2007-10-24,215,,,44663.8698
2007-10-25,219,,,44662.8698
2007-10-26,186,,,44661.8698
2007-10-27,192,,,44660.8698
2007-10-28,157,,,44659.8698
2007-10-29,206,,,44658.8698
2007-10-30,150,,,44657.8698
2007-10-31,89,,,44656.8698
2007-11-01,291,,,44655.8698
2007-11-02,110,,,44654.8698
2007-11-03,113,,,44653.8698
2007-11-04,98,,,44652.8698
2007-11-05,141,,,44651.8698
2007-11-06,103,,,44650.8698
2007-11-07,117,,,44649.8698
2007-11-08,90,,,44648.8698
2007-11-09,86,,,44647.8698
2007-11-10,94,,,44646.8698
2007-11-11,113,,,44645.8698
2007-11-12,127,,,44644.8698
2007-11-13,80,,,44643.8698
2007-11-14,105,,,44642.8698
2007-11-15,117,,,44641.8698
2007-11-16,46,,,44640.8698
2007-11-17,106,,,44639.8698
2007-11-18,68,,,44638.8698
2007-11-19,44,,,44637.8698
2007-11-20,54,,,44636.8698
2007-11-21,222,,,44635.8698
2007-11-22,57,,,44634.8698
2007-11-23,68,,,44633.8698
2007-11-24,58,,,44632.8698
2007-11-25,70,,,44631.8698
2007-11-26,68,,,44630.8698
2007-11-27,49,,,44629.8698
2007-11-28,107,,,44628.8698
2007-11-29,280,,,44627.8698
2007-11-30,355,,,44626.8698
2007-12-01,500,,,44625.8698
2007-12-02,406,,,44624.8698
2007-12-03,468,,,44623.8698
2007-12-04,305,,,44622.8698
2007-12-05,469,,,44621.8698
2007-12-06,457,,,44620.8698
2007-12-07,399,,,44619.8698
2007-12-08,459,,,44618.8698
2007-12-09,295,,,44617.8698
2007-12-10,458,,,44616.8698
2007-12-11,424,,,44615.8698
2007-12-12,801,,,44614.8698
2007-12-13,591,,,44613.8698
2007-12-14,657,,,44612.8698
2007-12-15,439,,,44611.8698
2007-12-16,569,,,44610.8698
2007-12-17,351,,,44609.8698
2007-12-18,637,,,44608.8698
2007-12-19,635,,,44607.8698
2007-12-20,602,,,44606.8698
2007-12-21,403,,,44605.8698
2007-12-22,656,,,44604.8698
2007-12-23,468,,,44603.8698
2007-12-24,350,,,44602.8698
2007-12-25,314,,,44601.8698
2007-12-26,381,,,44600.8698
2007-12-27,564,,,44599.8698
2007-12-28,394,,,44598.8698
2007-12-29,371,,,44597.8698
2007-12-30,355,,,44596.8698
2007-12-31,370,,,44595.8698
2008-01-01,455,,,44594.8698
2008-01-02,617,,,44593.8698
2008-01-03,1738,,,44592.8698
2008-01-04,1857,,,44591.8698
2008-01-05,3688,,,44590.8698
2008-01-06,1556,,,44589.8698
2008-01-07,603,,,44588.8698
2008-01-08,591,,,44587.8698
2008-01-09,492,,,44586.8698
2008-01-10,565,,,44585.8698
2008-01-11,546,,,44584.8698
2008-01-12,495,,,44583.8698
2008-01-13,542,,,44582.8698
2008-01-14,423,,,44581.8698
2008-01-15,453,,,44580.8698
2008-01-16,480,,,44579.8698
2008-01-17,632,,,44578.8698
2008-01-18,475,,,44577.8698
2008-01-19,386,,,44576.8698
2008-01-20,665,,,44575.8698
2008-01-21,485,,,44574.8698
2008-01-22,508,,,44573.8698
2008-01-23,621,,,44572.8698
2008-01-24,600,,,44571.8698
2008-01-25,807,,,44570.8698
2008-01-26,583,,,44569.8698
2008-01-27,840,,,44568.8698
2008-01-28,1266,,,44567.8698
2008-01-29,1111,,,44566.8698
2008-01-30,941,,,44565.8698
2008-01-31,668,,,44564.8698
2008-02-01,537,,,44563.8698
2008-02-02,513,,,44562.8698
2008-02-03,1864,,,44561.8698
2008-02-04,1346,,,44560.8698
2008-02-05,813,,,44559.8698
2008-02-06,606,,,44558.8698
2008-02-07,730,,,44557.8698
2008-02-08,780,,,44556.8698
2008-02-09,607,,,44555.8698
2008-02-10,783,,,44554.8698
2008-02-11,681,,,44553.8698
2008-02-12,711,,,44552.8698
2008-02-13,1342,,,44551.8698
2008-02-14,1462,,,44550.8698
2008-02-15,1496,,,44549.8698
2008-02-16,1570,,,44548.8698
2008-02-17,1553,,,44547.8698
2008-02-18,1481,,,44546.8698
2008-02-19,1632,,,44545.8698
2008-02-20,1518,,,44544.8698
2008-02-21,1528,,,44543.8698
2008-02-22,1338,,,44542.8698
2008-02-23,1980,,,44541.8698
2008-02-24,2974,,,44540.8698
2008-02-25,2610,,,44539.8698
2008-02-26,2291,,,44538.8698
2008-02-27,1476,,,44537.8698
2008-02-28,1686,,,44536.8698
2008-03-01,1351,,,44534.8698
2008-03-02,1407,,,44533.8698
2008-03-03,1635,,,44532.8698
2008-03-04,1428,,,44531.8698
2008-03-05,1721,,,44530.8698
2008-03-06,1655,,,44529.8698
2008-03-07,1483,,,44528.8698
