DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,819,,,44687.8698
2007-10-01,809,,,44686.8698
2007-10-02,787,,,44685.8698
2007-10-03,836,,,44684.8698
2007-10-04,828,,,44683.8698
2007-10-05,749,,,44682.8698
2007-10-06,706,,,44681.8698
2007-10-07,706,,,44680.8698
2007-10-08,766,,,44679.8698
2007-10-09,806,,,44678.8698
2007-10-10,776,,,44677.8698
2007-10-11,727,,,44676.8698
2007-10-12,704,,,44675.8698
2007-10-13,702,,,44674.8698
2007-10-14,673,,,44673.8698
2007-10-15,640,,,44672.8698
2007-10-16,685,,,44671.8698
2007-10-17,723,,,44670.8698
2007-10-18,637,,,44669.8698
2007-10-19,518,,,44668.8698
2007-10-20,475,,,44667.8698
2007-10-21,474,,,44666.8698
2007-10-22,564,,,44665.8698
2007-10-23,628,,,44664.8698
2007-10-24,625,,,44663.8698
2007-10-25,620,,,44662.8698
2007-10-26,535,,,44661.8698
2007-10-27,474,,,44660.8698
2007-10-28,533,,,44659.8698
2007-10-29,572,,,44658.8698
2007-10-30,570,,,44657.8698
2007-10-31,567,,,44656.8698
2007-11-01,540,,,44655.8698
2007-11-02,494,,,44654.8698
2007-11-03,472,,,44653.8698
2007-11-04,473,,,44652.8698
2007-11-05,531,,,44651.8698
2007-11-06,569,,,44650.8698
2007-11-07,500,,,44649.8698
2007-11-08,470,,,44648.8698
2007-11-09,468,,,44647.8698
2007-11-10,411,,,44646.8698
2007-11-11,372,,,44645.8698
2007-11-12,370,,,44644.8698
2007-11-13,255,,,44643.8698
2007-11-14,173,,,44642.8698
2007-11-15,173,,,44641.8698
2007-11-16,173,,,44640.8698
2007-11-17,173,,,44639.8698
2007-11-18,173,,,44638.8698
2007-11-19,173,,,44637.8698
2007-11-20,172,,,44636.8698
2007-11-21,172,,,44635.8698
2007-11-22,172,,,44634.8698
2007-11-23,172,,,44633.8698
2007-11-24,172,,,44632.8698
2007-11-25,172,,,44631.8698
2007-11-26,158,,,44630.8698
2007-11-27,150,,,44629.8698
2007-11-28,150,,,44628.8698
2007-11-29,150,,,44627.8698
2007-11-30,150,,,44626.8698
2007-12-01,150,,,44625.8698
2007-12-02,150,,,44624.8698
2007-12-03,150,,,44623.8698
2007-12-04,150,,,44622.8698
2007-12-05,150,,,44621.8698
2007-12-06,150,,,44620.8698
2007-12-07,136,,,44619.8698
2007-12-08,129,,,44618.8698
2007-12-09,129,,,44617.8698
2007-12-10,129,,,44616.8698
2007-12-11,129,,,44615.8698
2007-12-12,130,,,44614.8698
2007-12-13,130,,,44613.8698
2007-12-14,130,,,44612.8698
2007-12-15,130,,,44611.8698
2007-12-16,130,,,44610.8698
2007-12-17,130,,,44609.8698
2007-12-18,130,,,44608.8698
2007-12-19,130,,,44607.8698
2007-12-20,129,,,44606.8698
2007-12-21,112,,,44605.8698
2007-12-22,100,,,44604.8698
2007-12-23,100,,,44603.8698
2007-12-24,101,,,44602.8698
2007-12-25,101,,,44601.8698
2007-12-26,101,,,44600.8698
2007-12-27,101,,,44599.8698
2007-12-28,102,,,44598.8698
2007-12-29,102,,,44597.8698
2007-12-30,102,,,44596.8698
2007-12-31,102,,,44595.8698
2008-01-01,102,,,44594.8698
2008-01-02,102,,,44593.8698
2008-01-03,102,,,44592.8698
2008-01-04,102,,,44591.8698
2008-01-05,102,,,44590.8698
2008-01-06,104,,,44589.8698
2008-01-07,104,,,44588.8698
2008-01-08,104,,,44587.8698
2008-01-09,104,,,44586.8698
2008-01-10,104,,,44585.8698
2008-01-11,104,,,44584.8698
2008-01-12,104,,,44583.8698
2008-01-13,104,,,44582.8698
2008-01-14,104,,,44581.8698
2008-01-15,104,,,44580.8698
2008-01-16,104,,,44579.8698
2008-01-17,104,,,44578.8698
2008-01-18,104,,,44577.8698
2008-01-19,105,,,44576.8698
2008-01-20,105,,,44575.8698
2008-01-21,105,,,44574.8698
2008-01-22,105,,,44573.8698
2008-01-23,208,,,44572.8698
2008-01-24,527,,,44571.8698
2008-01-25,605,,,44570.8698
2008-01-26,606,,,44569.8698
2008-01-27,606,,,44568.8698
2008-01-28,608,,,44567.8698
2008-01-29,510,,,44566.8698
2008-01-30,357,,,44565.8698
2008-01-31,358,,,44564.8698
2008-02-01,359,,,44563.8698
2008-02-02,359,,,44562.8698
2008-02-03,361,,,44561.8698
2008-02-04,364,,,44560.8698
2008-02-05,366,,,44559.8698
2008-02-06,360,,,44558.8698
2008-02-07,648,,,44557.8698
2008-02-08,617,,,44556.8698
2008-02-09,357,,,44555.8698
2008-02-10,424,,,44554.8698
2008-02-11,458,,,44553.8698
2008-02-12,487,,,44552.8698
2008-02-13,509,,,44551.8698
2008-02-14,511,,,44550.8698
2008-02-15,509,,,44549.8698
2008-02-16,538,,,44548.8698
2008-02-17,676,,,44547.8698
2008-02-18,846,,,44546.8698
2008-02-19,967,,,44545.8698
2008-02-20,862,,,44544.8698
2008-02-21,639,,,44543.8698
2008-02-22,561,,,44542.8698
2008-02-23,565,,,44541.8698
2008-02-24,591,,,44540.8698
2008-02-25,618,,,44539.8698
2008-02-26,611,,,44538.8698
2008-02-27,638,,,44537.8698
2008-02-28,719,,,44536.8698
2008-03-01,647,,,44534.8698
2008-03-02,714,,,44533.8698
2008-03-03,777,,,44532.8698
2008-03-04,923,,,44531.8698
2008-03-05,962,,,44530.8698
2008-03-06,931,,,44529.8698
2008-03-07,957,,,44528.8698
2008-03-08,901,,,44527.8698
2008-03-09,919,,,44526.8698
2008-03-10,961,,,44525.8698
2008-03-11,1011,,,44524.8698
2008-03-12,1110,,,44523.8698
2008-03-13,1036,,,44522.8698
2008-03-14,865,,,44521.8698
