DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,5.1,,,44688.1332
2007-10-01,3.6,,,44687.1332
2007-10-02,3.8,,,44686.1332
2007-10-03,3.3,,,44685.1332
2007-10-04,4.4,,,44684.1332
2007-10-05,4,,,44683.1332
2007-10-06,4,,,44682.1332
2007-10-07,5.2,,,44681.1332
2007-10-08,4.8,,,44680.1332
2007-10-09,1.4,,,44679.1332
2007-10-10,0,,,44678.1332
2007-10-11,0.5,,,44677.1332
2007-10-12,1.4,,,44676.1332
2007-10-13,4.6,,,44675.1332
2007-10-14,7.1,,,44674.1332
2007-10-15,7.3,,,44673.1332
2007-10-16,7.3,,,44672.1332
2007-10-17,7.8,,,44671.1332
2007-10-18,8.4,,,44670.1332
2007-10-19,8.2,,,44669.1332
2007-10-20,9.2,,,44668.1332
2007-10-21,8.2,,,44667.1332
2007-10-22,7.4,,,44666.1332
2007-10-23,7.5,,,44665.1332
2007-10-24,7.6,,,44664.1332
2007-10-25,7.9,,,44663.1332
2007-10-26,7.7,,,44662.1332
2007-10-27,7.5,,,44661.1332
2007-10-28,7.6,,,44660.1332
2007-10-29,8.4,,,44659.1332
2007-10-30,9.8,,,44658.1332
2007-10-31,9.4,,,44657.1332
2007-11-01,7.5,,,44656.1332
2007-11-02,6,,,44655.1332
2007-11-03,5.9,,,44654.1332
2007-11-04,5.3,,,44653.1332
2007-11-05,4.5,,,44652.1332
2007-11-06,4.2,,,44651.1332
2007-11-07,5.3,,,44650.1332
2007-11-08,6.5,,,44649.1332
2007-11-09,6.2,,,44648.1332
2007-11-10,7.3,,,44647.1332
2007-11-11,9.2,,,44646.1332
2007-11-12,8.6,,,44645.1332
2007-11-13,7.7,,,44644.1332
2007-11-14,7,,,44643.1332
2007-11-15,6.7,,,44642.1332
2007-11-16,7.2,,,44641.1332
2007-11-17,6.9,,,44640.1332
2007-11-18,6.8,,,44639.1332
2007-11-19,7.1,,,44638.1332
2007-11-20,6.9,,,44637.1332
2007-11-21,6.4,,,44636.1332
2007-11-22,6.4,,,44635.1332
2007-11-23,6.1,,,44634.1332
2007-11-24,6.1,,,44633.1332
2007-11-25,6.5,,,44632.1332
2007-11-26,6.6,,,44631.1332
2007-11-27,6.9,,,44630.1332
2007-11-28,6.4,,,44629.1332
2007-11-29,5.8,,,44628.1332
2007-11-30,6.1,,,44627.1332
2007-12-01,5.9,,,44626.1332
2007-12-02,6.4,,,44625.1332
2007-12-03,6.6,,,44624.1332
2007-12-04,6.7,,,44623.1332
2007-12-05,6.9,,,44622.1332
2007-12-06,7.2,,,44621.1332
2007-12-07,9.4,,,44620.1332
2007-12-08,8,,,44619.1332
2007-12-09,7.4,,,44618.1332
2007-12-10,7,,,44617.1332
2007-12-11,6.3,,,44616.1332
2007-12-12,6,,,44615.1332
2007-12-13,6.3,,,44614.1332
2007-12-14,6.4,,,44613.1332
2007-12-15,6.6,,,44612.1332
2007-12-16,6.7,,,44611.1332
2007-12-17,6.4,,,44610.1332
2007-12-18,6.9,,,44609.1332
2007-12-19,7.5,,,44608.1332
2007-12-20,8.2,,,44607.1332
2007-12-21,7.3,,,44606.1332
2007-12-22,7.1,,,44605.1332
2007-12-23,7.2,,,44604.1332
2007-12-24,7.3,,,44603.1332
2007-12-25,7,,,44602.1332
2007-12-26,7.1,,,44601.1332
2007-12-27,6.5,,,44600.1332
2007-12-28,6.8,,,44599.1332
2007-12-29,7.1,,,44598.1332
2007-12-30,7.1,,,44597.1332
2007-12-31,6.8,,,44596.1332
2008-01-01,6.5,,,44595.1332
2008-01-02,6.5,,,44594.1332
2008-01-03,6.6,,,44593.1332
2008-01-04,14,,,44592.1332
2008-01-05,15,,,44591.1332
2008-01-06,14,,,44590.1332
2008-01-07,15,,,44589.1332
2008-01-08,14,,,44588.1332
2008-01-09,13,,,44587.1332
2008-01-10,12,,,44586.1332
2008-01-11,11,,,44585.1332
2008-01-12,10,,,44584.1332
2008-01-13,9.6,,,44583.1332
2008-01-14,8.8,,,44582.1332
2008-01-15,7,,,44581.1332
2008-01-16,5,,,44580.1332
2008-01-17,5.1,,,44579.1332
2008-01-18,4.9,,,44578.1332
2008-01-19,7.8,,,44577.1332
2008-01-20,7.7,,,44576.1332
2008-01-21,7.9,,,44575.1332
2008-01-22,7.7,,,44574.1332
2008-01-23,7.8,,,44573.1332
2008-01-24,7.9,,,44572.1332
2008-01-25,8.2,,,44571.1332
2008-01-26,8,,,44570.1332
2008-01-27,8.2,,,44569.1332
2008-01-28,7.6,,,44568.1332
2008-01-29,7.5,,,44567.1332
2008-01-30,7.7,,,44566.1332
2008-01-31,7.8,,,44565.1332
2008-02-01,8,,,44564.1332
2008-02-02,7.9,,,44563.1332
2008-02-03,9.2,,,44562.1332
2008-02-04,8.1,,,44561.1332
2008-02-05,7.8,,,44560.1332
2008-02-06,7.9,,,44559.1332
2008-02-07,7.9,,,44558.1332
2008-02-08,8,,,44557.1332
2008-02-09,7.9,,,44556.1332
2008-02-10,8,,,44555.1332
2008-02-11,8.3,,,44554.1332
2008-02-12,8.5,,,44553.1332
2008-02-13,9,,,44552.1332
2008-02-14,8.8,,,44551.1332
2008-02-15,8.4,,,44550.1332
2008-02-16,8.5,,,44549.1332
2008-02-17,8.8,,,44548.1332
2008-02-18,9.1,,,44547.1332
2008-02-19,9.1,,,44546.1332
2008-02-20,9.6,,,44545.1332
2008-02-21,9.6,,,44544.1332
2008-02-22,9.7,,,44543.1332
2008-02-23,9.1,,,44542.1332
2008-02-24,9.7,,,44541.1332
2008-02-25,9.5,,,44540.1332
2008-02-26,9.1,,,44539.1332
2008-02-27,9.8,,,44538.1332
2008-02-28,11,,,44537.1332
2008-03-01,14,,,44535.1332
2008-03-02,13,,,44534.1332
2008-03-03,12,,,44533.1332
2008-03-04,13,,,44532.1332
2008-03-05,14,,,44531.1332
2008-03-06,14,,,44530.1332
2008-03-07,13,,,44529.1332
2008-03-08,14,,,44528.1332
2008-03-09,14,,,44527.1332
2008-03-10,16,,,44526.1332
2008-03-11,18,,,44525.1332
2008-03-12,20,,,44524.1332
2008-03-13,31,,,44523.1332
2008-03-14,42,,,44522.1332
2008-03-15,34,,,44521.1332
2008-03-16,27,,,44520.1332
2008-03-17,22,,,44519.1332
2008-03-18,23,,,44518.1332
2008-03-19,29,,,44517.1332
2008-03-20,32,,,44516.1332
2008-03-21,34,,,44515.1332
2008-03-22,36,,,44514.1332
2008-03-23,42,,,44513.1332
2008-03-24,53,,,44512.1332
2008-03-25,57,,,44511.1332
2008-03-26,64,,,44510.1332
2008-03-27,63,,,44509.1332
2008-03-28,51,,,44508.1332
2008-03-29,44,,,44507.1332
2008-03-30,43,,,44506.1332
2008-03-31,35,,,44505.1332
2008-04-01,34,,,44504.1332
2008-04-02,30,,,44503.1332
2008-04-03,32,,,44502.1332
2008-04-04,34,,,44501.1332
2008-04-05,34,,,44500.1332
2008-04-06,34,,,44499.1332
2008-04-07,32,,,44498.1332
2008-04-08,30,,,44497.1332
2008-04-09,27,,,44496.1332
2008-04-10,26,,,44495.1332
2008-04-11,27,,,44494.1332
2008-04-12,29,,,44493.1332
2008-04-13,34,,,44492.1332
2008-04-14,40,,,44491.1332
2008-04-15,40,,,44490.1332
2008-04-16,33,,,44489.1332
2008-04-17,30,,,44488.1332
2008-04-18,32,,,44487.1332
2008-04-19,35,,,44486.1332
2008-04-20,31,,,44485.1332
2008-04-21,27,,,44484.1332
2008-04-22,24,,,44483.1332
2008-04-23,24,,,44482.1332
2008-04-24,23,,,44481.1332
2008-04-25,22,,,44480.1332
2008-04-26,23,,,44479.1332
2008-04-27,27,,,44478.1332
2008-04-28,30,,,44477.1332
2008-04-29,31,,,44476.1332
2008-04-30,29,,,44475.1332
2008-05-01,25,,,44474.1332
2008-05-02,23,,,44473.1332
2008-05-03,22,,,44472.1332
2008-05-04,22,,,44471.1332
2008-05-05,22,,,44470.1332
2008-05-06,22,,,44469.1332
2008-05-07,27,,,44468.1332
2008-05-08,28,,,44467.1332
2008-05-09,26,,,44466.1332
2008-05-10,25,,,44465.1332
2008-05-11,24,,,44464.1332
2008-05-12,24,,,44463.1332
2008-05-13,22,,,44462.1332
2008-05-14,18,,,44461.1332
2008-05-15,14,,,44460.1332
2008-05-16,14,,,44459.1332
2008-05-17,14,,,44458.1332
2008-05-18,14,,,44457.1332
2008-05-19,14,,,44456.1332
2008-05-20,14,,,44455.1332
2008-05-21,14,,,44454.1332
2008-05-22,38,,,44453.1332
2008-05-23,42,,,44452.1332
2008-05-24,19,,,44451.1332
2008-05-25,17,,,44450.1332
2008-05-26,20,,,44449.1332
2008-05-27,18,,,44448.1332
2008-05-28,16,,,44447.1332
2008-05-29,16,,,44446.1332
2008-05-30,14,,,44445.1332
2008-05-31,14,,,44444.1332
2008-06-01,13,,,44443.1332
2008-06-02,12,,,44442.1332
2008-06-03,9.8,,,44441.1332
2008-06-04,8.6,,,44440.1332
2008-06-05,8.9,,,44439.1332
2008-06-06,13,,,44438.1332
2008-06-07,12,,,44437.1332
2008-06-08,10,,,44436.1332
2008-06-09,9.6,,,44435.1332
2008-06-10,9.2,,,44434.1332
2008-06-11,8.9,,,44433.1332
2008-06-12,8.9,,,44432.1332
2008-06-13,8.4,,,44431.1332
2008-06-14,8.3,,,44430.1332
2008-06-15,8.2,,,44429.1332
2008-06-16,7.8,,,44428.1332
2008-06-17,7.4,,,44427.1332
2008-06-18,7.3,,,44426.1332
2008-06-19,7.3,,,44425.1332
2008-06-20,7.3,,,44424.1332
2008-06-21,7.4,,,44423.1332
2008-06-22,7.6,,,44422.1332
2008-06-23,7.4,,,44421.1332
2008-06-24,7.1,,,44420.1332
2008-06-25,7.1,,,44419.1332
2008-06-26,6.9,,,44418.1332
2008-06-27,7,,,44417.1332
2008-06-28,6.8,,,44416.1332
2008-06-29,6.6,,,44415.1332
2008-06-30,6.4,,,44414.1332
2008-07-01,6.3,,,44413.1332
2008-07-02,6.3,,,44412.1332
2008-07-03,6.2,,,44411.1332
2008-07-04,6.3,,,44410.1332
2008-07-05,6.3,,,44409.1332
2008-07-06,6.4,,,44408.1332
2008-07-07,6.3,,,44407.1332
2008-07-08,4.8,,,44406.1332
2008-07-09,4.1,,,44405.1332
