DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,8,,,44688.1328
2007-10-01,8,,,44687.1328
2007-10-02,7,,,44686.1328
2007-10-03,6,,,44685.1328
2007-10-04,6,,,44684.1328
2007-10-05,4,,,44683.1328
2007-10-06,3,,,44682.1328
2007-10-07,2,,,44681.1328
2007-10-08,1,,,44680.1328
2007-10-09,0,,,44679.1328
2007-10-10,1,,,44678.1328
2007-10-11,0,,,44677.1328
2007-10-12,0,,,44676.1328
2007-10-13,0,,,44675.1328
2007-10-14,0,,,44674.1328
2007-10-15,0,,,44673.1328
2007-10-16,0,,,44672.1328
2007-10-17,0,,,44671.1328
2007-10-18,0,,,44670.1328
2007-10-19,2,,,44669.1328
2007-10-20,0,,,44668.1328
2007-10-21,0,,,44667.1328
2007-10-22,12,,,44666.1328
2007-10-23,10,,,44665.1328
2007-10-24,3,,,44664.1328
2007-10-25,0,,,44663.1328
2007-10-26,4,,,44662.1328
2007-10-27,30,,,44661.1328
2007-10-28,29,,,44660.1328
2007-10-29,33,,,44659.1328
2007-10-30,17,,,44658.1328
2007-10-31,14,,,44657.1328
2007-11-01,37,,,44656.1328
2007-11-02,31,,,44655.1328
2007-11-03,40,,,44654.1328
2007-11-04,48,,,44653.1328
2007-11-05,47,,,44652.1328
2007-11-06,32,,,44651.1328
2007-11-07,7,,,44650.1328
2007-11-08,3,,,44649.1328
2007-11-09,14,,,44648.1328
2007-11-10,2,,,44647.1328
2007-11-11,4,,,44646.1328
2007-11-12,3,,,44645.1328
2007-11-13,3,,,44644.1328
2007-11-14,1,,,44643.1328
2007-11-15,0,,,44642.1328
2007-11-16,0,,,44641.1328
2007-11-17,0,,,44640.1328
2007-11-18,0,,,44639.1328
2007-11-19,0,,,44638.1328
2007-11-20,0,,,44637.1328
2007-11-21,0,,,44636.1328
2007-11-22,0,,,44635.1328
2007-11-23,0,,,44634.1328
2007-11-24,2,,,44633.1328
2007-11-25,2,,,44632.1328
2007-11-26,2,,,44631.1328
2007-11-27,2,,,44630.1328
2007-11-28,2,,,44629.1328
2007-11-29,1,,,44628.1328
2007-11-30,2,,,44627.1328
2007-12-01,1,,,44626.1328
2007-12-02,0,,,44625.1328
2007-12-03,2,,,44624.1328
2007-12-04,4,,,44623.1328
2007-12-05,5,,,44622.1328
2007-12-06,7,,,44621.1328
2007-12-07,8,,,44620.1328
2007-12-08,21,,,44619.1328
2007-12-09,5,,,44618.1328
2007-12-10,0,,,44617.1328
2007-12-11,0,,,44616.1328
2007-12-12,0,,,44615.1328
2007-12-13,0,,,44614.1328
2007-12-14,0,,,44613.1328
2007-12-15,0,,,44612.1328
