DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,1081,,,44688.0999
2007-10-01,1498,,,44687.0999
2007-10-02,22,,,44686.0999
2007-10-03,22,,,44685.0999
2007-10-04,796,,,44684.0999
2007-10-05,928,,,44683.0999
2007-10-06,14,,,44682.0999
2007-10-07,14,,,44681.0999
2007-10-08,1267,,,44680.0999
2007-10-09,952,,,44679.0999
2007-10-10,759,,,44678.0999
2007-10-11,633,,,44677.0999
2007-10-12,726,,,44676.0999
2007-10-13,512,,,44675.0999
2007-10-14,521,,,44674.0999
2007-10-15,801,,,44673.0999
2007-10-16,892,,,44672.0999
2007-10-17,21,,,44671.0999
2007-10-18,403,,,44670.0999
2007-10-19,881,,,44669.0999
2007-10-20,470,,,44668.0999
2007-10-21,249,,,44667.0999
2007-10-22,968,,,44666.0999
2007-10-23,826,,,44665.0999
2007-10-24,262,,,44664.0999
2007-10-25,528,,,44663.0999
2007-10-26,608,,,44662.0999
2007-10-27,328,,,44661.0999
2007-10-28,305,,,44660.0999
2007-10-29,1283,,,44659.0999
2007-10-30,1193,,,44658.0999
2007-10-31,28,,,44657.0999
2007-11-01,204,,,44656.0999
2007-11-02,25,,,44655.0999
2007-11-03,28,,,44654.0999
2007-11-04,666,,,44653.0999
2007-11-05,18,,,44652.0999
2007-11-06,14,,,44651.0999
2007-11-07,0,,,44650.0999
2007-11-08,174,,,44649.0999
2007-11-09,402,,,44648.0999
2007-11-10,470,,,44647.0999
2007-11-11,469,,,44646.0999
2007-11-12,470,,,44645.0999
2007-11-13,421,,,44644.0999
2007-11-14,376,,,44643.0999
2007-11-15,343,,,44642.0999
2007-11-16,263,,,44641.0999
2007-11-17,250,,,44640.0999
2007-11-18,250,,,44639.0999
2007-11-19,249,,,44638.0999
2007-11-20,15,,,44637.0999
2007-11-21,699,,,44636.0999
2007-11-22,15,,,44635.0999
2007-11-23,1702,,,44634.0999
2007-11-24,15,,,44633.0999
2007-11-25,15,,,44632.0999
2007-11-26,872,,,44631.0999
2007-11-27,670,,,44630.0999
2007-11-28,15,,,44629.0999
2007-11-29,45,,,44628.0999
2007-11-30,314,,,44627.0999
2007-12-01,15,,,44626.0999
2007-12-02,14,,,44625.0999
2007-12-03,1084,,,44624.0999
2007-12-04,15,,,44623.0999
2007-12-05,947,,,44622.0999
2007-12-06,37,,,44621.0999
2007-12-07,731,,,44620.0999
2007-12-08,14,,,44619.0999
2007-12-09,14,,,44618.0999
2007-12-10,121,,,44617.0999
2007-12-11,831,,,44616.0999
2007-12-12,18,,,44615.0999
2007-12-13,20,,,44614.0999
2007-12-14,878,,,44613.0999
2007-12-15,27,,,44612.0999
2007-12-16,27,,,44611.0999
2007-12-17,30,,,44610.0999
2007-12-18,906,,,44609.0999
2007-12-19,27,,,44608.0999
2007-12-20,14,,,44607.0999
2007-12-21,769,,,44606.0999
2007-12-22,15,,,44605.0999
2007-12-23,30,,,44604.0999
2007-12-24,27,,,44603.0999
2007-12-25,26,,,44602.0999
2007-12-26,30,,,44601.0999
2007-12-27,1036,,,44600.0999
2007-12-28,16,,,44599.0999
2007-12-29,19,,,44598.0999
2007-12-30,26,,,44597.0999
2007-12-31,28,,,44596.0999
2008-01-01,450,,,44595.0999
2008-01-02,913,,,44594.0999
2008-01-03,16,,,44593.0999
2008-01-04,494,,,44592.0999
2008-01-05,15,,,44591.0999
2008-01-06,16,,,44590.0999
2008-01-07,15,,,44589.0999
2008-01-08,16,,,44588.0999
2008-01-09,16,,,44587.0999
2008-01-10,307,,,44586.0999
2008-01-11,447,,,44585.0999
2008-01-12,16,,,44584.0999
2008-01-13,16,,,44583.0999
2008-01-14,16,,,44582.0999
2008-01-15,16,,,44581.0999
2008-01-16,977,,,44580.0999
2008-01-17,770,,,44579.0999
2008-01-18,24,,,44578.0999
2008-01-19,25,,,44577.0999
2008-01-20,12,,,44576.0999
2008-01-21,11,,,44575.0999
2008-01-22,12,,,44574.0999
2008-01-23,22,,,44573.0999
2008-01-24,14,,,44572.0999
2008-01-25,22,,,44571.0999
2008-01-26,30,,,44570.0999
2008-01-27,15,,,44569.0999
2008-01-28,25,,,44568.0999
2008-01-29,14,,,44567.0999
2008-01-30,14,,,44566.0999
2008-01-31,14,,,44565.0999
2008-02-01,20,,,44564.0999
2008-02-02,11,,,44563.0999
2008-02-03,11,,,44562.0999
2008-02-04,12,,,44561.0999
2008-02-05,12,,,44560.0999
2008-02-06,21,,,44559.0999
2008-02-07,12,,,44558.0999
2008-02-08,13,,,44557.0999
2008-02-09,12,,,44556.0999
2008-02-10,17,,,44555.0999
2008-02-11,11,,,44554.0999
2008-02-12,11,,,44553.0999
2008-02-13,11,,,44552.0999
2008-02-14,11,,,44551.0999
2008-02-15,25,,,44550.0999
2008-02-16,11,,,44549.0999
2008-02-17,12,,,44548.0999
2008-02-18,11,,,44547.0999
2008-02-19,11,,,44546.0999
2008-02-20,1483,,,44545.0999
2008-02-21,13,,,44544.0999
2008-02-22,13,,,44543.0999
2008-02-23,13,,,44542.0999
2008-02-24,625,,,44541.0999
2008-02-25,9,,,44540.0999
2008-02-26,6,,,44539.0999
2008-02-27,4,,,44538.0999
2008-02-28,8,,,44537.0999
2008-03-01,14,,,44535.0999
2008-03-02,14,,,44534.0999
2008-03-03,18,,,44533.0999
2008-03-04,1519,,,44532.0999
2008-03-05,14,,,44531.0999
2008-03-06,14,,,44530.0999
2008-03-07,15,,,44529.0999
2008-03-08,13,,,44528.0999
2008-03-09,630,,,44527.0999
2008-03-10,770,,,44526.0999
2008-03-11,1327,,,44525.0999
2008-03-12,1925,,,44524.0999
2008-03-13,294,,,44523.1
2008-03-14,1131,,,44522.1
2008-03-15,910,,,44521.1
2008-03-16,3305,,,44520.1
2008-03-17,344,,,44519.1
2008-03-18,848,,,44518.1
2008-03-19,2288,,,44517.1
2008-03-20,2248,,,44516.1
2008-03-21,3430,,,44515.1
2008-03-22,2101,,,44514.1
2008-03-23,1918,,,44513.1
2008-03-24,2425,,,44512.1
2008-03-25,3869,,,44511.1
2008-03-26,2890,,,44510.1
2008-03-27,2861,,,44509.1
2008-03-28,2914,,,44508.1
2008-03-29,2859,,,44507.1
2008-03-30,2370,,,44506.1
2008-03-31,2548,,,44505.1
2008-04-01,2727,,,44504.1
2008-04-02,2502,,,44503.1
2008-04-03,1822,,,44502.1
2008-04-04,1927,,,44501.1
2008-04-05,1509,,,44500.1
2008-04-06,2037,,,44499.1
2008-04-07,1851,,,44498.1
2008-04-08,2238,,,44497.1
2008-04-09,2959,,,44496.1
2008-04-10,2263,,,44495.1
2008-04-11,3450,,,44494.1
2008-04-12,2449,,,44493.1
2008-04-13,2870,,,44492.1
2008-04-14,3032,,,44491.1
2008-04-15,3137,,,44490.1
2008-04-16,2413,,,44489.1
2008-04-17,2537,,,44488.1
2008-04-18,2366,,,44487.1
2008-04-19,1874,,,44486.1
2008-04-20,2654,,,44485.1
2008-04-21,3355,,,44484.1
2008-04-22,2108,,,44483.1
2008-04-23,3148,,,44482.1
2008-04-24,3128,,,44481.1
2008-04-25,2582,,,44480.1
2008-04-26,2105,,,44479.1
2008-04-27,2224,,,44478.1
2008-04-28,2562,,,44477.1
2008-04-29,2293,,,44476.1
2008-04-30,2010,,,44475.1
2008-05-01,2071,,,44474.1
2008-05-02,1253,,,44473.1
2008-05-03,1453,,,44472.1
2008-05-04,1735,,,44471.1
2008-05-05,2581,,,44470.1
2008-05-06,2349,,,44469.1
2008-05-07,1918,,,44468.1
2008-05-08,2007,,,44467.1
2008-05-09,2397,,,44466.1
2008-05-10,1727,,,44465.1
2008-05-11,2216,,,44464.1
2008-05-12,2514,,,44463.1
2008-05-13,2923,,,44462.1
2008-05-14,1918,,,44461.1
2008-05-15,2243,,,44460.1
2008-05-16,2306,,,44459.1
2008-05-17,2718,,,44458.1
2008-05-18,2436,,,44457.1
2008-05-19,2804,,,44456.1
2008-05-20,3294,,,44455.1
2008-05-21,1104,,,44454.1
2008-05-22,1568,,,44453.1
2008-05-23,3715,,,44452.1
2008-05-24,2585,,,44451.1
2008-05-25,2415,,,44450.1
2008-05-26,2270,,,44449.1
2008-05-27,1704,,,44448.1
2008-05-28,1862,,,44447.1
2008-05-29,1105,,,44446.1
2008-05-30,2239,,,44445.1
2008-05-31,1706,,,44444.1
2008-06-01,1740,,,44443.1
2008-06-02,1570,,,44442.1
2008-06-03,1848,,,44441.1
2008-06-04,1498,,,44440.1
2008-06-05,1846,,,44439.1
2008-06-06,2062,,,44438.1
2008-06-07,1542,,,44437.1
2008-06-08,1797,,,44436.1
2008-06-09,1985,,,44435.1
2008-06-10,1488,,,44434.1
2008-06-11,1435,,,44433.1
2008-06-12,2079,,,44432.1
2008-06-13,1834,,,44431.1
2008-06-14,1450,,,44430.1
2008-06-15,2011,,,44429.1
2008-06-16,1891,,,44428.1
2008-06-17,1715,,,44427.1
2008-06-18,1786,,,44426.1
2008-06-19,1890,,,44425.1
2008-06-20,1821,,,44424.1
2008-06-21,1977,,,44423.1
2008-06-22,1754,,,44422.1
2008-06-23,1928,,,44421.1
2008-06-24,2190,,,44420.1
2008-06-25,1891,,,44419.1
2008-06-26,2483,,,44418.1
2008-06-27,1939,,,44417.1
2008-06-28,1928,,,44416.1
2008-06-29,1847,,,44415.1
2008-06-30,1947,,,44414.1
2008-07-01,2240,,,44413.1
2008-07-02,1766,,,44412.1
2008-07-03,2124,,,44411.1
2008-07-04,1990,,,44410.1
2008-07-05,1950,,,44409.1
2008-07-06,2012,,,44408.1
2008-07-07,1978,,,44407.1
2008-07-08,1967,,,44406.1
2008-07-09,2145,,,44405.1
2008-07-10,1542,,,44404.1
2008-07-11,2042,,,44403.1
2008-07-12,2125,,,44402.1
2008-07-13,1830,,,44401.1
2008-07-14,2285,,,44400.1
2008-07-15,1839,,,44399.1
2008-07-16,1876,,,44398.1
2008-07-17,2158,,,44397.1
2008-07-18,2023,,,44396.1
2008-07-19,2415,,,44395.1
2008-07-20,2277,,,44394.1
2008-07-21,2002,,,44393.1
2008-07-22,1960,,,44392.1
2008-07-23,1515,,,44391.1
2008-07-24,2386,,,44390.1
2008-07-25,1629,,,44389.1
2008-07-26,2505,,,44388.1
2008-07-27,1960,,,44387.1
2008-07-28,2168,,,44386.1
2008-07-29,1666,,,44385.1
2008-07-30,1823,,,44384.1
2008-07-31,2258,,,44383.1
2008-08-01,1256,,,44382.1
2008-08-02,1618,,,44381.1
2008-08-03,2002,,,44380.1
2008-08-04,2157,,,44379.1
2008-08-05,1949,,,44378.1
2008-08-06,1862,,,44377.1
2008-08-07,1352,,,44376.1
2008-08-08,2206,,,44375.1
2008-08-09,1948,,,44374.1
2008-08-10,1921,,,44373.1
2008-08-11,2013,,,44372.1
2008-08-12,1925,,,44371.1
2008-08-13,2329,,,44370.1
2008-08-14,1863,,,44369.1
2008-08-15,1921,,,44368.1
2008-08-16,1785,,,44367.1
2008-08-17,1976,,,44366.1
2008-08-18,1801,,,44365.1
2008-08-19,1834,,,44364.1
2008-08-20,2007,,,44363.1
2008-08-21,1801,,,44362.1
2008-08-22,1426,,,44361.1
2008-08-23,1577,,,44360.1
2008-08-24,1826,,,44359.1
2008-08-25,1826,,,44358.1
2008-08-26,1813,,,44357.1
2008-08-27,1730,,,44356.1
2008-08-28,1738,,,44355.1
2008-08-29,1259,,,44354.1
2008-08-30,1045,,,44353.1
2008-08-31,1363,,,44352.1
2008-09-01,1564,,,44351.1
2008-09-02,1384,,,44350.1
2008-09-03,1519,,,44349.1
2008-09-04,1427,,,44348.1
2008-09-05,1248,,,44347.1
2008-09-06,1466,,,44346.1
2008-09-07,1560,,,44345.1
2008-09-08,1390,,,44344.1
2008-09-09,1392,,,44343.1
2008-09-10,1098,,,44342.1
2008-09-11,1356,,,44341.1
2008-09-12,1571,,,44340.1
2008-09-13,1014,,,44339.1
2008-09-14,1586,,,44338.1
2008-09-15,1544,,,44337.1
2008-09-16,1489,,,44336.1
2008-09-17,703,,,44335.1
2008-09-18,916,,,44334.1
2008-09-19,1218,,,44333.1
2008-09-20,821,,,44332.1
2008-09-21,900,,,44331.1
2008-09-22,1578,,,44330.1
2008-09-23,1061,,,44329.1
2008-09-24,470,,,44328.1
2008-09-25,465,,,44327.1
2008-09-26,1284,,,44326.1
2008-09-27,6,,,44325.1
2008-09-28,849,,,44324.1
2008-09-29,1572,,,44323.1
2008-09-30,1414,,,44322.1
2008-10-01,1327,,,44321.1
2008-10-02,6,,,44320.1
2008-10-03,791,,,44319.1
2008-10-04,5,,,44318.1
2008-10-05,5,,,44317.1
2008-10-06,1279,,,44316.1
2008-10-07,891,,,44315.1
2008-10-08,975,,,44314.1
2008-10-09,851,,,44313.1
2008-10-10,1335,,,44312.1
2008-10-11,482,,,44311.1
2008-10-12,18,,,44310.1
2008-10-13,18,,,44309.1
2008-10-14,820,,,44308.1
2008-10-15,5,,,44307.1
2008-10-16,1147,,,44306.1
2008-10-17,657,,,44305.1
2008-10-18,5,,,44304.1
2008-10-19,18,,,44303.1
2008-10-20,17,,,44302.1
2008-10-21,301,,,44301.1
2008-10-22,5,,,44300.1
2008-10-23,5,,,44299.1
2008-10-24,937,,,44298.1
2008-10-25,6,,,44297.1
2008-10-26,6,,,44296.1
2008-10-27,6,,,44295.1
2008-10-28,6,,,44294.1
2008-10-29,6,,,44293.1
2008-10-30,866,,,44292.1
2008-10-31,646,,,44291.1
2008-11-01,6,,,44290.1
2008-11-02,5,,,44289.1
2008-11-03,6,,,44288.1
2008-11-04,5,,,44287.1
2008-11-05,5,,,44286.1
2008-11-06,43,,,44285.1
2008-11-07,938,,,44284.1
2008-11-08,6,,,44283.1
2008-11-09,5,,,44282.1
2008-11-10,6,,,44281.1
2008-11-11,4,,,44280.1
2008-11-12,63,,,44279.1
2008-11-13,4,,,44278.1
2008-11-14,4,,,44277.1
2008-11-15,4,,,44276.1
2008-11-16,4,,,44275.1
2008-11-17,4,,,44274.1
2008-11-18,625,,,44273.1
2008-11-19,4,,,44272.1
2008-11-20,4,,,44271.1
2008-11-21,628,,,44270.1
2008-11-22,527,,,44269.1
2008-11-23,4,,,44268.1
2008-11-24,17,,,44267.1
2008-11-25,5,,,44266.1
2008-11-26,4,,,44265.1
2008-11-27,5,,,44264.1
2008-11-28,680,,,44263.1
2008-11-29,5,,,44262.1
2008-11-30,5,,,44261.1
2008-12-01,48,,,44260.1
2008-12-02,52,,,44259.1
2008-12-03,772,,,44258.1
2008-12-04,159,,,44257.1
2008-12-05,537,,,44256.1
2008-12-06,5,,,44255.1
2008-12-07,5,,,44254.1
2008-12-08,38,,,44253.1
