DATE,FLOW,STAGE,TEMP,VDATE
2005-09-30,0.2,,,45418.4408
2005-10-01,0.2,,,45417.4408
2005-10-02,0.2,,,45416.4408
2005-10-03,0.2,,,45415.4408
2005-10-04,0.2,,,45414.4408
2005-10-05,0.2,,,45413.4408
2005-10-06,0.2,,,45412.4408
2005-10-07,0.2,,,45411.4408
2005-10-08,0.3,,,45410.4408
2005-10-09,0.3,,,45409.4408
2005-10-10,0.3,,,45408.4408
2005-10-11,0.3,,,45407.4408
2005-10-12,0.3,,,45406.4408
2005-10-13,0.3,,,45405.4408
2005-10-14,0.3,,,45404.4408
2005-10-15,0.2,,,45403.4408
2005-10-16,0.2,,,45402.4408
2005-10-17,0.2,,,45401.4408
2005-10-18,0.2,,,45400.4408
2005-10-19,0.2,,,45399.4408
2005-10-20,0.2,,,45398.4408
2005-10-21,0.3,,,45397.4408
2005-10-22,0.3,,,45396.4408
2005-10-23,0.3,,,45395.4408
2005-10-24,0.3,,,45394.4408
2005-10-25,0.3,,,45393.4408
2005-10-26,0.3,,,45392.4408
2005-10-27,0.3,,,45391.4408
2005-10-28,0.4,,,45390.4408
2005-10-29,0.4,,,45389.4408
2005-10-30,0.4,,,45388.4408
2005-10-31,0.4,,,45387.4408
2005-11-01,0.4,,,45386.4408
2005-11-02,0.4,,,45385.4408
2005-11-03,0.4,,,45384.4408
2005-11-04,0.4,,,45383.4408
2005-11-05,0.4,,,45382.4408
2005-11-06,0.4,,,45381.4408
2005-11-07,0.4,,,45380.4408
2005-11-08,0.4,,,45379.4408
2005-11-09,0.4,,,45378.4408
2005-11-10,0.4,,,45377.4408
2005-11-11,0.4,,,45376.4408
2005-11-12,0.4,,,45375.4408
2005-11-13,0.4,,,45374.4408
2005-11-14,0.4,,,45373.4408
2005-11-15,0.4,,,45372.4408
2005-11-16,0.4,,,45371.4408
2005-11-17,0.5,,,45370.4408
2005-11-18,0.5,,,45369.4408
2005-11-19,0.5,,,45368.4408
2005-11-20,0.6,,,45367.4408
2005-11-21,0.6,,,45366.4408
2005-11-22,0.6,,,45365.4408
2005-11-23,0.6,,,45364.4408
2005-11-24,0.6,,,45363.4408
2005-11-25,0.6,,,45362.4408
2005-11-26,0.7,,,45361.4408
2005-11-27,0.7,,,45360.4408
2005-11-28,0.7,,,45359.4408
2005-11-29,0.8,,,45358.4408
2005-11-30,0.8,,,45357.4408
2005-12-01,0.9,,,45356.4408
2005-12-02,1,,,45355.4408
2005-12-03,1,,,45354.4408
2005-12-04,1,,,45353.4408
2005-12-05,1,,,45352.4408
2005-12-06,1,,,45351.4408
2005-12-07,1,,,45350.4408
2005-12-08,1,,,45349.4408
2005-12-09,1,,,45348.4408
2005-12-10,1,,,45347.4408
2005-12-11,1,,,45346.4408
2005-12-12,1,,,45345.4408
2005-12-13,1,,,45344.4408
2005-12-14,1,,,45343.4408
2005-12-15,1,,,45342.4408
2005-12-16,1,,,45341.4408
2005-12-17,1,,,45340.4408
2005-12-18,1,,,45339.4408
2005-12-19,1.1,,,45338.4408
2005-12-20,1.1,,,45337.4408
2005-12-21,1.1,,,45336.4408
2005-12-22,1.1,,,45335.4408
2005-12-23,1.1,,,45334.4408
2005-12-24,1.1,,,45333.4408
2005-12-25,1,,,45332.4408
2005-12-26,1.5,,,45331.4408
2005-12-27,1.4,,,45330.4408
2005-12-28,1.1,,,45329.4408
2005-12-29,1.1,,,45328.4408
2005-12-30,1,,,45327.4408
2005-12-31,18,,,45326.4408
2006-01-01,7.8,,,45325.4408
2006-01-02,75,,,45324.4408
2006-01-03,120,,,45323.4408
2006-01-04,111,,,45322.4408
2006-01-05,97,,,45321.4408
2006-01-06,55,,,45320.4408
2006-01-07,5.5,,,45319.4408
2006-01-08,3.7,,,45318.4408
2006-01-09,2.4,,,45317.4408
2006-01-10,1.9,,,45316.4408
2006-01-11,1.9,,,45315.4408
2006-01-12,1.9,,,45314.4408
2006-01-13,1.9,,,45313.4408
2006-01-14,2.3,,,45312.4408
2006-01-15,3.8,,,45311.4408
2006-01-16,2.3,,,45310.4408
2006-01-17,2,,,45309.4408
2006-01-18,2.7,,,45308.4408
2006-01-19,12,,,45307.4408
2006-01-20,7.7,,,45306.4408
2006-01-21,5.6,,,45305.4408
2006-01-22,4.8,,,45304.4408
2006-01-23,4.1,,,45303.4408
2006-01-24,3.9,,,45302.4408
2006-01-25,3.7,,,45301.4408
2006-01-26,3.3,,,45300.4408
2006-01-27,3,,,45299.4408
2006-01-28,2.8,,,45298.4408
2006-01-29,2.8,,,45297.4408
2006-01-30,2.8,,,45296.4408
2006-01-31,2.9,,,45295.4408
2006-02-01,2.9,,,45294.4408
2006-02-02,2.8,,,45293.4408
2006-02-03,2.7,,,45292.4408
2006-02-04,2.6,,,45291.4408
2006-02-05,2.6,,,45290.4408
2006-02-06,2.5,,,45289.4408
2006-02-07,2.3,,,45288.4408
2006-02-08,2.2,,,45287.4408
2006-02-09,2.1,,,45286.4408
2006-02-10,2,,,45285.4408
2006-02-11,1.9,,,45284.4408
2006-02-12,1.9,,,45283.4408
2006-02-13,1.9,,,45282.4408
2006-02-14,1.9,,,45281.4408
2006-02-15,1.8,,,45280.4408
2006-02-16,1.8,,,45279.4408
2006-02-17,1.8,,,45278.4408
2006-02-18,1.8,,,45277.4408
2006-02-19,2,,,45276.4408
2006-02-20,3.3,,,45275.4408
2006-02-21,2.8,,,45274.4408
2006-02-22,2.6,,,45273.4408
2006-02-23,2.6,,,45272.4408
2006-02-24,2.4,,,45271.4408
2006-02-25,2.1,,,45270.4408
