DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,192,,,44687.8967
2007-10-01,236,,,44686.8967
2007-10-02,371,,,44685.8967
2007-10-03,340,,,44684.8967
2007-10-04,353,,,44683.8967
2007-10-05,200,,,44682.8967
2007-10-06,184,,,44681.8967
2007-10-07,281,,,44680.8967
2007-10-08,321,,,44679.8967
2007-10-09,305,,,44678.8967
2007-10-10,257,,,44677.8967
2007-10-11,345,,,44676.8967
2007-10-12,191,,,44675.8967
2007-10-13,233,,,44674.8967
2007-10-14,253,,,44673.8967
2007-10-15,247,,,44672.8967
2007-10-16,203,,,44671.8967
2007-10-17,199,,,44670.8967
2007-10-18,226,,,44669.8967
2007-10-19,257,,,44668.8967
2007-10-20,317,,,44667.8967
2007-10-21,269,,,44666.8967
2007-10-22,255,,,44665.8967
2007-10-23,299,,,44664.8967
2007-10-24,417,,,44663.8967
2007-10-25,372,,,44662.8967
2007-10-26,302,,,44661.8967
2007-10-27,155,,,44660.8967
2007-10-28,212,,,44659.8967
2007-10-29,380,,,44658.8967
2007-10-30,368,,,44657.8967
2007-10-31,219,,,44656.8967
2007-11-01,221,,,44655.8967
2007-11-02,359,,,44654.8967
2007-11-03,191,,,44653.8967
2007-11-04,340,,,44652.8967
2007-11-05,268,,,44651.8967
2007-11-06,243,,,44650.8967
2007-11-07,329,,,44649.8967
2007-11-08,317,,,44648.8967
2007-11-09,211,,,44647.8967
2007-11-10,203,,,44646.8967
2007-11-11,193,,,44645.8967
2007-11-12,246,,,44644.8967
2007-11-13,271,,,44643.8967
2007-11-14,322,,,44642.8967
2007-11-15,263,,,44641.8967
2007-11-16,220,,,44640.8967
2007-11-17,220,,,44639.8967
2007-11-18,246,,,44638.8967
2007-11-19,196,,,44637.8967
2007-11-20,158,,,44636.8967
2007-11-21,299,,,44635.8967
2007-11-22,182,,,44634.8967
2007-11-23,208,,,44633.8967
2007-11-24,207,,,44632.8967
2007-11-25,208,,,44631.8967
2007-11-26,360,,,44630.8967
2007-11-27,194,,,44629.8967
2007-11-28,207,,,44628.8967
2007-11-29,360,,,44627.8967
2007-11-30,440,,,44626.8967
2007-12-01,378,,,44625.8967
2007-12-02,308,,,44624.8967
2007-12-03,288,,,44623.8967
2007-12-04,293,,,44622.8967
2007-12-05,343,,,44621.8967
2007-12-06,368,,,44620.8967
2007-12-07,440,,,44619.8967
2007-12-08,415,,,44618.8967
2007-12-09,341,,,44617.8967
2007-12-10,399,,,44616.8967
2007-12-11,428,,,44615.8967
2007-12-12,261,,,44614.8967
2007-12-13,297,,,44613.8967
2007-12-14,339,,,44612.8967
2007-12-15,379,,,44611.8967
2007-12-16,359,,,44610.8967
2007-12-17,460,,,44609.8967
2007-12-18,662,,,44608.8967
2007-12-19,753,,,44607.8967
2007-12-20,494,,,44606.8967
2007-12-21,508,,,44605.8967
2007-12-22,338,,,44604.8967
2007-12-23,326,,,44603.8967
2007-12-24,353,,,44602.8967
2007-12-25,420,,,44601.8967
2007-12-26,364,,,44600.8967
2007-12-27,379,,,44599.8967
2007-12-28,459,,,44598.8967
2007-12-29,355,,,44597.8967
2007-12-30,303,,,44596.8967
2007-12-31,289,,,44595.8967
2008-01-01,436,,,44594.8967
2008-01-02,410,,,44593.8967
2008-01-03,463,,,44592.8967
2008-01-04,2252,,,44591.8967
2008-01-05,4086,,,44590.8967
2008-01-06,2020,,,44589.8967
2008-01-07,989,,,44588.8967
2008-01-08,905,,,44587.8967
2008-01-09,804,,,44586.8967
2008-01-10,814,,,44585.8967
2008-01-11,739,,,44584.8967
2008-01-12,781,,,44583.8967
2008-01-13,801,,,44582.8967
2008-01-14,852,,,44581.8967
2008-01-15,805,,,44580.8967
2008-01-16,765,,,44579.8967
2008-01-17,856,,,44578.8967
2008-01-18,867,,,44577.8967
2008-01-19,703,,,44576.8967
2008-01-20,617,,,44575.8967
2008-01-21,746,,,44574.8967
2008-01-22,458,,,44573.8967
2008-01-23,369,,,44572.8967
2008-01-24,545,,,44571.8967
2008-01-25,733,,,44570.8967
2008-01-26,594,,,44569.8967
2008-01-27,840,,,44568.8967
2008-01-28,1825,,,44567.8967
2008-01-29,1088,,,44566.8967
2008-01-30,946,,,44565.8967
2008-01-31,1010,,,44564.8967
2008-02-01,1026,,,44563.8967
2008-02-02,927,,,44562.8967
2008-02-03,2061,,,44561.8967
2008-02-04,1351,,,44560.8967
2008-02-05,1211,,,44559.8967
2008-02-06,1085,,,44558.8967
2008-02-07,959,,,44557.8967
2008-02-08,1092,,,44556.8967
2008-02-09,883,,,44555.8967
2008-02-10,873,,,44554.8967
2008-02-11,1034,,,44553.8967
2008-02-12,1027,,,44552.8967
2008-02-13,909,,,44551.8967
2008-02-14,979,,,44550.8967
2008-02-15,953,,,44549.8967
2008-02-16,726,,,44548.8967
2008-02-17,758,,,44547.8967
2008-02-18,844,,,44546.8967
2008-02-19,1017,,,44545.8967
2008-02-20,1236,,,44544.8967
2008-02-21,1181,,,44543.8967
2008-02-22,2105,,,44542.8967
2008-02-23,1863,,,44541.8967
2008-02-24,4404,,,44540.8967
2008-02-25,3550,,,44539.8967
2008-02-26,2137,,,44538.8967
2008-02-27,1981,,,44537.8967
2008-02-28,1935,,,44536.8967
2008-03-01,1781,,,44534.8967
2008-03-02,1672,,,44533.8967
2008-03-03,1630,,,44532.8967
2008-03-04,1607,,,44531.8967
2008-03-05,1580,,,44530.8967
2008-03-06,1589,,,44529.8967
2008-03-07,1541,,,44528.8967
2008-03-08,1363,,,44527.8967
2008-03-09,1483,,,44526.8967
2008-03-10,1506,,,44525.8967
2008-03-11,1555,,,44524.8967
2008-03-12,1646,,,44523.8967
2008-03-13,1844,,,44522.8967
2008-03-14,2137,,,44521.8967
2008-03-15,1739,,,44520.8967
2008-03-16,1592,,,44519.8967
2008-03-17,1259,,,44518.8967
2008-03-18,1238,,,44517.8967
2008-03-19,1243,,,44516.8967
2008-03-20,1306,,,44515.8967
2008-03-21,1347,,,44514.8967
2008-03-22,1382,,,44513.8967
2008-03-23,1439,,,44512.8967
2008-03-24,1633,,,44511.8967
2008-03-25,1712,,,44510.8967
2008-03-26,1810,,,44509.8967
2008-03-27,1907,,,44508.8967
2008-03-28,1931,,,44507.8967
2008-03-29,1857,,,44506.8967
2008-03-30,1913,,,44505.8967
2008-03-31,1676,,,44504.8967
2008-04-01,1584,,,44503.8967
2008-04-02,1530,,,44502.8967
2008-04-03,1488,,,44501.8967
2008-04-04,1586,,,44500.8967
2008-04-05,1677,,,44499.8967
2008-04-06,1900,,,44498.8967
2008-04-07,2055,,,44497.8967
2008-04-08,2058,,,44496.8967
2008-04-09,1946,,,44495.8967
2008-04-10,1851,,,44494.8967
2008-04-11,2109,,,44493.8967
2008-04-12,2449,,,44492.8967
2008-04-13,2968,,,44491.8967
2008-04-14,3451,,,44490.8967
2008-04-15,3675,,,44489.8967
2008-04-16,3261,,,44488.8967
2008-04-17,3217,,,44487.8967
2008-04-18,3505,,,44486.8967
2008-04-19,3306,,,44485.8967
2008-04-20,3057,,,44484.8967
2008-04-21,2766,,,44483.8967
