DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,260,,,44687.8618
2007-10-01,222,,,44686.8618
2007-10-02,206,,,44685.8618
2007-10-03,198,,,44684.8618
2007-10-04,199,,,44683.8618
2007-10-05,202,,,44682.8618
2007-10-06,202,,,44681.8618
2007-10-07,201,,,44680.8618
2007-10-08,201,,,44679.8618
2007-10-09,198,,,44678.8618
2007-10-10,204,,,44677.8618
2007-10-11,209,,,44676.8618
2007-10-12,196,,,44675.8618
2007-10-13,195,,,44674.8618
2007-10-14,182,,,44673.8618
2007-10-15,171,,,44672.8618
2007-10-16,169,,,44671.8618
2007-10-17,173,,,44670.8618
2007-10-18,166,,,44669.8618
2007-10-19,182,,,44668.8618
2007-10-20,187,,,44667.8618
2007-10-21,184,,,44666.8618
2007-10-22,177,,,44665.8618
2007-10-23,183,,,44664.8618
2007-10-24,189,,,44663.8618
2007-10-25,183,,,44662.8618
2007-10-26,176,,,44661.8618
2007-10-27,160,,,44660.8618
2007-10-28,150,,,44659.8618
2007-10-29,156,,,44658.8618
2007-10-30,149,,,44657.8618
2007-10-31,123,,,44656.8618
2007-11-01,106,,,44655.8618
2007-11-02,103,,,44654.8618
2007-11-03,105,,,44653.8618
2007-11-04,106,,,44652.8618
2007-11-05,107,,,44651.8618
2007-11-06,107,,,44650.8618
2007-11-07,107,,,44649.8618
2007-11-08,107,,,44648.8618
2007-11-09,107,,,44647.8618
2007-11-10,107,,,44646.8618
2007-11-11,105,,,44645.8618
2007-11-12,103,,,44644.8618
2007-11-13,102,,,44643.8618
2007-11-14,103,,,44642.8618
2007-11-15,106,,,44641.8618
2007-11-16,100,,,44640.8618
2007-11-17,102,,,44639.8618
2007-11-18,102,,,44638.8618
2007-11-19,101,,,44637.8618
2007-11-20,101,,,44636.8618
2007-11-21,101,,,44635.8618
2007-11-22,101,,,44634.8618
2007-11-23,101,,,44633.8618
2007-11-24,101,,,44632.8618
2007-11-25,101,,,44631.8618
2007-11-26,101,,,44630.8618
2007-11-27,101,,,44629.8618
2007-11-28,101,,,44628.8618
2007-11-29,100,,,44627.8618
2007-11-30,106,,,44626.8618
2007-12-01,107,,,44625.8618
2007-12-02,113,,,44624.8618
2007-12-03,113,,,44623.8618
2007-12-04,107,,,44622.8618
2007-12-05,107,,,44621.8618
2007-12-06,107,,,44620.8618
2007-12-07,107,,,44619.8618
2007-12-08,107,,,44618.8618
2007-12-09,107,,,44617.8618
2007-12-10,112,,,44616.8618
2007-12-11,116,,,44615.8618
2007-12-12,116,,,44614.8618
2007-12-13,114,,,44613.8618
2007-12-14,118,,,44612.8618
2007-12-15,117,,,44611.8618
2007-12-16,111,,,44610.8618
2007-12-17,107,,,44609.8618
2007-12-18,104,,,44608.8618
2007-12-19,101,,,44607.8618
2007-12-20,101,,,44606.8618
2007-12-21,101,,,44605.8618
2007-12-22,101,,,44604.8618
2007-12-23,101,,,44603.8618
2007-12-24,101,,,44602.8618
2007-12-25,101,,,44601.8618
2007-12-26,100,,,44600.8618
2007-12-27,101,,,44599.8618
2007-12-28,101,,,44598.8618
2007-12-29,101,,,44597.8618
2007-12-30,101,,,44596.8618
2007-12-31,101,,,44595.8618
2008-01-01,101,,,44594.8618
2008-01-02,101,,,44593.8618
2008-01-03,101,,,44592.8618
2008-01-04,101,,,44591.8618
2008-01-05,61,,,44590.8618
2008-01-06,54,,,44589.8618
2008-01-07,61,,,44588.8618
2008-01-08,84,,,44587.8618
2008-01-09,93,,,44586.8618
2008-01-10,100,,,44585.8618
2008-01-11,107,,,44584.8618
2008-01-12,118,,,44583.8618
2008-01-13,122,,,44582.8618
2008-01-14,127,,,44581.8618
2008-01-15,136,,,44580.8618
2008-01-16,138,,,44579.8618
2008-01-17,139,,,44578.8618
2008-01-18,134,,,44577.8618
2008-01-19,140,,,44576.8618
2008-01-20,138,,,44575.8618
2008-01-21,135,,,44574.8618
2008-01-22,135,,,44573.8618
2008-01-23,134,,,44572.8618
2008-01-24,124,,,44571.8618
2008-01-25,122,,,44570.8618
2008-01-26,125,,,44569.8618
2008-01-27,122,,,44568.8618
2008-01-28,66,,,44567.8618
2008-01-29,56,,,44566.8618
2008-01-30,100,,,44565.8618
2008-01-31,117,,,44564.8618
2008-02-01,118,,,44563.8618
2008-02-02,119,,,44562.8618
2008-02-03,79,,,44561.8618
2008-02-04,52,,,44560.8618
2008-02-05,54,,,44559.8618
2008-02-06,75,,,44558.8618
2008-02-07,84,,,44557.8618
2008-02-08,90,,,44556.8618
2008-02-09,94,,,44555.8618
2008-02-10,97,,,44554.8618
2008-02-11,100,,,44553.8618
2008-02-12,106,,,44552.8618
2008-02-13,108,,,44551.8618
2008-02-14,110,,,44550.8618
2008-02-15,113,,,44549.8618
2008-02-16,122,,,44548.8618
2008-02-17,123,,,44547.8618
2008-02-18,125,,,44546.8618
2008-02-19,128,,,44545.8618
2008-02-20,123,,,44544.8618
2008-02-21,111,,,44543.8618
2008-02-22,102,,,44542.8618
2008-02-23,57,,,44541.8618
2008-02-24,57,,,44540.8618
2008-02-25,52,,,44539.8618
2008-02-26,52,,,44538.8618
2008-02-27,66,,,44537.8618
2008-02-28,336,,,44536.8618
2008-03-01,382,,,44534.8618
2008-03-02,606,,,44533.8618
2008-03-03,900,,,44532.8618
2008-03-04,926,,,44531.8618
2008-03-05,1038,,,44530.8618
2008-03-06,1186,,,44529.8618
2008-03-07,1260,,,44528.8618
2008-03-08,1250,,,44527.8618
2008-03-09,1298,,,44526.8618
2008-03-10,1372,,,44525.8618
2008-03-11,1442,,,44524.8618
2008-03-12,1564,,,44523.8618
2008-03-13,1618,,,44522.8618
2008-03-14,1570,,,44521.8618
2008-03-15,1570,,,44520.8618
2008-03-16,1652,,,44519.8618
2008-03-17,1607,,,44518.8618
2008-03-18,1638,,,44517.8618
2008-03-19,1676,,,44516.8618
2008-03-20,1669,,,44515.8618
2008-03-21,1643,,,44514.8618
2008-03-22,1593,,,44513.8618
2008-03-23,1592,,,44512.8618
2008-03-24,1601,,,44511.8618
2008-03-25,1644,,,44510.8618
2008-03-26,1670,,,44509.8618
2008-03-27,1692,,,44508.8618
2008-03-28,1695,,,44507.8618
2008-03-29,1711,,,44506.8618
2008-03-30,1714,,,44505.8618
2008-03-31,1732,,,44504.8618
2008-04-01,1706,,,44503.8618
2008-04-02,1690,,,44502.8618
2008-04-03,1697,,,44501.8618
2008-04-04,1671,,,44500.8618
2008-04-05,1675,,,44499.8618
2008-04-06,1695,,,44498.8618
2008-04-07,1729,,,44497.8618
2008-04-08,1803,,,44496.8618
2008-04-09,1807,,,44495.8618
2008-04-10,1802,,,44494.8618
2008-04-11,1775,,,44493.8618
2008-04-12,1769,,,44492.8618
2008-04-13,1746,,,44491.8618
2008-04-14,1721,,,44490.8618
2008-04-15,1730,,,44489.8618
2008-04-16,1769,,,44488.8618
2008-04-17,1803,,,44487.8618
