DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,33,,,44688.1333
2007-10-01,13,,,44687.1333
2007-10-02,33,,,44686.1333
2007-10-03,33,,,44685.1333
2007-10-04,33,,,44684.1333
2007-10-05,33,,,44683.1333
2007-10-06,33,,,44682.1333
2007-10-07,33,,,44681.1333
2007-10-08,21,,,44680.1333
2007-10-09,21,,,44679.1333
2007-10-10,10,,,44678.1333
2007-10-11,10,,,44677.1333
2007-10-12,10,,,44676.1333
2007-10-13,10,,,44675.1333
2007-10-14,10,,,44674.1333
2007-10-15,10,,,44673.1333
2007-10-16,10,,,44672.1333
2007-10-17,10,,,44671.1333
2007-10-18,10,,,44670.1333
2007-10-19,10,,,44669.1333
2007-10-20,10,,,44668.1333
2007-10-21,10,,,44667.1333
2007-10-22,26,,,44666.1333
2007-10-23,26,,,44665.1333
2007-10-24,26,,,44664.1333
2007-10-25,26,,,44663.1333
2007-10-26,26,,,44662.1333
2007-10-27,26,,,44661.1333
2007-10-28,26,,,44660.1333
2007-10-29,26,,,44659.1333
2007-10-30,26,,,44658.1333
2007-10-31,11,,,44657.1333
2007-11-01,11,,,44656.1333
2007-11-02,11,,,44655.1333
2007-11-03,11,,,44654.1333
2007-11-04,11,,,44653.1333
2007-11-05,11,,,44652.1333
2007-11-06,11,,,44651.1333
2007-11-07,11,,,44650.1333
2007-11-08,11,,,44649.1333
2007-11-09,11,,,44648.1333
2007-11-10,11,,,44647.1333
2007-11-11,11,,,44646.1333
2007-11-12,11,,,44645.1333
2007-11-13,11,,,44644.1333
2007-11-14,11,,,44643.1333
2007-11-15,11,,,44642.1333
2007-11-16,11,,,44641.1333
2007-11-17,11,,,44640.1333
2007-11-18,11,,,44639.1333
2007-11-19,11,,,44638.1333
2007-11-20,11,,,44637.1333
2007-11-21,11,,,44636.1333
2007-11-22,11,,,44635.1333
2007-11-23,11,,,44634.1333
2007-11-24,11,,,44633.1333
2007-11-25,11,,,44632.1333
2007-11-26,11,,,44631.1333
2007-11-27,11,,,44630.1333
2007-11-28,11,,,44629.1333
2007-11-29,11,,,44628.1333
2007-11-30,11,,,44627.1333
2007-12-01,11,,,44626.1333
2007-12-02,11,,,44625.1333
2007-12-03,11,,,44624.1333
2007-12-04,11,,,44623.1333
2007-12-05,11,,,44622.1333
2007-12-06,11,,,44621.1333
2007-12-07,11,,,44620.1333
2007-12-08,11,,,44619.1333
2007-12-09,11,,,44618.1333
2007-12-10,11,,,44617.1333
2007-12-11,11,,,44616.1333
2007-12-12,11,,,44615.1333
2007-12-13,23,,,44614.1333
2007-12-14,23,,,44613.1333
2007-12-15,23,,,44612.1333
2007-12-16,23,,,44611.1333
2007-12-17,23,,,44610.1333
2007-12-18,23,,,44609.1333
2007-12-19,23,,,44608.1333
2007-12-20,23,,,44607.1333
2007-12-21,23,,,44606.1333
2007-12-22,23,,,44605.1333
2007-12-23,23,,,44604.1333
2007-12-24,23,,,44603.1333
2007-12-25,23,,,44602.1333
2007-12-26,23,,,44601.1333
2007-12-27,11,,,44600.1333
2007-12-28,11,,,44599.1333
2007-12-29,11,,,44598.1333
2007-12-30,11,,,44597.1333
2007-12-31,11,,,44596.1333
2008-01-01,11,,,44595.1333
2008-01-02,11,,,44594.1333
2008-01-03,40,,,44593.1333
2008-01-04,40,,,44592.1333
2008-01-05,40,,,44591.1333
2008-01-06,40,,,44590.1333
2008-01-07,40,,,44589.1333
2008-01-08,40,,,44588.1333
2008-01-09,11,,,44587.1333
2008-01-10,11,,,44586.1333
2008-01-11,11,,,44585.1333
2008-01-12,11,,,44584.1333
2008-01-13,11,,,44583.1333
2008-01-14,11,,,44582.1333
2008-01-15,11,,,44581.1333
2008-01-16,11,,,44580.1333
2008-01-17,11,,,44579.1333
2008-01-18,11,,,44578.1333
2008-01-19,11,,,44577.1333
2008-01-20,11,,,44576.1333
2008-01-21,11,,,44575.1333
2008-01-22,11,,,44574.1333
2008-01-23,11,,,44573.1333
2008-01-24,28,,,44572.1333
2008-01-25,28,,,44571.1333
2008-01-26,28,,,44570.1333
2008-01-27,28,,,44569.1333
2008-01-28,28,,,44568.1333
2008-01-29,28,,,44567.1333
2008-01-30,28,,,44566.1333
2008-01-31,28,,,44565.1333
2008-02-01,28,,,44564.1333
2008-02-02,28,,,44563.1333
2008-02-03,28,,,44562.1333
2008-02-04,28,,,44561.1333
2008-02-05,28,,,44560.1333
2008-02-06,28,,,44559.1333
2008-02-07,28,,,44558.1333
2008-02-08,26,,,44557.1333
2008-02-09,26,,,44556.1333
2008-02-10,26,,,44555.1333
2008-02-11,26,,,44554.1333
2008-02-12,26,,,44553.1333
2008-02-13,10,,,44552.1333
2008-02-14,10,,,44551.1333
2008-02-15,10,,,44550.1333
2008-02-16,10,,,44549.1333
2008-02-17,10,,,44548.1333
2008-02-18,10,,,44547.1333
2008-02-19,10,,,44546.1333
2008-02-20,10,,,44545.1333
2008-02-21,10,,,44544.1333
2008-02-22,10,,,44543.1333
2008-02-23,10,,,44542.1333
2008-02-24,10,,,44541.1333
2008-02-25,10,,,44540.1333
2008-02-26,10,,,44539.1333
2008-02-27,10,,,44538.1333
2008-02-28,40,,,44537.1333
2008-03-01,40,,,44535.1333
2008-03-02,40,,,44534.1333
2008-03-03,40,,,44533.1333
2008-03-04,40,,,44532.1333
2008-03-05,40,,,44531.1333
2008-03-06,40,,,44530.1333
2008-03-07,40,,,44529.1333
2008-03-08,40,,,44528.1333
2008-03-09,40,,,44527.1333
2008-03-10,40,,,44526.1333
2008-03-11,40,,,44525.1333
2008-03-12,40,,,44524.1333
2008-03-13,40,,,44523.1333
2008-03-14,40,,,44522.1333
2008-03-15,40,,,44521.1333
2008-03-16,40,,,44520.1333
2008-03-17,40,,,44519.1333
2008-03-18,40,,,44518.1333
2008-03-19,40,,,44517.1333
2008-03-20,40,,,44516.1333
2008-03-21,40,,,44515.1333
2008-03-22,40,,,44514.1333
2008-03-23,40,,,44513.1333
2008-03-24,40,,,44512.1333
2008-03-25,40,,,44511.1333
2008-03-26,45,,,44510.1333
2008-03-27,45,,,44509.1333
2008-03-28,45,,,44508.1333
2008-03-29,45,,,44507.1333
2008-03-30,45,,,44506.1333
