DATE,FLOW,STAGE,TEMP,VDATE
2005-09-30,2,,,45418.3983
2005-10-01,1,,,45417.3983
2005-10-02,2,,,45416.3983
2005-10-03,2,,,45415.3983
2005-10-04,2,,,45414.3983
2005-10-05,2,,,45413.3983
2005-10-06,2,,,45412.3983
2005-10-07,2,,,45411.3983
2005-10-08,2,,,45410.3983
2005-10-09,2,,,45409.3983
2005-10-10,2,,,45408.3983
2005-10-11,2,,,45407.3983
2005-10-12,2,,,45406.3983
2005-10-13,2,,,45405.3983
2005-10-14,2,,,45404.3983
2005-10-15,2,,,45403.3983
2005-10-16,3,,,45402.3983
2005-10-17,3,,,45401.3983
2005-10-18,2,,,45400.3983
2005-10-19,3,,,45399.3983
2005-10-20,4,,,45398.3983
2005-10-21,5,,,45397.3983
2005-10-22,6,,,45396.3983
2005-10-23,6,,,45395.3983
2005-10-24,3,,,45394.3983
2005-10-25,3,,,45393.3983
2005-10-26,5,,,45392.3983
2005-10-27,5,,,45391.3983
2005-10-28,6,,,45390.3983
2005-10-29,6,,,45389.3983
2005-10-30,5,,,45388.3983
2005-10-31,5,,,45387.3983
2005-11-01,5,,,45386.3983
2005-11-02,4,,,45385.3983
2005-11-03,4,,,45384.3983
2005-11-04,4,,,45383.3983
2005-11-05,5,,,45382.3983
2005-11-06,6,,,45381.3983
2005-11-07,6,,,45380.3983
2005-11-08,5,,,45379.3983
2005-11-09,5,,,45378.3983
2005-11-10,5,,,45377.3983
2005-11-11,11,,,45376.3983
2005-11-12,11,,,45375.3983
2005-11-13,8,,,45374.3983
2005-11-14,7,,,45373.3983
2005-11-15,8,,,45372.3983
2005-11-16,9,,,45371.3983
2005-11-17,7,,,45370.3983
2005-11-18,6,,,45369.3983
2005-11-19,6,,,45368.3983
2005-11-20,6,,,45367.3983
2005-11-21,4,,,45366.3983
2005-11-22,4,,,45365.3983
2005-11-23,4,,,45364.3983
2005-11-24,5,,,45363.3983
2005-11-25,6,,,45362.3983
2005-11-26,8,,,45361.3983
2005-11-27,8,,,45360.3983
2005-11-28,8,,,45359.3983
2005-11-29,9,,,45358.3983
2005-11-30,11,,,45357.3983
2005-12-01,10,,,45356.3983
2005-12-02,93,,,45355.3983
2005-12-03,44,,,45354.3983
2005-12-04,21,,,45353.3983
2005-12-05,16,,,45352.3983
2005-12-06,14,,,45351.3983
2005-12-07,13,,,45350.3983
2005-12-08,11,,,45349.3983
2005-12-09,11,,,45348.3983
2005-12-10,10,,,45347.3983
2005-12-11,9,,,45346.3983
2005-12-12,9,,,45345.3983
2005-12-13,8,,,45344.3983
2005-12-14,9,,,45343.3983
2005-12-15,9,,,45342.3983
2005-12-16,8,,,45341.3983
2005-12-17,7,,,45340.3983
2005-12-18,18,,,45339.3983
2005-12-19,41,,,45338.3983
2005-12-20,21,,,45337.3983
2005-12-21,17,,,45336.3983
2005-12-22,15,,,45335.3983
2005-12-23,14,,,45334.3983
2005-12-24,14,,,45333.3983
2005-12-25,13,,,45332.3983
2005-12-26,35,,,45331.3983
2005-12-27,29,,,45330.3983
2005-12-28,21,,,45329.3983
2005-12-29,21,,,45328.3983
2005-12-30,17,,,45327.3983
2005-12-31,34,,,45326.3983
2006-01-01,68,,,45325.3983
2006-01-02,251,,,45324.3983
2006-01-03,292,,,45323.3983
2006-01-04,75,,,45322.3983
2006-01-05,62,,,45321.3983
2006-01-06,56,,,45320.3983
2006-01-07,50,,,45319.3983
2006-01-08,42,,,45318.3983
2006-01-09,37,,,45317.3983
2006-01-10,32,,,45316.3983
2006-01-11,28,,,45315.3983
2006-01-12,27,,,45314.3983
2006-01-13,24,,,45313.3983
2006-01-14,29,,,45312.3983
2006-01-15,52,,,45311.3983
2006-01-16,36,,,45310.3983
2006-01-17,33,,,45309.3983
2006-01-18,45,,,45308.3983
2006-01-19,51,,,45307.3983
2006-01-20,35,,,45306.3983
2006-01-21,30,,,45305.3983
2006-01-22,27,,,45304.3983
2006-01-23,28,,,45303.3983
2006-01-24,31,,,45302.3983
2006-01-25,30,,,45301.3983
2006-01-26,29,,,45300.3983
2006-01-27,29,,,45299.3983
2006-01-28,29,,,45298.3983
2006-01-29,29,,,45297.3983
2006-01-30,29,,,45296.3983
2006-01-31,31,,,45295.3983
2006-02-01,29,,,45294.3983
2006-02-02,29,,,45293.3983
2006-02-03,31,,,45292.3983
2006-02-04,31,,,45291.3983
2006-02-05,30,,,45290.3983
2006-02-06,29,,,45289.3983
2006-02-07,27,,,45288.3983
2006-02-08,26,,,45287.3983
2006-02-09,26,,,45286.3983
2006-02-10,25,,,45285.3983
2006-02-11,24,,,45284.3983
2006-02-12,23,,,45283.3983
2006-02-13,23,,,45282.3983
2006-02-14,23,,,45281.3983
2006-02-15,24,,,45280.3983
2006-02-16,22,,,45279.3983
2006-02-17,22,,,45278.3983
2006-02-18,24,,,45277.3983
2006-02-19,25,,,45276.3983
2006-02-20,22,,,45275.3983
2006-02-21,23,,,45274.3983
2006-02-22,22,,,45273.3983
2006-02-23,23,,,45272.3983
2006-02-24,23,,,45271.3983
2006-02-25,23,,,45270.3983
2006-02-26,23,,,45269.3983
2006-02-27,26,,,45268.3983
2006-02-28,140,,,45267.3983
2006-03-01,73,,,45266.3983
2006-03-02,63,,,45265.3983
2006-03-03,72,,,45264.3983
2006-03-04,65,,,45263.3983
2006-03-05,63,,,45262.3983
2006-03-06,98,,,45261.3983
2006-03-07,146,,,45260.3983
2006-03-08,122,,,45259.3983
2006-03-09,101,,,45258.3983
2006-03-10,99,,,45257.3983
2006-03-11,99,,,45256.3983
2006-03-12,91,,,45255.3983
2006-03-13,81,,,45254.3983
2006-03-14,80,,,45253.3983
2006-03-15,85,,,45252.3983
2006-03-16,80,,,45251.3983
2006-03-17,83,,,45250.3983
2006-03-18,103,,,45249.3983
2006-03-19,90,,,45248.3983
2006-03-20,95,,,45247.3983
2006-03-21,146,,,45246.3983
2006-03-22,107,,,45245.3983
2006-03-23,105,,,45244.3983
2006-03-24,108,,,45243.3983
2006-03-25,117,,,45242.3983
2006-03-26,146,,,45241.3983
2006-03-27,125,,,45240.3983
2006-03-28,568,,,45239.3983
2006-03-29,541,,,45238.3983
2006-03-30,255,,,45237.3983
2006-03-31,206,,,45236.3983
2006-04-01,259,,,45235.3983
2006-04-02,197,,,45234.3983
2006-04-03,227,,,45233.3983
2006-04-04,867,,,45232.3983
2006-04-05,1098,,,45231.3983
2006-04-06,573,,,45230.3983
2006-04-07,394,,,45229.3983
2006-04-08,322,,,45228.3983
2006-04-09,282,,,45227.3983
2006-04-10,259,,,45226.3983
2006-04-11,233,,,45225.3983
2006-04-12,208,,,45224.3983
2006-04-13,205,,,45223.3983
2006-04-14,262,,,45222.3983
2006-04-15,522,,,45221.3983
2006-04-16,336,,,45220.3983
2006-04-17,325,,,45219.3983
2006-04-18,267,,,45218.3983
2006-04-19,248,,,45217.3983
2006-04-20,237,,,45216.3983
2006-04-21,233,,,45215.3983
2006-04-22,235,,,45214.3983
2006-04-23,237,,,45213.3983
2006-04-24,217,,,45212.3983
2006-04-25,204,,,45211.3983
2006-04-26,216,,,45210.3983
2006-04-27,200,,,45209.3983
2006-04-28,196,,,45208.3983
2006-04-29,209,,,45207.3983
2006-04-30,221,,,45206.3983
2006-05-01,222,,,45205.3983
2006-05-02,221,,,45204.3983
2006-05-03,212,,,45203.3983
2006-05-04,201,,,45202.3983
2006-05-05,190,,,45201.3983
2006-05-06,182,,,45200.3983
2006-05-07,175,,,45199.3983
2006-05-08,173,,,45198.3983
2006-05-09,172,,,45197.3983
2006-05-10,166,,,45196.3983
2006-05-11,159,,,45195.3983
2006-05-12,155,,,45194.3983
2006-05-13,151,,,45193.3983
2006-05-14,148,,,45192.3983
2006-05-15,150,,,45191.3983
2006-05-16,149,,,45190.3983
2006-05-17,145,,,45189.3983
2006-05-18,138,,,45188.3983
2006-05-19,133,,,45187.3983
2006-05-20,131,,,45186.3983
2006-05-21,132,,,45185.3983
2006-05-22,140,,,45184.3983
2006-05-23,126,,,45183.3983
2006-05-24,117,,,45182.3983
2006-05-25,113,,,45181.3983
