DATE,FLOW,STAGE,TEMP,VDATE
2005-09-30,30.5,,,45418.3983
2005-10-01,28.3,,,45417.3983
2005-10-02,25.3,,,45416.3983
2005-10-03,13.9,,,45415.3983
2005-10-04,10.6,,,45414.3983
2005-10-05,14.9,,,45413.3983
2005-10-06,14.9,,,45412.3983
2005-10-07,13,,,45411.3983
2005-10-08,5.6,,,45410.3983
2005-10-09,3.7,,,45409.3983
2005-10-10,28.3,,,45408.3983
2005-10-11,30.5,,,45407.3983
2005-10-12,33.7,,,45406.3983
2005-10-13,39,,,45405.3983
2005-10-14,36.8,,,45404.3983
2005-10-15,29.6,,,45403.3983
2005-10-16,27.2,,,45402.3983
2005-10-17,14.6,,,45401.3983
2005-10-18,9.2,,,45400.3983
2005-10-19,11.9,,,45399.3983
2005-10-20,13.5,,,45398.3983
2005-10-21,13.1,,,45397.3983
2005-10-22,6.4,,,45396.3983
2005-10-23,5.6,,,45395.3983
2005-10-24,28.2,,,45394.3983
2005-10-25,28.7,,,45393.3983
2005-10-26,28.7,,,45392.3983
2005-10-27,28.4,,,45391.3983
2005-10-28,32,,,45390.3983
2005-10-29,24.9,,,45389.3983
2005-10-30,20.3,,,45388.3983
2005-10-31,13.4,,,45387.3983
2005-11-01,9.8,,,45386.3983
2005-11-02,7.1,,,45385.3983
2005-11-03,7.4,,,45384.3983
2005-11-04,4.2,,,45383.3983
2005-11-05,1.6,,,45382.3983
2005-11-06,1.2,,,45381.3983
2005-11-07,4.1,,,45380.3983
2005-11-08,7.2,,,45379.3983
2005-11-09,8.4,,,45378.3983
2005-11-10,8.4,,,45377.3983
2005-11-11,7,,,45376.3983
2005-11-12,3.5,,,45375.3983
2005-11-13,2.8,,,45374.3983
2005-11-14,20.5,,,45373.3983
2005-11-15,21.7,,,45372.3983
2005-11-16,22.6,,,45371.3983
2005-11-17,22.6,,,45370.3983
2005-11-18,20.7,,,45369.3983
2005-11-19,20.2,,,45368.3983
2005-11-20,19.6,,,45367.3983
2005-11-21,23.8,,,45366.3983
2005-11-22,24.2,,,45365.3983
2005-11-23,24.1,,,45364.3983
2005-11-24,23.2,,,45363.3983
2005-11-25,20.4,,,45362.3983
2005-11-26,20.2,,,45361.3983
2005-11-27,19.8,,,45360.3983
2005-11-28,20.7,,,45359.3983
2005-11-29,21.2,,,45358.3983
2005-11-30,21,,,45357.3983
2005-12-01,20.7,,,45356.3983
2005-12-02,14.4,,,45355.3983
2005-12-03,12.8,,,45354.3983
2005-12-04,12.4,,,45353.3983
2005-12-05,12.5,,,45352.3983
2005-12-06,13.3,,,45351.3983
2005-12-07,13.5,,,45350.3983
2005-12-08,14.4,,,45349.3983
2005-12-09,14.2,,,45348.3983
2005-12-10,13.7,,,45347.3983
2005-12-11,13.7,,,45346.3983
2005-12-12,13.4,,,45345.3983
2005-12-13,13.7,,,45344.3983
2005-12-14,16,,,45343.3983
2005-12-15,16,,,45342.3983
2005-12-16,14.8,,,45341.3983
2005-12-17,14.4,,,45340.3983
2005-12-18,13.7,,,45339.3983
2005-12-19,15.9,,,45338.3983
2005-12-20,17.3,,,45337.3983
2005-12-21,17.5,,,45336.3983
2005-12-22,20.1,,,45335.3983
2005-12-23,18.9,,,45334.3983
2005-12-24,14.6,,,45333.3983
2005-12-25,13.2,,,45332.3983
2005-12-26,14.3,,,45331.3983
2005-12-27,14.3,,,45330.3983
2005-12-28,14.2,,,45329.3983
2005-12-29,55.2,,,45328.3983
2005-12-30,122.2,,,45327.3983
2005-12-31,117.1,,,45326.3983
2006-01-01,122.1,,,45325.3983
2006-01-02,131.1,,,45324.3983
2006-01-03,299.1,,,45323.3983
2006-01-04,483.1,,,45322.3983
2006-01-05,468.1,,,45321.3983
2006-01-06,467,,,45320.3983
2006-01-07,448,,,45319.3983
2006-01-08,444,,,45318.3983
2006-01-09,438,,,45317.3983
2006-01-10,435,,,45316.3983
2006-01-11,438,,,45315.3983
2006-01-12,439,,,45314.3983
2006-01-13,427,,,45313.3983
2006-01-14,421,,,45312.3983
2006-01-15,418,,,45311.3983
2006-01-16,413,,,45310.3983
2006-01-17,410,,,45309.3983
2006-01-18,402,,,45308.3983
2006-01-19,399,,,45307.3983
2006-01-20,393.1,,,45306.3983
2006-01-21,393.1,,,45305.3983
2006-01-22,394.1,,,45304.3983
2006-01-23,325.1,,,45303.3983
2006-01-24,193.1,,,45302.3983
2006-01-25,151.3,,,45301.3983
2006-01-26,151.6,,,45300.3983
2006-01-27,153,,,45299.3983
2006-01-28,150.2,,,45298.3983
2006-01-29,149,,,45297.3983
2006-01-30,141,,,45296.3983
2006-01-31,124,,,45295.3983
2006-02-01,99,,,45294.3983
2006-02-02,99,,,45293.3983
2006-02-03,99,,,45292.3983
2006-02-04,99,,,45291.3983
2006-02-05,100,,,45290.3983
2006-02-06,100,,,45289.3983
2006-02-07,102,,,45288.3983
2006-02-08,102,,,45287.3983
2006-02-09,104,,,45286.3983
2006-02-10,86,,,45285.3983
2006-02-11,86,,,45284.3983
2006-02-12,85,,,45283.3983
2006-02-13,86,,,45282.3983
2006-02-14,86,,,45281.3983
2006-02-15,39,,,45280.3983
2006-02-16,18,,,45279.3983
2006-02-17,13.8,,,45278.3983
2006-02-18,5.1,,,45277.3983
2006-02-19,1.7,,,45276.3983
2006-02-20,1.4,,,45275.3983
2006-02-21,1.1,,,45274.3983
2006-02-22,0.8,,,45273.3983
2006-02-23,0.8,,,45272.3983
