DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,2.6,,,44687.8621
2007-10-01,6,,,44686.8621
2007-10-02,10.3,,,44685.8621
2007-10-03,12.2,,,44684.8621
2007-10-04,8.1,,,44683.8621
2007-10-05,3.5,,,44682.8621
2007-10-06,1.1,,,44681.8621
2007-10-07,1.1,,,44680.8621
2007-10-08,3.5,,,44679.8621
2007-10-09,8.3,,,44678.8621
2007-10-10,10,,,44677.8621
2007-10-11,10.4,,,44676.8621
2007-10-12,6,,,44675.8621
2007-10-13,2.1,,,44674.8621
2007-10-14,3.1,,,44673.8621
2007-10-15,29.3,,,44672.8621
2007-10-16,31.8,,,44671.8621
2007-10-17,32.9,,,44670.8621
2007-10-18,32,,,44669.8621
2007-10-19,32.1,,,44668.8621
2007-10-20,11.5,,,44667.8621
2007-10-21,2,,,44666.8621
2007-10-22,4.3,,,44665.8621
2007-10-23,9.2,,,44664.8621
2007-10-24,10.2,,,44663.8621
2007-10-25,9.9,,,44662.8621
2007-10-26,6.7,,,44661.8621
2007-10-27,3.3,,,44660.8621
2007-10-28,2.6,,,44659.8621
2007-10-29,7.4,,,44658.8621
2007-10-30,8.8,,,44657.8621
2007-10-31,5.5,,,44656.8621
2007-11-01,2.5,,,44655.8621
2007-11-02,5.5,,,44654.8621
2007-11-03,6.1,,,44653.8621
2007-11-04,5.5,,,44652.8621
2007-11-05,6.3,,,44651.8621
2007-11-06,30.8,,,44650.8621
2007-11-07,31.9,,,44649.8621
2007-11-08,33.1,,,44648.8621
2007-11-09,30.4,,,44647.8621
2007-11-10,12.8,,,44646.8621
2007-11-11,4.8,,,44645.8621
2007-11-12,6.2,,,44644.8621
2007-11-13,3.6,,,44643.8621
2007-11-14,2.3,,,44642.8621
2007-11-15,2.4,,,44641.8621
2007-11-16,4,,,44640.8621
2007-11-17,3.9,,,44639.8621
2007-11-18,2.6,,,44638.8621
2007-11-19,6.4,,,44637.8621
2007-11-20,10.4,,,44636.8621
2007-11-21,6,,,44635.8621
2007-11-22,1.8,,,44634.8621
2007-11-23,1.3,,,44633.8621
2007-11-24,1,,,44632.8621
2007-11-25,1.7,,,44631.8621
