DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,9,,,44687.8621
2007-10-01,9,,,44686.8621
2007-10-02,8,,,44685.8621
2007-10-03,8,,,44684.8621
2007-10-04,8,,,44683.8621
2007-10-05,8,,,44682.8621
2007-10-06,9,,,44681.8621
2007-10-07,10,,,44680.8621
2007-10-08,9,,,44679.8621
2007-10-09,10,,,44678.8621
2007-10-10,9,,,44677.8621
2007-10-11,10,,,44676.8621
2007-10-12,11,,,44675.8621
2007-10-13,13,,,44674.8621
2007-10-14,14,,,44673.8621
2007-10-15,12,,,44672.8621
2007-10-16,13,,,44671.8621
2007-10-17,14,,,44670.8621
2007-10-18,15,,,44669.8621
2007-10-19,14,,,44668.8621
2007-10-20,13,,,44667.8621
2007-10-21,14,,,44666.8621
2007-10-22,12,,,44665.8621
2007-10-23,9,,,44664.8621
2007-10-24,9,,,44663.8621
2007-10-25,8,,,44662.8621
2007-10-26,8,,,44661.8621
2007-10-27,8,,,44660.8621
2007-10-28,9,,,44659.8621
2007-10-29,11,,,44658.8621
2007-10-30,16,,,44657.8621
2007-10-31,17,,,44656.8621
2007-11-01,17,,,44655.8621
2007-11-02,16,,,44654.8621
2007-11-03,15,,,44653.8621
2007-11-04,14,,,44652.8621
2007-11-05,12,,,44651.8621
2007-11-06,10,,,44650.8621
2007-11-07,10,,,44649.8621
2007-11-08,10,,,44648.8621
2007-11-09,10,,,44647.8621
2007-11-10,11,,,44646.8621
2007-11-11,13,,,44645.8621
2007-11-12,19,,,44644.8621
2007-11-13,17,,,44643.8621
2007-11-14,16,,,44642.8621
2007-11-15,15,,,44641.8621
2007-11-16,13,,,44640.8621
2007-11-17,12,,,44639.8621
2007-11-18,14,,,44638.8621
2007-11-19,16,,,44637.8621
2007-11-20,16,,,44636.8621
2007-11-21,16,,,44635.8621
2007-11-22,15,,,44634.8621
2007-11-23,15,,,44633.8621
2007-11-24,15,,,44632.8621
2007-11-25,14,,,44631.8621
2007-11-26,15,,,44630.8621
2007-11-27,15,,,44629.8621
2007-11-28,15,,,44628.8621
2007-11-29,15,,,44627.8621
2007-11-30,15,,,44626.8621
2007-12-01,15,,,44625.8621
2007-12-02,15,,,44624.8621
2007-12-03,16,,,44623.8621
2007-12-04,16,,,44622.8621
2007-12-05,15,,,44621.8621
2007-12-06,16,,,44620.8621
2007-12-07,91,,,44619.8621
2007-12-08,81,,,44618.8621
2007-12-09,44,,,44617.8621
2007-12-10,35,,,44616.8621
2007-12-11,29,,,44615.8621
2007-12-12,27,,,44614.8621
2007-12-13,24,,,44613.8621
2007-12-14,26,,,44612.8621
2007-12-15,25,,,44611.8621
2007-12-16,24,,,44610.8621
2007-12-17,23,,,44609.8621
2007-12-18,32,,,44608.8621
2007-12-19,126,,,44607.8621
2007-12-20,62,,,44606.8621
2007-12-21,56,,,44605.8621
2007-12-22,43,,,44604.8621
2007-12-23,38,,,44603.8621
2007-12-24,35,,,44602.8621
2007-12-25,36,,,44601.8621
2007-12-26,34,,,44600.8621
2007-12-27,32,,,44599.8621
2007-12-28,31,,,44598.8621
2007-12-29,32,,,44597.8621
2007-12-30,30,,,44596.8621
2007-12-31,30,,,44595.8621
2008-01-01,30,,,44594.8621
2008-01-02,30,,,44593.8621
2008-01-03,32,,,44592.8621
2008-01-04,53,,,44591.8621
2008-01-05,1000,,,44590.8621
2008-01-06,321,,,44589.8621
2008-01-07,146,,,44588.8621
2008-01-08,106,,,44587.8621
2008-01-09,98,,,44586.8621
2008-01-10,82,,,44585.8621
2008-01-11,88,,,44584.8621
2008-01-12,86,,,44583.8621
2008-01-13,83,,,44582.8621
2008-01-14,78,,,44581.8621
2008-01-15,75,,,44580.8621
2008-01-16,74,,,44579.8621
2008-01-17,70,,,44578.8621
2008-01-18,66,,,44577.8621
2008-01-19,65,,,44576.8621
2008-01-20,63,,,44575.8621
2008-01-21,64,,,44574.8621
2008-01-22,62,,,44573.8621
2008-01-23,60,,,44572.8621
2008-01-24,71,,,44571.8621
2008-01-25,69,,,44570.8621
2008-01-26,63,,,44569.8621
2008-01-27,63,,,44568.8621
2008-01-28,152,,,44567.8621
2008-01-29,120,,,44566.8621
2008-01-30,96,,,44565.8621
2008-01-31,84,,,44564.8621
2008-02-01,83,,,44563.8621
2008-02-02,87,,,44562.8621
2008-02-03,776,,,44561.8621
2008-02-04,328,,,44560.8621
2008-02-05,193,,,44559.8621
2008-02-06,149,,,44558.8621
2008-02-07,129,,,44557.8621
2008-02-08,132,,,44556.8621
2008-02-09,139,,,44555.8621
2008-02-10,148,,,44554.8621
2008-02-11,155,,,44553.8621
2008-02-12,161,,,44552.8621
2008-02-13,173,,,44551.8621
2008-02-14,177,,,44550.8621
2008-02-15,153,,,44549.8621
2008-02-16,137,,,44548.8621
2008-02-17,129,,,44547.8621
2008-02-18,128,,,44546.8621
2008-02-19,127,,,44545.8621
2008-02-20,149,,,44544.8621
2008-02-21,144,,,44543.8621
2008-02-22,500,,,44542.8621
2008-02-23,422,,,44541.8621
2008-02-24,854,,,44540.8621
2008-02-25,674,,,44539.8621
2008-02-26,387,,,44538.8621
2008-02-27,328,,,44537.8621
2008-02-28,305,,,44536.8621
2008-03-01,308,,,44534.8621
2008-03-02,293,,,44533.8621
2008-03-03,269,,,44532.8621
2008-03-04,249,,,44531.8621
2008-03-05,240,,,44530.8621
2008-03-06,225,,,44529.8621
