DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,6511,,,44688.1345
2007-10-01,6591,,,44687.1345
2007-10-02,6446,,,44686.1345
2007-10-03,6424,,,44685.1345
2007-10-04,5990,,,44684.1345
2007-10-05,6169,,,44683.1345
2007-10-06,6204,,,44682.1345
2007-10-07,6459,,,44681.1345
2007-10-08,6094,,,44680.1345
2007-10-09,6081,,,44679.1345
2007-10-10,3990,,,44678.1345
2007-10-11,5055,,,44677.1345
2007-10-12,4988,,,44676.1345
2007-10-13,5490,,,44675.1345
2007-10-14,5504,,,44674.1345
2007-10-15,5630,,,44673.1345
2007-10-16,5521,,,44672.1345
2007-10-17,4518,,,44671.1345
2007-10-18,4774,,,44670.1345
2007-10-19,4840,,,44669.1345
2007-10-20,4884,,,44668.1345
2007-10-21,4489,,,44667.1345
2007-10-22,4904,,,44666.1345
2007-10-23,4478,,,44665.1345
2007-10-24,4368,,,44664.1345
2007-10-25,4296,,,44663.1345
2007-10-26,5071,,,44662.1345
2007-10-27,4615,,,44661.1345
2007-10-28,4539,,,44660.1345
2007-10-29,4946,,,44659.1345
2007-10-30,4682,,,44658.1345
2007-10-31,4444,,,44657.1345
2007-11-01,4481,,,44656.1345
2007-11-02,4686,,,44655.1345
2007-11-03,4591,,,44654.1345
2007-11-04,4450,,,44653.1345
2007-11-05,4671,,,44652.1345
2007-11-06,4724,,,44651.1345
2007-11-07,4695,,,44650.1345
2007-11-08,4500,,,44649.1345
2007-11-09,4694,,,44648.1345
2007-11-10,4625,,,44647.1345
2007-11-11,4681,,,44646.1345
2007-11-12,4844,,,44645.1345
2007-11-13,4604,,,44644.1345
2007-11-14,4716,,,44643.1345
2007-11-15,4722,,,44642.1345
2007-11-16,4685,,,44641.1345
2007-11-17,4749,,,44640.1345
2007-11-18,4849,,,44639.1345
2007-11-19,4768,,,44638.1345
2007-11-20,4918,,,44637.1345
2007-11-21,5559,,,44636.1345
2007-11-22,4514,,,44635.1345
2007-11-23,4715,,,44634.1345
2007-11-24,4745,,,44633.1345
2007-11-25,4908,,,44632.1345
2007-11-26,4662,,,44631.1345
2007-11-27,4846,,,44630.1345
2007-11-28,4375,,,44629.1345
2007-11-29,4664,,,44628.1345
2007-11-30,4702,,,44627.1345
2007-12-01,5290,,,44626.1345
2007-12-02,5252,,,44625.1345
2007-12-03,5006,,,44624.1345
2007-12-04,4881,,,44623.1345
2007-12-05,4930,,,44622.1345
2007-12-06,4898,,,44621.1345
2007-12-07,5273,,,44620.1345
2007-12-08,4666,,,44619.1345
2007-12-09,4475,,,44618.1345
2007-12-10,4819,,,44617.1345
2007-12-11,4449,,,44616.1345
2007-12-12,4324,,,44615.1345
2007-12-13,4047,,,44614.1345
2007-12-14,4237,,,44613.1345
2007-12-15,4227,,,44612.1345
2007-12-16,4496,,,44611.1345
