DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,32,,,44688.1334
2007-10-01,30,,,44687.1334
2007-10-02,30,,,44686.1334
2007-10-03,30,,,44685.1334
2007-10-04,30,,,44684.1334
2007-10-05,30,,,44683.1334
2007-10-06,30,,,44682.1334
2007-10-07,30,,,44681.1334
2007-10-08,30,,,44680.1334
2007-10-09,30,,,44679.1334
2007-10-10,30,,,44678.1334
2007-10-11,30,,,44677.1334
2007-10-12,30,,,44676.1334
2007-10-13,30,,,44675.1334
2007-10-14,30,,,44674.1334
2007-10-15,20,,,44673.1334
2007-10-16,20,,,44672.1334
2007-10-17,20,,,44671.1334
2007-10-18,20,,,44670.1334
2007-10-19,20,,,44669.1334
2007-10-20,20,,,44668.1334
2007-10-21,20,,,44667.1334
2007-10-22,20,,,44666.1334
2007-10-23,20,,,44665.1334
2007-10-24,20,,,44664.1334
2007-10-25,30,,,44663.1334
2007-10-26,30,,,44662.1334
2007-10-27,30,,,44661.1334
2007-10-28,30,,,44660.1334
2007-10-29,30,,,44659.1334
2007-10-30,30,,,44658.1334
2007-10-31,30,,,44657.1334
2007-11-01,30,,,44656.1334
2007-11-02,30,,,44655.1334
2007-11-03,30,,,44654.1334
2007-11-04,30,,,44653.1334
2007-11-05,30,,,44652.1334
2007-11-06,30,,,44651.1334
2007-11-07,30,,,44650.1334
2007-11-08,30,,,44649.1334
2007-11-09,30,,,44648.1334
2007-11-10,30,,,44647.1334
2007-11-11,30,,,44646.1334
2007-11-12,30,,,44645.1334
2007-11-13,30,,,44644.1334
2007-11-14,30,,,44643.1334
2007-11-15,43,,,44642.1334
2007-11-16,40,,,44641.1334
2007-11-17,40,,,44640.1334
2007-11-18,40,,,44639.1334
2007-11-19,40,,,44638.1334
2007-11-20,40,,,44637.1334
2007-11-21,40,,,44636.1334
2007-11-22,40,,,44635.1334
2007-11-23,40,,,44634.1334
2007-11-24,40,,,44633.1334
2007-11-25,40,,,44632.1334
2007-11-26,40,,,44631.1334
2007-11-27,40,,,44630.1334
2007-11-28,40,,,44629.1334
2007-11-29,40,,,44628.1334
2007-11-30,40,,,44627.1334
2007-12-01,40,,,44626.1334
2007-12-02,40,,,44625.1334
2007-12-03,40,,,44624.1334
2007-12-04,40,,,44623.1334
2007-12-05,40,,,44622.1334
2007-12-06,40,,,44621.1334
2007-12-07,40,,,44620.1334
2007-12-08,40,,,44619.1334
2007-12-09,40,,,44618.1334
2007-12-10,40,,,44617.1334
2007-12-11,40,,,44616.1334
2007-12-12,40,,,44615.1334
2007-12-13,40,,,44614.1334
2007-12-14,40,,,44613.1334
2007-12-15,40,,,44612.1334
2007-12-16,40,,,44611.1334
2007-12-17,40,,,44610.1334
2007-12-18,40,,,44609.1334
2007-12-19,40,,,44608.1334
2007-12-20,40,,,44607.1334
2007-12-21,40,,,44606.1334
2007-12-22,40,,,44605.1334
2007-12-23,40,,,44604.1334
2007-12-24,40,,,44603.1334
2007-12-25,40,,,44602.1334
2007-12-26,70,,,44601.1334
2007-12-27,70,,,44600.1334
2007-12-28,70,,,44599.1334
2007-12-29,70,,,44598.1334
2007-12-30,70,,,44597.1334
2007-12-31,70,,,44596.1334
2008-01-01,70,,,44595.1334
2008-01-02,70,,,44594.1334
2008-01-03,30,,,44593.1334
2008-01-04,30,,,44592.1334
2008-01-05,30,,,44591.1334
2008-01-06,30,,,44590.1334
2008-01-07,30,,,44589.1334
2008-01-08,40,,,44588.1334
2008-01-09,40,,,44587.1334
2008-01-10,40,,,44586.1334
2008-01-11,40,,,44585.1334
2008-01-12,40,,,44584.1334
2008-01-13,40,,,44583.1334
2008-01-14,40,,,44582.1334
2008-01-15,40,,,44581.1334
2008-01-16,40,,,44580.1334
2008-01-17,40,,,44579.1334
2008-01-18,40,,,44578.1334
2008-01-19,40,,,44577.1334
2008-01-20,40,,,44576.1334
2008-01-21,40,,,44575.1334
2008-01-22,40,,,44574.1334
2008-01-23,40,,,44573.1334
2008-01-24,40,,,44572.1334
2008-01-25,40,,,44571.1334
2008-01-26,40,,,44570.1334
2008-01-27,40,,,44569.1334
2008-01-28,40,,,44568.1334
2008-01-29,40,,,44567.1334
2008-01-30,40,,,44566.1334
2008-01-31,40,,,44565.1334
2008-02-01,40,,,44564.1334
2008-02-02,40,,,44563.1334
2008-02-03,40,,,44562.1334
2008-02-04,40,,,44561.1334
2008-02-05,40,,,44560.1334
2008-02-06,40,,,44559.1334
2008-02-07,40,,,44558.1334
2008-02-08,40,,,44557.1334
2008-02-09,40,,,44556.1334
2008-02-10,40,,,44555.1334
2008-02-11,40,,,44554.1334
2008-02-12,40,,,44553.1334
2008-02-13,40,,,44552.1334
2008-02-14,40,,,44551.1334
2008-02-15,150,,,44550.1334
2008-02-16,150,,,44549.1334
2008-02-17,150,,,44548.1334
2008-02-18,150,,,44547.1334
2008-02-19,150,,,44546.1334
2008-02-20,150,,,44545.1334
2008-02-21,150,,,44544.1334
2008-02-22,150,,,44543.1334
2008-02-23,150,,,44542.1334
2008-02-24,150,,,44541.1334
2008-02-25,150,,,44540.1334
2008-02-26,150,,,44539.1334
2008-02-27,150,,,44538.1334
2008-02-28,150,,,44537.1334
2008-03-01,150,,,44535.1334
2008-03-02,150,,,44534.1334
2008-03-03,150,,,44533.1334
2008-03-04,150,,,44532.1334
2008-03-05,150,,,44531.1334
2008-03-06,150,,,44530.1334
2008-03-07,150,,,44529.1334
2008-03-08,150,,,44528.1334
2008-03-09,150,,,44527.1334
2008-03-10,150,,,44526.1334
2008-03-11,150,,,44525.1334
