DATE,FLOW,STAGE,TEMP,VDATE
2005-09-30,109,,,45418.4099
2005-10-01,104,,,45417.4099
2005-10-02,102,,,45416.4099
2005-10-03,103,,,45415.4099
2005-10-04,101,,,45414.4099
2005-10-05,104,,,45413.4099
2005-10-06,106,,,45412.4099
2005-10-07,106,,,45411.4099
2005-10-08,105,,,45410.4099
2005-10-09,106,,,45409.4099
2005-10-10,109,,,45408.4099
2005-10-11,107,,,45407.4099
2005-10-12,103,,,45406.4099
2005-10-13,106,,,45405.4099
2005-10-14,107,,,45404.4099
2005-10-15,107,,,45403.4099
2005-10-16,114,,,45402.4099
2005-10-17,113,,,45401.4099
2005-10-18,111,,,45400.4099
2005-10-19,113,,,45399.4099
2005-10-20,117,,,45398.4099
2005-10-21,95,,,45397.4099
2005-10-22,61,,,45396.4099
2005-10-23,59,,,45395.4099
2005-10-24,55,,,45394.4099
2005-10-25,61,,,45393.4099
2005-10-26,67,,,45392.4099
2005-10-27,65,,,45391.4099
2005-10-28,76,,,45390.4099
2005-10-29,72,,,45389.4099
2005-10-30,68,,,45388.4099
2005-10-31,66,,,45387.4099
2005-11-01,63,,,45386.4099
2005-11-02,61,,,45385.4099
2005-11-03,60,,,45384.4099
2005-11-04,62,,,45383.4099
2005-11-05,62,,,45382.4099
2005-11-06,62,,,45381.4099
2005-11-07,63,,,45380.4099
2005-11-08,63,,,45379.4099
2005-11-09,63,,,45378.4099
2005-11-10,64,,,45377.4099
2005-11-11,80,,,45376.4099
2005-11-12,80,,,45375.4099
2005-11-13,71,,,45374.4099
2005-11-14,69,,,45373.4099
2005-11-15,67,,,45372.4099
2005-11-16,65,,,45371.4099
2005-11-17,63,,,45370.4099
2005-11-18,61,,,45369.4099
2005-11-19,59,,,45368.4099
2005-11-20,58,,,45367.4099
2005-11-21,57,,,45366.4099
2005-11-22,57,,,45365.4099
2005-11-23,57,,,45364.4099
2005-11-24,57,,,45363.4099
2005-11-25,58,,,45362.4099
2005-11-26,65,,,45361.4099
2005-11-27,66,,,45360.4099
2005-11-28,62,,,45359.4099
2005-11-29,72,,,45358.4099
2005-11-30,100,,,45357.4099
2005-12-01,88,,,45356.4099
2005-12-02,1093,,,45355.4099
2005-12-03,395,,,45354.4099
2005-12-04,219,,,45353.4099
2005-12-05,173,,,45352.4099
2005-12-06,144,,,45351.4099
2005-12-07,130,,,45350.4099
2005-12-08,130,,,45349.4099
2005-12-09,126,,,45348.4099
2005-12-10,119,,,45347.4099
2005-12-11,117,,,45346.4099
2005-12-12,113,,,45345.4099
2005-12-13,110,,,45344.4099
2005-12-14,107,,,45343.4099
2005-12-15,104,,,45342.4099
2005-12-16,101,,,45341.4099
2005-12-17,99,,,45340.4099
2005-12-18,244,,,45339.4099
2005-12-19,619,,,45338.4099
2005-12-20,290,,,45337.4099
2005-12-21,236,,,45336.4099
2005-12-22,216,,,45335.4099
2005-12-23,221,,,45334.4099
2005-12-24,211,,,45333.4099
2005-12-25,195,,,45332.4099
2005-12-26,358,,,45331.4099
2005-12-27,306,,,45330.4099
2005-12-28,269,,,45329.4099
2005-12-29,302,,,45328.4099
2005-12-30,247,,,45327.4099
2005-12-31,2052,,,45326.4099
2006-01-01,1405,,,45325.4099
2006-01-02,5565,,,45324.4099
2006-01-03,2719,,,45323.4099
2006-01-04,1123,,,45322.4099
2006-01-05,889,,,45321.4099
2006-01-06,759,,,45320.4099
