DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,25,,,44687.8966
2007-10-01,13,,,44686.8966
2007-10-02,28,,,44685.8966
2007-10-03,26,,,44684.8966
2007-10-04,24,,,44683.8966
2007-10-05,26,,,44682.8966
2007-10-06,29,,,44681.8966
2007-10-07,44,,,44680.8966
2007-10-08,41,,,44679.8966
2007-10-09,41,,,44678.8966
2007-10-10,33,,,44677.8966
2007-10-11,30,,,44676.8966
2007-10-12,31,,,44675.8966
2007-10-13,28,,,44674.8966
2007-10-14,47,,,44673.8966
2007-10-15,36,,,44672.8966
2007-10-16,48,,,44671.8966
2007-10-17,35,,,44670.8966
2007-10-18,34,,,44669.8966
2007-10-19,35,,,44668.8966
2007-10-20,40,,,44667.8966
2007-10-21,31,,,44666.8966
2007-10-22,22,,,44665.8966
2007-10-23,31,,,44664.8966
2007-10-24,26,,,44663.8966
2007-10-25,19,,,44662.8966
2007-10-26,15,,,44661.8966
2007-10-27,17,,,44660.8966
2007-10-28,20,,,44659.8966
2007-10-29,84,,,44658.8966
2007-10-30,75,,,44657.8966
2007-10-31,69,,,44656.8966
2007-11-01,59,,,44655.8966
2007-11-02,55,,,44654.8966
2007-11-03,51,,,44653.8966
2007-11-04,45,,,44652.8966
2007-11-05,48,,,44651.8966
2007-11-06,36,,,44650.8966
2007-11-07,35,,,44649.8966
2007-11-08,36,,,44648.8966
2007-11-09,37,,,44647.8966
2007-11-10,35,,,44646.8966
2007-11-11,48,,,44645.8966
2007-11-12,78,,,44644.8966
2007-11-13,72,,,44643.8966
2007-11-14,64,,,44642.8966
2007-11-15,54,,,44641.8966
2007-11-16,51,,,44640.8966
2007-11-17,57,,,44639.8966
2007-11-18,55,,,44638.8966
2007-11-19,51,,,44637.8966
2007-11-20,53,,,44636.8966
2007-11-21,49,,,44635.8966
2007-11-22,45,,,44634.8966
2007-11-23,46,,,44633.8966
2007-11-24,44,,,44632.8966
2007-11-25,42,,,44631.8966
2007-11-26,39,,,44630.8966
2007-11-27,18,,,44629.8966
2007-11-28,44,,,44628.8966
2007-11-29,40,,,44627.8966
2007-11-30,41,,,44626.8966
2007-12-01,39,,,44625.8966
2007-12-02,37,,,44624.8966
2007-12-03,36,,,44623.8966
2007-12-04,38,,,44622.8966
2007-12-05,51,,,44621.8966
2007-12-06,59,,,44620.8966
2007-12-07,255,,,44619.8966
2007-12-08,202,,,44618.8966
2007-12-09,106,,,44617.8966
2007-12-10,89,,,44616.8966
2007-12-11,77,,,44615.8966
2007-12-12,72,,,44614.8966
2007-12-13,76,,,44613.8966
2007-12-14,65,,,44612.8966
2007-12-15,67,,,44611.8966
2007-12-16,64,,,44610.8966
2007-12-17,71,,,44609.8966
2007-12-18,126,,,44608.8966
2007-12-19,412,,,44607.8966
2007-12-20,355,,,44606.8966
2007-12-21,0,,,44605.8966
2007-12-22,122,,,44604.8966
2007-12-23,31,,,44603.8966
2007-12-24,135,,,44602.8966
2007-12-25,149,,,44601.8966
2007-12-26,124,,,44600.8966
2007-12-27,109,,,44599.8966
2007-12-28,97,,,44598.8966
2007-12-29,98,,,44597.8966
2007-12-30,89,,,44596.8966
2007-12-31,90,,,44595.8966
2008-01-01,84,,,44594.8966
2008-01-02,172,,,44593.8966
2008-01-03,126,,,44592.8966
2008-01-04,266,,,44591.8966
2008-01-05,2772,,,44590.8966
2008-01-06,994,,,44589.8966
2008-01-07,459,,,44588.8966
2008-01-08,281,,,44587.8966
2008-01-09,303,,,44586.8966
2008-01-10,171,,,44585.8966
2008-01-11,146,,,44584.8966
2008-01-12,220,,,44583.8966
2008-01-13,232,,,44582.8966
2008-01-14,277,,,44581.8966
2008-01-15,234,,,44580.8966
2008-01-16,259,,,44579.8966
2008-01-17,175,,,44578.8966
2008-01-18,165,,,44577.8966
2008-01-19,183,,,44576.8966
2008-01-20,184,,,44575.8966
2008-01-21,230,,,44574.8966
2008-01-22,201,,,44573.8966
2008-01-23,222,,,44572.8966
2008-01-24,183,,,44571.8966
2008-01-25,139,,,44570.8966
2008-01-26,135,,,44569.8966
2008-01-27,186,,,44568.8966
2008-01-28,493,,,44567.8966
2008-01-29,301,,,44566.8966
2008-01-30,275,,,44565.8966
2008-01-31,215,,,44564.8966
2008-02-01,245,,,44563.8966
2008-02-02,263,,,44562.8966
2008-02-03,752,,,44561.8966
2008-02-04,486,,,44560.8966
2008-02-05,401,,,44559.8966
2008-02-06,328,,,44558.8966
2008-02-07,326,,,44557.8966
2008-02-08,432,,,44556.8966
2008-02-09,145,,,44555.8966
2008-02-10,390,,,44554.8966
2008-02-11,248,,,44553.8966
2008-02-12,420,,,44552.8966
2008-02-13,396,,,44551.8966
2008-02-14,332,,,44550.8966
2008-02-15,400,,,44549.8966
2008-02-16,360,,,44548.8966
2008-02-17,327,,,44547.8966
2008-02-18,335,,,44546.8966
2008-02-19,314,,,44545.8966
2008-02-20,376,,,44544.8966
2008-02-21,175,,,44543.8966
2008-02-22,1189,,,44542.8966
2008-02-23,1026,,,44541.8966
2008-02-24,1680,,,44540.8966
2008-02-25,1403,,,44539.8966
2008-02-26,1078,,,44538.8966
2008-02-27,517,,,44537.8966
2008-02-28,626,,,44536.8966
2008-03-01,621,,,44534.8966
2008-03-02,707,,,44533.8966
2008-03-03,575,,,44532.8966
2008-03-04,815,,,44531.8966
2008-03-05,537,,,44530.8966
2008-03-06,810,,,44529.8966
2008-03-07,354,,,44528.8966
2008-03-08,666,,,44527.8966
2008-03-09,627,,,44526.8966
2008-03-10,680,,,44525.8966
2008-03-11,420,,,44524.8966
2008-03-12,809,,,44523.8966
2008-03-13,566,,,44522.8966
2008-03-14,926,,,44521.8966
2008-03-15,626,,,44520.8966
2008-03-16,531,,,44519.8966
2008-03-17,446,,,44518.8966
2008-03-18,487,,,44517.8966
2008-03-19,632,,,44516.8966
2008-03-20,508,,,44515.8966
2008-03-21,474,,,44514.8966
2008-03-22,540,,,44513.8966
2008-03-23,603,,,44512.8966
2008-03-24,662,,,44511.8966
2008-03-25,686,,,44510.8966
2008-03-26,920,,,44509.8966
2008-03-27,496,,,44508.8966
2008-03-28,792,,,44507.8966
2008-03-29,638,,,44506.8966
2008-03-30,677,,,44505.8966
2008-03-31,654,,,44504.8966
2008-04-01,866,,,44503.8966
2008-04-02,236,,,44502.8966
2008-04-03,536,,,44501.8966
2008-04-04,673,,,44500.8966
2008-04-05,1179,,,44499.8966
2008-04-06,295,,,44498.8966
2008-04-07,514,,,44497.8966
2008-04-08,672,,,44496.8966
2008-04-09,636,,,44495.8966
2008-04-10,540,,,44494.8966
2008-04-11,575,,,44493.8966
2008-04-12,852,,,44492.8966
2008-04-13,997,,,44491.8966
2008-04-14,1267,,,44490.8966
2008-04-15,885,,,44489.8966
2008-04-16,1151,,,44488.8966
2008-04-17,908,,,44487.8966
2008-04-18,1064,,,44486.8966
2008-04-19,1110,,,44485.8966
2008-04-20,1041,,,44484.8966
2008-04-21,772,,,44483.8966
2008-04-22,809,,,44482.8966
2008-04-23,907,,,44481.8966
2008-04-24,918,,,44480.8966
2008-04-25,1111,,,44479.8966
2008-04-26,902,,,44478.8966
2008-04-27,1243,,,44477.8966
2008-04-28,1701,,,44476.8966
2008-04-29,1671,,,44475.8966
2008-04-30,1668,,,44474.8966
2008-05-01,1233,,,44473.8966
2008-05-02,1351,,,44472.8966
2008-05-03,1495,,,44471.8966
2008-05-04,1218,,,44470.8966
2008-05-05,1148,,,44469.8966
2008-05-06,1067,,,44468.8966
2008-05-07,1342,,,44467.8966
2008-05-08,1466,,,44466.8966
2008-05-09,1252,,,44465.8966
2008-05-10,1431,,,44464.8966
2008-05-11,1674,,,44463.8966
2008-05-12,1364,,,44462.8966
2008-05-13,1304,,,44461.8966
2008-05-14,1575,,,44460.8966
2008-05-15,1488,,,44459.8966
2008-05-16,2129,,,44458.8966
2008-05-17,2387,,,44457.8966
2008-05-18,2505,,,44456.8966
2008-05-19,2795,,,44455.8966
2008-05-20,2455,,,44454.8966
2008-05-21,2268,,,44453.8966
2008-05-22,1400,,,44452.8966
2008-05-23,1205,,,44451.8966
2008-05-24,1086,,,44450.8966
2008-05-25,1119,,,44449.8966
2008-05-26,932,,,44448.8966
2008-05-27,948,,,44447.8966
2008-05-28,1127,,,44446.8966
2008-05-29,667,,,44445.8966
2008-05-30,791,,,44444.8966
2008-05-31,1051,,,44443.8966
2008-06-01,1153,,,44442.8966
2008-06-02,1313,,,44441.8966
2008-06-03,1112,,,44440.8966
2008-06-04,1400,,,44439.8966
2008-06-05,1317,,,44438.8966
2008-06-06,1473,,,44437.8966
2008-06-07,1522,,,44436.8966
2008-06-08,1351,,,44435.8966
2008-06-09,1410,,,44434.8966
2008-06-10,1456,,,44433.8966
2008-06-11,1389,,,44432.8966
2008-06-12,1201,,,44431.8966
2008-06-13,1294,,,44430.8966
2008-06-14,1155,,,44429.8966
2008-06-15,1047,,,44428.8966
2008-06-16,1163,,,44427.8966
2008-06-17,1241,,,44426.8966
2008-06-18,1023,,,44425.8966
2008-06-19,995,,,44424.8966
2008-06-20,702,,,44423.8966
2008-06-21,926,,,44422.8966
2008-06-22,738,,,44421.8966
2008-06-23,849,,,44420.8966
2008-06-24,730,,,44419.8966
2008-06-25,586,,,44418.8966
2008-06-26,772,,,44417.8966
2008-06-27,493,,,44416.8966
2008-06-28,659,,,44415.8966
2008-06-29,397,,,44414.8966
2008-06-30,407,,,44413.8966
2008-07-01,366,,,44412.8966
2008-07-02,623,,,44411.8966
2008-07-03,270,,,44410.8966
2008-07-04,580,,,44409.8966
2008-07-05,185,,,44408.8966
2008-07-06,510,,,44407.8966
2008-07-07,241,,,44406.8966
2008-07-08,409,,,44405.8966
2008-07-09,214,,,44404.8966
2008-07-10,419,,,44403.8966
2008-07-11,263,,,44402.8966
2008-07-12,250,,,44401.8966
2008-07-13,338,,,44400.8966
2008-07-14,454,,,44399.8966
2008-07-15,424,,,44398.8966
2008-07-16,546,,,44397.8966
