DATE,FLOW,STAGE,TEMP,VDATE
2005-09-30,30.3,,,45418.41
2005-10-01,31.6,,,45417.41
2005-10-02,32.6,,,45416.41
2005-10-03,60.6,,,45415.41
2005-10-04,80.6,,,45414.41
2005-10-05,84.4,,,45413.41
2005-10-06,82.7,,,45412.41
2005-10-07,83.3,,,45411.41
2005-10-08,84,,,45410.41
2005-10-09,84,,,45409.41
2005-10-10,84,,,45408.41
2005-10-11,70,,,45407.41
2005-10-12,44.5,,,45406.41
2005-10-13,30.7,,,45405.41
2005-10-14,56,,,45404.41
2005-10-15,86.6,,,45403.41
2005-10-16,87.6,,,45402.41
2005-10-17,87.6,,,45401.41
2005-10-18,88.4,,,45400.41
2005-10-19,87.7,,,45399.41
2005-10-20,88.5,,,45398.41
2005-10-21,81.5,,,45397.41
2005-10-22,74.4,,,45396.41
2005-10-23,74.4,,,45395.41
2005-10-24,74.4,,,45394.41
2005-10-25,64.1,,,45393.41
2005-10-26,51.9,,,45392.41
2005-10-27,41.9,,,45391.41
2005-10-28,32.3,,,45390.41
2005-10-29,31.3,,,45389.41
2005-10-30,30.8,,,45388.41
2005-10-31,25.6,,,45387.41
2005-11-01,22.6,,,45386.41
2005-11-02,23.6,,,45385.41
2005-11-03,22.1,,,45384.41
2005-11-04,18.2,,,45383.41
2005-11-05,17.8,,,45382.41
2005-11-06,18.6,,,45381.41
2005-11-07,19.3,,,45380.41
2005-11-08,19.6,,,45379.41
2005-11-09,17.7,,,45378.41
2005-11-10,18.3,,,45377.41
2005-11-11,25,,,45376.41
2005-11-12,17.1,,,45375.41
2005-11-13,17.1,,,45374.41
2005-11-14,16.1,,,45373.41
2005-11-15,13.8,,,45372.41
2005-11-16,15.6,,,45371.41
2005-11-17,16.2,,,45370.41
2005-11-18,16.4,,,45369.41
2005-11-19,16.5,,,45368.41
2005-11-20,16.7,,,45367.41
2005-11-21,18.4,,,45366.41
2005-11-22,17.7,,,45365.41
2005-11-23,16.7,,,45364.41
2005-11-24,17.2,,,45363.41
2005-11-25,17.3,,,45362.41
2005-11-26,17.2,,,45361.41
2005-11-27,17.1,,,45360.41
2005-11-28,16.9,,,45359.41
2005-11-29,17.1,,,45358.41
2005-11-30,16.5,,,45357.41
2005-12-01,17,,,45356.41
2005-12-02,17.7,,,45355.41
2005-12-03,16.1,,,45354.41
2005-12-04,16.7,,,45353.41
2005-12-05,28.8,,,45352.41
2005-12-06,55.4,,,45351.41
2005-12-07,74.2,,,45350.41
2005-12-08,81.9,,,45349.41
2005-12-09,81.9,,,45348.41
2005-12-10,81.9,,,45347.41
2005-12-11,81.9,,,45346.41
2005-12-12,387.9,,,45345.41
2005-12-13,658.9,,,45344.41
2005-12-14,652.8,,,45343.41
2005-12-15,652.8,,,45342.41
2005-12-16,651.3,,,45341.41
2005-12-17,650.6,,,45340.41
2005-12-18,650.6,,,45339.41
2005-12-19,729.6,,,45338.41
2005-12-20,920.6,,,45337.41
2005-12-21,935.6,,,45336.41
2005-12-22,347.6,,,45335.41
2005-12-23,10.5,,,45334.41
2005-12-24,9.6,,,45333.41
2005-12-25,9.2,,,45332.41
2005-12-26,10.4,,,45331.41
2005-12-27,8.7,,,45330.41
2005-12-28,7.6,,,45329.41
2005-12-29,7.3,,,45328.41
2005-12-30,7.3,,,45327.41
2005-12-31,7.9,,,45326.41
2006-01-01,7.9,,,45325.41
2006-01-02,15.1,,,45324.41
