DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,6,,,44687.8614
2007-10-01,10.5,,,44686.8614
2007-10-02,28.7,,,44685.8614
2007-10-03,22.4,,,44684.8614
2007-10-04,18.5,,,44683.8614
2007-10-05,17.5,,,44682.8614
2007-10-06,17.2,,,44681.8614
2007-10-07,19.1,,,44680.8614
2007-10-08,20.3,,,44679.8614
2007-10-09,19.7,,,44678.8614
2007-10-10,19.6,,,44677.8614
2007-10-11,26.1,,,44676.8614
2007-10-12,34.7,,,44675.8614
2007-10-13,35.1,,,44674.8614
2007-10-14,34.1,,,44673.8614
2007-10-15,35.2,,,44672.8614
2007-10-16,38.1,,,44671.8614
2007-10-17,37.1,,,44670.8614
2007-10-18,37.1,,,44669.8614
2007-10-19,37.1,,,44668.8614
2007-10-20,37.1,,,44667.8614
2007-10-21,37.1,,,44666.8614
2007-10-22,42.4,,,44665.8614
2007-10-23,47,,,44664.8614
2007-10-24,49,,,44663.8614
2007-10-25,47.8,,,44662.8614
2007-10-26,49.3,,,44661.8614
2007-10-27,49.3,,,44660.8614
2007-10-28,49.2,,,44659.8614
2007-10-29,40.3,,,44658.8614
2007-10-30,20.1,,,44657.8614
2007-10-31,20.3,,,44656.8614
2007-11-01,20.3,,,44655.8614
2007-11-02,15.5,,,44654.8614
2007-11-03,9.2,,,44653.8614
2007-11-04,8.5,,,44652.8614
2007-11-05,10.9,,,44651.8614
2007-11-06,7.6,,,44650.8614
2007-11-07,10.9,,,44649.8614
2007-11-08,11.5,,,44648.8614
2007-11-09,11.4,,,44647.8614
2007-11-10,10.8,,,44646.8614
2007-11-11,10.6,,,44645.8614
2007-11-12,10.4,,,44644.8614
2007-11-13,10.3,,,44643.8614
2007-11-14,11,,,44642.8614
2007-11-15,10.9,,,44641.8614
2007-11-16,12.4,,,44640.8614
2007-11-17,15.7,,,44639.8614
2007-11-18,15.9,,,44638.8614
2007-11-19,12.6,,,44637.8614
2007-11-20,12.1,,,44636.8614
2007-11-21,11.1,,,44635.8614
2007-11-22,10.8,,,44634.8614
2007-11-23,11.1,,,44633.8614
2007-11-24,10.6,,,44632.8614
2007-11-25,11,,,44631.8614
2007-11-26,13.4,,,44630.8614
2007-11-27,23.1,,,44629.8614
2007-11-28,31.3,,,44628.8614
2007-11-29,24.6,,,44627.8614
2007-11-30,26,,,44626.8614
2007-12-01,40,,,44625.8614
2007-12-02,47,,,44624.8614
2007-12-03,46.7,,,44623.8614
2007-12-04,47.3,,,44622.8614
2007-12-05,40,,,44621.8614
2007-12-06,26.2,,,44620.8614
