DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,0,,,44687.8614
2007-10-01,0,,,44686.8614
2007-10-02,0,,,44685.8614
2007-10-03,0,,,44684.8614
2007-10-04,0,,,44683.8614
2007-10-05,0,,,44682.8614
2007-10-06,0,,,44681.8614
2007-10-07,0,,,44680.8614
2007-10-08,0,,,44679.8614
2007-10-09,0,,,44678.8614
2007-10-10,0,,,44677.8614
2007-10-11,0,,,44676.8614
2007-10-12,0,,,44675.8614
2007-10-13,0,,,44674.8614
2007-10-14,0,,,44673.8614
2007-10-15,0,,,44672.8614
2007-10-16,0,,,44671.8614
2007-10-17,0,,,44670.8614
2007-10-18,0,,,44669.8614
2007-10-19,0,,,44668.8614
2007-10-20,0,,,44667.8614
2007-10-21,0,,,44666.8614
2007-10-22,0,,,44665.8614
2007-10-23,0,,,44664.8614
2007-10-24,0,,,44663.8614
2007-10-25,0,,,44662.8614
2007-10-26,0,,,44661.8614
2007-10-27,0,,,44660.8614
2007-10-28,0,,,44659.8614
2007-10-29,0,,,44658.8614
2007-10-30,0,,,44657.8614
2007-10-31,0,,,44656.8614
2007-11-01,0,,,44655.8614
2007-11-02,0,,,44654.8614
2007-11-03,0,,,44653.8614
2007-11-04,0,,,44652.8614
2007-11-05,0,,,44651.8614
2007-11-06,0,,,44650.8614
2007-11-07,0,,,44649.8614
2007-11-08,0,,,44648.8614
2007-11-09,0,,,44647.8614
2007-11-10,0,,,44646.8614
2007-11-11,0,,,44645.8614
2007-11-12,0,,,44644.8614
2007-11-13,0,,,44643.8614
2007-11-14,0,,,44642.8614
2007-11-15,0,,,44641.8614
2007-11-16,0,,,44640.8614
2007-11-17,0,,,44639.8614
2007-11-18,0,,,44638.8614
2007-11-19,0,,,44637.8614
2007-11-20,0,,,44636.8614
2007-11-21,0,,,44635.8614
2007-12-01,0,,,44625.8614
2007-12-02,0,,,44624.8614
2007-12-03,0,,,44623.8614
2007-12-04,0,,,44622.8614
2007-12-05,0,,,44621.8614
2007-12-06,0,,,44620.8614
2007-12-07,0,,,44619.8614
2007-12-08,0,,,44618.8614
2007-12-09,0,,,44617.8614
2007-12-10,0,,,44616.8614
2007-12-11,0,,,44615.8614
2007-12-12,0,,,44614.8614
2007-12-13,0,,,44613.8614
2007-12-14,0,,,44612.8614
2007-12-15,0,,,44611.8614
2007-12-16,0,,,44610.8614
2007-12-17,0,,,44609.8614
2007-12-18,0,,,44608.8614
2007-12-19,0,,,44607.8614
2007-12-20,0,,,44606.8614
2007-12-21,1,,,44605.8614
2007-12-22,1,,,44604.8614
2007-12-23,1,,,44603.8614
2007-12-24,1,,,44602.8614
2007-12-25,1,,,44601.8614
2007-12-26,1,,,44600.8614
2007-12-27,0,,,44599.8614
2007-12-28,1,,,44598.8614
2007-12-29,1,,,44597.8614
2007-12-30,1,,,44596.8614
2007-12-31,1,,,44595.8614
2008-01-01,1,,,44594.8614
2008-01-02,1,,,44593.8614
2008-01-03,1,,,44592.8614
2008-01-04,2,,,44591.8614
2008-01-05,226,,,44590.8614
2008-01-06,54,,,44589.8614
2008-01-07,23,,,44588.8614
2008-01-08,9,,,44587.8614
2008-01-09,5,,,44586.8614
2008-01-10,3,,,44585.8614
