DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,849,,,44688.0998
2007-10-01,780,,,44687.0998
2007-10-02,761,,,44686.0998
2007-10-03,764,,,44685.0998
2007-10-04,760,,,44684.0998
2007-10-05,757,,,44683.0998
2007-10-06,722,,,44682.0998
2007-10-07,717,,,44681.0998
2007-10-08,721,,,44680.0998
2007-10-09,732,,,44679.0998
2007-10-10,734,,,44678.0998
2007-10-11,708,,,44677.0998
2007-10-12,660,,,44676.0998
2007-10-13,567,,,44675.0998
2007-10-14,458,,,44674.0998
2007-10-15,398,,,44673.0998
2007-10-16,445,,,44672.0998
2007-10-17,656,,,44671.0998
2007-10-18,709,,,44670.0998
2007-10-19,706,,,44669.0998
2007-10-20,694,,,44668.0998
2007-10-21,725,,,44667.0998
2007-10-22,746,,,44666.0998
2007-10-23,758,,,44665.0998
2007-10-24,762,,,44664.0998
2007-10-25,763,,,44663.0998
2007-10-26,769,,,44662.0998
2007-10-27,753,,,44661.0998
2007-10-28,659,,,44660.0998
2007-10-29,656,,,44659.0998
2007-10-30,543,,,44658.0998
2007-10-31,345,,,44657.0998
2007-11-01,256,,,44656.0998
2007-11-02,265,,,44655.0998
2007-11-03,337,,,44654.0998
2007-11-04,345,,,44653.0998
2007-11-05,348,,,44652.0998
2007-11-06,346,,,44651.0998
2007-11-07,349,,,44650.0998
2007-11-08,128,,,44649.0998
2007-11-09,355,,,44648.0998
2007-11-10,355,,,44647.0998
2007-11-11,354,,,44646.0998
2007-11-12,355,,,44645.0998
2007-11-13,354,,,44644.0998
2007-11-14,354,,,44643.0998
2007-11-15,361,,,44642.0998
2007-11-16,356,,,44641.0998
2007-11-17,356,,,44640.0998
2007-11-18,360,,,44639.0998
2007-11-19,361,,,44638.0998
2007-11-20,354,,,44637.0998
2007-11-21,354,,,44636.0998
2007-11-22,357,,,44635.0998
2007-11-23,352,,,44634.0998
2007-11-24,355,,,44633.0998
2007-11-25,350,,,44632.0998
2007-11-26,339,,,44631.0998
2007-11-27,340,,,44630.0998
2007-11-28,343,,,44629.0998
2007-11-29,353,,,44628.0998
2007-11-30,361,,,44627.0998
2007-12-01,363,,,44626.0998
2007-12-02,363,,,44625.0998
2007-12-03,363,,,44624.0998
2007-12-04,359,,,44623.0998
2007-12-05,338,,,44622.0998
2007-12-06,309,,,44621.0998
2007-12-07,301,,,44620.0998
2007-12-08,294,,,44619.0998
2007-12-09,291,,,44618.0998
2007-12-10,286,,,44617.0998
2007-12-11,289,,,44616.0998
2007-12-12,286,,,44615.0998
2007-12-13,291,,,44614.0998
2007-12-14,290,,,44613.0998
2007-12-15,291,,,44612.0998
2007-12-16,291,,,44611.0998
2007-12-17,292,,,44610.0998
2007-12-18,289,,,44609.0998
2007-12-19,258,,,44608.0998
2007-12-20,255,,,44607.0998
2007-12-21,253,,,44606.0998
2007-12-22,254,,,44605.0998
2007-12-23,256,,,44604.0998
2007-12-24,255,,,44603.0998
2007-12-25,255,,,44602.0998
2007-12-26,256,,,44601.0998
2007-12-27,257,,,44600.0998
2007-12-28,254,,,44599.0998
2007-12-29,259,,,44598.0998
2007-12-30,257,,,44597.0998
2007-12-31,257,,,44596.0998
2008-01-01,258,,,44595.0998
2008-01-02,257,,,44594.0998
2008-01-03,255,,,44593.0998
2008-01-04,241,,,44592.0998
2008-01-05,242,,,44591.0998
2008-01-06,236,,,44590.0998
2008-01-07,239,,,44589.0998
2008-01-08,241,,,44588.0998
2008-01-09,241,,,44587.0998
2008-01-10,242,,,44586.0998
2008-01-11,243,,,44585.0998
2008-01-12,241,,,44584.0998
2008-01-13,242,,,44583.0998
2008-01-14,240,,,44582.0998
2008-01-15,212,,,44581.0998
2008-01-16,205,,,44580.0998
2008-01-17,228,,,44579.0998
2008-01-18,231,,,44578.0998
2008-01-19,230,,,44577.0998
2008-01-20,238,,,44576.0998
2008-01-21,244,,,44575.0998
2008-01-22,257,,,44574.0998
2008-01-23,234,,,44573.0998
2008-01-24,205,,,44572.0998
2008-01-25,211,,,44571.0998
2008-01-26,207,,,44570.0998
2008-01-27,201,,,44569.0998
2008-01-28,197,,,44568.0998
2008-01-29,197,,,44567.0998
2008-01-30,195,,,44566.0998
2008-01-31,195,,,44565.0998
2008-02-01,197,,,44564.0998
2008-02-02,198,,,44563.0998
2008-02-03,200,,,44562.0998
2008-02-04,198,,,44561.0998
2008-02-05,198,,,44560.0998
2008-02-06,198,,,44559.0998
2008-02-07,201,,,44558.0998
2008-02-08,200,,,44557.0998
2008-02-09,221,,,44556.0998
2008-02-10,258,,,44555.0998
2008-02-11,256,,,44554.0998
2008-02-12,257,,,44553.0998
2008-02-13,291,,,44552.0998
2008-02-14,250,,,44551.0998
2008-02-15,251,,,44550.0998
2008-02-16,251,,,44549.0998
2008-02-17,248,,,44548.0998
2008-02-18,254,,,44547.0998
2008-02-19,304,,,44546.0998
2008-02-20,336,,,44545.0998
2008-02-21,296,,,44544.0998
2008-02-22,301,,,44543.0998
2008-02-23,299,,,44542.0998
2008-02-24,298,,,44541.0998
2008-02-25,300,,,44540.0998
2008-02-26,262,,,44539.0998
2008-02-27,208,,,44538.0998
2008-02-28,214,,,44537.0998
2008-03-01,210,,,44535.0998
2008-03-02,212,,,44534.0998
2008-03-03,262,,,44533.0998
2008-03-04,173,,,44532.0998
2008-03-05,281,,,44531.0998
2008-03-06,279,,,44530.0998
2008-03-07,324,,,44529.0998
2008-03-08,392,,,44528.0998
2008-03-09,391,,,44527.0998
2008-03-10,697,,,44526.0998
2008-03-11,915,,,44525.0998
2008-03-12,1017,,,44524.0998
2008-03-13,1057,,,44523.0998
2008-03-14,1279,,,44522.0998
2008-03-15,1359,,,44521.0998
2008-03-16,1369,,,44520.0998
2008-03-17,1740,,,44519.0998
2008-03-18,1992,,,44518.0998
2008-03-19,1992,,,44517.0998
2008-03-20,2268,,,44516.0998
2008-03-21,2347,,,44515.0998
2008-03-22,2446,,,44514.0998
2008-03-23,2523,,,44513.0998
2008-03-24,2645,,,44512.0998
2008-03-25,2705,,,44511.0998
2008-03-26,2709,,,44510.0998
2008-03-27,2712,,,44509.0998
2008-03-28,2695,,,44508.0998
2008-03-29,2660,,,44507.0998
2008-03-30,2641,,,44506.0998
2008-03-31,2513,,,44505.0998
2008-04-01,2275,,,44504.0998
2008-04-02,1782,,,44503.0998
2008-04-03,1729,,,44502.0998
2008-04-04,1748,,,44501.0998
2008-04-05,1953,,,44500.0998
2008-04-06,2066,,,44499.0998
2008-04-07,2160,,,44498.0998
2008-04-08,2323,,,44497.0998
2008-04-09,2352,,,44496.0998
2008-04-10,2393,,,44495.0998
2008-04-11,2582,,,44494.0998
2008-04-12,2651,,,44493.0998
2008-04-13,2628,,,44492.0998
2008-04-14,2621,,,44491.0998
2008-04-15,2702,,,44490.0998
2008-04-16,2718,,,44489.0998
2008-04-17,2670,,,44488.0998
2008-04-18,2659,,,44487.0998
2008-04-19,2781,,,44486.0998
2008-04-20,2721,,,44485.0998
2008-04-21,2747,,,44484.0998
2008-04-22,2770,,,44483.0998
2008-04-23,2809,,,44482.0998
2008-04-24,2628,,,44481.0998
2008-04-25,2447,,,44480.0998
2008-04-26,2284,,,44479.0998
2008-04-27,2230,,,44478.0998
2008-04-28,2234,,,44477.0998
2008-04-29,2097,,,44476.0998
2008-04-30,1947,,,44475.0998
2008-05-01,1878,,,44474.0998
2008-05-02,1866,,,44473.0998
2008-05-03,1841,,,44472.0998
2008-05-04,1892,,,44471.0998
2008-05-05,2002,,,44470.0998
2008-05-06,2040,,,44469.0998
