DATE,FLOW,STAGE,TEMP,VDATE
2007-09-30,140,,,44688.1337
2007-10-01,143,,,44687.1337
2007-10-02,144,,,44686.1337
2007-10-03,138,,,44685.1337
2007-10-04,139,,,44684.1337
2007-10-05,139,,,44683.1337
2007-10-06,136,,,44682.1337
2007-10-07,131,,,44681.1337
2007-10-08,132,,,44680.1337
2007-10-09,146,,,44679.1337
2007-10-10,149,,,44678.1337
2007-10-11,167,,,44677.1337
2007-10-12,172,,,44676.1337
2007-10-13,168,,,44675.1337
2007-10-14,164,,,44674.1337
2007-10-15,164,,,44673.1337
2007-10-16,169,,,44672.1337
2007-10-17,168,,,44671.1337
2007-10-18,170,,,44670.1337
2007-10-19,173,,,44669.1337
2007-10-20,183,,,44668.1337
2007-10-21,179,,,44667.1337
2007-10-22,175,,,44666.1337
2007-10-23,172,,,44665.1337
2007-10-24,169,,,44664.1337
2007-10-25,167,,,44663.1337
2007-10-26,149,,,44662.1337
2007-10-27,149,,,44661.1337
2007-10-28,149,,,44660.1337
2007-10-29,149,,,44659.1337
2007-10-30,148,,,44658.1337
2007-10-31,145,,,44657.1337
2007-11-01,143,,,44656.1337
2007-11-02,143,,,44655.1337
2007-11-03,140,,,44654.1337
2007-11-04,143,,,44653.1337
2007-11-05,143,,,44652.1337
2007-11-06,142,,,44651.1337
2007-11-07,140,,,44650.1337
2007-11-08,141,,,44649.1337
2007-11-09,144,,,44648.1337
2007-11-10,150,,,44647.1337
2007-11-11,149,,,44646.1337
2007-11-12,149,,,44645.1337
2007-11-13,147,,,44644.1337
2007-11-14,147,,,44643.1337
2007-11-15,147,,,44642.1337
2007-11-16,146,,,44641.1337
2007-11-17,146,,,44640.1337
2007-11-18,146,,,44639.1337
2007-11-19,146,,,44638.1337
2007-11-20,145,,,44637.1337
2007-11-21,144,,,44636.1337
2007-11-22,145,,,44635.1337
2007-11-23,145,,,44634.1337
2007-11-24,146,,,44633.1337
2007-11-25,145,,,44632.1337
2007-11-26,143,,,44631.1337
2007-11-27,143,,,44630.1337
2007-11-28,143,,,44629.1337
2007-11-29,147,,,44628.1337
2007-11-30,146,,,44627.1337
2007-12-01,146,,,44626.1337
2007-12-02,150,,,44625.1337
2007-12-03,190,,,44624.1337
2007-12-04,338,,,44623.1337
2007-12-05,281,,,44622.1337
2007-12-06,276,,,44621.1337
2007-12-07,481,,,44620.1337
2007-12-08,316,,,44619.1337
2007-12-09,244,,,44618.1337
2007-12-10,206,,,44617.1337
2007-12-11,179,,,44616.1337
2007-12-12,162,,,44615.1337
2007-12-13,149,,,44614.1337
2007-12-14,143,,,44613.1337
