id,desc,lat,lng,modes,extra,equiv
DF:1,Smith At Jedediah Smith,41.79111,-124.07616,001,,,,630.1686;Ra8c6f39dff7ce741,Smith River O5 L1 Drainage:1689km2 AvgFlow:5194cfs AvgPrecip:2120mm AvgTemp:13C
DF:10,Trinity At Hoopa,41.0498,-123.6737,010,,,,492.971;R621038e6a060cc41,Trinity River O6 L2 Drainage:7444km2 AvgFlow:5017cfs AvgPrecip:1492mm AvgTemp:14C
DF:100,Kings At Rodgers Crossing,36.8633,-119.1233,100,,,,352.9739;Raaf13a2bc45edc41,Kings River O6 L4 Drainage:2458km2 AvgFlow:1200cfs AvgPrecip:635mm AvgTemp:16C
DF:101,Kings Rel Pine Flat Lake,36.8307,-119.3352,101,,COESPK:PNFO,,881.1196;R2db24d75a119dc41,Kings River O6 L4 Drainage:3999km2 AvgFlow:1913cfs AvgPrecip:516mm AvgTemp:17C
DF:102,Kaweah Inflow Terminus Res,36.4170,-119.0025,102,,,,993.7273;Ra24516b1744bbb41,Kaweah River O5 L5 Drainage:1454km2 AvgFlow:624cfs AvgPrecip:351mm AvgTemp:17C
DF:103,Kaweah At Three Rivers,36.44397,-118.90383,103,,COESPK:TRM2,,847.58;R00009073f63be841,Kaweah River O5 L5 Drainage:1088km2 AvgFlow:565cfs AvgPrecip:506mm AvgTemp:17C
DF:104,No. Kern At Kernville,35.7538,-118.42339,104,,COESPK:ISB1,,533.364;Ra69b8cda9b48db41,Kern River O5 L4 Drainage:2619km2 AvgFlow:814cfs AvgPrecip:306mm AvgTemp:16C
DF:105,Kern Rel Lake Isabella,35.58606,-118.52527,105,,,,843.8733;R7b144e783d9fbb41,Kern River O6 L4 Drainage:5148km2 AvgFlow:592cfs AvgPrecip:313mm AvgTemp:16C
DF:106,Truckee Below Lake Tahoe,39.16720,-120.14385,106,,,,873.3167;R6f12efa74ac2e341,Truckee River O4 L4 Drainage:1332km2 AvgFlow:249cfs AvgPrecip:922mm AvgTemp:6C
DF:107,Grande Ronde Near Perry,45.35269,-118.18437,107,,,,879.6357;R0681a54401dee241,Grande Ronde River O5 L4 Drainage:1736km2 AvgFlow:414cfs AvgPrecip:539mm AvgTemp:8C
DF:108,E. Fk Carson Near Gardnerville,38.84497,-119.70623,108,,,,791.0552;Rdbf9fec18914b141,Indian Creek O3 L5 Drainage:67km2 AvgFlow:14cfs AvgPrecip:355mm AvgTemp:9C
DF:109,West Walker At Walker,38.5160,-119.4550,109,,CDEC:CVL,,609.222;Rcdcc545f43a0ec41,West Walker River O5 L5 Drainage:589km2 AvgFlow:299cfs AvgPrecip:313mm AvgTemp:7C
DF:11,No. Trinity At Helena,40.78197,-123.12837,011,,,,652.5528;Rfca9617466efdd41,East Fork North Fork Trinity River O3 L4 Drainage:111km2 AvgFlow:84cfs AvgPrecip:998mm AvgTemp:12C
DF:111,No. Mokelumne Salt Springs Inflow,38.4985,-120.2144,111,,,,873.3209;R83c0ba8a6240c641, O1 L3 Drainage:2km2 AvgFlow:2cfs AvgPrecip:1316mm AvgTemp:10C
