DATE,FLOW,STAGE,TEMP,VDATE,,
0215-02-08,,,,,,42130.8134
8/5/2006,,,,,7.4,45129.8276
9/9/2006,,,,,5.2,45094.8275
8/8/2008,,,,,,42020.7077
8/9/2008,,,,,,42020.5691
9/13/2008,,,,,4.7,44359.8275
9/3/2009,,,,,,42020.7076
10/1/2009,,,,,3.6,43976.8275
8/15/2010,,,,,308,43668.6202
5/1/2011,,,,,,42026.9138
6/4/2011,,,,,,42026.9138
8/21/2011,,,,,351,43287.8276
9/3/2011,,,,,,42020.7077
9/25/2011,,,,,556,43317.7487
11/14/2011,,,,,,42026.9138
1/10/2012,,,,,18,43139.4166
3/28/2012,,,,,7.5,43061.4166
6/21/2012,,,,,5.4,42980.0767
9/2/2012,,,,,5.4,42909.8275
9/26/2012,,,,,111,42885.8276
10/13/2012,,,,,,42020.7076
3/21/2013,,,,,3.8,42707.0767
3/25/2013,,,,,3.8,42699.4165
8/31/2013,,,,,4,42546.8276
9/1/2013,,,,,4,42545.8275
10/5/2013,,,,,,42237.317
1/19/2014,2.9424,,,,,42384.8623
1/20/2014,2.9418,,,,,42383.8623
1/21/2014,2.9469,,,,,42382.8623
1/22/2014,2.9607,,,,,42381.8623
1/23/2014,2.975,,,,,42380.8623
1/24/2014,2.978,,,,,42379.8623
1/25/2014,2.978,,,,,42378.8623
1/26/2014,2.978,,,,,42377.8623
1/27/2014,2.978,,,,,42376.8623
1/28/2014,2.978,,,,,42375.8623
1/29/2014,2.978,,,,,42374.8623
1/30/2014,3.1633,,,,,42373.8623
1/31/2014,3.1041,,,,,42372.8623
2/1/2014,3.0316,,,,,42371.8623
2/2/2014,3.0241,,,,,42370.8623
2/3/2014,3.0183,,,,,42369.8623
2/4/2014,2.995,,,,,42368.8623
2/5/2014,2.9877,,,,,42367.8623
2/6/2014,3.0659,,,,,42366.8623
2/7/2014,3.0827,,,,,42365.8623
2/8/2014,3.2808,,,,,42364.8623
2/9/2014,3.163,,,,,42363.8623
2/10/2014,3.1395,,,,,42362.8623
2/11/2014,3.0809,,,,,42361.8623
2/12/2014,3.0719,,,,,42360.8623
2/13/2014,3.049,,,,,42359.8623
2/14/2014,3.0299,,,,,42358.8623
2/15/2014,3.025,,,,,42357.8623
2/16/2014,3.025,,,,,42356.8623
2/17/2014,3.0047,,,,,42355.8623
2/18/2014,3.002,,,,,42354.8623
2/19/2014,3.002,,,,,42353.8623
2/20/2014,3.002,,,,,42352.8623
