WF\USGS-5Y.csv
USGS:01021200,Dennys River at Dennysville Maine,44.9014,-67.2475,USGS,,,,0.8493;Re5d032634645de41,Dennys River O3 L1 Drainage:240km2 AvgFlow:199cfs AvgPrecip:1256mm AvgTemp:6C
USGS:01022295,West Br Bear Brook near Beddington Maine,44.8586,-68.1032,USGS,,,,582.2951;R0681ddc29f4fed41, O1 L3 Drainage:5km2 AvgFlow:3cfs AvgPrecip:1165mm AvgTemp:6C
USGS:01022805,Old Mill Brk bl Crooked Rd nr Bar Harbor Maine,44.4142,-68.2953,USGS,,,,293.2126;Re926d129dcdbc441,Old Mill Brook O2 L1 Drainage:9km2 AvgFlow:9cfs AvgPrecip:1327mm AvgTemp:7C
USGS:010228955,Outlet Bass Hbr Marsh at Rt 102 at Tremont Maine,44.2529,-68.3492,USGS,,,,798.5763;Rc1cac9ef7c49eb41, O2 L1 Drainage:7km2 AvgFlow:7cfs AvgPrecip:1350mm AvgTemp:7C
USGS:01049000,Sebasticook River near Pittsfield Maine,44.7167,-69.4139,USGS,,,,337.7097;R6f12831cc3277b41,Sebasticook River O5 L2 Drainage:1501km2 AvgFlow:1007cfs AvgPrecip:1099mm AvgTemp:6C
USGS:01064485,SWIFT RIVER 0.5 MI BL HOBBS BR NR CONWAY NH,43.9931,-71.2075,USGS,,,,651.6691;R6abca4bb152fe541,Swift River O3 L2 Drainage:189km2 AvgFlow:211cfs AvgPrecip:1314mm AvgTemp:6C
USGS:01084000,NORTH BRANCH RIVER NEAR ANTRIM NH,43.0817,-71.9784,USGS,,,,909.0649;R0ad73ff92b9ce041,North Branch River O4 L3 Drainage:138km2 AvgFlow:116cfs AvgPrecip:1230mm AvgTemp:7C
USGS:01102065,NORTH RIVER BELOW HOWLEY STREET AT PEABODY MA,42.5242,-70.9177,USGS,,,,163.8105;Rd7a3d41c1b05e441,North River O2 L2 Drainage:25km2 AvgFlow:17cfs AvgPrecip:1185mm AvgTemp:10C
USGS:01104615,CHARLES RIVER ABOVE WATERTOWN DAM AT WATERTOWN MA,42.3648,-71.1898,USGS,,,,712.2011;R33334b024c68d641,Charles River O4 L1 Drainage:712km2 AvgFlow:384cfs AvgPrecip:1199mm AvgTemp:10C
USGS:01120800,NATCHAUG R AT CHAPLIN CT,41.8009,-72.1181,USGS,,,,23.6469;Ree7cdf88d9f6e641,Natchaug River O3 L2 Drainage:197km2 AvgFlow:161cfs AvgPrecip:1303mm AvgTemp:9C
USGS:011277696,Jordan Brk blw Waterford Pky South nr Waterford,41.3642,-72.1486,USGS,,,,605.064;Rbe9fdac1dd4ce141,Nevins Brook O1 L2 Drainage:5km2 AvgFlow:3cfs AvgPrecip:1280mm AvgTemp:10C
USGS:011277914,Oil Mill Brook at Gurley Rd nr East Lyme CT,41.3733,-72.1914,USGS,,,,0.7658;R5eba610b0864e041,Oil Mill Brook O2 L2 Drainage:13km2 AvgFlow:10cfs AvgPrecip:1299mm AvgTemp:10C
USGS:011277916,Stony Brook at Rt 1 near Flanders CT,41.3594,-72.1753,USGS,,,,380.8153;R39b4686b9919d041,Stony Brook O1 L2 Drainage:7km2 AvgFlow:5cfs AvgPrecip:1288mm AvgTemp:10C
USGS:01127821,Fourmile River below I-95 nr East Lyme,41.3211,-72.2578,USGS,,,,12.5612;R1283b045c0a0ec41,Fourmile River O2 L1 Drainage:17km2 AvgFlow:13cfs AvgPrecip:1278mm AvgTemp:10C
USGS:01137940,AMMONOOSUC RIVER BELOW LISBON DAM AT LISBON NH,44.2125,-71.9142,USGS,,,,321.601;Rb6f3791fd9eee941,Ammonoosuc River O4 L2 Drainage:745km2 AvgFlow:520cfs AvgPrecip:957mm AvgTemp:6C
USGS:01160000,S BR ASHUELOT RIVER AT WEBB NR MARLBOROUGH NH,42.872,-72.2137,USGS,,,,572.8079;R045662a5ecbeed41, O1 L4 Drainage:3km2 AvgFlow:2cfs AvgPrecip:1154mm AvgTemp:7C
USGS:01189000,PEQUABUCK R AT FORESTVILLE CT.,41.6732,-72.9007,USGS,,,,435.6425;R560ec1a744c3e541,Pequabuck River O3 L3 Drainage:67km2 AvgFlow:54cfs AvgPrecip:1306mm AvgTemp:9C
USGS:01192704,MATTABESSET RIVER AT ROUTE 372 AT EAST BERLIN,41.6082,-72.7151,USGS,,,,669.8826;R8d97ce8bc88cd741,Mattabesset River O3 L2 Drainage:146km2 AvgFlow:111cfs AvgPrecip:1296mm AvgTemp:10C
USGS:01193000,CONNECTICUT RIVER AT MIDDLETOWN CT,41.5609,-72.6115,USGS,,,,572.5868;R0681fd0a9912ef41,Connecticut River O6 L1 Drainage:28176km2 AvgFlow:16912cfs AvgPrecip:1303mm AvgTemp:10C
USGS:01203000,SHEPAUG R NR ROXBURY CT,41.5498,-73.3298,USGS,,,,331.0461;R4c374d53aa27e241,Shepaug River O4 L2 Drainage:359km2 AvgFlow:301cfs AvgPrecip:1299mm AvgTemp:9C
USGS:01209710,NORWALK RIVER AT WINNIPAUK CT.,41.1354,-73.4262,USGS,,,,466.7961;Re7fb91ced66eeb41,Norwalk River O4 L1 Drainage:149km2 AvgFlow:114cfs AvgPrecip:1266mm AvgTemp:11C
USGS:01302050,ALLEY CREEK NEAR OAKLAND GARDENS,40.7558,-73.7458,USGS,,,,450.415;R3bdfd7365004e741,Alley Creek O1 L1 Drainage:7km2 AvgFlow:4cfs AvgPrecip:1225mm AvgTemp:12C
USGS:01302125,GABBLERS CREEK AT LITTLE NECK NY,40.7732,-73.7443,USGS,
USGS:01302500,GLEN COVE CREEK AT GLEN COVE NY,40.8633,-73.6342,USGS,,,,81.5392;Rdbf9468c7e4eea41, O1 L1 Drainage:38km2 AvgFlow:8cfs AvgPrecip:1248mm AvgTemp:12C
USGS:01303000,MILL NECK CREEK AT MILL NECK NY,40.8875,-73.5636,USGS,,,,657.2091;Re17a14b61b77c941,Beaver Brook O1 L1 Drainage:19km2 AvgFlow:12cfs AvgPrecip:1244mm AvgTemp:11C
USGS:01305000,CARMANS RIVER AT YAPHANK NY,40.8303,-72.9061,USGS,,,,31.2776;R4260bd23cc73d041,Carmans River O1 L1 Drainage:192km2 AvgFlow:26cfs AvgPrecip:1241mm AvgTemp:11C
USGS:01305500,SWAN RIVER AT EAST PATCHOGUE NY,40.7669,-72.9936,USGS,,,,675.6392;R1904667a009ae341,Swan River O1 L1 Drainage:20km2 AvgFlow:13cfs AvgPrecip:1250mm AvgTemp:11C
USGS:01306440,CONNETQUOT BROOK AT CENTRAL ISLIP NY,40.7925,-73.1656,USGS,,,,10.414;Rc1ca514e2343c541,Connetquot Brook O1 L1 Drainage:61km2 AvgFlow:33cfs AvgPrecip:1224mm AvgTemp:11C
USGS:01306495,CONNETQUOT RIVER DISTRIBUTORY NEAR OAKDALE NY,40.7501,-73.1473,USGS,,,,765.28;Rb0725c86d62ce241,Connetquot Brook O2 L1 Drainage:63km2 AvgFlow:31cfs AvgPrecip:1229mm AvgTemp:11C
USGS:01306499,CONNETQUOT RIVER NEAR NORTH GREAT RIVER NY,40.7476,-73.1504,USGS,,,,810.7142;R1d5a54d7e314d741,Connetquot River O2 L1 Drainage:82km2 AvgFlow:45cfs AvgPrecip:1228mm AvgTemp:11C
USGS:01306500,CONNETQUOT RIVER NEAR OAKDALE NY,40.7475,-73.1503,USGS,,,,805.6144;R1d5a54d7e314d741,Connetquot River O2 L1 Drainage:82km2 AvgFlow:45cfs AvgPrecip:1228mm AvgTemp:11C
