id,desc,lat,lng,modes
USGS:01010000,St. John River at Ninemile Bridge Maine,46.7006,-69.7156,USGS,,,,699.4628;R8b6ccb736821e341,Saint John River O4 L4 Drainage:3454km2 AvgFlow:2341cfs AvgPrecip:940mm AvgTemp:3C
USGS:01010070,Big Black River near Depot Mtn Maine,46.8939,-69.7517,USGS,,,,957.9636;R8941302f122acb41,Big Black River O2 L5 Drainage:451km2 AvgFlow:358cfs AvgPrecip:961mm AvgTemp:3C
USGS:01010500,St. John River at Dickey Maine,47.1131,-69.0881,USGS,,,,598.3917;R190436d6cf7ce541,Little Black River O3 L5 Drainage:676km2 AvgFlow:409cfs AvgPrecip:905mm AvgTemp:3C
USGS:01011000,Allagash River near Allagash Maine,47.0697,-69.0794,USGS,,,,3.3972;Raaf1529aae77cb41,Allagash River O5 L5 Drainage:3198km2 AvgFlow:2070cfs AvgPrecip:905mm AvgTemp:3C
USGS:01011500,St. Francis River near Connors New Brunswick,47.207,-68.9564,USGS,,,,818.0834;Re3a56b281ae9d141,Saint Francis River O3 L5 Drainage:1355km2 AvgFlow:873cfs AvgPrecip:929mm AvgTemp:3C
USGS:01013500,Fish River near Fort Kent Maine,47.2375,-68.5828,USGS,,,,456.1253;R0e2df6e3cdb4e041,Fish River O5 L5 Drainage:2314km2 AvgFlow:1551cfs AvgPrecip:936mm AvgTemp:3C
USGS:01014000,St. John River below Fish R nr Fort Kent Maine,47.2833,-68.5853,USGS,,,,912.7828;Raaf1fef2c79ce041, O0
USGS:01015800,Aroostook River near Masardis Maine,46.5231,-68.3717,USGS,,,,947.2803;Re3a5b353b830d141,Aroostook River O5 L4 Drainage:2324km2 AvgFlow:1528cfs AvgPrecip:951mm AvgTemp:4C
USGS:01017000,Aroostook River at Washburn Maine,46.7772,-68.1572,USGS,,,,145.7225;R7368813306bad141,Aroostook River O5 L4 Drainage:4141km2 AvgFlow:2575cfs AvgPrecip:966mm AvgTemp:4C
USGS:01017060,Hardwood Brook below Glidden Brk nr Caribou Maine,46.7836,-67.9892,USGS,,,,809.8664;Rcff7172faa7cef41,Hardwood Brook O1 L5 Drainage:2km2 AvgFlow:1cfs AvgPrecip:964mm AvgTemp:4C
USGS:01017290,Little Madawaska River at Caribou Maine,46.8886,-67.945,USGS,,,,214.0158;Re926b5d4255de341,Little Madawaska River O4 L5 Drainage:617km2 AvgFlow:336cfs AvgPrecip:959mm AvgTemp:4C
USGS:01017550,Williams Brook at Phair Maine,46.6281,-67.9531,USGS,,,,8.8076;R1b2f917e7107e441,Williams Brook O1 L5 Drainage:16km2 AvgFlow:10cfs AvgPrecip:1004mm AvgTemp:4C
USGS:01017960,Meduxnekeag R above S Br Medux. R nr Houlton ME,46.105,-67.8814,USGS,,,,852.0224;R21b05e3bba5fe541,Meduxnekeag River O4 L4 Drainage:443km2 AvgFlow:338cfs AvgPrecip:991mm AvgTemp:5C
USGS:01018000,Meduxnekeag River near Houlton Maine,46.105,-67.8667,USGS,,,,973.8215;R7368a9919479eb41,Meduxnekeag River O4 L4 Drainage:223km2 AvgFlow:153cfs AvgPrecip:994mm AvgTemp:5C
USGS:01018009,Pearce Brook at Route 1 at Houlton Maine,46.1153,-67.8403,USGS,,,,23.7877;Rfed4f4f37212e041,Pearce Brook O2 L5 Drainage:23km2 AvgFlow:14cfs AvgPrecip:992mm AvgTemp:5C
USGS:01018035,Meduxnekeag River at Lowery Rd. nr Houlton Maine,46.1811,-67.8039,USGS,,,,867.5977;Rbc744bd03bb5dc41,Meduxnekeag River O4 L4 Drainage:632km2 AvgFlow:448cfs AvgPrecip:1011mm AvgTemp:5C
USGS:01018500,St. Croix River at Vanceboro Maine,45.5683,-67.4283,USGS,,,,738.5793;R23db4174bc1bd141,Sears Brook O1
USGS:01018900,West Grand Lake at Grand Lake Stream Maine,45.1811,-67.7781,USGS,,,,115.2856;R0ad79f589110e541, O5 L2 Drainage:576km2 AvgFlow:406cfs AvgPrecip:1139mm AvgTemp:5C
USGS:01019000,Grand Lake Stream at Grand Lake Stream Maine,45.1725,-67.7689,USGS,,,,6.6563;R310804f2bfeae841,Grand Lake Stream O5 L2 Drainage:580km2 AvgFlow:391cfs AvgPrecip:1139mm AvgTemp:5C
USGS:01019300,Lewy Lake at Princeton Maine,45.2257,-67.5771,USGS,,,,488.2247;R0c02f36b2d92d441, O2 L3 Drainage:58km2 AvgFlow:42cfs AvgPrecip:1144mm AvgTemp:6C
USGS:01021000,St. Croix River at Baring Maine,45.1369,-67.3181,USGS,,,,986.1977;R52b84679f405de41, O0
USGS:01021050,St. Croix River at Milltown Maine,45.17,-67.2967,USGS,,,,961.3722;R7b14ea729743e541, 
USGS:01021060,St. Croix River at Calais Maine,45.1917,-67.2834,USGS,,,,651.7464;Re92699f99650dd41,Saint Croix River O5 L1 Drainage:3779km2 AvgFlow:2782cfs AvgPrecip:1178mm AvgTemp:6C
USGS:01021470,Libby Brook near Northfield Maine,44.8008,-67.725,USGS,,,,11.8104;R96438baaf52dd141,Libby Brook O2 L2 Drainage:19km2 AvgFlow:17cfs AvgPrecip:1257mm AvgTemp:6C
USGS:01021480,Old Stream near Wesley Maine,44.9369,-67.7361,USGS,,,,749.5576;Rf4fd00d4f845e841,Old Stream O3 L3 Drainage:65km2 AvgFlow:49cfs AvgPrecip:1164mm AvgTemp:6C
USGS:01022294,East Br Bear Brook near Beddington Maine,44.8591,-68.104,USGS,,,,586.4776;R0681ddc29f4fed41, O1 L3 Drainage:5km2 AvgFlow:3cfs AvgPrecip:1165mm AvgTemp:6C
USGS:01022500,Narraguagus River at Cherryfield Maine,44.6081,-67.9353,USGS,,,,397.1259;Rcdccc4d2ec04ee41,Narraguagus River O5 L1 Drainage:844km2 AvgFlow:512cfs AvgPrecip:1282mm AvgTemp:7C
USGS:01022840,Otter Creek near Bar Harbor Maine,44.3328,-68.2067,USGS,,,,283.6793;R355ee6b6f63ce641,Otter Creek O2 L1 Drainage:18km2 AvgFlow:19cfs AvgPrecip:1376mm AvgTemp:7C
USGS:01027200,North Branch Penobscot River nr Pittston Farm ME,45.9353,-69.9936,USGS,,,,951.7381;Rc3f5c8375597d841,North Branch Penobscot River O3 L1 Drainage:570km2 AvgFlow:419cfs AvgPrecip:1090mm AvgTemp:3C
USGS:01027240,S. Br. Penobscot River nr Canada Falls Lake Maine,45.8739,-69.995,USGS,,,,709.7451;Ra8c68773e239eb41, O4 L3 Drainage:471km2 AvgFlow:1cfs AvgPrecip:1086mm AvgTemp:3C
USGS:01029200,Seboeis River near Shin Pond Maine,46.1431,-68.6336,USGS,,,,41.5436;R355e5a0f2957bc41,Seboeis River O4 L3 Drainage:287km2 AvgFlow:176cfs AvgPrecip:1026mm AvgTemp:4C
USGS:01029500,East Branch Penobscot River at Grindstone Maine,45.7303,-68.5894,USGS,,,,6.8582;R3108547575f5df41,East Branch Penobscot River O5 L2 Drainage:2817km2 AvgFlow:1766cfs AvgPrecip:1072mm AvgTemp:5C
USGS:01030350,Wytopitlock Stream near Wytopitlock Maine,45.7086,-68.1581,USGS,,,,7.3168;Rfca95dcf17bae341,Wytopitlock Stream O3 L3 Drainage:137km2 AvgFlow:92cfs AvgPrecip:1098mm AvgTemp:5C
USGS:01030500,Mattawamkeag River near Mattawamkeag Maine,45.5011,-68.3058,USGS,,,,772.1203;R448b3c517b70d541,Mattawamkeag River O5 L2 Drainage:3892km2 AvgFlow:2743cfs AvgPrecip:1129mm AvgTemp:5C
USGS:01031300,Piscataquis River at Blanchard Maine,45.2672,-69.5839,USGS,,,,913.7525;Rac1cda693982b241,Piscataquis River O4 L2 Drainage:298km2 AvgFlow:250cfs AvgPrecip:1213mm AvgTemp:4C
USGS:01031450,Kingsbury Stream at Abbot Village Maine,45.1844,-69.4522,USGS,,,,8.577;Rf2d2ed169d12e441,Kingsbury Stream O4 L3 Drainage:247km2 AvgFlow:201cfs AvgPrecip:1140mm AvgTemp:5C
USGS:01031500,Piscataquis River near Dover-Foxcroft Maine,45.175,-69.3147,USGS,,,,23.3496;Rfca91994a69cd541,Piscataquis River O5 L2 Drainage:778km2 AvgFlow:641cfs AvgPrecip:1135mm AvgTemp:5C
USGS:01031510,Black Stream near Dover-Foxcroft Maine,45.1503,-69.2364,USGS,,,,27.8352;R448b04187135de41,Black Stream O3 L3 Drainage:75km2 AvgFlow:54cfs AvgPrecip:1125mm AvgTemp:5C
USGS:01034000,Piscataquis River at Medford Maine,45.2606,-68.8686,USGS,,,,394.6608;R7d3f55560278bb41,Piscataquis River O6 L2 Drainage:3003km2 AvgFlow:2364cfs AvgPrecip:1111mm AvgTemp:5C
USGS:01034500,Penobscot River at West Enfield Maine,45.2361,-68.6514,USGS,,,,327.8017;R355eeab82752c241,Penobscot River O6 L1 Drainage:13510km2 AvgFlow:9494cfs AvgPrecip:1119mm AvgTemp:5C
USGS:01036390,Penobscot River at Eddington Maine,44.8267,-68.6967,USGS,,,,31.0615;R0e2d5afd6c5fea41,Penobscot River O7 L1 Drainage:20100km2 AvgFlow:14636cfs AvgPrecip:1035mm AvgTemp:7C
USGS:01037000,Kenduskeag Stream near Bangor Maine,44.8611,-68.8317,USGS,,,,700.6022;Ra4708563627bd641,Kenduskeag Stream O4 L2 Drainage:448km2 AvgFlow:279cfs AvgPrecip:1026mm AvgTemp:7C
USGS:01037050,Penobscot River at Bangor Maine,44.7964,-68.7678,USGS,,,,84.7576;Rf628e4bf9c25d141,Penobscot River O7 L1 Drainage:20215km2 AvgFlow:13801cfs AvgPrecip:1027mm AvgTemp:7C
USGS:01037380,Ducktrap River near Lincolnville Maine,44.3292,-69.0608,USGS,,,,11.5185;Re7fb75079a39ec41,Ducktrap River O3 L1 Drainage:41km2 AvgFlow:33cfs AvgPrecip:1229mm AvgTemp:7C
